House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Newcastle (89198)											
		Candidate		"WILLIAMS, David M"		          	"GRIERSON, Sharon"		           	Total	
				LP		                         	ALP		                        		
				Votes	%	                     	Votes	%	                     		
	Adamstown										
		"SUTTON, John (GRN)"	44	14	31.82		30	68.18		44	
		"KILLION-DELCASTILLO, Erin ()"	1	1	100.00		0	0.00		1	
		"BATTERSBY, Elaine (CTA)"	19	16	84.21		3	15.79		19	
		"KAVANAGH, Mary (DEM)"	22	9	40.91		13	59.09		22	
		"LAWN, Barrie (HAN)"	62	37	59.68		25	40.32		62	
		Total	220	262	36.09		464	63.91		726	

	Wallsend Hospital										
			1st Prefs	182	34.67		343	65.33		525	
		"WILLIAMS, Harry (PLP)"	46	22	47.83		24	52.17		46	
		"CRITICOS, Harry (IND)"	11	6	54.55		5	45.45		11	
		"SUTTON, John (GRN)"	38	10	26.32		28	73.68		38	
		"KILLION-DELCASTILLO, Erin ()"	0	0	0.00		0	0.00		0	
		"BATTERSBY, Elaine (CTA)"	14	11	78.57		3	21.43		14	
		"KAVANAGH, Mary (DEM)"	25	11	44.00		14	56.00		25	
		"LAWN, Barrie (HAN)"	60	27	45.00		33	55.00		60	
		Total	194	269	37.41		450	62.59		719	

	Waratah										
			1st Prefs	570	36.66		985	63.34		1555	
		"WILLIAMS, Harry (PLP)"	133	59	44.36		74	55.64		133	
		"CRITICOS, Harry (IND)"	63	28	44.44		35	55.56		63	
		"SUTTON, John (GRN)"	155	44	28.39		111	71.61		155	
		"KILLION-DELCASTILLO, Erin ()"	11	3	27.27		8	72.73		11	
		"BATTERSBY, Elaine (CTA)"	49	39	79.59		10	20.41		49	
		"KAVANAGH, Mary (DEM)"	152	45	29.61		107	70.39		152	
		"LAWN, Barrie (HAN)"	137	81	59.12		56	40.88		137	
		Total	700	869	38.54		1386	61.46		2255	

	Waratah Central										
			1st Prefs	72	27.69		188	72.31		260	
		"WILLIAMS, Harry (PLP)"	30	14	46.67		16	53.33		30	
		"CRITICOS, Harry (IND)"	7	3	42.86		4	57.14		7	
		"SUTTON, John (GRN)"	23	4	17.39		19	82.61		23	
		"KILLION-DELCASTILLO, Erin ()"	3	0	0.00		3	100.00		3	
		"BATTERSBY, Elaine (CTA)"	13	7	53.85		6	46.15		13	
		"KAVANAGH, Mary (DEM)"	21	2	9.52		19	90.48		21	
		"LAWN, Barrie (HAN)"	34	20	58.82		14	41.18		34	
		Total	131	122	31.20		269	68.80		391	

	Waratah South										
			1st Prefs	126	35.39		230	64.61		356	
		"WILLIAMS, Harry (PLP)"	10	5	50.00		5	50.00		10	
		"CRITICOS, Harry (IND)"	13	7	53.85		6	46.15		13	
		"SUTTON, John (GRN)"	27	7	25.93		20	74.07		27	
		"KILLION-DELCASTILLO, Erin ()"	2	1	50.00		1	50.00		2	
		"BATTERSBY, Elaine (CTA)"	8	7	87.50		1	12.50		8	
		"KAVANAGH, Mary (DEM)"	16	8	50.00		8	50.00		16	
		"LAWN, Barrie (HAN)"	38	19	50.00		19	50.00		38	
		Total	114	180	38.30		290	61.70		470	

	Waratah West										
			1st Prefs	279	32.75		573	67.25		852	
		"WILLIAMS, Harry (PLP)"	49	20	40.82		29	59.18		49	
		"CRITICOS, Harry (IND)"	30	20	66.67		10	33.33		30	
		"SUTTON, John (GRN)"	71	15	21.13		56	78.87		71	
		"KILLION-DELCASTILLO, Erin ()"	3	1	33.33		2	66.67		3	
		"BATTERSBY, Elaine (CTA)"	14	6	42.86		8	57.14		14	
		"KAVANAGH, Mary (DEM)"	46	13	28.26		33	71.74		46	
		"LAWN, Barrie (HAN)"	98	60	61.22		38	38.78		98	
		Total	311	414	35.60		749	64.40		1163	

	Special Hospitals										
			1st Prefs	71	35.50		129	64.50		200	
		"WILLIAMS, Harry (PLP)"	18	12	66.67		6	33.33		18	
		"CRITICOS, Harry (IND)"	0	0	0.00		0	0.00		0	
		"SUTTON, John (GRN)"	5	3	60.00		2	40.00		5	
		"KILLION-DELCASTILLO, Erin ()"	0	0	0.00		0	0.00		0	
		"BATTERSBY, Elaine (CTA)"	2	1	50.00		1	50.00		2	
		"KAVANAGH, Mary (DEM)"	9	2	22.22		7	77.78		9	
		"LAWN, Barrie (HAN)"	11	4	36.36		7	63.64		11	
		Total	45	93	37.96		152	62.04		245	

	Total Ordinary										
			1st Prefs	20316	41.75		28341	58.25		48657	
		"WILLIAMS, Harry (PLP)"	3405	1435	42.14		1970	57.86		3405	
		"CRITICOS, Harry (IND)"	1609	931	57.86		678	42.14		1609	
		"SUTTON, John (GRN)"	5081	1422	27.99		3659	72.01		5081	
		"KILLION-DELCASTILLO, Erin ()"	317	80	25.24		237	74.76		317	
		"BATTERSBY, Elaine (CTA)"	1021	786	76.98		235	23.02		1021	
		"KAVANAGH, Mary (DEM)"	3780	1264	33.44		2516	66.56		3780	
		"LAWN, Barrie (HAN)"	4033	2645	65.58		1388	34.42		4033	
		Total	19246	28879	42.53		39024	57.47		67903	

	ABSENT										
			1st Prefs	1703	51.94		1576	48.06		3279	
		"WILLIAMS, Harry (PLP)"	425	184	43.29		241	56.71		425	
		"CRITICOS, Harry (IND)"	141	79	56.03		62	43.97		141	
		"SUTTON, John (GRN)"	532	166	31.20		366	68.80		532	
		"KILLION-DELCASTILLO, Erin ()"	26	16	61.54		10	38.46		26	
		"BATTERSBY, Elaine (CTA)"	107	79	73.83		28	26.17		107	
		"KAVANAGH, Mary (DEM)"	424	160	37.74		264	62.26		424	
		"LAWN, Barrie (HAN)"	298	166	55.70		132	44.30		298	
		Total	1953	2553	48.80		2679	51.20		5232	

	POSTAL										
			1st Prefs	1124	40.00		1686	60.00		2810	
		"WILLIAMS, Harry (PLP)"	130	47	36.15		83	63.85		130	
		"CRITICOS, Harry (IND)"	57	35	61.40		22	38.60		57	
		"SUTTON, John (GRN)"	109	26	23.85		83	76.15		109	
		"KILLION-DELCASTILLO, Erin ()"	2	1	50.00		1	50.00		2	
		"BATTERSBY, Elaine (CTA)"	50	36	72.00		14	28.00		50	
		"KAVANAGH, Mary (DEM)"	116	41	35.34		75	64.66		116	
		"LAWN, Barrie (HAN)"	240	130	54.17		110	45.83		240	
		Total	704	1440	40.98		2074	59.02		3514	

	PRE_POLL										
			1st Prefs	1085	51.08		1039	48.92		2124	
		"WILLIAMS, Harry (PLP)"	102	53	51.96		49	48.04		102	
		"CRITICOS, Harry (IND)"	87	48	55.17		39	44.83		87	
		"SUTTON, John (GRN)"	265	81	30.57		184	69.43		265	
		"KILLION-DELCASTILLO, Erin ()"	8	3	37.50		5	62.50		8	
		"BATTERSBY, Elaine (CTA)"	55	42	76.36		13	23.64		55	
		"KAVANAGH, Mary (DEM)"	245	85	34.69		160	65.31		245	
		"LAWN, Barrie (HAN)"	170	102	60.00		68	40.00		170	
		Total	932	1499	49.05		1557	50.95		3056	

	PROVISIONAL										
			1st Prefs	84	37.84		138	62.16		222	
		"WILLIAMS, Harry (PLP)"	31	10	32.26		21	67.74		31	
		"CRITICOS, Harry (IND)"	5	1	20.00		4	80.00		5	
		"SUTTON, John (GRN)"	35	9	25.71		26	74.29		35	
		"KILLION-DELCASTILLO, Erin ()"	1	1	100.00		0	0.00		1	
		"BATTERSBY, Elaine (CTA)"	5	1	20.00		4	80.00		5	
		"KAVANAGH, Mary (DEM)"	36	14	38.89		22	61.11		36	
		"LAWN, Barrie (HAN)"	12	6	50.00		6	50.00		12	
		Total	125	126	36.31		221	63.69		347	

	Division Summary										
			1st Prefs	24312	42.58		32780	57.42		57092	
		"WILLIAMS, Harry (PLP)"	4093	1729	42.24		2364	57.76		4093	
		"CRITICOS, Harry (IND)"	1899	1094	57.61		805	42.39		1899	
		"SUTTON, John (GRN)"	6022	1704	28.30		4318	71.70		6022	
		"KILLION-DELCASTILLO, Erin ()"	354	101	28.53		253	71.47		354	
		"BATTERSBY, Elaine (CTA)"	1238	944	76.25		294	23.75		1238	
		"KAVANAGH, Mary (DEM)"	4601	1564	33.99		3037	66.01		4601	
		"LAWN, Barrie (HAN)"	4753	3049	64.15		1704	35.85		4753	
		Total	22960	34497	43.09		45555	56.91		80052	
