House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Newcastle (89198)											
		Candidate		"WILLIAMS, David M"		          	"GRIERSON, Sharon"		           	Total	
				LP		                         	ALP		                        		
				Votes	%	                     	Votes	%	                     		
	Adamstown										
		"BATTERSBY, Elaine (CTA)"	6	4	66.67		2	33.33		6	
		"KAVANAGH, Mary (DEM)"	16	4	25.00		12	75.00		16	
		"LAWN, Barrie (HAN)"	54	35	64.81		19	35.19		54	
		Total	149	219	38.09		356	61.91		575	

	Plattsburg										
			1st Prefs	556	34.32		1064	65.68		1620	
		"WILLIAMS, Harry (PLP)"	126	56	44.44		70	55.56		126	
		"CRITICOS, Harry (IND)"	48	29	60.42		19	39.58		48	
		"SUTTON, John (GRN)"	116	37	31.90		79	68.10		116	
		"KILLION-DELCASTILLO, Erin ()"	5	1	20.00		4	80.00		5	
		"BATTERSBY, Elaine (CTA)"	40	29	72.50		11	27.50		40	
		"KAVANAGH, Mary (DEM)"	82	30	36.59		52	63.41		82	
		"LAWN, Barrie (HAN)"	264	177	67.05		87	32.95		264	
		Total	681	915	39.77		1386	60.23		2301	

	Shortland										
			1st Prefs	371	38.89		583	61.11		954	
		"WILLIAMS, Harry (PLP)"	85	32	37.65		53	62.35		85	
		"CRITICOS, Harry (IND)"	40	17	42.50		23	57.50		40	
		"SUTTON, John (GRN)"	77	26	33.77		51	66.23		77	
		"KILLION-DELCASTILLO, Erin ()"	2	0	0.00		2	100.00		2	
		"BATTERSBY, Elaine (CTA)"	17	16	94.12		1	5.88		17	
		"KAVANAGH, Mary (DEM)"	53	19	35.85		34	64.15		53	
		"LAWN, Barrie (HAN)"	156	117	75.00		39	25.00		156	
		Total	430	598	43.21		786	56.79		1384	

	Stockton										
			1st Prefs	190	34.05		368	65.95		558	
		"WILLIAMS, Harry (PLP)"	50	31	62.00		19	38.00		50	
		"CRITICOS, Harry (IND)"	12	9	75.00		3	25.00		12	
		"SUTTON, John (GRN)"	48	11	22.92		37	77.08		48	
		"KILLION-DELCASTILLO, Erin ()"	2	1	50.00		1	50.00		2	
		"BATTERSBY, Elaine (CTA)"	7	6	85.71		1	14.29		7	
		"KAVANAGH, Mary (DEM)"	11	6	54.55		5	45.45		11	
		"LAWN, Barrie (HAN)"	73	52	71.23		21	28.77		73	
		Total	203	306	40.21		455	59.79		761	

	Stockton North										
			1st Prefs	90	28.39		227	71.61		317	
		"WILLIAMS, Harry (PLP)"	10	7	70.00		3	30.00		10	
		"CRITICOS, Harry (IND)"	10	4	40.00		6	60.00		10	
		"SUTTON, John (GRN)"	33	8	24.24		25	75.76		33	
		"KILLION-DELCASTILLO, Erin ()"	1	0	0.00		1	100.00		1	
		"BATTERSBY, Elaine (CTA)"	4	1	25.00		3	75.00		4	
		"KAVANAGH, Mary (DEM)"	25	9	36.00		16	64.00		25	
		"LAWN, Barrie (HAN)"	46	22	47.83		24	52.17		46	
		Total	129	141	31.61		305	68.39		446	

	Stockton South										
			1st Prefs	236	30.65		534	69.35		770	
		"WILLIAMS, Harry (PLP)"	80	37	46.25		43	53.75		80	
		"CRITICOS, Harry (IND)"	30	15	50.00		15	50.00		30	
		"SUTTON, John (GRN)"	64	20	31.25		44	68.75		64	
		"KILLION-DELCASTILLO, Erin ()"	11	1	9.09		10	90.91		11	
		"BATTERSBY, Elaine (CTA)"	6	5	83.33		1	16.67		6	
		"KAVANAGH, Mary (DEM)"	30	9	30.00		21	70.00		30	
		"LAWN, Barrie (HAN)"	86	54	62.79		32	37.21		86	
		Total	307	377	35.00		700	65.00		1077	

	Sydney (Newcastle)										
			1st Prefs	23	65.71		12	34.29		35	
		"WILLIAMS, Harry (PLP)"	1	0	0.00		1	100.00		1	
		"CRITICOS, Harry (IND)"	1	1	100.00		0	0.00		1	
		"SUTTON, John (GRN)"	2	0	0.00		2	100.00		2	
		"KILLION-DELCASTILLO, Erin ()"	1	0	0.00		1	100.00		1	
		"BATTERSBY, Elaine (CTA)"	0	0	0.00		0	0.00		0	
		"KAVANAGH, Mary (DEM)"	8	1	12.50		7	87.50		8	
		"LAWN, Barrie (HAN)"	1	0	0.00		1	100.00		1	
		Total	14	25	51.02		24	48.98		49	

	The Junction										
			1st Prefs	838	53.75		721	46.25		1559	
		"WILLIAMS, Harry (PLP)"	80	32	40.00		48	60.00		80	
		"CRITICOS, Harry (IND)"	60	35	58.33		25	41.67		60	
		"SUTTON, John (GRN)"	199	50	25.13		149	74.87		199	
		"KILLION-DELCASTILLO, Erin ()"	12	3	25.00		9	75.00		12	
		"BATTERSBY, Elaine (CTA)"	9	6	66.67		3	33.33		9	
		"KAVANAGH, Mary (DEM)"	183	69	37.70		114	62.30		183	
		"LAWN, Barrie (HAN)"	86	59	68.60		27	31.40		86	
		Total	629	1092	49.91		1096	50.09		2188	

	Tighes Hill										
			1st Prefs	210	29.29		507	70.71		717	
		"WILLIAMS, Harry (PLP)"	83	34	40.96		49	59.04		83	
		"CRITICOS, Harry (IND)"	20	8	40.00		12	60.00		20	
		"SUTTON, John (GRN)"	162	34	20.99		128	79.01		162	
		"KILLION-DELCASTILLO, Erin ()"	4	0	0.00		4	100.00		4	
		"BATTERSBY, Elaine (CTA)"	11	8	72.73		3	27.27		11	
		"KAVANAGH, Mary (DEM)"	74	16	21.62		58	78.38		74	
		"LAWN, Barrie (HAN)"	71	43	60.56		28	39.44		71	
		Total	425	353	30.91		789	69.09		1142	

	Wallsend										
			1st Prefs	157	31.03		349	68.97		506	
		"WILLIAMS, Harry (PLP)"	57	20	35.09		37	64.91		57	
		"CRITICOS, Harry (IND)"	15	8	53.33		7	46.67		15	
