House of Representatives - 2001 Election: New South Wales							
Swing to ALP							
By Division by Polling Place							
							
Banks							
							
Polling Place	Formal	MELHAM		WATZLAFF		Swing	
Whalan	1622	1174	72.38	448	27.62	-6.29	
Willmot	1044	726	69.54	318	30.46	-9.62	
Woodcroft	715	486	67.97	229	32.03	-2.26	
ABSENT	4693	2808	59.83	1885	40.17	-	
POSTAL	1662	1070	64.38	592	35.62	-	
PRE POLL	2686	1774	66.05	912	33.95	-	
PROVISIONAL	694	478	68.88	216	31.12	-	
Division Total	71413	46628	65.29	24785	34.71	-5.98	
							
							
Cook							
							
Polling Place	Formal	YOUNG		BAIRD		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Bundeena	1103	573	51.95	530	48.05	-2.84	
Burraneer Bay	3347	857	25.61	2490	74.39	-4.17	
Caringbah	3330	1162	34.89	2168	65.11	-4.85	
Caringbah Central	1073	425	39.61	648	60.39	-5.88	
Caringbah North	2667	1107	41.51	1560	58.49	-6.45	
Caringbah West	1911	725	37.94	1186	62.06	-4.27	
Cronulla	2296	693	30.18	1603	69.82	-5.15	
Cronulla Central	1884	703	37.31	1181	62.69	-6.36	
Cronulla North	1398	642	45.92	756	54.08	-7.56	
Cronulla South	2453	749	30.53	1704	69.47	-4.97	
Dolans Bay	1051	316	30.07	735	69.93	-3.37	
Grays Point	1532	603	39.36	929	60.64	-2.37	
Gymea	2751	1186	43.11	1565	56.89	-7.88	
Gymea North	1025	378	36.88	647	63.12	-4.09	
Gymea South	3372	1238	36.71	2134	63.29	-4.15	
Kareela	2227	701	31.48	1526	68.52	-5.05	
Kirrawee	1797	682	37.95	1115	62.05	-7.26	
Kirrawee South	1439	498	34.61	941	65.39	-6.38	
Kurnell	1113	503	45.19	610	54.81	-9.53	
Lilli Pilli	1241	323	26.03	918	73.97	-1.61	
Maianbar	246	120	48.78	126	51.22	-2.15	
Miranda	2440	1054	43.20	1386	56.80	-4.69	
Miranda Central	1377	639	46.41	738	53.59	-5.57	
Miranda North	1960	724	36.94	1236	63.06	-9.05	
Special Hospital Team 1	116	40	34.48	76	65.52	-15.52	
Special Hospital Team 2	168	53	31.55	115	68.45	-	
Sutherland Hospital	749	294	39.25	455	60.75	-7.52	
Sutherland North (Cook)	1463	589	40.26	874	59.74	-6.85	
Sydney (Cook)	90	32	35.56	58	64.44	-18.29	
Sylvania	1428	450	31.51	978	68.49	-6.58	
Sylvania Central	712	239	33.57	473	66.43	0.63	
Sylvania Heights	3490	1190	34.10	2300	65.90	-6.04	
Sylvania South	1377	386	28.03	991	71.97	-7.91	
Sylvania Waters	1164	323	27.75	841	72.25	-0.26	
Taren Point	923	294	31.85	629	68.15	-2.28	
Wanda Beach	1096	393	35.86	703	64.14	-5.84	
Woolooware	1935	732	37.83	1203	62.17	-6.93	
Yowie Bay	2493	749	30.04	1744	69.96	-4.58	
ABSENT	4501	1737	38.59	2764	61.41	-	
POSTAL	3022	926	30.64	2096	69.36	-	
PRE POLL	4287	1619	37.77	2668	62.23	-	
PROVISIONAL	587	219	37.31	368	62.69	-	
Division Total	74634	26866	36.00	47768	64.00	-4.63	
							
							
Cowper							
							
Polling Place	Formal	BONFIELD		HARTSUYKER		Swing	
	Votes	(ALP)	%	(NP)	%	%	
Argents Hill	92	56	60.87	36	39.13	-12.55	
Bayldon	2141	946	44.18	1195	55.82	-2.78	
Bellbrook	116	64	55.17	52	44.83	12.21	
Bellimbopinni	178	82	46.07	96	53.93	14.80	
Bellingen	2016	1189	58.98	827	41.02	2.53	
Bellingen Hospital	191	111	58.12	80	41.88	-4.56	
Boambee	1314	423	32.19	891	67.81	3.54	
Bonville	840	261	31.07	579	68.93	-1.81	
Bostobrick	97	38	39.18	59	60.82	7.28	
Bowraville	1032	495	47.97	537	52.03	3.90	
Brooms Head	179	90	50.28	89	49.72	-0.11	
Coffs Harbour	1599	591	36.96	1008	63.04	-2.78	
Coffs Harbour East	1669	747	44.76	922	55.24	-6.26	
Coffs Harbour Hospital	239	130	54.39	109	45.61	5.04	
Coffs Harbour Jetty	1179	455	38.59	724	61.41	-0.99	
Coffs Harbour Narranga	1996	757	37.93	1239	62.07	-1.45	
Coffs Harbour South	1227	553	45.07	674	54.93	2.23	
Coffs Harbour St Augustines	1945	750	38.56	1195	61.44	-0.51	
Coffs Harbour West	3179	1259	39.60	1920	60.40	0.85	
Coramba	334	143	42.81	191	57.19	-3.63	
Corindi	632	342	54.11	290	45.89	3.34	
Cowper (Cowper)	104	46	44.23	58	55.77	3.81	
Deervale	83	25	30.12	58	69.88	-1.64	
Dorrigo	1097	430	39.20	667	60.80	6.60	
Eungai Creek	284	143	50.35	141	49.65	5.98	
Gladstone (Cowper)	343	135	39.36	208	60.64	12.98	
Gleniffer	164	80	48.78	84	51.22	-6.90	
Glenreagh	451	206	45.68	245	54.32	-5.23	
Gulmarrad	434	196	45.16	238	54.84	-2.96	
Hat Head	187	95	50.80	92	49.20	7.30	
Karangi	420	177	42.14	243	57.86	-1.53	
Kinchela	133	46	34.59	87	65.41	-4.91	
Korora	1565	533	34.06	1032	65.94	1.30	
Lowanna	125	66	52.80	59	47.20	5.18	
Macksville	2228	871	39.09	1357	60.91	4.98	
Maclean (Cowper)	1275	540	42.35	735	57.65	-5.30	
Maclean Hospital	521	243	46.64	278	53.36	-3.16	
Medlow	180	86	47.78	94	52.22	6.73	
Missabotti	80	41	51.25	39	48.75	2.27	
Moonee Beach	801	310	38.70	491	61.30	-2.82	
Mullaway	1186	612	51.60	574	48.40	0.95	
Mylestom	383	191	49.87	192	50.13	-2.71	
Nambucca Heads	2604	1273	48.89	1331	51.11	0.89	
Nana Glen	570	259	45.44	311	54.56	-4.12	
Newville	943	456	48.36	487	51.64	-0.37	
Palmers Island	527	205	38.90	322	61.10	-5.55	
Raleigh	259	114	44.02	145	55.98	0.16	
Red Rock	162	87	53.70	75	46.30	2.28	
Repton	161	98	60.87	63	39.13	4.77	
Sandy Beach	1601	807	50.41	794	49.59	-2.62	
Sawtell	1809	908	50.19	901	49.81	-1.18	
Scotts Head	517	282	54.55	235	45.45	2.98	
Smithtown	458	201	43.89	257	56.11	0.61	
South West Rocks	1556	823	52.89	733	47.11	9.20	
South West Rocks South	876	387	44.18	489	55.82	-4.64	
Special Hospital Team 1	223	89	39.91	134	60.09	-9.96	
Special Hospital Team 2	136	76	55.88	60	44.12	-	
Special Hospital Team 3	77	38	49.35	39	50.65	-	
Stuarts Point	747	414	55.42	333	44.58	5.15	
Sydney (Cowper)	25	11	44.00	14	56.00	-19.16	
Thora	221	137	61.99	84	38.01	4.79	
Toormina	2649	1140	43.04	1509	56.96	-3.32	
Tucabia	333	145	43.54	188	56.46	1.68	
Ulmarra	564	203	35.99	361	64.01	2.94	
Ulong	93	50	53.76	43	46.24	7.53	
Upper Orara	279	117	41.94	162	58.06	3.21	
Urunga	1873	939	50.13	934	49.87	-0.67	
Utungun	166	57	34.34	109	65.66	6.37	
Valla Beach	767	394	51.37	373	48.63	5.42	
Vere Street (Cowper)	322	166	51.55	156	48.45	5.49	
Warrell Creek	224	53	23.66	171	76.34	7.87	
Willawarrin	358	173	48.32	185	51.68	4.82	
Woolgoolga	2585	1254	48.51	1331	51.49	0.15	
Wooli	483	262	54.24	221	45.76	5.51	
Yamba	1614	771	47.77	843	52.23	-3.31	
Yamba West	1485	672	45.25	813	54.75	-5.01	
ABSENT	4105	2187	53.28	1918	46.72	-	
POSTAL	2691	1180	43.85	1511	56.15	-	
PRE POLL	4180	1763	42.18	2417	57.82	-	
PROVISIONAL	618	349	56.47	269	43.53	-	
Division Total	73100	33094	45.27	40006	54.73	0.98	
							
							
Cunningham							
							
Polling Place	Formal	MARTIN		FIELDS		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Austinmer	995	662	66.53	333	33.47	-3.09	
Balgownie	1253	676	53.95	577	46.05	-5.68	
Balgownie Central	2430	1429	58.81	1001	41.19	-6.39	
Bellambi	1316	1000	75.99	316	24.01	-8.29	
Bulli	783	522	66.67	261	33.33	-8.87	
Bulli Central	2445	1615	66.05	830	33.95	-10.26	
Bulli Hospital	144	91	63.19	53	36.81	-13.56	
Coalcliff	105	62	59.05	43	40.95	-6.13	
Coledale	787	547	69.50	240	30.50	-5.28	
Coniston	1705	1174	68.86	531	31.14	-7.90	
Cordeaux Heights	1107	581	52.48	526	47.52	-18.41	
Corrimal	2368	1536	64.86	832	35.14	-10.36	
Corrimal East	3027	2013	66.50	1014	33.50	-9.21	
Fairy Meadow	1872	1256	67.09	616	32.91	-5.83	
Fairy Meadow South	197	133	67.51	64	32.49	-0.86	
Figtree	3336	1819	54.53	1517	45.47	-5.88	
Figtree Heights	1336	650	48.65	686	51.35	-8.15	
Gwynneville	1468	965	65.74	503	34.26	-4.13	
Helensburgh	2225	1182	53.12	1043	46.88	-3.18	
Helensburgh North	808	464	57.43	344	42.57	4.12	
Keiraville	2651	1435	54.13	1216	45.87	-6.20	
Lindsay Park	2348	1189	50.64	1159	49.36	-9.57	
Mount Keira	589	295	50.08	294	49.92	-8.50	
Mount Kembla	576	330	57.29	246	42.71	-7.39	
Mount Ousley	1837	995	54.16	842	45.84	-5.08	
Mount Saint Thomas	1831	1040	56.80	791	43.20	-7.14	
Otford	184	105	57.07	79	42.93	-3.75	
Reidtown	898	564	62.81	334	37.19	-7.05	
Russell Vale	1362	920	67.55	442	32.45	-9.02	
Scarborough	213	145	68.08	68	31.92	-9.04	
Smith's Hill	2285	1309	57.29	976	42.71	-6.23	
Special Hospital Team 1	128	82	64.06	46	35.94	13.80	
Special Hospital Team 2	54	25	46.30	29	53.70	-	
Stanwell Park	682	390	57.18	292	42.82	-1.87	
Sydney (Cunningham)	101	59	58.42	42	41.58	-9.23	
Tarrawanna	1797	1130	62.88	667	37.12	-9.88	
Thirroul	1896	1197	63.13	699	36.87	-6.26	
Thirroul East	1411	940	66.62	471	33.38	-4.16	
Towradgi	1429	1000	69.98	429	30.02	-5.57	
Towradgi East	527	316	59.96	211	40.04	-4.95	
Unanderra (Cunningham)	396	245	61.87	151	38.13	-9.62	
Wollongong	2563	1575	61.45	988	38.55	-9.53	
Wollongong Central	1020	660	64.71	360	35.29	-6.88	
Wollongong Hospital	277	196	70.76	81	29.24	-6.57	
Wollongong West	1566	938	59.90	628	40.10	-5.41	
Wombarra	276	190	68.84	86	31.16	-12.88	
Woonona	1459	922	63.19	537	36.81	-10.06	
Woonona Central	1393	924	66.33	469	33.67	-4.85	
Woonona East	1866	1182	63.34	684	36.66	-6.08	
ABSENT	3939	2329	59.13	1610	40.87	-	
POSTAL	3049	1676	54.97	1373	45.03	-	
PRE POLL	3408	2004	58.80	1404	41.20	-	
PROVISIONAL	326	220	67.48	106	32.52	-	
Division Total	74044	44904	60.65	29140	39.35	-7.12	
							
							
Dobell							
							
Polling Place	Formal	LEE		TICEHURST		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Bateau Bay Central	851	373	43.83	478	56.17	-2.33	
Bateau Bay East	1979	984	49.72	995	50.28	-4.79	
Bateau Bay South	1159	610	52.63	549	47.37	0.18	
Bateau Bay West	409	307	75.06	102	24.94	9.19	
Berkeley Vale	2736	1376	50.29	1360	49.71	-2.92	
Berkeley Vale North	1253	657	52.43	596	47.57	0.46	
Blue Haven	2039	1124	55.13	915	44.87	-5.85	
Chittaway Bay	2685	1406	52.36	1279	47.64	-2.14	
Chittaway Point	404	171	42.33	233	57.67	-10.19	
Dooralong	137	51	37.23	86	62.77	-0.91	
Erina Heights (Dobell)	784	252	32.14	532	67.86	-0.08	
Forresters Beach	1118	500	44.72	618	55.28	-6.38	
Gorokan Central	1069	645	60.34	424	39.66	-1.90	
Hamlyn Terrace	286	122	42.66	164	57.34	-13.32	
Holgate	672	246	36.61	426	63.39	2.96	
Jilliby	461	180	39.05	281	60.95	1.13	
Kanwal	2765	1532	55.41	1233	44.59	-5.89	
Killarney Vale	1518	823	54.22	695	45.78	-5.17	
Killarney Vale South	3385	1815	53.62	1570	46.38	-4.23	
Kulnura	333	104	31.23	229	68.77	-9.34	
Lisarow	1812	772	42.60	1040	57.40	1.03	
Long Jetty	1517	836	55.11	681	44.89	-2.23	
Long Jetty East	1135	584	51.45	551	48.55	-3.50	
Mardi	808	367	45.42	441	54.58	-4.35	
Narara	997	483	48.45	514	51.55	-1.24	
Niagara Park (Dobell)	2801	1361	48.59	1440	51.41	-2.23	
Ourimbah	1998	852	42.64	1146	57.36	-0.69	
Shelly Beach	2500	1250	50.00	1250	50.00	-5.13	
Special Hospital Team 1	192	87	45.31	105	54.69	-4.77	
Special Hospital Team 2	178	95	53.37	83	46.63	-	
Sydney (Dobell)	54	30	55.56	24	44.44	-3.54	
Tacoma	517	293	56.67	224	43.33	2.74	
Terrigal (Dobell)	577	240	41.59	337	58.41	-5.25	
Terrigal Lagoon	1105	417	37.74	688	62.26	-4.71	
The Entrance	1819	988	54.32	831	45.68	-6.70	
The Entrance North	649	361	55.62	288	44.38	-2.56	
Tuggerah	934	471	50.43	463	49.57	4.95	
Tuggerawong	486	268	55.14	218	44.86	-3.73	
Tumbi Umbi	1020	465	45.59	555	54.41	-2.71	
Valley View	531	254	47.83	277	52.17	3.28	
Wamberal	2227	880	39.52	1347	60.48	-3.17	
Wamberal North	974	387	39.73	587	60.27	0.84	
Warnervale	1360	669	49.19	691	50.81	-6.15	
Watanobbi	1248	777	62.26	471	37.74	-2.93	
Wyoming (Dobell)	2553	1253	49.08	1300	50.92	-1.06	
Wyoming Central	2040	956	46.86	1084	53.14	-1.31	
Wyong	1845	959	51.98	886	48.02	-1.40	
Wyong Creek	180	58	32.22	122	67.78	-3.34	
Wyong East	566	280	49.47	286	50.53	-7.08	
Wyongah	950	536	56.42	414	43.58	-1.56	
Yarramalong	227	89	39.21	138	60.79	-5.35	
ABSENT	5533	2901	52.43	2632	47.57	-	
POSTAL	2685	1238	46.11	1447	53.89	-	
PRE POLL	4099	2026	49.43	2073	50.57	-	
PROVISIONAL	410	244	59.51	166	40.49	-	
Division Total	74570	37005	49.62	37565	50.38	-1.91	
							
							
Eden-Monaro							
							
Polling Place	Formal	WHAN		NAIRN		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Adaminaby	324	104	32.10	220	67.90	-2.28	
Araluen	87	33	37.93	54	62.07	-3.67	
Batehaven	1449	678	46.79	771	53.21	1.52	
Batemans Bay	2405	1092	45.41	1313	54.59	-3.55	
Bega	1898	837	44.10	1061	55.90	-0.08	
Bega Central	1179	531	45.04	648	54.96	0.13	
Bemboka	396	160	40.40	236	59.60	-0.41	
Bermagui	1370	754	55.04	616	44.96	0.91	
Berridale	625	238	38.08	387	61.92	-2.62	
Bibbenluke	126	40	31.75	86	68.25	-6.55	
Bimbimbie	352	130	36.93	222	63.07	3.72	
Bodalla	480	218	45.42	262	54.58	-1.37	
Bombala	1033	401	38.82	632	61.18	-5.79	
Braidwood	1129	531	47.03	598	52.97	-0.13	
Bredbo	240	105	43.75	135	56.25	0.12	
Brogo	198	106	53.54	92	46.46	1.79	
Broulee	788	463	58.76	325	41.24	0.03	
Bungendore	1832	983	53.66	849	46.34	1.09	
Candelo	523	273	52.20	250	47.80	0.36	
Captains Flat	336	221	65.77	115	34.23	-3.81	
Central Tilba	288	173	60.07	115	39.93	1.34	
Cobargo	640	322	50.31	318	49.69	3.75	
Cooma	1728	771	44.62	957	55.38	-6.64	
Cooma Hospital	306	146	47.71	160	52.29	-4.64	
Cooma North	1246	591	47.43	655	52.57	-5.11	
Cooma South	602	266	44.19	336	55.81	-4.60	
Dalgety	166	55	33.13	111	66.87	-2.30	
Dalmeny	1184	568	47.97	616	52.03	2.03	
Delegate	272	87	31.99	185	68.01	-3.50	
Eden	1926	721	37.44	1205	62.56	0.91	
Jerangle	70	23	32.86	47	67.14	1.95	
Jerrabomberra	2733	1183	43.29	1550	56.71	1.88	
Jindabyne	1174	460	39.18	714	60.82	-1.34	
Letchworth	269	170	63.20	99	36.80	-2.69	
Long Beach	324	151	46.60	173	53.40	-0.37	
Majors Creek	112	63	56.25	49	43.75	0.93	
Malua Bay	910	384	42.20	526	57.80	1.55	
Merimbula	2052	798	38.89	1254	61.11	0.78	
Michelago	226	85	37.61	141	62.39	-0.34	
Mogo	375	214	57.07	161	42.93	3.88	
Moruya	2704	1410	52.14	1294	47.86	-2.09	
Narooma	1848	883	47.78	965	52.22	-1.18	
Nelligen	244	100	40.98	144	59.02	-12.54	
Nimmitabel	303	122	40.26	181	59.74	-5.70	
Numeralla	129	55	42.64	74	57.36	0.30	
Pambula	1491	646	43.33	845	56.67	-2.49	
Perisher Valley	23	9	39.13	14	60.87	-0.42	
Quaama	337	192	56.97	145	43.03	-1.25	
Queanbeyan	1755	1001	57.04	754	42.96	-1.83	
Queanbeyan Central	2128	1181	55.50	947	44.50	-3.34	
Queanbeyan East	1924	1011	52.55	913	47.45	-3.29	
Queanbeyan High	1417	854	60.27	563	39.73	-4.64	
Queanbeyan Hospital	667	397	59.52	270	40.48	-4.75	
Queanbeyan North	1305	787	60.31	518	39.69	-1.90	
Queanbeyan South	3512	2204	62.76	1308	37.24	-3.69	
Queanbeyan West	1634	959	58.69	675	41.31	-3.66	
South Durras	186	102	54.84	84	45.16	-0.72	
Special Hospital Team 1	104	54	51.92	50	48.08	1.92	
Special Hospital Team 2	73	31	42.47	42	57.53	-	
Special Hospital Team 3	71	31	43.66	40	56.34	-	
Special Hospital Team 4	175	65	37.14	110	62.86	-	
Sunshine Bay	1945	813	41.80	1132	58.20	-2.08	
Sutton (Eden-Monaro)	606	282	46.53	324	53.47	1.72	
Sydney (Eden-Monaro)	51	26	50.98	25	49.02	9.31	
Tanja	141	119	84.40	22	15.60	4.71	
Tathra	1367	746	54.57	621	45.43	4.10	
Thredbo	106	41	38.68	65	61.32	7.48	
Tomakin	686	337	49.13	349	50.87	-9.36	
Towamba	129	71	55.04	58	44.96	-1.26	
Tura Beach	1196	424	35.45	772	64.55	-1.62	
Tuross Head	1378	670	48.62	708	51.38	0.23	
Wallaga Lake Koori Village	36	36	100.00	0	0.00	3.13	
Wamboin	574	272	47.39	302	52.61	0.24	
Wattle Park	341	145	42.52	196	57.48	6.60	
Wolumla	465	199	42.80	266	57.20	0.42	
Wyndham	287	181	63.07	106	36.93	8.09	
ABSENT	2882	1318	45.73	1564	54.27	-	
POSTAL	3579	1463	40.88	2116	59.12	-	
PRE POLL	6898	3305	47.91	3593	52.09	-	
PROVISIONAL	427	247	57.85	180	42.15	-	
Division Total	78497	37918	48.31	40579	51.69	-1.08	
							
							
Farrer							
							
Polling Place	Formal	MILLEN		LEY		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Adelong	749	296	39.52	453	60.48	-	
Albury	2132	1023	47.98	1109	52.02	-	
Albury East	1052	359	34.13	693	65.87	-	
Albury High School	2219	735	33.12	1484	66.88	-	
Albury Mercy Hospital	89	36	40.45	53	59.55	-	
Albury North	1679	630	37.52	1049	62.48	-	
Albury North Central	1332	538	40.39	794	59.61	-	
Albury South	1387	501	36.12	886	63.88	-	
Albury West	1736	577	33.24	1159	66.76	-	
Balldale	117	22	18.80	95	81.20	-	
Balranald	756	303	40.08	453	59.92	-	
Barham	1010	256	25.35	754	74.65	-	
Barooga	881	284	32.24	597	67.76	-	
Batlow	861	408	47.39	453	52.61	-	
Berrigan	853	202	23.68	651	76.32	-	
Blighty	184	14	7.61	170	92.39	-	
Boree Creek	144	26	18.06	118	81.94	-	
Brocklesby	119	30	25.21	89	74.79	-	
Brungle	92	37	40.22	55	59.78	-	
Bunnaloo	181	21	11.60	160	88.40	-	
Buronga	787	190	24.14	597	75.86	-	
Burrumbuttock	184	30	16.30	154	83.70	-	
Conargo	98	17	17.35	81	82.65	-	
Corowa	1785	638	35.74	1147	64.26	-	
Corowa Hospital	998	357	35.77	641	64.23	-	
Corowa South	575	182	31.65	393	68.35	-	
Culcairn	856	279	32.59	577	67.41	-	
Curlwaa	182	41	22.53	141	77.47	-	
Dareton	646	195	30.19	451	69.81	-	
Daysdale	94	14	14.89	80	85.11	-	
Deniliquin	1300	389	29.92	911	70.08	-	
Deniliquin Hospital	387	124	32.04	263	67.96	-	
Deniliquin North	1020	294	28.82	726	71.18	-	
Deniliquin South	726	218	30.03	508	69.97	-	
Deniliquin West	1341	446	33.26	895	66.74	-	
Emery	153	8	5.23	145	94.77	-	
Euston	390	111	28.46	279	71.54	-	
Finley	1570	390	24.84	1180	75.16	-	
Gerogery	276	65	23.55	211	76.45	-	
Glenroy	2129	818	38.42	1311	61.58	-	
Gol Gol	490	114	23.27	376	76.73	-	
Hatfield	41	2	4.88	39	95.12	-	
Henty	727	192	26.41	535	73.59	-	
Holbrook	1124	357	31.76	767	68.24	-	
Howlong	1315	527	40.08	788	59.92	-	
Hume	1432	524	36.59	908	63.41	-	
Jerilderie	636	181	28.46	455	71.54	-	
Jindera	940	268	28.51	672	71.49	-	
Jingellic	110	26	23.64	84	76.36	-	
Khancoban	250	113	45.20	137	54.80	-	
Koraleigh	218	57	26.15	161	73.85	-	
Lacmalac	152	37	24.34	115	75.66	-	
Lavington	2869	1080	37.64	1789	62.36	-	
Lavington East	1941	702	36.17	1239	63.83	-	
Lockhart	774	210	27.13	564	72.87	-	
Lowesdale	128	18	14.06	110	85.94	-	
Mathoura	533	222	41.65	311	58.35	-	
Mayrung	118	16	13.56	102	86.44	-	
Moama	2134	642	30.08	1492	69.92	-	
Morundah	38	12	31.58	26	68.42	-	
Morven	63	11	17.46	52	82.54	-	
Moulamein	390	117	30.00	273	70.00	-	
Mullengandra	115	24	20.87	91	79.13	-	
Mulwala	1184	440	37.16	744	62.84	-	
Murray Downs	223	35	15.70	188	84.30	-	
Oaklands	231	50	21.65	181	78.35	-	
Pleasant Hills	159	16	10.06	143	89.94	-	
Pooncarie	126	22	17.46	104	82.54	-	
Pretty Pine	86	9	10.47	77	89.53	-	
Rand	183	21	11.48	162	88.52	-	
Rosewood	189	40	21.16	149	78.84	-	
Special Hospital Team 1	95	23	24.21	72	75.79	-	
Special Hospital Team 2	64	21	32.81	43	67.19	-	
Special Hospital Team 3	29	8	27.59	21	72.41	-	
Special Hospital Team 4	16	5	31.25	11	68.75	-	
Special Hospital Team 5	35	10	28.57	25	71.43	-	
Special Hospital Team 6	55	27	49.09	28	50.91	-	
Springdale Heights	623	251	40.29	372	59.71	-	
Sydney (Farrer)	19	7	36.84	12	63.16	-	
Table Top	288	61	21.18	227	78.82	-	
Talbingo	174	90	51.72	84	48.28	-	
The Retreat	75	4	5.33	71	94.67	-	
The Rock	642	261	40.65	381	59.35	-	
Thurgoona	1797	624	34.72	1173	65.28	-	
Tocumwal	1204	377	31.31	827	68.69	-	
Tooleybuc	261	68	26.05	193	73.95	-	
Tooma	111	7	6.31	104	93.69	-	
Tumbarumba	1262	516	40.89	746	59.11	-	
Tumut	2531	1028	40.62	1503	59.38	-	
Tumut East	1217	567	46.59	650	53.41	-	
Urana	273	120	43.96	153	56.04	-	
Wakool	347	51	14.70	296	85.30	-	
Walbundrie	171	27	15.79	144	84.21	-	
Walla Walla	478	112	23.43	366	76.57	-	
Wanganella	45	2	4.44	43	95.56	-	
Wentworth	991	327	33.00	664	67.00	-	
Woomargama	107	25	23.36	82	76.64	-	
Yerong Creek	174	45	25.86	129	74.14	-	
ABSENT	2007	749	37.32	1258	62.68	-	
POSTAL	3654	1102	30.16	2552	69.84	-	
PRE POLL	4329	1474	34.05	2855	65.95	-	
PROVISIONAL	469	221	47.12	248	52.88	-	
Division Total	75532	25399	33.63	50133	66.37		
							
							
Fowler							
							
Polling Place	Formal	IRWIN		WATSON		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Ashcroft	1484	1118	75.34	366	24.66	-5.18	
Bonnyrigg	1935	1565	80.88	370	19.12	-6.47	
Bonnyrigg Heights	2703	1911	70.70	792	29.30	-4.90	
Bonnyrigg High	1081	834	77.15	247	22.85	-3.18	
Cabramatta	4378	3646	83.28	732	16.72	-7.14	
Cabramatta East	2426	1927	79.43	499	20.57	-5.42	
Cabramatta High	2130	1677	78.73	453	21.27	-9.29	
Cabramatta West	1598	1152	72.09	446	27.91	-5.19	
Canley Heights	3071	2259	73.56	812	26.44	-4.77	
Canley Vale	2526	1976	78.23	550	21.77	-9.71	
Canley Vale High	355	272	76.62	83	23.38	-8.10	
Cartwright (Fowler)	676	479	70.86	197	29.14	-6.10	
Edensor Park	2410	1521	63.11	889	36.89	-4.76	
Fairfield East (Fowler)	424	293	69.10	131	30.90	-8.42	
Harrington Street	2900	2066	71.24	834	28.76	-5.00	
Heckenberg	1631	1202	73.70	429	26.30	-6.32	
James Busby (Fowler)	1726	1167	67.61	559	32.39	-12.33	
Lansvale	1764	1342	76.08	422	23.92	-3.50	
Lansvale East	1213	691	56.97	522	43.03	-8.66	
Liverpool	2385	1765	74.00	620	26.00	-3.98	
Liverpool North	465	337	72.47	128	27.53	-3.67	
Liverpool South	754	558	74.01	196	25.99	-5.29	
Liverpool West (Fowler)	2444	1469	60.11	975	39.89	-6.15	
Marsden Road	1913	1237	64.66	676	35.34	0.91	
Miller (Fowler)	192	142	73.96	50	26.04	-5.31	
Mount Pritchard	2731	1710	62.61	1021	37.39	-4.70	
Mount Pritchard East	1620	1132	69.88	488	30.12	-2.69	
Sadleir	1238	940	75.93	298	24.07	-3.37	
St Johns Park	3044	2206	72.47	838	27.53	-4.56	
Sydney (Fowler)	81	59	72.84	22	27.16	1.61	
Villawood	1944	1455	74.85	489	25.15	-5.64	
Villawood North	1462	1095	74.90	367	25.10	-8.70	
Wakeley (Fowler)	979	677	69.15	302	30.85	-9.00	
Warwick Farm	1278	963	75.35	315	24.65	-3.26	
Yennora (Fowler)	294	193	65.65	101	34.35	-14.35	
ABSENT	4128	2499	60.54	1629	39.46	-	
POSTAL	1667	1046	62.75	621	37.25	-	
PRE POLL	1795	1184	65.96	611	34.04	-	
PROVISIONAL	544	409	75.18	135	24.82	-	
Division Total	67389	48174	71.49	19215	28.51	-4.51	
							
							
Gilmore							
							
Polling Place	Formal	KNOTT		GASH		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Avoca	209	44	21.05	165	78.95	-4.60	
Basin View	869	329	37.86	540	62.14	-17.31	
Bawley Point	544	242	44.49	302	55.51	-9.79	
Berry	1923	600	31.20	1323	68.80	-7.99	
Bomaderry	2805	790	28.16	2015	71.84	-12.27	
Bomaderry South	638	174	27.27	464	72.73	-11.63	
Bundanoon	1090	411	37.71	679	62.29	-0.41	
Burrawang	342	84	24.56	258	75.44	0.90	
Burrill Lake	1158	452	39.03	706	60.97	-11.25	
Callala Bay	918	326	35.51	592	64.49	-16.04	
Callala Beach	364	148	40.66	216	59.34	-9.34	
Cambewarra	941	226	24.02	715	75.98	-9.40	
Cudmirrah	417	156	37.41	261	62.59	-14.47	
Culburra	1545	578	37.41	967	62.59	-15.45	
Currarong	337	124	36.80	213	63.20	-9.10	
Erowal Bay	340	171	50.29	169	49.71	-10.05	
Exeter	385	110	28.57	275	71.43	-4.39	
Falls Creek	485	155	31.96	330	68.04	-14.33	
Gerringong	1039	408	39.27	631	60.73	-10.82	
Gerroa	274	94	34.31	180	65.69	-10.71	
Greenwell Point	829	274	33.05	555	66.95	-17.82	
Huskisson	1069	381	35.64	688	64.36	-13.69	
Hyams Beach	93	44	47.31	49	52.69	-4.09	
Illaroo	2607	669	25.66	1938	74.34	-12.26	
Jamberoo	1032	360	34.88	672	65.12	-9.07	
Kangaroo Valley	704	264	37.50	440	62.50	-4.48	
Kiama	2717	1047	38.54	1670	61.46	-12.55	
Kiama Downs	1378	585	42.45	793	57.55	-10.41	
Kiama South	942	389	41.30	553	58.70	-11.63	
Lake Conjola	489	186	38.04	303	61.96	-10.06	
