House of Representatives - 2001 Election: New South Wales							
Swing to ALP							
By Division by Polling Place							
							
Banks							
							
Polling Place	Formal	MELHAM		WATZLAFF		Swing	
Epping North	2352	842	35.80	1510	64.20	-0.03	
Epping West	3065	1241	40.49	1824	59.51	0.73	
Gladesville (Bennelong)	1818	856	47.08	962	52.92	-0.63	
Gladesville Central	662	274	41.39	388	58.61	-1.13	
Gladesville East	307	125	40.72	182	59.28	-5.65	
Gladesville North	1566	715	45.66	851	54.34	-0.65	
Gladesville West	333	132	39.64	201	60.36	3.10	
Holy Cross Ryde	370	178	48.11	192	51.89	3.70	
Kent Road	2182	977	44.78	1205	55.22	-0.78	
Kittys Creek	353	127	35.98	226	64.02	-5.28	
Lyon Park	1418	687	48.45	731	51.55	-3.66	
Marsfield	1995	800	40.10	1195	59.90	-3.47	
Meadowbank	889	459	51.63	430	48.37	-8.18	
Melrose Park	785	329	41.91	456	58.09	-5.23	
Parkes Street	1398	637	45.57	761	54.43	-3.60	
Putney	3069	1149	37.44	1920	62.56	-5.11	
Roselea (Bennelong)	1311	529	40.35	782	59.65	-0.22	
Royal Ryde Homes	103	44	42.72	59	57.28	-9.18	
Ryde	2496	1353	54.21	1143	45.79	-4.27	
Ryde Central	1021	405	39.67	616	60.33	-6.21	
Ryde East	3038	1175	38.68	1863	61.32	-1.36	
Ryde Heights	633	296	46.76	337	53.24	-4.96	
Ryde Hospital	604	234	38.74	370	61.26	-2.99	
Ryde North	3100	1356	43.74	1744	56.26	-3.60	
Ryde South	680	283	41.62	397	58.38	-1.64	
Special Hospital Team 1	229	35	15.28	194	84.72	-34.72	
Special Hospital Team 2	66	29	43.94	37	56.06	-	
Sydney (Bennelong)	181	104	57.46	77	42.54	-2.17	
Truscott	1465	554	37.82	911	62.18	-1.68	
Water Tanks	1281	547	42.70	734	57.30	0.92	
West Ryde	3235	1668	51.56	1567	48.44	-3.82	
Wicks	311	120	38.59	191	61.41	0.93	
ABSENT	5232	2166	41.40	3066	58.60	-	
POSTAL	3630	1121	30.88	2509	69.12	-	
PRE POLL	3335	1422	42.64	1913	57.36	-	
PROVISIONAL	318	146	45.91	172	54.09	-	
Division Total	77738	32877	42.29	44861	57.71	-2.48	
							
							
Berowra							
							
Polling Place	Formal	SLATER		RUDDOCK		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Arcadia	809	202	24.97	607	75.03	-4.17	
Asquith	2115	886	41.89	1229	58.11	-0.84	
Beecroft	3252	1065	32.75	2187	67.25	2.83	
Berowra	3209	1137	35.43	2072	64.57	-4.54	
Berowra Heights	1767	672	38.03	1095	61.97	-2.24	
Berowra Waters	76	24	31.58	52	68.42	1.89	
Bowden Brae	485	132	27.22	353	72.78	1.53	
Brooklyn	447	210	46.98	237	53.02	-0.33	
Cheltenham	1313	452	34.42	861	65.58	3.10	
Cherrybrook	2933	968	33.00	1965	67.00	-1.34	
Cherrybrook Central	922	264	28.63	658	71.37	-8.10	
Cherrybrook South	1178	306	25.98	872	74.02	-2.44	
Cowan	300	136	45.33	164	54.67	-5.23	
Dangar Island	124	86	69.35	38	30.65	-0.47	
Dural (Berowra)	1592	343	21.55	1249	78.45	-1.14	
Epping Heights (Berowra)	157	56	35.67	101	64.33	-	
Galston	1653	391	23.65	1262	76.35	-3.61	
Glenorie	1482	355	23.95	1127	76.05	0.94	
Hillside Central	268	57	21.27	211	78.73	-0.47	
Hornsby	1556	680	43.70	876	56.30	-4.07	
Hornsby Central	2384	1063	44.59	1321	55.41	-7.59	
Hornsby East	1130	539	47.70	591	52.30	-4.51	
Hornsby Heights	2599	859	33.05	1740	66.95	-4.49	
Hornsby Hospital	274	119	43.43	155	56.57	0.34	
Hornsby North	1872	697	37.23	1175	62.77	-3.74	
Hornsby South	1404	572	40.74	832	59.26	-1.27	
Hornsby West	856	372	43.46	484	56.54	-0.44	
John Purchase	3722	1342	36.06	2380	63.94	-1.75	
Maroota	302	82	27.15	220	72.85	-1.54	
Maroota South	345	79	22.90	266	77.10	2.16	
Middle Dural	949	208	21.92	741	78.08	0.68	
Mount Colah	2664	1011	37.95	1653	62.05	-4.42	
Mount Kuring-Gai	1149	435	37.86	714	62.14	-5.37	
Normanhurst	2019	720	35.66	1299	64.34	-1.34	
Normanhurst West	2103	783	37.23	1320	62.77	-2.70	
Oakhill Drive (Berowra)	857	291	33.96	566	66.04	-	
Pennant Hills	3302	1263	38.25	2039	61.75	-0.41	
Roselea (Berowra)	1212	395	32.59	817	67.41	-5.19	
Special Hospital Team 1	68	17	25.00	51	75.00	-25.00	
Special Hospital Team 2	139	21	15.11	118	84.89	-	
Special Hospital Team 3	242	37	15.29	205	84.71	-	
Special Hospital Team 4	9	2	22.22	7	77.78	-	
Sydney (Berowra)	118	56	47.46	62	52.54	-0.86	
Thompsons Corner (Berowra)	2182	688	31.53	1494	68.47	0.45	
Thornleigh	1422	524	36.85	898	63.15	0.32	
Waitara	2017	718	35.60	1299	64.40	0.16	
Waitara South	387	101	26.10	286	73.90	0.91	
Westleigh	3424	1064	31.07	2360	68.93	0.31	
Wisemans Ferry (Berowra)	152	56	36.84	96	63.16	0.79	
ABSENT	5266	1867	35.45	3399	64.55	-	
POSTAL	2943	724	24.60	2219	75.40	-	
PRE POLL	4349	1481	34.05	2868	65.95	-	
PROVISIONAL	310	123	39.68	187	60.32	-	
Division Total	77809	26731	34.35	51078	65.65	-2.34	
							
							
Blaxland							
							
Polling Place	Formal	HATTON		OSMOND		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Bankstown	2670	2168	81.20	502	18.80	-3.20	
Bankstown Central	2008	1526	76.00	482	24.00	-9.30	
Bankstown North	1226	867	70.72	359	29.28	-5.98	
Bankstown South	1619	1085	67.02	534	32.98	-10.11	
Bankstown West	1692	1182	69.86	510	30.14	-2.61	
Bass Hill	2212	1358	61.39	854	38.61	-8.28	
Bass Hill Central	1483	834	56.24	649	43.76	-9.11	
Bass Hill West	2632	1388	52.74	1244	47.26	-6.63	
Birrong	2785	1702	61.11	1083	38.89	-8.58	
Chester Hill	2740	1771	64.64	969	35.36	-6.67	
Chester Hill North	2208	1324	59.96	884	40.04	-7.33	
Chullora	2163	1337	61.81	826	38.19	-6.11	
Condell Park	3748	2363	63.05	1385	36.95	-4.35	
Condell Park North	716	395	55.17	321	44.83	-12.24	
Condell Park South	1840	1376	74.78	464	25.22	-3.80	
Enfield West	1911	1130	59.13	781	40.87	1.13	
Georges Hall	3221	1668	51.79	1553	48.21	-4.44	
Gosling Park	1344	816	60.71	528	39.29	-5.56	
Greenacre	4227	2956	69.93	1271	30.07	-4.22	
Greenacre West	926	583	62.96	343	37.04	-11.25	
Mount Lewis	1476	933	63.21	543	36.79	-7.66	
Punchbowl (Blaxland)	2279	1633	71.65	646	28.35	-9.89	
Punchbowl Central	1695	1200	70.80	495	29.20	-8.17	
Sefton	2458	1511	61.47	947	38.53	-7.51	
Special Hospital Team 1	58	35	60.34	23	39.66	10.34	
Special Hospital Team 2	80	38	47.50	42	52.50	-	
St Pauls	1604	1199	74.75	405	25.25	-4.05	
Sydney (Blaxland)	91	70	76.92	21	23.08	-5.43	
Villawood Central	426	366	85.92	60	14.08	-5.90	
Villawood East	1128	876	77.66	252	22.34	-6.87	
Wiley Park West (Blaxland)	1979	1556	78.63	423	21.37	-4.19	
Yagoona	2563	1799	70.19	764	29.81	-4.83	
Yagoona West	1350	918	68.00	432	32.00	-4.31	
ABSENT	4192	2555	60.95	1637	39.05	-	
POSTAL	2430	1322	54.40	1108	45.60	-	
PRE POLL	2303	1395	60.57	908	39.43	-	
PROVISIONAL	637	490	76.92	147	23.08	-	
Division Total	70120	45725	65.21	24395	34.79	-6.50	
							
							
Bradfield							
							
Polling Place	Formal	BLUNT		NELSON		Swing	
	Votes	(ALP)	%	(LP)	%	%	
