House of Representatives - 2001 Election: New South Wales																																										
First Preference Votes and TCP																																										
By Candidate by Polling Place																																										

Parramatta (87286)																																										
	BORGER			TONGSUMRITH			# CAMERON			JONSSON			CLARK			WATSON			GEORGE			SATCHWELL			FORMAL			INFORMAL			TOTAL											
	David			Somchai			Ross			Dee			Anthony			Will			Felicity			John M												Two Candidate Preferred								
	ALP			UNI			LP			CTA			DEM			NCP			GRN			HAN												 BORGER ALP			# CAMERON LP					
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
Winston Heights	475	30.14		8	0.51		910	57.74		27	1.71		66	4.19		2	0.13		52	3.30		36	2.28		1576	95.28		78	4.72		1654	2.02		581	36.87		995	63.13
Winston Hills	942	28.47		17	0.51		1985	59.99		47	1.42		125	3.78		8	0.24		99	2.99		86	2.60		3309	94.25		202	5.75		3511	4.28		1157	34.97		2152	65.03			
Winston Hills South	132	35.58		0	0.00		192	51.75		5	1.35		12	3.23		1	0.27		20	5.39		9	2.43		371	98.41		6	1.59		377	0.46		163	43.94		208	56.06			
Woodberry Village	85	23.68		2	0.56		237	66.02		4	1.11		7	1.95		0	0.00		11	3.06		13	3.62		359	92.76		28	7.24		387	0.47		104	28.97		255	71.03			
Yates Avenue	800	41.09		14	0.72		876	44.99		12	0.62		71	3.65		2	0.10		59	3.03		113	5.80		1947	93.70		131	6.30		2078	2.53		931	47.82		1016	52.18			
Special Hospitals	113	38.18		0	0.00		175	59.12		4	1.35		1	0.34		0	0.00		0	0.00		3	1.01		296	93.38		21	6.62		317	0.39		115	38.85		181	61.15			
Prison Mobiles	0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			
Total Ordinary	26417	41.76		941	1.49		29131	46.05		931	1.47		2067	3.27		110	0.17		1912	3.02		1752	2.77		63261	93.49		4408	6.51		67669	82.46		31006	49.01		32255	50.99			
ABSENT	2220	36.25		92	1.50		2706	44.19		144	2.35		340	5.55		25	0.41		316	5.16		281	4.59		6124	94.13		382	5.87		6506	7.93		2878	47.00		3246	53.00			
POSTAL	1634	41.46		43	1.09		1955	49.61		45	1.14		84	2.13		7	0.18		46	1.17		127	3.22		3941	97.43		104	2.57		4045	4.93		1831	46.46		2110	53.54			
PRE_POLL	1323	42.53		45	1.45		1380	44.36		46	1.48		119	3.83		6	0.19		86	2.76		106	3.41		3111	95.66		141	4.34		3252	3.96		1562	50.21		1549	49.79			
PROVISIONAL	273	52.20		10	1.91		184	35.18		11	2.10		12	2.29		0	0.00		20	3.82		13	2.49		523	89.25		63	10.75		586	0.71		316	60.42		207	39.58			
Division Summary	31867	41.41		1131	1.47		35356	45.94		1177	1.53		2622	3.41		148	0.19		2380	3.09		2279	2.96		76960	93.79		5098	6.21		82058	94.01		37593	48.85		39367	51.15			
																																									
																																									
																																									
																																									
																																						
