Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Lyne (86901)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Emerald Downs		58	4.02		39	2.70		0	0.00		1	0.07		11	0.76		2	0.14		74	5.12		8	0.55		3	0.21		298	20.64		11	0.76		1	0.07		16	1.11		0	0.00		3	0.21		3	0.21		872	60.39		10	0.69		1	0.07		27	1.87		0	0.00		1	0.07		5	0.35		0	0.00		1444	98.50		22	1.50		1466	1.76
Frederickton		94	16.43		6	1.05		1	0.17		0	0.00		10	1.75		0	0.00		20	3.50		7	1.22		1	0.17		201	35.14		7	1.22		0	0.00		10	1.75		0	0.00		2	0.35		1	0.17		195	34.09		5	0.87		0	0.00		7	1.22		0	0.00		1	0.17		4	0.70		0	0.00		572	97.44		15	2.56		587	0.70
Ghinni Ghinni		15	14.42		4	3.85		0	0.00		1	0.96		1	0.96		1	0.96		3	2.88		0	0.00		0	0.00		20	19.23		4	3.85		0	0.00		2	1.92		0	0.00		0	0.00		0	0.00		50	48.08		2	1.92		0	0.00		1	0.96		0	0.00		0	0.00		0	0.00		0	0.00		104	98.11		2	1.89		106	0.13
Gladstone (Lyne)		33	15.87		2	0.96		0	0.00		0	0.00		3	1.44		0	0.00		4	1.92		1	0.48		1	0.48		31	14.90		3	1.44		0	0.00		1	0.48		0	0.00		1	0.48		1	0.48		124	59.62		2	0.96		0	0.00		0	0.00		0	0.00		0	0.00		1	0.48		0	0.00		208	95.41		10	4.59		218	0.26
Hallidays Point		80	10.99		9	1.24		0	0.00		0	0.00		4	0.55		0	0.00		54	7.42		6	0.82		1	0.14		187	25.69		2	0.27		0	0.00		2	0.27		0	0.00		0	0.00		0	0.00		353	48.49		2	0.27		0	0.00		25	3.43		0	0.00		1	0.14		2	0.27		0	0.00		728	97.98		15	2.02		743	0.89
Hannam Vale		11	5.85		9	4.79		0	0.00		1	0.53		5	2.66		1	0.53		16	8.51		5	2.66		0	0.00		39	20.74		2	1.06		1	0.53		2	1.06		0	0.00		0	0.00		0	0.00		75	39.89		0	0.00		0	0.00		16	8.51		0	0.00		1	0.53		2	1.06		2	1.06		188	95.43		9	4.57		197	0.24
Harrington		162	16.35		6	0.61		0	0.00		1	0.10		17	1.72		1	0.10		21	2.12		4	0.40		3	0.30		327	33.00		2	0.20		0	0.00		10	1.01		0	0.00		1	0.10		0	0.00		414	41.78		3	0.30		0	0.00		14	1.41		0	0.00		0	0.00		5	0.50		0	0.00		991	96.59		35	3.41		1026	1.23
Herons Creek		17	9.88		2	1.16		0	0.00		0	0.00		1	0.58		0	0.00		12	6.98		0	0.00		1	0.58		49	28.49		1	0.58		0	0.00		0	0.00		0	0.00		0	0.00		1	0.58		83	48.26		0	0.00		0	0.00		5	2.91		0	0.00		0	0.00		0	0.00		0	0.00		172	97.18		5	2.82		177	0.21
Hibbard		95	8.90		16	1.50		0	0.00		0	0.00		11	1.03		1	0.09		38	3.56		7	0.66		0	0.00		304	28.46		4	0.37		1	0.09		8	0.75		0	0.00		2	0.19		0	0.00		555	51.97		7	0.66		1	0.09		15	1.40		0	0.00		0	0.00		3	0.28		0	0.00		1068	96.39		40	3.61		1108	1.33
Hollisdale		28	21.71		2	1.55		0	0.00		0	0.00		2	1.55		0	0.00		3	2.33		2	1.55		0	0.00		24	18.60		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		59	45.74		1	0.78		0	0.00		8	6.20		0	0.00		0	0.00		0	0.00		0	0.00		129	97.73		3	2.27		132	0.16
Huntingdon		11	5.53		0	0.00		0	0.00		0	0.00		6	3.02		0	0.00		9	4.52		1	0.50		0	0.00		42	21.11		0	0.00		0	0.00		4	2.01		0	0.00		0	0.00		0	0.00		115	57.79		0	0.00		1	0.50		8	4.02		0	0.00		0	0.00		2	1.01		0	0.00		199	99.00		2	1.00		201	0.24
Johns River		24	11.16		18	8.37		0	0.00		1	0.47		4	1.86		0	0.00		6	2.79		2	0.93		0	0.00		47	21.86		5	2.33		0	0.00		3	1.40		1	0.47		0	0.00		3	1.40		90	41.86		4	1.86		0	0.00		6	2.79		0	0.00		0	0.00		1	0.47		0	0.00		215	96.41		8	3.59		223	0.27
Kempsey		149	16.28		10	1.09		0	0.00		0	0.00		9	0.98		0	0.00		40	4.37		9	0.98		3	0.33		277	30.27		6	0.66		0	0.00		4	0.44		1	0.11		0	0.00		0	0.00		376	41.09		8	0.87		2	0.22		16	1.75		0	0.00		1	0.11		4	0.44		0	0.00		915	96.11		37	3.89		952	1.14
Kempsey East		103	10.47		22	2.24		1	0.10		1	0.10		13	1.32		3	0.30		27	2.74		8	0.81		0	0.00		258	26.22		7	0.71		2	0.20		15	1.52		0	0.00		1	0.10		0	0.00		477	48.48		10	1.02		0	0.00		27	2.74		0	0.00		1	0.10		8	0.81		0	0.00		984	98.01		20	1.99		1004	1.20
Kempsey High		188	13.33		15	1.06		0	0.00		1	0.07		25	1.77		1	0.07		39	2.77		16	1.13		3	0.21		441	31.28		11	0.78		1	0.07		12	0.85		0	0.00		3	0.21		3	0.21		588	41.70		12	0.85		0	0.00		35	2.48		0	0.00		0	0.00		14	0.99		2	0.14		1410	96.71		48	3.29		1458	1.75
Kempsey Hospital		27	11.16		4	1.65		0	0.00		0	0.00		5	2.07		0	0.00		7	2.89		4	1.65		0	0.00		85	35.12		1	0.41		0	0.00		3	1.24		0	0.00		0	0.00		0	0.00		103	42.56		0	0.00		1	0.41		2	0.83		0	0.00		0	0.00		0	0.00		0	0.00		242	97.19		7	2.81		249	0.30
Kempsey South		168	16.82		17	1.70		3	0.30		0	0.00		20	2.00		1	0.10		37	3.70		7	0.70		1	0.10		349	34.93		4	0.40		1	0.10		6	0.60		1	0.10		3	0.30		2	0.20		337	33.73		13	1.30		3	0.30		23	2.30		0	0.00		1	0.10		2	0.20		0	0.00		999	96.15		40	3.85		1039	1.25
Kempsey West		103	11.74		24	2.74		0	0.00		2	0.23		23	2.62		1	0.11		41	4.68		10	1.14		2	0.23		264	30.10		2	0.23		0	0.00		4	0.46		0	0.00		1	0.11		2	0.23		369	42.08		3	0.34		1	0.11		22	2.51		0	0.00		0	0.00		3	0.34		0	0.00		877	96.37		33	3.63		910	1.09
Kendall		72	9.66		10	1.34		0	0.00		2	0.27		9	1.21		0	0.00		47	6.31		3	0.40		2	0.27		211	28.32		2	0.27		0	0.00		10	1.34		0	0.00		3	0.40		1	0.13		324	43.49		3	0.40		2	0.27		38	5.10		0	0.00		1	0.13		5	0.67		0	0.00		745	98.03		15	1.97		760	0.91
Kew		36	9.70		4	1.08		2	0.54		1	0.27		6	1.62		1	0.27		12	3.23		4	1.08		1	0.27		101	27.22		4	1.08		0	0.00		1	0.27		0	0.00		2	0.54		1	0.27		173	46.63		1	0.27		1	0.27		11	2.96		0	0.00		4	1.08		5	1.35		0	0.00		371	97.89		8	2.11		379	0.45
Killabakh		9	7.26		2	1.61		0	0.00		0	0.00		0	0.00		0	0.00		7	5.65		2	1.61		0	0.00		31	25.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		63	50.81		0	0.00		0	0.00		9	7.26		0	0.00		0	0.00		1	0.81		0	0.00		124	96.88		4	3.13		128	0.15
Kings Creek		36	12.08		16	5.37		0	0.00		0	0.00		4	1.34		0	0.00		10	3.36		3	1.01		1	0.34		52	17.45		0	0.00		0	0.00		3	1.01		0	0.00		0	0.00		0	0.00		162	54.36		1	0.34		0	0.00		8	2.68		0	0.00		0	0.00		2	0.67		0	0.00		298	98.35		5	1.65		303	0.36
Krambach		64	17.68		10	2.76		1	0.28		2	0.55		3	0.83		1	0.28		16	4.42		3	0.83		0	0.00		75	20.72		2	0.55		0	0.00		2	0.55		0	0.00		0	0.00		0	0.00		169	46.69		1	0.28		0	0.00		13	3.59		0	0.00		0	0.00		0	0.00		0	0.00		362	97.31		10	2.69		372	0.45
Kundabung		41	20.92		6	3.06		0	0.00		1	0.51		3	1.53		0	0.00		6	3.06		2	1.02		0	0.00		43	21.94		5	2.55		0	0.00		2	1.02		0	0.00		0	0.00		0	0.00		78	39.80		1	0.51		1	0.51		6	3.06		0	0.00		0	0.00		1	0.51		0	0.00		196	98.99		2	1.01		198	0.24
Lake Cathie		89	7.02		16	1.26		1	0.08		0	0.00		20	1.58		0	0.00		61	4.81		17	1.34		2	0.16		420	33.12		8	0.63		0	0.00		19	1.50		2	0.16		1	0.08		0	0.00		528	41.64		6	0.47		0	0.00		69	5.44		0	0.00		1	0.08		6	0.47		2	0.16		1268	97.54		32	2.46		1300	1.56
Lansdowne		86	15.72		12	2.19		1	0.18		0	0.00		14	2.56		0	0.00		22	4.02		8	1.46		0	0.00		156	28.52		4	0.73		0	0.00		4	0.73		0	0.00		0	0.00		1	0.18		221	40.40		0	0.00		3	0.55		10	1.83		0	0.00		1	0.18		3	0.55		1	0.18		547	98.56		8	1.44		555	0.67
Laurieton		155	8.79		20	1.13		1	0.06		0	0.00		34	1.93		1	0.06		72	4.08		15	0.85		0	0.00		579	32.82		11	0.62		0	0.00		6	0.34		0	0.00		2	0.11		0	0.00		809	45.86		10	0.57		1	0.06		38	2.15		0	0.00		0	0.00		9	0.51		1	0.06		1764	95.87		76	4.13		1840	2.21
Long Flat		28	12.84		3	1.38		0	0.00		0	0.00		0	0.00		0	0.00		8	3.67		1	0.46		0	0.00		48	22.02		1	0.46		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		115	52.75		1	0.46		1	0.46		11	5.05		0	0.00		1	0.46		0	0.00		0	0.00		218	96.46		8	3.54		226	0.27
Lorne		10	8.55		5	4.27		0	0.00		1	0.85		1	0.85		0	0.00		6	5.13		0	0.00		0	0.00		19	16.24		0	0.00		0	0.00		0	0.00		0	0.00		1	0.85		0	0.00		70	59.83		0	0.00		0	0.00		4	3.42		0	0.00		0	0.00		0	0.00		0	0.00		117	98.32		2	1.68		119	0.14
Manning Point		23	12.50		0	0.00		0	0.00		0	0.00		2	1.09		0	0.00		6	3.26		0	0.00		1	0.54		72	39.13		0	0.00		1	0.54		1	0.54		0	0.00		3	1.63		0	0.00		75	40.76		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		184	95.34		9	4.66		193	0.23
Marlee		21	9.95		4	1.90		0	0.00		1	0.47		2	0.95		1	0.47		13	6.16		4	1.90		0	0.00		66	31.28		2	0.95		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		67	31.75		2	0.95		0	0.00		25	11.85		0	0.00		0	0.00		1	0.47		2	0.95		211	98.14		4	1.86		215	0.26
Mitchells Island		20	9.01		2	0.90		0	0.00		0	0.00		2	0.90		0	0.00		11	4.95		4	1.80		2	0.90		63	28.38		1	0.45		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		105	47.30		1	0.45		0	0.00		7	3.15		1	0.45		0	0.00		3	1.35		0	0.00		222	96.10		9	3.90		231	0.28
