Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Mitchell (86647)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Hopetoun		8	2.06		7	1.80		0	0.00		0	0.00		3	0.77		0	0.00		11	2.83		0	0.00		0	0.00		57	14.65		0	0.00		1	0.26		0	0.00		0	0.00		2	0.51		0	0.00		289	74.29		1	0.26		1	0.26		8	2.06		0	0.00		0	0.00		1	0.26		0	0.00		389	89.43		46	10.57		435	0.52
Jasper Road		162	3.38		119	2.48		41	0.86		3	0.06		51	1.06		1	0.02		353	7.36		33	0.69		6	0.13		1082	22.57		25	0.52		0	0.00		21	0.44		0	0.00		3	0.06		1	0.02		2700	56.33		16	0.33		1	0.02		142	2.96		3	0.06		1	0.02		25	0.52		4	0.08		4793	97.42		127	2.58		4920	5.91
Kellyville		131	2.71		113	2.33		22	0.45		1	0.02		29	0.60		3	0.06		286	5.91		31	0.64		3	0.06		900	18.60		30	0.62		4	0.08		18	0.37		0	0.00		5	0.10		2	0.04		3081	63.66		20	0.41		10	0.21		128	2.64		1	0.02		0	0.00		22	0.45		0	0.00		4840	96.72		164	3.28		5004	6.01
Kenthurst		91	3.69		75	3.04		9	0.36		0	0.00		4	0.16		2	0.08		152	6.16		14	0.57		2	0.08		303	12.27		9	0.36		1	0.04		11	0.45		0	0.00		2	0.08		2	0.08		1667	67.52		8	0.32		4	0.16		96	3.89		0	0.00		1	0.04		14	0.57		2	0.08		2469	97.20		71	2.80		2540	3.05
Kilvinton		11	4.76		5	2.16		0	0.00		0	0.00		3	1.30		0	0.00		8	3.46		0	0.00		0	0.00		42	18.18		1	0.43		0	0.00		0	0.00		0	0.00		1	0.43		0	0.00		151	65.37		0	0.00		1	0.43		4	1.73		0	0.00		2	0.87		2	0.87		0	0.00		231	90.59		24	9.41		255	0.31
Maraylya (Mitchell)		23	6.53		4	1.14		0	0.00		0	0.00		0	0.00		0	0.00		7	1.99		4	1.14		0	0.00		36	10.23		2	0.57		0	0.00		2	0.57		0	0.00		0	0.00		0	0.00		252	71.59		4	1.14		0	0.00		15	4.26		2	0.57		0	0.00		1	0.28		0	0.00		352	95.91		15	4.09		367	0.44
Matthew Pearce		44	2.83		33	2.12		25	1.61		0	0.00		17	1.09		0	0.00		92	5.91		14	0.90		2	0.13		407	26.14		8	0.51		1	0.06		4	0.26		1	0.06		2	0.13		0	0.00		860	55.23		8	0.51		3	0.19		28	1.80		1	0.06		0	0.00		6	0.39		1	0.06		1557	97.99		32	2.01		1589	1.91
Model Farms		100	4.55		34	1.55		10	0.45		0	0.00		19	0.86		2	0.09		145	6.60		22	1.00		2	0.09		523	23.79		8	0.36		0	0.00		13	0.59		0	0.00		4	0.18		0	0.00		1233	56.10		8	0.36		3	0.14		56	2.55		0	0.00		0	0.00		16	0.73		0	0.00		2198	95.82		96	4.18		2294	2.75
Mowll		7	1.64		22	5.16		0	0.00		0	0.00		3	0.70		0	0.00		10	2.35		0	0.00		2	0.47		56	13.15		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.23		320	75.12		0	0.00		0	0.00		5	1.17		0	0.00		0	0.00		0	0.00		0	0.00		426	92.81		33	7.19		459	0.55
Muirfield		34	2.54		34	2.54		11	0.82		0	0.00		9	0.67		2	0.15		131	9.77		8	0.60		1	0.07		295	22.00		5	0.37		0	0.00		7	0.52		0	0.00		3	0.22		1	0.07		732	54.59		4	0.30		2	0.15		52	3.88		1	0.07		1	0.07		8	0.60		0	0.00		1341	97.53		34	2.47		1375	1.65
Murray Farm		70	2.08		100	2.97		73	2.16		1	0.03		13	0.39		8	0.24		253	7.50		17	0.50		7	0.21		809	23.99		16	0.47		0	0.00		15	0.44		0	0.00		1	0.03		4	0.12		1844	54.69		8	0.24		2	0.06		111	3.29		0	0.00		1	0.03		18	0.53		1	0.03		3372	97.34		92	2.66		3464	4.16
Northmead High		64	4.24		42	2.79		6	0.40		0	0.00		12	0.80		0	0.00		109	7.23		5	0.33		2	0.13		385	25.53		7	0.46		0	0.00		6	0.40		0	0.00		0	0.00		0	0.00		810	53.71		4	0.27		5	0.33		42	2.79		0	0.00		0	0.00		8	0.53		1	0.07		1508	96.36		57	3.64		1565	1.88
North Rocks (Mitchell)		78	3.55		61	2.78		37	1.68		0	0.00		17	0.77		1	0.05		176	8.01		13	0.59		4	0.18		537	24.45		11	0.50		1	0.05		9	0.41		0	0.00		1	0.05		2	0.09		1170	53.28		9	0.41		2	0.09		51	2.32		0	0.00		1	0.05		14	0.64		1	0.05		2196	97.64		53	2.36		2249	2.70
Oakhill Drive (Mitchell)		24	1.34		53	2.97		22	1.23		0	0.00		15	0.84		0	0.00		93	5.21		7	0.39		2	0.11		462	25.88		8	0.45		0	0.00		3	0.17		0	0.00		0	0.00		4	0.22		1037	58.10		3	0.17		4	0.22		38	2.13		0	0.00		0	0.00		10	0.56		0	0.00		1785	97.49		46	2.51		1831	2.20
Rondelay		77	3.69		53	2.54		9	0.43		0	0.00		14	0.67		1	0.05		124	5.94		14	0.67		3	0.14		385	18.45		9	0.43		1	0.05		14	0.67		0	0.00		1	0.05		4	0.19		1291	61.86		7	0.34		2	0.10		60	2.87		0	0.00		1	0.05		16	0.77		1	0.05		2087	97.75		48	2.25		2135	2.56
Rouse Hill		120	5.36		41	1.83		0	0.00		1	0.04		20	0.89		0	0.00		83	3.71		13	0.58		2	0.09		392	17.51		7	0.31		2	0.09		10	0.45		0	0.00		2	0.09		2	0.09		1482	66.19		9	0.40		5	0.22		30	1.34		0	0.00		0	0.00		17	0.76		1	0.04		2239	96.72		76	3.28		2315	2.78
Samuel Gilbert		104	2.65		97	2.47		17	0.43		0	0.00		17	0.43		3	0.08		286	7.28		26	0.66		3	0.08		675	17.18		17	0.43		0	0.00		12	0.31		0	0.00		2	0.05		4	0.10		2566	65.29		11	0.28		4	0.10		68	1.73		0	0.00		0	0.00		14	0.36		4	0.10		3930	97.66		94	2.34		4024	4.83
Sydney (Mitchell)		1	0.95		2	1.90		1	0.95		0	0.00		1	0.95		0	0.00		6	5.71		2	1.90		0	0.00		30	28.57		1	0.95		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		54	51.43		1	0.95		0	0.00		6	5.71		0	0.00		0	0.00		0	0.00		0	0.00		105	97.22		3	2.78		108	0.13
The Hills Private Hospital		7	4.02		2	1.15		1	0.57		0	0.00		4	2.30		0	0.00		11	6.32		0	0.00		1	0.57		33	18.97		0	0.00		0	0.00		1	0.57		0	0.00		0	0.00		0	0.00		108	62.07		1	0.57		1	0.57		4	2.30		0	0.00		0	0.00		0	0.00		0	0.00		174	98.31		3	1.69		177	0.21
Thompsons Corner (Mitchell)		31	2.77		22	1.96		11	0.98		0	0.00		14	1.25		0	0.00		78	6.96		9	0.80		0	0.00		247	22.05		3	0.27		1	0.09		3	0.27		2	0.18		0	0.00		0	0.00		658	58.75		6	0.54		0	0.00		30	2.68		0	0.00		0	0.00		5	0.45		0	0.00		1120	97.48		29	2.52		1149	1.38
West Pennant Hills		4	0.68		21	3.57		9	1.53		0	0.00		8	1.36		0	0.00		41	6.96		2	0.34		0	0.00		107	18.17		2	0.34		0	0.00		1	0.17		0	0.00		1	0.17		1	0.17		369	62.65		6	1.02		1	0.17		14	2.38		1	0.17		0	0.00		1	0.17		0	0.00		589	97.84		13	2.16		602	0.72
Wirreanda		9	1.51		13	2.17		11	1.84		0	0.00		7	1.17		0	0.00		28	4.68		2	0.33		0	0.00		98	16.39		2	0.33		0	0.00		1	0.17		0	0.00		0	0.00		0	0.00		412	68.90		3	0.50		1	0.17		10	1.67		0	0.00		0	0.00		1	0.17		0	0.00		598	97.55		15	2.45		613	0.74
Special Hospitals		2	4.08		0	0.00		0	0.00		0	0.00		1	2.04		0	0.00		0	0.00		0	0.00		0	0.00		6	12.24		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		39	79.59		0	0.00		0	0.00		1	2.04		0	0.00		0	0.00		0	0.00		0	0.00		49	100.00		0	0.00		49	0.06
Total Ordinary		2075	3.06		1781	2.62		523	0.77		13	0.02		524	0.77		48	0.07		4500	6.63		424	0.62		77	0.11		13581	20.01		308	0.45		19	0.03		294	0.43		7	0.01		52	0.08		54	0.08		41036	60.46		271	0.40		88	0.13		1829	2.69		12	0.02		16	0.02		316	0.47		23	0.03		67871	97.13		2005	2.87		69876	83.90
ABSENT		230	3.78		130	2.13		44	0.72		2	0.03		105	1.72		2	0.03		448	7.36		82	1.35		6	0.10		1191	19.56		53	0.87		2	0.03		56	0.92		1	0.02		8	0.13		12	0.20		3330	54.68		36	0.59		12	0.20		274	4.50		3	0.05		5	0.08		57	0.94		1	0.02		6090	98.40		99	1.60		6189	7.43
POSTAL		106	3.91		60	2.21		22	0.81		0	0.00		14	0.52		3	0.11		146	5.38		6	0.22		3	0.11		401	14.78		6	0.22		0	0.00		6	0.22		1	0.04		1	0.04		1	0.04		1852	68.26		13	0.48		3	0.11		50	1.84		0	0.00		0	0.00		19	0.70		0	0.00		2713	99.01		27	0.99		2740	3.29
PRE_POLL		124	3.22		87	2.26		51	1.32		2	0.05		63	1.63		1	0.03		242	6.28		24	0.62		29	0.75		718	18.63		8	0.21		0	0.00		17	0.44		0	0.00		1	0.03		5	0.13		2317	60.12		19	0.49		14	0.36		103	2.67		0	0.00		2	0.05		26	0.67		1	0.03		3854	98.69		51	1.31		3905	4.69
PROVISIONAL		10	1.82		6	1.09		6	1.09		0	0.00		15	2.73		0	0.00		36	6.56		6	1.09		0	0.00		129	23.50		2	0.36		0	0.00		4	0.73		0	0.00		0	0.00		0	0.00		306	55.74		4	0.73		0	0.00		19	3.46		0	0.00		0	0.00		5	0.91		1	0.18		549	95.98		23	4.02		572	0.69
Division Summary		2545	3.14		2064	2.55		646	0.8		17	0.02		721	0.89		54	0.07		5372	6.63		542	0.67		115	0.14		16020	19.76		377	0.46		21	0.03		377	0.46		9	0.01		62	0.08		72	0.09		48841	60.24		343	0.42		117	0.14		2275	2.81		15	0.02		23	0.03		423	0.52		26	0.03		81077	97.35		2205	2.65		83282	96.12
