Senate - 1996 Election: South Australia																																																	
First Preference Votes by Group																																																	
By Polling Place																																																	


Adelaide (81751)																																																	
	   		Group Total ASP			Group Total GRY			Group Total GRN			Group Total ALP			Group Total CTA			Group Total - Unendorsed Group F			Group Total AFI			Group Total EFF			Group Total AWP			Group Total - Unendorsed Group J			Group Total LP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Goodwood		                                   	11	0.64	 	6	0.35	 	61	3.53	 	676	39.17	 	2	0.12	 	2	0.12	 	11	0.64	 	1	0.06	 	34	1.97	 	7	0.41	 	554	32.1	 	360	20.86	 	1	0.06	 	1726	96.86	 	56	3.14	 	1782	2.28
Goodwood Park		                              	3	0.38	 	3	0.38	 	15	1.9	 	292	37.06	 	4	0.51	 	1	0.13	 	1	0.13	 	0	0	 	6	0.76	 	4	0.51	 	331	42.01	 	127	16.12	 	1	0.13	 	788	95.75	 	35	4.25	 	823	1.05
Hackney		                                    	1	0.09	 	5	0.43	 	34	2.94	 	293	25.35	 	7	0.61	 	1	0.09	 	6	0.52	 	2	0.17	 	7	0.61	 	4	0.35	 	608	52.6	 	187	16.18	 	1	0.09	 	1156	98.13	 	22	1.87	 	1178	1.51
Hindmarsh		                                  	7	1.38	 	4	0.79	 	19	3.73	 	236	46.37	 	0	0	 	0	0	 	1	0.2	 	0	0	 	5	0.98	 	2	0.39	 	152	29.86	 	83	16.31	 	0	0	 	509	95.68	 	23	4.32	 	532	0.68
Hyde Park		                                  	5	0.27	 	3	0.16	 	31	1.69	 	315	17.14	 	2	0.11	 	0	0	 	9	0.49	 	2	0.11	 	12	0.65	 	3	0.16	 	1196	65.07	 	259	14.09	 	1	0.05	 	1838	97.82	 	41	2.18	 	1879	2.41
Joslin		                                     	12	0.66	 	12	0.66	 	37	2.04	 	481	26.53	 	6	0.33	 	4	0.22	 	12	0.66	 	7	0.39	 	11	0.61	 	6	0.33	 	935	51.57	 	287	15.83	 	3	0.17	 	1813	97.11	 	54	2.89	 	1867	2.39
Keswick		                                    	7	0.99	 	4	0.56	 	28	3.95	 	255	36.02	 	3	0.42	 	6	0.85	 	9	1.27	 	3	0.42	 	4	0.56	 	9	1.27	 	288	40.68	 	90	12.71	 	2	0.28	 	708	95.55	 	33	4.45	 	741	0.95
Kilburn		                                    	39	2.16	 	18	1	 	25	1.38	 	1000	55.37	 	10	0.55	 	6	0.33	 	12	0.66	 	8	0.44	 	14	0.78	 	13	0.72	 	475	26.3	 	185	10.24	 	1	0.06	 	1806	94.95	 	96	5.05	 	1902	2.44
Lower North Adelaide		                       	5	0.51	 	4	0.41	 	27	2.77	 	219	22.46	 	1	0.1	 	0	0	 	6	0.62	 	3	0.31	 	5	0.51	 	1	0.1	 	529	54.26	 	174	17.85	 	1	0.1	 	975	98.19	 	18	1.81	 	993	1.27
Malvern		                                    	7	0.47	 	11	0.74	 	14	0.94	 	246	16.57	 	9	0.61	 	0	0	 	8	0.54	 	2	0.13	 	5	0.34	 	3	0.2	 	947	63.77	 	233	15.69	 	0	0	 	1485	97.83	 	33	2.17	 	1518	1.95
