Senate - 1996 Election: South Australia																																																	
First Preference Votes by Group																																																	
By Polling Place																																																	


Adelaide (81751)																																																	
	   		Group Total ASP			Group Total GRY			Group Total GRN			Group Total ALP			Group Total CTA			Group Total - Unendorsed Group F			Group Total AFI			Group Total EFF			Group Total AWP			Group Total - Unendorsed Group J			Group Total LP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Inman Valley		                               	1	0.63	 	0	0	 	1	0.63	 	18	11.25	 	7	4.38	 	0	0	 	3	1.88	 	0	0	 	1	0.63	 	0	0	 	100	62.5	 	29	18.13	 	0	0	 	160	98.77	 	2	1.23	 	162	0.2
Jervois		                                    	4	2.35	 	0	0	 	3	1.76	 	5	2.94	 	0	0	 	0	0	 	1	0.59	 	1	0.59	 	0	0	 	0	0	 	138	81.18	 	18	10.59	 	0	0	 	170	97.14	 	5	2.86	 	175	0.21
Kalangadoo		                                 	15	4.25	 	3	0.85	 	5	1.42	 	67	18.98	 	10	2.83	 	0	0	 	1	0.28	 	0	0	 	3	0.85	 	1	0.28	 	227	64.31	 	20	5.67	 	1	0.28	 	353	95.92	 	15	4.08	 	368	0.45
Karoonda		                                   	6	1.21	 	3	0.6	 	2	0.4	 	33	6.64	 	0	0	 	0	0	 	4	0.8	 	0	0	 	2	0.4	 	5	1.01	 	410	82.49	 	32	6.44	 	0	0	 	497	97.07	 	15	2.93	 	512	0.63
Keith		                                      	23	2.24	 	3	0.29	 	9	0.87	 	110	10.69	 	8	0.78	 	1	0.1	 	5	0.49	 	2	0.19	 	6	0.58	 	3	0.29	 	804	78.13	 	55	5.34	 	0	0	 	1029	97.35	 	28	2.65	 	1057	1.29
Keyneton		                                   	3	1.97	 	0	0	 	5	3.29	 	19	12.5	 	0	0	 	0	0	 	2	1.32	 	0	0	 	0	0	 	1	0.66	 	104	68.42	 	18	11.84	 	0	0	 	152	97.44	 	4	2.56	 	156	0.19
Kingscote		                                  	19	1.33	 	11	0.77	 	24	1.68	 	194	13.6	 	14	0.98	 	0	0	 	18	1.26	 	6	0.42	 	9	0.63	 	6	0.42	 	895	62.76	 	230	16.13	 	0	0	 	1426	96.03	 	59	3.97	 	1485	1.82
Kingston		                                   	50	3.75	 	5	0.37	 	12	0.9	 	194	14.54	 	12	0.9	 	2	0.15	 	17	1.27	 	2	0.15	 	6	0.45	 	5	0.37	 	935	70.09	 	94	7.05	 	0	0	 	1334	96.74	 	45	3.26	 	1379	1.69
Kongorong		                                  	6	2.31	 	1	0.38	 	3	1.15	 	41	15.77	 	1	0.38	 	1	0.38	 	0	0	 	1	0.38	 	0	0	 	0	0	 	182	70	 	24	9.23	 	0	0	 	260	97.74	 	6	2.26	 	266	0.33
Kybybolite		                                 	2	1.89	 	0	0	 	0	0	 	24	22.64	 	4	3.77	 	0	0	 	0	0	 	1	0.94	 	0	0	 	0	0	 	67	63.21	 	8	7.55	 	0	0	 	106	100	 	0	0	 	106	0.13
Lameroo		                                    	11	2.06	 	2	0.38	 	11	2.06	 	44	8.26	 	4	0.75	 	0	0	 	8	1.5	 	2	0.38	 	1	0.19	 	6	1.13	 	402	75.42	 	42	7.88	 	0	0	 	533	96.73	 	18	3.27	 	551	0.67
Lucindale		                                  	4	0.78	 	2	0.39	 	3	0.59	 	50	9.77	 	5	0.98	 	0	0	 	9	1.76	 	2	0.39	 	1	0.2	 	2	0.39	 	393	76.76	 	40	7.81	 	1	0.2	 	512	99.42	 	3	0.58	 	515	0.63
Mannum		                                     	15	0.9	 	17	1.01	 	20	1.19	 	449	26.81	 	9	0.54	 	4	0.24	 	13	0.78	 	5	0.3	 	6	0.36	 	8	0.48	 	890	53.13	 	237	14.15	 	2	0.12	 	1675	94.79	 	92	5.21	 	1767	2.16
Meningie		                                   	20	2.17	 	3	0.33	 	7	0.76	 	132	14.35	 	6	0.65	 	0	0	 	4	0.43	 	3	0.33	 	0	0	 	8	0.87	 	669	72.72	 	68	7.39	 	0	0	 	920	96.94	 	29	3.06	 	949	1.16
Middleton		                                  	0	0	 	3	0.63	 	13	2.74	 	111	23.42	 	2	0.42	 	0	0	 	6	1.27	 	2	0.42	 	2	0.42	 	2	0.42	 	245	51.69	 	88	18.57	 	0	0	 	474	95.18	 	24	4.82	 	498	0.61
Milang		                                     	6	1.24	 	1	0.21	 	9	1.86	 	67	13.87	 	3	0.62	 	1	0.21	 	7	1.45	 	0	0	 	3	0.62	 	3	0.62	 	307	63.56	 	75	15.53	 	1	0.21	 	483	97.38	 	13	2.62	 	496	0.61
Mil Lel		                                    	2	0.86	 	1	0.43	 	5	2.16	 	24	10.34	 	4	1.72	 	1	0.43	 	1	0.43	 	0	0	 	1	0.43	 	2	0.86	 	175	75.43	 	16	6.9	 	0	0	 	232	97.07	 	7	2.93	 	239	0.29
Millicent		                                  	97	4.1	 	8	0.34	 	34	1.44	 	720	30.44	 	6	0.25	 	2	0.08	 	29	1.23	 	5	0.21	 	15	0.63	 	8	0.34	 	1199	50.7	 	241	10.19	 	1	0.04	 	2365	96.22	 	93	3.78	 	2458	3
Millicent South		                            	37	4.47	 	4	0.48	 	16	1.93	 	304	36.76	 	1	0.12	 	1	0.12	 	11	1.33	 	0	0	 	8	0.97	 	4	0.48	 	356	43.05	 	83	10.04	 	2	0.24	 	827	96.5	 	30	3.5	 	857	1.05
Moorak		                                     	3	0.72	 	1	0.24	 	3	0.72	 	55	13.22	 	2	0.48	 	0	0	 	1	0.24	 	0	0	 	1	0.24	 	0	0	 	317	76.2	 	33	7.93	 	0	0	 	416	97.42	 	11	2.58	 	427	0.52
Mount Burr		                                 	17	5.35	 	0	0	 	10	3.14	 	125	39.31	 	2	0.63	 	1	0.31	 	8	2.52	 	0	0	 	1	0.31	 	0	0	 	132	41.51	 	22	6.92	 	0	0	 	318	96.66	 	11	3.34	 	329	0.4
Mount Compass		                              	8	1.04	 	2	0.26	 	17	2.2	 	119	15.41	 	8	1.04	 	0	0	 	7	0.91	 	0	0	 	10	1.3	 	6	0.78	 	466	60.36	 	128	16.58	 	1	0.13	 	772	97.47	 	20	2.53	 	792	0.97
Mount Gambier		                              	50	1.71	 	8	0.27	 	42	1.44	 	779	26.7	 	28	0.96	 	4	0.14	 	25	0.86	 	5	0.17	 	14	0.48	 	8	0.27	 	1627	55.76	 	325	11.14	 	3	0.1	 	2918	96.46	 	107	3.54	 	3025	3.7
Mount Gambier East		                         	48	1.53	 	11	0.35	 	62	1.97	 	1291	41.09	 	35	1.11	 	2	0.06	 	25	0.8	 	8	0.25	 	27	0.86	 	8	0.25	 	1175	37.4	 	449	14.29	 	1	0.03	 	3142	95.68	 	142	4.32	 	3284	4.01
Mount Gambier North		                        	55	2.51	 	5	0.23	 	45	2.05	 	820	37.41	 	18	0.82	 	3	0.14	 	23	1.05	 	5	0.23	 	22	1	 	10	0.46	 	944	43.07	 	242	11.04	 	0	0	 	2192	96.91	 	70	3.09	 	2262	2.77
Mount Gambier Park		                         	23	1.27	 	5	0.28	 	28	1.54	 	571	31.48	 	14	0.77	 	0	0	 	19	1.05	 	1	0.06	 	11	0.61	 	8	0.44	 	887	48.9	 	247	13.62	 	0	0	 	1814	97.16	 	53	2.84	 	1867	2.28
Mount Gambier West		                         	47	1.51	 	10	0.32	 	54	1.73	 	1026	32.96	 	21	0.67	 	3	0.1	 	43	1.38	 	6	0.19	 	20	0.64	 	7	0.22	 	1509	48.47	 	367	11.79	 	0	0	 	3113	96.53	 	112	3.47	 	3225	3.94
Mundulla		                                   	9	1.6	 	1	0.18	 	3	0.53	 	50	8.88	 	14	2.49	 	0	0	 	5	0.89	 	1	0.18	 	2	0.36	 	2	0.36	 	445	79.04	 	30	5.33	 	1	0.18	 	563	97.4	 	15	2.6	 	578	0.71
Murray Bridge		                              	41	1.99	 	15	0.73	 	51	2.47	 	516	25.01	 	12	0.58	 	5	0.24	 	23	1.11	 	3	0.15	 	12	0.58	 	13	0.63	 	1041	50.46	 	329	15.95	 	2	0.1	 	2063	95.91	 	88	4.09	 	2151	2.63
Murray Bridge East		                         	15	1.22	 	2	0.16	 	18	1.46	 	242	19.61	 	8	0.65	 	1	0.08	 	7	0.57	 	3	0.24	 	4	0.32	 	4	0.32	 	785	63.61	 	144	11.67	 	1	0.08	 	1234	97.63	 	30	2.37	 	1264	1.55
Murray Bridge South		                        	37	1.21	 	13	0.42	 	63	2.06	 	842	27.47	 	21	0.69	 	5	0.16	 	27	0.88	 	12	0.39	 	27	0.88	 	18	0.59	 	1553	50.67	 	447	14.58	 	0	0	 	3065	96.05	 	126	3.95	 	3191	3.9
Murray Bridge West		                         	21	1.05	 	16	0.8	 	19	0.95	 	437	21.82	 	9	0.45	 	4	0.2	 	25	1.25	 	4	0.2	 	13	0.65	 	22	1.1	 	1175	58.66	 	257	12.83	 	1	0.05	 	2003	95.61	 	92	4.39	 	2095	2.56
Mypolonga		                                  	8	2.63	 	2	0.66	 	8	2.63	 	49	16.12	 	1	0.33	 	0	0	 	2	0.66	 	0	0	 	0	0	 	1	0.33	 	192	63.16	 	41	13.49	 	0	0	 	304	95.6	 	14	4.4	 	318	0.39
Myponga		                                    	3	0.75	 	1	0.25	 	9	2.25	 	63	15.75	 	0	0	 	0	0	 	4	1	 	0	0	 	2	0.5	 	2	0.5	 	255	63.75	 	61	15.25	 	0	0	 	400	96.15	 	16	3.85	 	416	0.51
Nangula		                                    	2	1.32	 	0	0	 	1	0.66	 	26	17.22	 	0	0	 	0	0	 	3	1.99	 	0	0	 	0	0	 	0	0	 	106	70.2	 	12	7.95	 	1	0.66	 	151	97.42	 	4	2.58	 	155	0.19
Nangwarry		                                  	24	6.54	 	0	0	 	4	1.09	 	196	53.41	 	2	0.54	 	0	0	 	2	0.54	 	0	0	 	4	1.09	 	1	0.27	 	97	26.43	 	37	10.08	 	0	0	 	367	96.07	 	15	3.93	 	382	0.47
Naracoorte		                                 	47	2.17	 	12	0.55	 	30	1.39	 	396	18.29	 	19	0.88	 	2	0.09	 	52	2.4	 	9	0.42	 	19	0.88	 	7	0.32	 	1399	64.62	 	172	7.94	 	1	0.05	 	2165	97.09	 	65	2.91	 	2230	2.73
Naracoorte South		                           	32	2.38	 	7	0.52	 	16	1.19	 	285	21.19	 	18	1.34	 	0	0	 	34	2.53	 	5	0.37	 	7	0.52	 	3	0.22	 	832	61.86	 	105	7.81	 	1	0.07	 	1345	97.96	 	28	2.04	 	1373	1.68
Narrung		                                    	3	3	 	1	1	 	2	2	 	36	36	 	7	7	 	0	0	 	0	0	 	2	2	 	0	0	 	0	0	 	40	40	 	9	9	 	0	0	 	100	99.01	 	1	0.99	 	101	0.12
Nildottie		                                  	9	6.38	 	3	2.13	 	1	0.71	 	11	7.8	 	0	0	 	0	0	 	1	0.71	 	1	0.71	 	0	0	 	0	0	 	102	72.34	 	13	9.22	 	0	0	 	141	94	 	9	6	 	150	0.18
O B Flat		                                   	3	1.81	 	0	0	 	2	1.2	 	20	12.05	 	2	1.2	 	0	0	 	0	0	 	0	0	 	2	1.2	 	0	0	 	123	74.1	 	14	8.43	 	0	0	 	166	97.65	 	4	2.35	 	170	0.21
Padthaway		                                  	14	4.36	 	2	0.62	 	3	0.93	 	22	6.85	 	9	2.8	 	1	0.31	 	6	1.87	 	1	0.31	 	2	0.62	 	0	0	 	256	79.75	 	5	1.56	 	0	0	 	321	97.57	 	8	2.43	 	329	0.4
Parawa		                                     	0	0	 	0	0	 	4	4.26	 	5	5.32	 	0	0	 	1	1.06	 	0	0	 	1	1.06	 	0	0	 	0	0	 	76	80.85	 	7	7.45	 	0	0	 	94	96.91	 	3	3.09	 	97	0.12
Parilla		                                    	1	0.82	 	0	0	 	0	0	 	10	8.2	 	1	0.82	 	1	0.82	 	2	1.64	 	0	0	 	1	0.82	 	0	0	 	97	79.51	 	9	7.38	 	0	0	 	122	97.6	 	3	2.4	 	125	0.15
Parndana		                                   	4	1.1	 	4	1.1	 	9	2.49	 	25	6.91	 	4	1.1	 	1	0.28	 	4	1.1	 	0	0	 	4	1.1	 	1	0.28	 	259	71.55	 	46	12.71	 	1	0.28	 	362	97.84	 	8	2.16	 	370	0.45
Paruna		                                     	0	0	 	0	0	 	0	0	 	6	7.59	 	0	0	 	0	0	 	0	0	 	1	1.27	 	2	2.53	 	0	0	 	60	75.95	 	10	12.66	 	0	0	 	79	97.53	 	2	2.47	 	81	0.1
Peake		                                      	3	1.65	 	0	0	 	0	0	 	11	6.04	 	10	5.49	 	0	0	 	1	0.55	 	0	0	 	1	0.55	 	3	1.65	 	145	79.67	 	8	4.4	 	0	0	 	182	96.3	 	7	3.7	 	189	0.23
Penneshaw		                                  	2	0.77	 	2	0.77	 	6	2.3	 	32	12.26	 	0	0	 	1	0.38	 	2	0.77	 	1	0.38	 	2	0.77	 	0	0	 	154	59	 	59	22.61	 	0	0	 	261	95.6	 	12	4.4	 	273	0.33
Penola		                                     	35	3.18	 	4	0.36	 	16	1.45	 	217	19.73	 	4	0.36	 	1	0.09	 	11	1	 	4	0.36	 	7	0.64	 	2	0.18	 	728	66.18	 	70	6.36	 	1	0.09	 	1100	96.83	 	36	3.17	 	1136	1.39
Pinnaroo		                                   	7	1.38	 	4	0.79	 	7	1.38	 	59	11.66	 	7	1.38	 	1	0.2	 	7	1.38	 	1	0.2	 	1	0.2	 	5	0.99	 	370	73.12	 	37	7.31	 	0	0	 	506	96.75	 	17	3.25	 	523	0.64
Ponde		                                      	5	2.37	 	4	1.9	 	6	2.84	 	30	14.22	 	0	0	 	0	0	 	6	2.84	 	1	0.47	 	1	0.47	 	2	0.95	 	130	61.61	 	26	12.32	 	0	0	 	211	98.14	 	4	1.86	 	215	0.26
Port Elliot		                                	6	0.58	 	8	0.77	 	20	1.94	 	242	23.43	 	8	0.77	 	0	0	 	8	0.77	 	3	0.29	 	3	0.29	 	7	0.68	 	538	52.08	 	187	18.1	 	3	0.29	 	1033	95.56	 	48	4.44	 	1081	1.32
Port MacDonnell		                            	13	1.73	 	2	0.27	 	9	1.2	 	170	22.61	 	4	0.53	 	0	0	 	7	0.93	 	2	0.27	 	7	0.93	 	2	0.27	 	466	61.97	 	70	9.31	 	0	0	 	752	97.79	 	17	2.21	 	769	0.94
Purnong		                                    	2	1.32	 	0	0	 	1	0.66	 	15	9.87	 	0	0	 	0	0	 	3	1.97	 	0	0	 	0	0	 	0	0	 	126	82.89	 	4	2.63	 	1	0.66	 	152	98.7	 	2	1.3	 	154	0.19
Rendelsham		                                 	13	9.35	 	1	0.72	 	1	0.72	 	16	11.51	 	0	0	 	0	0	 	2	1.44	 	0	0	 	1	0.72	 	0	0	 	97	69.78	 	8	5.76	 	0	0	 	139	97.2	 	4	2.8	 	143	0.17
Robe		                                       	22	2.7	 	4	0.49	 	17	2.09	 	83	10.18	 	3	0.37	 	0	0	 	10	1.23	 	1	0.12	 	6	0.74	 	4	0.49	 	610	74.85	 	54	6.63	 	1	0.12	 	815	97.84	 	18	2.16	 	833	1.02
Salt Creek		                                 	3	4.92	 	0	0	 	0	0	 	10	16.39	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	1.64	 	40	65.57	 	7	11.48	 	0	0	 	61	98.39	 	1	1.61	 	62	0.08
Second Valley		                              	2	1.83	 	0	0	 	5	4.59	 	27	24.77	 	0	0	 	0	0	 	2	1.83	 	0	0	 	0	0	 	0	0	 	58	53.21	 	15	13.76	 	0	0	 	109	99.09	 	1	0.91	 	110	0.13
Sedan		                                      	1	0.63	 	1	0.63	 	2	1.27	 	20	12.66	 	0	0	 	0	0	 	1	0.63	 	0	0	 	0	0	 	1	0.63	 	114	72.15	 	17	10.76	 	1	0.63	 	158	97.53	 	4	2.47	 	162	0.2
Southend		                                   	28	14.21	 	0	0	 	2	1.02	 	31	15.74	 	0	0	 	0	0	 	3	1.52	 	1	0.51	 	1	0.51	 	0	0	 	126	63.96	 	5	2.54	 	0	0	 	197	95.63	 	9	4.37	 	206	0.25
Suttontown		                                 	11	1.77	 	0	0	 	7	1.12	 	146	23.43	 	6	0.96	 	1	0.16	 	5	0.8	 	2	0.32	 	3	0.48	 	3	0.48	 	374	60.03	 	65	10.43	 	0	0	 	623	97.8	 	14	2.2	 	637	0.78
Swan Reach		                                 	2	0.88	 	3	1.32	 	9	3.96	 	62	27.31	 	1	0.44	 	0	0	 	2	0.88	 	0	0	 	1	0.44	 	0	0	 	129	56.83	 	18	7.93	 	0	0	 	227	93.42	 	16	6.58	 	243	0.3
Tailem Bend		                                	21	1.75	 	7	0.58	 	31	2.58	 	419	34.92	 	11	0.92	 	3	0.25	 	18	1.5	 	2	0.17	 	12	1	 	7	0.58	 	504	42	 	164	13.67	 	1	0.08	 	1200	94.12	 	75	5.88	 	1275	1.56
Tantanoola		                                 	8	2.86	 	2	0.71	 	4	1.43	 	70	25	 	0	0	 	0	0	 	1	0.36	 	1	0.36	 	2	0.71	 	2	0.71	 	162	57.86	 	28	10	 	0	0	 	280	97.56	 	7	2.44	 	287	0.35
Tarpeena		                                   	8	2.36	 	1	0.29	 	9	2.65	 	113	33.33	 	3	0.88	 	0	0	 	5	1.47	 	2	0.59	 	4	1.18	 	1	0.29	 	154	45.43	 	39	11.5	 	0	0	 	339	96.58	 	12	3.42	 	351	0.43
Tintinara		                                  	8	1.6	 	2	0.4	 	2	0.4	 	23	4.61	 	2	0.4	 	2	0.4	 	6	1.2	 	2	0.4	 	0	0	 	2	0.4	 	429	85.97	 	21	4.21	 	0	0	 	499	97.84	 	11	2.16	 	510	0.62
Victor Harbor		                              	21	0.68	 	36	1.16	 	52	1.68	 	591	19.07	 	26	0.84	 	3	0.1	 	36	1.16	 	6	0.19	 	20	0.65	 	13	0.42	 	1771	57.15	 	524	16.91	 	0	0	 	3099	96.45	 	114	3.55	 	3213	3.93
Victor Harbor East		                         	12	1.22	 	4	0.41	 	9	0.91	 	147	14.91	 	18	1.83	 	1	0.1	 	4	0.41	 	3	0.3	 	8	0.81	 	4	0.41	 	639	64.81	 	137	13.89	 	0	0	 	986	96.67	 	34	3.33	 	1020	1.25
Victor Harbor South		                        	8	0.65	 	11	0.89	 	23	1.86	 	238	19.21	 	19	1.53	 	1	0.08	 	8	0.65	 	1	0.08	 	1	0.08	 	9	0.73	 	762	61.5	 	157	12.67	 	1	0.08	 	1239	96.12	 	50	3.88	 	1289	1.58
Walker Flat		                                	3	2.48	 	0	0	 	1	0.83	 	15	12.4	 	0	0	 	0	0	 	2	1.65	 	2	1.65	 	0	0	 	1	0.83	 	79	65.29	 	18	14.88	 	0	0	 	121	93.8	 	8	6.2	 	129	0.16
Wanbi		                                      	1	1.15	 	1	1.15	 	0	0	 	11	12.64	 	0	0	 	0	0	 	1	1.15	 	0	0	 	1	1.15	 	0	0	 	68	78.16	 	4	4.6	 	0	0	 	87	100	 	0	0	 	87	0.11
Wellington West		                            	2	1.26	 	0	0	 	3	1.89	 	18	11.32	 	0	0	 	1	0.63	 	0	0	 	1	0.63	 	1	0.63	 	1	0.63	 	119	74.84	 	13	8.18	 	0	0	 	159	98.15	 	3	1.85	 	162	0.2
Western Flat		                               	0	0	 	0	0	 	0	0	 	2	2.08	 	3	3.13	 	0	0	 	3	3.13	 	0	0	 	0	0	 	0	0	 	81	84.38	 	7	7.29	 	0	0	 	96	98.97	 	1	1.03	 	97	0.12
Willalooka		                                 	7	4.35	 	0	0	 	2	1.24	 	8	4.97	 	4	2.48	 	0	0	 	0	0	 	0	0	 	0	0	 	2	1.24	 	131	81.37	 	7	4.35	 	0	0	 	161	98.77	 	2	1.23	 	163	0.2
Wolseley		                                   	1	0.71	 	0	0	 	4	2.84	 	29	20.57	 	3	2.13	 	0	0	 	2	1.42	 	0	0	 	1	0.71	 	0	0	 	90	63.83	 	11	7.8	 	0	0	 	141	100	 	0	0	 	141	0.17
Woods Point		                                	4	2.92	 	0	0	 	2	1.46	 	21	15.33	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	99	72.26	 	11	8.03	 	0	0	 	137	97.86	 	3	2.14	 	140	0.17
Yahl		                                       	6	1.92	 	1	0.32	 	0	0	 	66	21.15	 	4	1.28	 	0	0	 	2	0.64	 	1	0.32	 	0	0	 	0	0	 	172	55.13	 	60	19.23	 	0	0	 	312	97.81	 	7	2.19	 	319	0.39
Yankalilla		                                 	15	1.21	 	16	1.29	 	21	1.7	 	213	17.21	 	4	0.32	 	1	0.08	 	16	1.29	 	1	0.08	 	12	0.97	 	4	0.32	 	698	56.38	 	232	18.74	 	5	0.4	 	1238	95.82	 	54	4.18	 	1292	1.58
Special Hospitals		                          	5	1.13	 	5	1.13	 	1	0.23	 	115	26.02	 	1	0.23	 	2	0.45	 	2	0.45	 	6	1.36	 	3	0.68	 	0	0	 	282	63.8	 	20	4.52	 	0	0	 	442	95.67	 	20	4.33	 	462	0.56
Total Ordinary		                             	1304	1.88	 	361	0.52	 	1117	1.61	 	15477	22.26	 	590	0.85	 	70	0.1	 	763	1.1	 	159	0.23	 	413	0.59	 	307	0.44	 	40868	58.78	 	8057	11.59	 	40	0.06	 	69526	96.61	 	2442	3.39	 	71968	87.97
ABSENT		                                     	63	1.49	 	19	0.45	 	108	2.56	 	913	21.65	 	47	1.11	 	5	0.12	 	76	1.8	 	4	0.09	 	26	0.62	 	23	0.55	 	2375	56.32	 	558	13.23	 	0	0	 	4217	98.3	 	73	1.7	 	4290	5.24
POSTAL		                                     	29	1.21	 	31	1.3	 	35	1.46	 	423	17.68	 	29	1.21	 	1	0.04	 	31	1.3	 	7	0.29	 	19	0.79	 	13	0.54	 	1548	64.72	 	223	9.32	 	3	0.13	 	2392	99.34	 	16	0.66	 	2408	2.94
PRE_POLL		                                   	42	2.11	 	15	0.75	 	65	3.27	 	482	24.25	 	16	0.8	 	4	0.2	 	34	1.71	 	5	0.25	 	15	0.75	 	2	0.1	 	1102	55.43	 	205	10.31	 	1	0.05	 	1988	98.61	 	28	1.39	 	2016	2.46
PROVISIONAL		                                	44	4.01	 	1	0.09	 	60	5.47	 	354	32.3	 	16	1.46	 	4	0.36	 	29	2.65	 	8	0.73	 	18	1.64	 	2	0.18	 	448	40.88	 	111	10.13	 	1	0.09	 	1096	97.51	 	28	2.49	 	1124	1.37
ADJUSTMENT		                                 	-3		       	2		       	0		       	0		       	0		       	0		       	1		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0	
Division Summary		                           	1479	1.87	 	429	0.54	 	1385	1.75	 	17649	22.28	 	698	0.88	 	84	0.11	 	934	1.18	 	183	0.23	 	491	0.62	 	347	0.44	 	46341	58.5	 	9154	11.56	 	45	0.06	 	79219	96.84	 	2587	3.16	 	81806	96.84
 																																																	


Bonython (76904)																																																	
	   		Group Total ASP			Group Total GRY			Group Total GRN			Group Total ALP			Group Total CTA			Group Total - Unendorsed Group J			Group Total AFI			Group Total EFF			Group Total AWP			Group Total - Unendorsed Group J			Group Total LP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Adelaide (Bonython)		                        	2	3.39	 	0	0	 	4	6.78	 	21	35.59	 	2	3.39	 	0	0	 	1	1.69	 	0	0	 	1	1.69	 	0	0	 	14	23.73	 	14	23.73	 	0	0	 	59	98.33	 	1	1.67	 	60	0.08
Angle Vale		                                 	13	1.01	 	5	0.39	 	14	1.09	 	413	32.14	 	18	1.4	 	0	0	 	17	1.32	 	2	0.16	 	6	0.47	 	11	0.86	 	600	46.69	 	186	14.47	 	0	0	 	1285	95.97	 	54	4.03	 	1339	1.8
Brahma Lodge		                               	25	1.28	 	20	1.03	 	37	1.9	 	846	43.47	 	18	0.92	 	3	0.15	 	28	1.44	 	11	0.57	 	17	0.87	 	21	1.08	 	592	30.42	 	328	16.86	 	0	0	 	1946	95.07	 	101	4.93	 	2047	2.75
Craigmore		                                  	12	0.61	 	15	0.76	 	24	1.22	 	900	45.78	 	21	1.07	 	6	0.31	 	19	0.97	 	0	0	 	8	0.41	 	11	0.56	 	656	33.37	 	293	14.9	 	1	0.05	 	1966	97.57	 	49	2.43	 	2015	2.71
Craigmore South		                            	21	0.75	 	20	0.71	 	54	1.92	 	1190	42.39	 	48	1.71	 	1	0.04	 	33	1.18	 	5	0.18	 	26	0.93	 	18	0.64	 	979	34.88	 	412	14.68	 	0	0	 	2807	97.3	 	78	2.7	 	2885	3.88
Davoren Park North		                         	26	1.48	 	69	3.93	 	41	2.33	 	835	47.55	 	16	0.91	 	2	0.11	 	23	1.31	 	12	0.68	 	18	1.03	 	16	0.91	 	455	25.91	 	243	13.84	 	0	0	 	1756	95.12	 	90	4.88	 	1846	2.48
Davoren Park South		                         	18	1.24	 	29	1.99	 	34	2.34	 	690	47.42	 	9	0.62	 	3	0.21	 	22	1.51	 	9	0.62	 	15	1.03	 	12	0.82	 	422	29	 	192	13.2	 	0	0	 	1455	94.97	 	77	5.03	 	1532	2.06
Direk		                                      	4	0.54	 	9	1.22	 	21	2.85	 	372	50.54	 	8	1.09	 	0	0	 	12	1.63	 	0	0	 	7	0.95	 	1	0.14	 	190	25.82	 	112	15.22	 	0	0	 	736	95.83	 	32	4.17	 	768	1.03
Elizabeth		                                  	9	1.02	 	11	1.25	 	22	2.5	 	349	39.7	 	6	0.68	 	3	0.34	 	14	1.59	 	4	0.46	 	8	0.91	 	5	0.57	 	288	32.76	 	160	18.2	 	0	0	 	879	97.13	 	26	2.87	 	905	1.22
Elizabeth Downs		                            	26	0.95	 	93	3.4	 	59	2.15	 	1233	45.02	 	27	0.99	 	1	0.04	 	42	1.53	 	9	0.33	 	19	0.69	 	27	0.99	 	752	27.46	 	451	16.47	 	0	0	 	2739	96.41	 	102	3.59	 	2841	3.82
Elizabeth East		                             	22	0.98	 	43	1.91	 	34	1.51	 	935	41.63	 	16	0.71	 	3	0.13	 	36	1.6	 	11	0.49	 	25	1.11	 	24	1.07	 	723	32.19	 	373	16.61	 	1	0.04	 	2246	95.33	 	110	4.67	 	2356	3.17
Elizabeth Grove		                            	11	0.86	 	20	1.56	 	30	2.34	 	564	43.99	 	7	0.55	 	4	0.31	 	17	1.33	 	9	0.7	 	17	1.33	 	10	0.78	 	360	28.08	 	232	18.1	 	1	0.08	 	1282	95.96	 	54	4.04	 	1336	1.8
Elizabeth North		                            	20	1.06	 	38	2.01	 	36	1.91	 	818	43.37	 	21	1.11	 	5	0.27	 	39	2.07	 	7	0.37	 	17	0.9	 	22	1.17	 	515	27.31	 	348	18.45	 	0	0	 	1886	94.58	 	108	5.42	 	1994	2.68
Elizabeth Park		                             	17	0.87	 	79	4.03	 	36	1.84	 	890	45.41	 	24	1.22	 	4	0.2	 	32	1.63	 	5	0.26	 	15	0.77	 	9	0.46	 	565	28.83	 	282	14.39	 	2	0.1	 	1960	96.13	 	79	3.87	 	2039	2.74
Elizabeth South		                            	22	1.11	 	53	2.68	 	47	2.38	 	992	50.23	 	16	0.81	 	2	0.1	 	23	1.16	 	8	0.41	 	23	1.16	 	13	0.66	 	516	26.13	 	259	13.11	 	1	0.05	 	1975	95.69	 	89	4.31	 	2064	2.78
