Senate - 1996 Election									
Votes Counted by Vote Type									
By Division									
									
National Summary									
		Ordinary	Absent	Postal	Pre-Poll	Provisional		Total	
State	Enrolment	Votes	Votes	Votes	Votes	Votes	Adj	Votes	%
Melbourne Ports	79962	60714	4636	4897	3709	1389	13	75358	94.24
Menzies	79272	67535	3964	1888	2986	450	14	76837	96.93
Murray	82336	71479	3791	1986	2080	661	1	79998	97.16
Scullin	76772	67775	3223	1425	1526	528	0	74477	97.01
Wannon	81331	68729	3719	3069	3251	692	49	79509	97.76
Wills	85292	71669	4039	2715	2258	722	0	81403	95.44
TOTAL	2972635	2503061	148550	96458	96204	24877	124	2869274	96.52
									
Queensland									
									
Division	Enrolment	Ordinary	Absent	Postal	Pre-Poll	Provisional	Adj	Total	
		Votes	Votes	Votes	Votes	Votes		Votes	%
Bowman	76117	63461	4064	2634	2477	453	0	73089	96.02
Brisbane	85822	63874	7687	4139	3895	825	-1	80419	93.70
Capricornia	83664	68088	5153	4115	2178	511	0	80045	95.67
Dawson	85486	70716	4196	2675	3250	660	-1	81496	95.33
Dickson	82357	68437	5503	2887	2391	362	0	79580	96.63
Fadden	76352	61562	5504	2105	3283	419	0	72873	95.44
Fairfax	78659	63733	4050	2431	3676	585	0	74475	94.68
Fisher	74148	58742	4958	3231	3157	516	-2	70602	95.22
Forde	75874	60393	5814	2436	2363	530	0	71536	94.28
Griffith	82151	65448	6164	3822	2595	459	0	78488	95.54
Groom	82724	67524	5370	2549	3285	515	0	79243	95.79
Herbert	82765	68115	3595	2404	3405	561	1	78081	94.34
Hinkler	84175	68677	4695	3424	3427	423	0	80646	95.81
Kennedy	82701	66002	5372	4152	1678	632	9	77845	94.13
Leichhardt	83222	67325	3628	2204	3158	853	2	77170	92.73
Lilley	84410	67543	5591	3899	2771	384	3	80191	95.00
Longman	76863	63968	5066	2265	2131	458	0	73888	96.13
McPherson	75851	60718	3009	2004	5385	502	0	71618	94.42
Maranoa	82569	63204	6099	7676	1695	499	-1	79172	95.89
Moncrieff	73656	57803	3621	2354	4784	588	0	69150	93.88
Moreton	84927	68035	6247	3467	2885	493	-8	81119	95.52
Oxley	75751	63117	4154	2406	2225	227	-1	72128	95.22
Petrie	80918	66042	5464	3127	2199	449	11	77292	95.52
Rankin	78393	63455	5467	2230	1971	872	4	73999	94.39
Ryan	83079	67257	5776	2183	3889	372	-4	79473	95.66
Wide Bay	78750	64325	4726	3502	2791	479	0	75823	96.28
TOTAL	2091384	1687564	130973	80321	76944	13627	12	1989441	95.13
									
Western Australia									
									
Division	Enrolment	Ordinary	Absent	Postal	Pre-Poll	Provisional	Adj	Total	
		Votes	Votes	Votes	Votes	Votes		Votes	%
Brand	92099	75986	5498	1938	3429	1237	0	88088	95.64
Canning	76087	63124	5663	1495	1976	907	0	73165	96.16
Cowan	81739	67813	6345	1719	2359	727	4	78967	96.61
Curtin	73941	58734	4872	2217	4118	974	0	70915	95.91
Forrest	80961	67771	5268	1572	2417	955	0	77983	96.32
Fremantle	77870	64963	4264	1746	3038	984	0	74995	96.31
Kalgoorlie	72168	51932	5630	2419	3154	1509	26	64670	89.61
Moore	89429	74382	5724	1836	3421	784	0	86147	96.33
O'Connor	74785	57770	8846	2282	1772	932	6	71608	95.75
Pearce	75614	62151	5799	1544	2805	629	24	72952	96.48
Perth	74499	59128	6368	1936	2291	927	44	70694	94.89
Stirling	73749	59251	5873	1890	2962	848	1	70825	96.04
Swan	72465	57766	5582	1974	2748	1016	0	69086	95.34
Tangney	73081	60265	4929	1650	3080	646	3	70573	96.57
TOTAL	1088487	881036	80661	26218	39570	13075	108	1040668	95.61
									
South Australia									
									
Division	Enrolment	Ordinary	Absent	Postal	Pre-Poll	Provisional	Adj	Total	
		Votes	Votes	Votes	Votes	Votes		Votes	%
Adelaide	81751	66339	4870	3203	2516	1100	-1	78027	95.44
Barker	84479	71968	4290	2408	2016	1124	0	81806	96.84
Bonython	76904	66532	3626	1489	1740	985	0	74372	96.71
Boothby	81511	68316	4316	2428	2675	731	0	78466	96.26
Grey	83573	68879	4390	3147	2147	1220	0	79783	95.47
Hindmarsh	83918	69294	5183	3158	2379	883	0	80897	96.40
Kingston	85936	73242	4259	2308	2283	1382	0	83474	97.14
Makin	87567	74445	4927	2374	2186	1016	0	84948	97.01
Mayo	88305	74412	5856	1599	2668	908	0	85443	96.76
Port Adelaide	82175	69105	3955	2642	2170	1103	0	78975	96.11
Sturt	78400	64403	4408	2856	2617	964	0	75248	95.98
Wakefield	86487	75009	4469	1970	1622	819	0	83889	97.00
TOTAL	1001006	841944	54549	29582	27019	12235	-1	965328	96.44
									
Tasmania									
									
Division	Enrolment	Ordinary	Absent	Postal	Pre-Poll	Provisional	Adj	Total	
		Votes	Votes	Votes	Votes	Votes		Votes	%
Bass	66017	52932	4630	2492	2910	725	0	63689	96.47
Braddon	63449	52069	3668	2629	2307	874	0	61547	97.00
Denison	67097	53176	4455	3030	3346	750	0	64757	96.51
Franklin	64967	52721	4859	2463	2503	590	0	63136	97.18
Lyons	67774	56903	3902	2963	1596	560	0	65924	97.27
TOTAL	329304	267801	21514	13577	12662	3499	0	319053	96.89
									
Australian Capital Territory									
									
Division	Enrolment	Ordinary	Absent	Postal	Pre-Poll	Provisional	Adj	Total	
		Votes	Votes	Votes	Votes	Votes		Votes	%
Canberra	71932	54454	1695	2309	9957	718	0	69133	96.11
Fraser	64374	51319	1708	1573	7340	585	0	62525	97.13
Namadgi	66864	53134	1859	1581	8011	674	0	65259	97.60
TOTAL	203170	158907	5262	5463	25308	1977	0	196917	96.92
									
Northern Territory									
									
Division	Enrolment	Ordinary	Absent	Postal	Pre-Poll	Provisional	Adj	Total	
		Votes	Votes	Votes	Votes	Votes		Votes	%
Northern Territory	98800	77874	0	2643	6376	1234	0	88127	89.20
TOTAL	98800	77874	0	2643	6376	1234	0	88127	89.20
									
NATIONAL TOTAL	11740568	9737227	657539	359604	434841	105091	177	11294479	96.20
