Senate - 1996 Election: Tasmania																																					
First Preference Votes by Group																																					
By Polling Place																																					


Bass (66017)																																					
	   		Group Total NLP			Group Total NP			Group Total LP			Group Total DEM			Group Total AWP			Group Total TG			Group Total CTA			Group Total ALP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Waratah		                                    	1	0.78	 	2	1.56	 	39	30.47	 	6	4.69	 	2	1.56	 	8	6.25	 	0	0	 	70	54.69	 	0	0	 	128	97.71	 	3	2.29	 	131	0.21
West Wynyard		                               	3	0.33	 	37	4.08	 	371	40.9	 	57	6.28	 	5	0.55	 	59	6.5	 	2	0.22	 	373	41.12	 	0	0	 	907	96.9	 	29	3.1	 	936	1.52
Wivenhoe		                                   	2	0.48	 	28	6.73	 	177	42.55	 	22	5.29	 	1	0.24	 	21	5.05	 	1	0.24	 	164	39.42	 	0	0	 	416	95.41	 	20	4.59	 	436	0.71
Wynyard		                                    	12	0.58	 	99	4.81	 	922	44.78	 	114	5.54	 	15	0.73	 	133	6.46	 	6	0.29	 	758	36.81	 	0	0	 	2059	96.71	 	70	3.29	 	2129	3.46
Wynyard East		                               	5	0.97	 	14	2.71	 	210	40.62	 	30	5.8	 	4	0.77	 	21	4.06	 	0	0	 	233	45.07	 	0	0	 	517	95.74	 	23	4.26	 	540	0.88
Yolla		                                      	2	0.47	 	29	6.87	 	181	42.89	 	24	5.69	 	4	0.95	 	46	10.9	 	3	0.71	 	133	31.52	 	0	0	 	422	98.14	 	8	1.86	 	430	0.7
Special Hospitals		                          	11	2.32	 	11	2.32	 	273	57.47	 	13	2.74	 	2	0.42	 	7	1.47	 	5	1.05	 	153	32.21	 	0	0	 	475	96.54	 	17	3.46	 	492	0.8
Total Ordinary		                             	273	0.54	 	1480	2.94	 	23753	47.15	 	2714	5.39	 	297	0.59	 	2696	5.35	 	250	0.5	 	18917	37.55	 	0	0	 	50380	96.76	 	1689	3.24	 	52069	84.6
ABSENT		                                     	13	0.36	 	96	2.67	 	1646	45.84	 	219	6.1	 	21	0.58	 	317	8.83	 	21	0.58	 	1258	35.03	 	0	0	 	3591	97.9	 	77	2.1	 	3668	5.96
POSTAL		                                     	9	0.35	 	84	3.24	 	1366	52.68	 	147	5.67	 	14	0.54	 	201	7.75	 	24	0.93	 	748	28.85	 	0	0	 	2593	98.63	 	36	1.37	 	2629	4.27
PRE_POLL		                                   	13	0.57	 	64	2.82	 	1027	45.32	 	141	6.22	 	18	0.79	 	205	9.05	 	11	0.49	 	787	34.73	 	0	0	 	2266	98.22	 	41	1.78	 	2307	3.75
PROVISIONAL		                                	13	1.54	 	17	2.01	 	301	35.66	 	39	4.62	 	10	1.18	 	61	7.23	 	4	0.47	 	399	47.27	 	0	0	 	844	96.57	 	30	3.43	 	874	1.42
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0	
Division Summary		                           	321	0.54	 	1741	2.92	 	28093	47.08	 	3260	5.46	 	360	0.6	 	3480	5.83	 	310	0.52	 	22109	37.05	 	0	0	 	59674	96.96	 	1873	3.04	 	61547	97
 																																					


Denison (67097)																																					
	   		Group Total NLP			Group Total NP			Group Total LP			Group Total DEM			Group Total AWP			Group Total TG			Group Total CTA			Group Total ALP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Abbotsfield		                                	6	0.4	 	12	0.79	 	419	27.73	 	84	5.56	 	20	1.32	 	68	4.5	 	6	0.4	 	896	59.3	 	0	0	 	1511	96.67	 	52	3.33	 	1563	2.41
Albuera		                                    	1	0.23	 	0	0	 	140	32.18	 	59	13.56	 	4	0.92	 	111	25.52	 	0	0	 	120	27.59	 	0	0	 	435	96.45	 	16	3.55	 	451	0.7
Austins Ferry		                              	6	0.46	 	4	0.31	 	456	34.84	 	79	6.04	 	8	0.61	 	69	5.27	 	2	0.15	 	685	52.33	 	0	0	 	1309	97.69	 	31	2.31	 	1340	2.07
Battery Point		                              	1	0.09	 	4	0.36	 	410	37.34	 	123	11.2	 	6	0.55	 	255	23.22	 	2	0.18	 	297	27.05	 	0	0	 	1098	96.32	 	42	3.68	 	1140	1.76
Bowen Road		                                 	17	0.91	 	12	0.64	 	539	28.76	 	149	7.95	 	11	0.59	 	127	6.78	 	14	0.75	 	1005	53.63	 	0	0	 	1874	95.32	 	92	4.68	 	1966	3.04
Brent Street		                               	4	0.55	 	5	0.69	 	233	31.96	 	50	6.86	 	7	0.96	 	26	3.57	 	3	0.41	 	401	55.01	 	0	0	 	729	96.05	 	30	3.95	 	759	1.17
Cascades		                                   	7	0.73	 	5	0.52	 	229	23.8	 	102	10.6	 	6	0.62	 	264	27.44	 	5	0.52	 	344	35.76	 	0	0	 	962	96.59	 	34	3.41	 	996	1.54
Chigwell		                                   	24	1.43	 	13	0.78	 	429	25.64	 	121	7.23	 	18	1.08	 	57	3.41	 	7	0.42	 	1004	60.01	 	0	0	 	1673	96.87	 	54	3.13	 	1727	2.67
Claremont		                                  	7	0.41	 	12	0.7	 	567	32.91	 	124	7.2	 	6	0.35	 	89	5.17	 	8	0.46	 	910	52.81	 	0	0	 	1723	95.72	 	77	4.28	 	1800	2.78
Collinsvale		                                	2	0.58	 	4	1.16	 	75	21.74	 	40	11.59	 	3	0.87	 	52	15.07	 	0	0	 	169	48.99	 	0	0	 	345	96.64	 	12	3.36	 	357	0.55
Cornelian Bay		                              	5	0.84	 	0	0	 	229	38.36	 	81	13.57	 	3	0.5	 	78	13.07	 	4	0.67	 	197	33	 	0	0	 	597	97.07	 	18	2.93	 	615	0.95
Cosgrove		                                   	4	0.44	 	6	0.66	 	300	32.82	 	56	6.13	 	4	0.44	 	59	6.46	 	1	0.11	 	484	52.95	 	0	0	 	914	95.51	 	43	4.49	 	957	1.48
Creek Road		                                 	6	0.56	 	2	0.19	 	457	42.51	 	113	10.51	 	11	1.02	 	108	10.05	 	3	0.28	 	375	34.88	 	0	0	 	1075	95.98	 	45	4.02	 	1120	1.73
Cross Street		                               	23	1.35	 	8	0.47	 	604	35.51	 	168	9.88	 	7	0.41	 	197	11.58	 	6	0.35	 	688	40.45	 	0	0	 	1701	95.72	 	76	4.28	 	1777	2.74
Dynnyrne		                                   	2	0.2	 	1	0.1	 	363	36.16	 	119	11.85	 	5	0.5	 	243	24.2	 	1	0.1	 	270	26.89	 	0	0	 	1004	98.24	 	18	1.76	 	1022	1.58
Elizabeth Street		                           	7	0.98	 	4	0.56	 	154	21.51	 	79	11.03	 	8	1.12	 	184	25.7	 	0	0	 	280	39.11	 	0	0	 	716	96.37	 	27	3.63	 	743	1.15
Elwick		                                     	2	0.49	 	0	0	 	123	30	 	14	3.41	 	3	0.73	 	15	3.66	 	0	0	 	253	61.71	 	0	0	 	410	96.93	 	13	3.07	 	423	0.65
Fern Tree		                                  	1	0.27	 	1	0.27	 	83	22.49	 	58	15.72	 	2	0.54	 	130	35.23	 	1	0.27	 	93	25.2	 	0	0	 	369	96.85	 	12	3.15	 	381	0.59
Glenorchy		                                  	22	0.77	 	23	0.8	 	973	33.93	 	185	6.45	 	13	0.45	 	115	4.01	 	9	0.31	 	1528	53.28	 	0	0	 	2868	96.31	 	110	3.69	 	2978	4.6
Glenorchy East		                             	21	0.97	 	19	0.87	 	640	29.44	 	103	4.74	 	10	0.46	 	105	4.83	 	4	0.18	 	1272	58.51	 	0	0	 	2174	95.56	 	101	4.44	 	2275	3.51
Goodwood		                                   	13	1.26	 	8	0.78	 	218	21.19	 	56	5.44	 	5	0.49	 	44	4.28	 	9	0.87	 	676	65.69	 	0	0	 	1029	94.49	 	60	5.51	 	1089	1.68
Hill Street		                                	1	0.26	 	0	0	 	151	38.82	 	37	9.51	 	1	0.26	 	65	16.71	 	1	0.26	 	133	34.19	 	0	0	 	389	95.11	 	20	4.89	 	409	0.63
Hobart		                                     	4	0.72	 	2	0.36	 	156	28.26	 	62	11.23	 	5	0.91	 	138	25	 	4	0.72	 	181	32.79	 	0	0	 	552	97.01	 	17	2.99	 	569	0.88
Hobart Central		                             	2	0.89	 	1	0.45	 	67	29.91	 	20	8.93	 	1	0.45	 	47	20.98	 	2	0.89	 	84	37.5	 	0	0	 	224	98.68	 	3	1.32	 	227	0.35
Hobart North		                               	2	0.29	 	2	0.29	 	216	31.21	 	58	8.38	 	5	0.72	 	102	14.74	 	0	0	 	307	44.36	 	0	0	 	692	96.92	 	22	3.08	 	714	1.1
Hobart South		                               	5	0.37	 	4	0.3	 	445	32.89	 	165	12.2	 	5	0.37	 	316	23.36	 	3	0.22	 	410	30.3	 	0	0	 	1353	97.34	 	37	2.66	 	1390	2.15
Hobart West		                                	7	0.71	 	2	0.2	 	237	23.94	 	129	13.03	 	6	0.61	 	253	25.56	 	5	0.51	 	351	35.45	 	0	0	 	990	97.35	 	27	2.65	 	1017	1.57
Lansdowne Crescent		                         	4	0.45	 	3	0.33	 	245	27.34	 	127	14.17	 	7	0.78	 	222	24.78	 	2	0.22	 	286	31.92	 	0	0	 	896	97.5	 	23	2.5	 	919	1.42
Lenah Valley		                               	6	0.35	 	9	0.53	 	637	37.19	 	187	10.92	 	11	0.64	 	184	10.74	 	5	0.29	 	674	39.35	 	0	0	 	1713	97.38	 	46	2.62	 	1759	2.72
Lower Sandy Bay		                            	6	0.34	 	5	0.29	 	1013	57.75	 	163	9.29	 	3	0.17	 	209	11.92	 	8	0.46	 	347	19.78	 	0	0	 	1754	97.77	 	40	2.23	 	1794	2.77
Lutana		                                     	3	0.42	 	5	0.69	 	213	29.5	 	47	6.51	 	6	0.83	 	33	4.57	 	3	0.42	 	412	57.06	 	0	0	 	722	95.88	 	31	4.12	 	753	1.16
Montrose		                                   	4	0.87	 	1	0.22	 	179	39	 	34	7.41	 	3	0.65	 	27	5.88	 	0	0	 	211	45.97	 	0	0	 	459	96.84	 	15	3.16	 	474	0.73
Moonah		                                     	22	1.03	 	15	0.71	 	765	35.97	 	171	8.04	 	5	0.24	 	105	4.94	 	6	0.28	 	1038	48.8	 	0	0	 	2127	94.83	 	116	5.17	 	2243	3.46
Moonah North		                               	16	1.5	 	11	1.03	 	326	30.58	 	87	8.16	 	10	0.94	 	80	7.5	 	5	0.47	 	531	49.81	 	0	0	 	1066	95.18	 	54	4.82	 	1120	1.73
Mount Nelson		                               	4	0.37	 	10	0.94	 	423	39.57	 	165	15.43	 	6	0.56	 	191	17.87	 	2	0.19	 	268	25.07	 	0	0	 	1069	97.27	 	30	2.73	 	1099	1.7
Mount Stuart		                               	8	1.02	 	1	0.13	 	329	42.02	 	125	15.96	 	2	0.26	 	105	13.41	 	5	0.64	 	208	26.56	 	0	0	 	783	97.63	 	19	2.37	 	802	1.24
Newdegate		                                  	3	0.31	 	5	0.52	 	307	32.05	 	84	8.77	 	10	1.04	 	187	19.52	 	5	0.52	 	357	37.27	 	0	0	 	958	96.09	 	39	3.91	 	997	1.54
New Town		                                   	5	0.59	 	3	0.35	 	314	36.98	 	103	12.13	 	2	0.24	 	139	16.37	 	2	0.24	 	281	33.1	 	0	0	 	849	98.04	 	17	1.96	 	866	1.34
Queenborough		                               	6	1	 	3	0.5	 	213	35.38	 	73	12.13	 	1	0.17	 	105	17.44	 	2	0.33	 	199	33.06	 	0	0	 	602	96.63	 	21	3.37	 	623	0.96
Roseneath		                                  	3	1.02	 	0	0	 	59	20.14	 	10	3.41	 	5	1.71	 	5	1.71	 	2	0.68	 	209	71.33	 	0	0	 	293	97.02	 	9	2.98	 	302	0.47
Rosetta		                                    	3	0.36	 	6	0.72	 	395	47.53	 	76	9.15	 	3	0.36	 	37	4.45	 	1	0.12	 	310	37.3	 	0	0	 	831	98.34	 	14	1.66	 	845	1.3
St Johns Park		                              	1	0.58	 	0	0	 	50	29.07	 	23	13.37	 	1	0.58	 	27	15.7	 	1	0.58	 	69	40.12	 	0	0	 	172	97.73	 	4	2.27	 	176	0.27
St Peters		                                  	1	0.2	 	3	0.6	 	131	26.2	 	50	10	 	5	1	 	116	23.2	 	6	1.2	 	188	37.6	 	0	0	 	500	96.53	 	18	3.47	 	518	0.8
Sandy Bay		                                  	6	0.44	 	5	0.37	 	669	49.05	 	156	11.44	 	3	0.22	 	236	17.3	 	8	0.59	 	281	20.6	 	0	0	 	1364	97.85	 	30	2.15	 	1394	2.15
Sandy Bay Beach		                            	5	0.5	 	6	0.6	 	583	58.48	 	111	11.13	 	2	0.2	 	119	11.94	 	7	0.7	 	164	16.45	 	0	0	 	997	97.36	 	27	2.64	 	1024	1.58
Swan		                                       	12	1.73	 	4	0.58	 	170	24.57	 	80	11.56	 	3	0.43	 	131	18.93	 	2	0.29	 	290	41.91	 	0	0	 	692	95.05	 	36	4.95	 	728	1.12
Taroona		                                    	3	0.22	 	8	0.6	 	561	41.74	 	182	13.54	 	5	0.37	 	268	19.94	 	4	0.3	 	313	23.29	 	0	0	 	1344	97.89	 	29	2.11	 	1373	2.12
Tolosa		                                     	11	0.75	 	13	0.88	 	453	30.73	 	94	6.38	 	12	0.81	 	45	3.05	 	6	0.41	 	840	56.99	 	0	0	 	1474	96.34	 	56	3.66	 	1530	2.36
Waimea Heights		                             	0	0	 	4	0.6	 	381	57.55	 	56	8.46	 	2	0.3	 	89	13.44	 	2	0.3	 	128	19.34	 	0	0	 	662	97.5	 	17	2.5	 	679	1.05
Windermere		                                 	9	1.08	 	9	1.08	 	241	28.9	 	50	6	 	8	0.96	 	34	4.08	 	0	0	 	483	57.91	 	0	0	 	834	96.86	 	27	3.14	 	861	1.33
Special Hospitals		                          	2	0.41	 	4	0.83	 	232	48.13	 	18	3.73	 	2	0.41	 	27	5.6	 	3	0.62	 	194	40.25	 	0	0	 	482	97.97	 	10	2.03	 	492	0.76
Total Ordinary		                             	345	0.67	 	287	0.56	 	17802	34.66	 	4706	9.16	 	300	0.58	 	6038	11.76	 	187	0.36	 	21694	42.24	 	0	0	 	51359	96.58	 	1817	3.42	 	53176	82.12
ABSENT		                                     	24	0.55	 	34	0.78	 	1538	35.28	 	452	10.37	 	27	0.62	 	593	13.6	 	15	0.34	 	1676	38.45	 	0	0	 	4359	97.85	 	96	2.15	 	4455	6.88
POSTAL		                                     	7	0.24	 	20	0.68	 	1092	36.97	 	217	7.35	 	18	0.61	 	356	12.05	 	17	0.58	 	1227	41.54	 	0	0	 	2954	97.49	 	76	2.51	 	3030	4.68
PRE_POLL		                                   	19	0.58	 	25	0.76	 	1134	34.6	 	288	8.79	 	25	0.76	 	663	20.23	 	7	0.21	 	1116	34.06	 	0	0	 	3277	97.94	 	69	2.06	 	3346	5.17
PROVISIONAL		                                	15	2.05	 	4	0.55	 	176	24.04	 	44	6.01	 	9	1.23	 	101	13.8	 	2	0.27	 	381	52.05	 	0	0	 	732	97.6	 	18	2.4	 	750	1.16
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0	
Division Summary		                           	410	0.65	 	370	0.59	 	21742	34.69	 	5707	9.1	 	379	0.6	 	7751	12.37	 	228	0.36	 	26094	41.63	 	0	0	 	62681	96.79	 	2076	3.21	 	64757	96.51
 																																					


Franklin (64967)																																					
	   		Group Total NLP			Group Total NP			Group Total LP			Group Total DEM			Group Total AWP			Group Total TG			Group Total CTA			Group Total ALP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Adventure Bay		                              	2	0.77	 	0	0	 	108	41.7	 	16	6.18	 	0	0	 	17	6.56	 	0	0	 	116	44.79	 	0	0	 	259	95.93	 	11	4.07	 	270	0.43
Alonnah		                                    	0	0	 	3	1.36	 	82	37.27	 	17	7.73	 	2	0.91	 	29	13.18	 	0	0	 	87	39.55	 	0	0	 	220	97.78	 	5	2.22	 	225	0.36
Barnes Bay		                                 	3	2.48	 	3	2.48	 	52	42.98	 	6	4.96	 	1	0.83	 	16	13.22	 	5	4.13	 	35	28.93	 	0	0	 	121	96.03	 	5	3.97	 	126	0.2
Bellerive		                                  	7	0.25	 	8	0.29	 	1204	43	 	255	9.11	 	14	0.5	 	276	9.86	 	13	0.46	 	1023	36.54	 	0	0	 	2800	97.53	 	71	2.47	 	2871	4.55
Blackmans Bay		                              	10	0.39	 	15	0.59	 	1051	41.43	 	313	12.34	 	14	0.55	 	279	11	 	22	0.87	 	833	32.83	 	0	0	 	2537	98.33	 	43	1.67	 	2580	4.09
Bligh		                                      	10	1.28	 	3	0.39	 	175	22.46	 	32	4.11	 	5	0.64	 	26	3.34	 	1	0.13	 	527	67.65	 	0	0	 	779	95.47	 	37	4.53	 	816	1.29
Bridgewater		                                	30	1.28	 	27	1.15	 	477	20.38	 	126	5.38	 	27	1.15	 	61	2.61	 	3	0.13	 	1590	67.92	 	0	0	 	2341	96.46	 	86	3.54	 	2427	3.84
Cambridge		                                  	2	0.26	 	6	0.78	 	373	48.25	 	65	8.41	 	3	0.39	 	96	12.42	 	1	0.13	 	227	29.37	 	0	0	 	773	97.6	 	19	2.4	 	792	1.25
Clarendon Vale		                             	2	0.3	 	4	0.59	 	118	17.46	 	24	3.55	 	6	0.89	 	22	3.25	 	4	0.59	 	496	73.37	 	0	0	 	676	94.68	 	38	5.32	 	714	1.13
Cradoc		                                     	0	0	 	0	0	 	109	57.98	 	17	9.04	 	0	0	 	27	14.36	 	0	0	 	35	18.62	 	0	0	 	188	98.43	 	3	1.57	 	191	0.3
Cygnet		                                     	15	0.98	 	8	0.52	 	536	35.03	 	141	9.22	 	6	0.39	 	241	15.75	 	8	0.52	 	575	37.58	 	0	0	 	1530	95.68	 	69	4.32	 	1599	2.53
Dover		                                      	5	1.04	 	1	0.21	 	223	46.27	 	29	6.02	 	0	0	 	31	6.43	 	1	0.21	 	192	39.83	 	0	0	 	482	94.7	 	27	5.3	 	509	0.81
East Risdon		                                	0	0	 	0	0	 	110	43.82	 	28	11.16	 	3	1.2	 	22	8.76	 	1	0.4	 	87	34.66	 	0	0	 	251	96.17	 	10	3.83	 	261	0.41
Franklin		                                   	4	0.76	 	1	0.19	 	246	46.77	 	48	9.13	 	1	0.19	 	44	8.37	 	0	0	 	182	34.6	 	0	0	 	526	95.99	 	22	4.01	 	548	0.87
Gagebrook		                                  	9	0.54	 	12	0.71	 	358	21.32	 	110	6.55	 	13	0.77	 	46	2.74	 	2	0.12	 	1129	67.24	 	0	0	 	1679	97.28	 	47	2.72	 	1726	2.73
Geeveston		                                  	9	1.17	 	4	0.52	 	387	50.19	 	40	5.19	 	5	0.65	 	36	4.67	 	6	0.78	 	284	36.84	 	0	0	 	771	95.07	 	40	4.93	 	811	1.28
Geilston Bay		                               	2	0.15	 	4	0.3	 	510	38.58	 	120	9.08	 	5	0.38	 	101	7.64	 	3	0.23	 	577	43.65	 	0	0	 	1322	97.56	 	33	2.44	 	1355	2.15
Glen Huon		                                  	0	0	 	1	0.41	 	137	56.85	 	17	7.05	 	2	0.83	 	28	11.62	 	0	0	 	56	23.24	 	0	0	 	241	98.37	 	4	1.63	 	245	0.39
Grove		                                      	3	0.54	 	3	0.54	 	276	50	 	41	7.43	 	4	0.72	 	63	11.41	 	3	0.54	 	159	28.8	 	0	0	 	552	94.85	 	30	5.15	 	582	0.92
Howden		                                     	0	0	 	0	0	 	75	38.66	 	32	16.49	 	0	0	 	37	19.07	 	2	1.03	 	48	24.74	 	0	0	 	194	97.49	 	5	2.51	 	199	0.32
Howrah		                                     	10	0.37	 	10	0.37	 	1355	49.89	 	213	7.84	 	13	0.48	 	159	5.85	 	7	0.26	 	949	34.94	 	0	0	 	2716	97.73	 	63	2.27	 	2779	4.4
Huonville		                                  	8	0.59	 	6	0.45	 	614	45.65	 	109	8.1	 	13	0.97	 	127	9.44	 	5	0.37	 	463	34.42	 	0	0	 	1345	95.66	 	61	4.34	 	1406	2.23
Judbury		                                    	1	0.5	 	0	0	 	93	46.5	 	17	8.5	 	0	0	 	31	15.5	 	1	0.5	 	57	28.5	 	0	0	 	200	98.52	 	3	1.48	 	203	0.32
Kettering		                                  	2	0.48	 	2	0.48	 	191	45.8	 	43	10.31	 	3	0.72	 	75	17.99	 	0	0	 	101	24.22	 	0	0	 	417	99.29	 	3	0.71	 	420	0.67
Kingston		                                   	8	0.23	 	19	0.55	 	1358	39.39	 	368	10.67	 	16	0.46	 	387	11.22	 	66	1.91	 	1226	35.56	 	0	0	 	3448	98.07	 	68	1.93	 	3516	5.57
Kingston Beach		                             	11	0.47	 	8	0.34	 	1076	45.73	 	254	10.79	 	17	0.72	 	265	11.26	 	22	0.93	 	700	29.75	 	0	0	 	2353	97.51	 	60	2.49	 	2413	3.82
Lauderdale		                                 	8	0.35	 	9	0.39	 	976	42.36	 	224	9.72	 	11	0.48	 	239	10.37	 	14	0.61	 	823	35.72	 	0	0	 	2304	97.46	 	60	2.54	 	2364	3.74
Lindisfarne		                                	10	0.39	 	5	0.2	 	1239	48.36	 	242	9.45	 	16	0.62	 	240	9.37	 	9	0.35	 	801	31.26	 	0	0	 	2562	97.23	 	73	2.77	 	2635	4.17
Loatta Road		                                	5	0.35	 	6	0.42	 	676	47.01	 	171	11.89	 	4	0.28	 	134	9.32	 	12	0.83	 	430	29.9	 	0	0	 	1438	96.97	 	45	3.03	 	1483	2.35
Margate		                                    	7	0.51	 	12	0.87	 	514	37.33	 	160	11.62	 	10	0.73	 	199	14.45	 	14	1.02	 	461	33.48	 	0	0	 	1377	98.08	 	27	1.92	 	1404	2.22
Middleton		                                  	1	0.43	 	1	0.43	 	73	31.2	 	26	11.11	 	1	0.43	 	29	12.39	 	4	1.71	 	99	42.31	 	0	0	 	234	93.6	 	16	6.4	 	250	0.4
Montagu Bay		                                	6	0.5	 	6	0.5	 	530	43.91	 	130	10.77	 	7	0.58	 	111	9.2	 	4	0.33	 	413	34.22	 	0	0	 	1207	96.79	 	40	3.21	 	1247	1.98
Mornington		                                 	3	0.6	 	0	0	 	154	30.86	 	40	8.02	 	3	0.6	 	41	8.22	 	0	0	 	258	51.7	 	0	0	 	499	98.23	 	9	1.77	 	508	0.8
Opossum Bay		                                	1	0.58	 	0	0	 	94	54.34	 	14	8.09	 	1	0.58	 	15	8.67	 	0	0	 	48	27.75	 	0	0	 	173	98.3	 	3	1.7	 	176	0.28
Port Huon		                                  	0	0	 	0	0	 	99	53.51	 	9	4.86	 	0	0	 	9	4.86	 	2	1.08	 	66	35.68	 	0	0	 	185	96.35	 	7	3.65	 	192	0.3
Ranelagh		                                   	5	0.91	 	3	0.55	 	244	44.53	 	44	8.03	 	1	0.18	 	52	9.49	 	3	0.55	 	196	35.77	 	0	0	 	548	96.31	 	21	3.69	 	569	0.9
Risdon Vale		                                	16	1.04	 	11	0.72	 	308	20.04	 	109	7.09	 	16	1.04	 	53	3.45	 	5	0.33	 	1019	66.3	 	0	0	 	1537	96.24	 	60	3.76	 	1597	2.53
Rokeby		                                     	13	0.76	 	4	0.23	 	442	25.91	 	97	5.69	 	11	0.64	 	48	2.81	 	6	0.35	 	1085	63.6	 	0	0	 	1706	95.57	 	79	4.43	 	1785	2.83
Sandfly		                                    	2	0.32	 	2	0.32	 	242	38.72	 	78	12.48	 	4	0.64	 	123	19.68	 	7	1.12	 	167	26.72	 	0	0	 	625	95.42	 	30	4.58	 	655	1.04
Sandford		                                   	0	0	 	0	0	 	317	41.88	 	59	7.79	 	3	0.4	 	131	17.31	 	4	0.53	 	243	32.1	 	0	0	 	757	98.7	 	10	1.3	 	767	1.21
Seven Mile Beach		                           	0	0	 	4	0.58	 	271	39.28	 	67	9.71	 	4	0.58	 	92	13.33	 	0	0	 	252	36.52	 	0	0	 	690	97.73	 	16	2.27	 	706	1.12
Snug		                                       	4	0.52	 	5	0.65	 	289	37.83	 	102	13.35	 	4	0.52	 	73	9.55	 	3	0.39	 	284	37.17	 	0	0	 	764	95.26	 	38	4.74	 	802	1.27
South Arm		                                  	1	0.23	 	2	0.46	 	183	42.36	 	35	8.1	 	0	0	 	54	12.5	 	0	0	 	157	36.34	 	0	0	 	432	97.3	 	12	2.7	 	444	0.7
Southport		                                  	6	3.14	 	2	1.05	 	82	42.93	 	10	5.24	 	1	0.52	 	25	13.09	 	0	0	 	65	34.03	 	0	0	 	191	94.09	 	12	5.91	 	203	0.32
Strathblane		                                	3	2.48	 	1	0.83	 	40	33.06	 	5	4.13	 	1	0.83	 	10	8.26	 	1	0.83	 	60	49.59	 	0	0	 	121	97.58	 	3	2.42	 	124	0.2
Surges Bay		                                 	1	0.85	 	1	0.85	 	73	62.39	 	10	8.55	 	1	0.85	 	7	5.98	 	0	0	 	24	20.51	 	0	0	 	117	94.35	 	7	5.65	 	124	0.2
Tranmere		                                   	0	0	 	5	0.3	 	811	49.39	 	189	11.51	 	8	0.49	 	150	9.14	 	3	0.18	 	476	28.99	 	0	0	 	1642	97.97	 	34	2.03	 	1676	2.65
Warrane		                                    	18	1.13	 	12	0.75	 	381	23.92	 	100	6.28	 	15	0.94	 	99	6.21	 	6	0.38	 	962	60.39	 	0	0	 	1593	96.72	 	54	3.28	 	1647	2.61
Wentworth Street		                           	3	0.28	 	3	0.28	 	494	45.91	 	106	9.85	 	2	0.19	 	80	7.43	 	3	0.28	 	385	35.78	 	0	0	 	1076	97.02	 	33	2.98	 	1109	1.76
Woodbridge		                                 	2	0.67	 	3	1	 	119	39.67	 	43	14.33	 	1	0.33	 	56	18.67	 	0	0	 	76	25.33	 	0	0	 	300	95.85	 	13	4.15	 	313	0.5
Special Hospitals		                          	6	1.75	 	8	2.33	 	199	58.02	 	10	2.92	 	6	1.75	 	6	1.75	 	2	0.58	 	106	30.9	 	0	0	 	343	96.08	 	14	3.92	 	357	0.57
Total Ordinary		                             	274	0.54	 	253	0.49	 	20144	39.39	 	4561	8.92	 	304	0.59	 	4618	9.03	 	278	0.54	 	20710	40.5	 	0	0	 	51142	97	 	1579	3	 	52721	83.5
ABSENT		                                     	19	0.4	 	38	0.8	 	1726	36.25	 	409	8.59	 	41	0.86	 	582	12.22	 	33	0.69	 	1914	40.19	 	0	0	 	4762	98	 	97	2	 	4859	7.7
POSTAL		                                     	4	0.17	 	18	0.74	 	1003	41.5	 	191	7.9	 	22	0.91	 	257	10.63	 	21	0.87	 	901	37.28	 	0	0	 	2417	98.13	 	46	1.87	 	2463	3.9
PRE_POLL		                                   	8	0.33	 	23	0.94	 	953	38.77	 	227	9.24	 	12	0.49	 	371	15.09	 	23	0.94	 	841	34.21	 	0	0	 	2458	98.2	 	45	1.8	 	2503	3.96
PROVISIONAL		                                	10	1.75	 	5	0.87	 	123	21.5	 	31	5.42	 	13	2.27	 	53	9.27	 	4	0.7	 	333	58.22	 	0	0	 	572	96.95	 	18	3.05	 	590	0.93
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0	
Division Summary		                           	315	0.51	 	337	0.55	 	23949	39.04	 	5419	8.83	 	392	0.64	 	5881	9.59	 	359	0.59	 	24699	40.26	 	0	0	 	61351	97.17	 	1785	2.83	 	63136	97.18
 																																					


Lyons (67774)																																					
	   		Group Total NLP			Group Total NP			Group Total LP			Group Total DEM			Group Total AWP			Group Total TG			Group Total CTA			Group Total ALP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
