Senate - 1996 Election: Tasmania																																					
First Preference Votes by Group																																					
By Polling Place																																					


Bass (66017)																																					
	   		Group Total NLP			Group Total NP			Group Total LP			Group Total DEM			Group Total AWP			Group Total TG			Group Total CTA			Group Total ALP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Mowbray		                                    	13	0.87	 	3	0.2	 	549	36.55	 	87	5.79	 	10	0.67	 	107	7.12	 	7	0.47	 	726	48.34	 	0	0	 	1502	95.73	 	67	4.27	 	1569	2.46
Myrtle Park		                                	0	0	 	0	0	 	29	37.66	 	5	6.49	 	1	1.3	 	13	16.88	 	2	2.6	 	27	35.06	 	0	0	 	77	96.25	 	3	3.75	 	80	0.13
Nabowla		                                    	0	0	 	1	1.08	 	52	55.91	 	7	7.53	 	0	0	 	19	20.43	 	0	0	 	14	15.05	 	0	0	 	93	95.88	 	4	4.12	 	97	0.15
Newstead		                                   	4	0.25	 	13	0.8	 	950	58.28	 	91	5.58	 	7	0.43	 	135	8.28	 	10	0.61	 	420	25.77	 	0	0	 	1630	96.34	 	62	3.66	 	1692	2.66
Norwood		                                    	3	0.14	 	8	0.38	 	1356	63.72	 	118	5.55	 	2	0.09	 	119	5.59	 	12	0.56	 	510	23.97	 	0	0	 	2128	97.35	 	58	2.65	 	2186	3.43
Nunamara		                                   	0	0	 	3	1.57	 	75	39.27	 	23	12.04	 	0	0	 	39	20.42	 	2	1.05	 	49	25.65	 	0	0	 	191	98.45	 	3	1.55	 	194	0.3
Ockerby Gardens		                            	5	0.53	 	5	0.53	 	402	42.9	 	65	6.94	 	5	0.53	 	102	10.89	 	3	0.32	 	350	37.35	 	0	0	 	937	96.3	 	36	3.7	 	973	1.53
Pioneer		                                    	2	2.5	 	2	2.5	 	34	42.5	 	3	3.75	 	1	1.25	 	4	5	 	1	1.25	 	33	41.25	 	0	0	 	80	95.24	 	4	4.76	 	84	0.13
Pipers River		                               	1	0.38	 	1	0.38	 	140	53.44	 	9	3.44	 	0	0	 	18	6.87	 	0	0	 	93	35.5	 	0	0	 	262	95.62	 	12	4.38	 	274	0.43
Prospect		                                   	18	0.43	 	32	0.77	 	1996	47.83	 	260	6.23	 	21	0.5	 	232	5.56	 	21	0.5	 	1593	38.17	 	0	0	 	4173	97.36	 	113	2.64	 	4286	6.73
Prospect Vale		                              	2	0.2	 	5	0.5	 	590	59.3	 	54	5.43	 	2	0.2	 	53	5.33	 	7	0.7	 	282	28.34	 	0	0	 	995	97.07	 	30	2.93	 	1025	1.61
Ravenswood		                                 	27	1.1	 	16	0.65	 	670	27.2	 	127	5.16	 	18	0.73	 	98	3.98	 	3	0.12	 	1504	61.06	 	0	0	 	2463	96.21	 	97	3.79	 	2560	4.02
Ringarooma		                                 	2	0.51	 	5	1.27	 	210	53.3	 	25	6.35	 	1	0.25	 	9	2.28	 	2	0.51	 	140	35.53	 	0	0	 	394	96.57	 	14	3.43	 	408	0.64
Riverside		                                  	4	0.17	 	10	0.42	 	1412	59.3	 	152	6.38	 	13	0.55	 	193	8.11	 	28	1.18	 	569	23.9	 	0	0	 	2381	97.66	 	57	2.34	 	2438	3.83
Riverside West		                             	6	0.63	 	9	0.95	 	485	51.16	 	62	6.54	 	6	0.63	 	93	9.81	 	6	0.63	 	281	29.64	 	0	0	 	948	97.83	 	21	2.17	 	969	1.52
Rocherlea		                                  	10	0.79	 	15	1.18	 	381	30.02	 	66	5.2	 	6	0.47	 	65	5.12	 	2	0.16	 	724	57.05	 	0	0	 	1269	95.13	 	65	4.87	 	1334	2.09
St Leonards		                                	3	0.28	 	9	0.85	 	524	49.2	 	47	4.41	 	9	0.85	 	72	6.76	 	9	0.85	 	392	36.81	 	0	0	 	1065	97.53	 	27	2.47	 	1092	1.71
Scottsdale		                                 	7	0.39	 	9	0.5	 	988	55.13	 	102	5.69	 	7	0.39	 	64	3.57	 	1	0.06	 	614	34.26	 	0	0	 	1792	95.93	 	76	4.07	 	1868	2.93
Trevallyn		                                  	9	0.49	 	6	0.33	 	934	51.35	 	155	8.52	 	9	0.49	 	261	14.35	 	11	0.6	 	434	23.86	 	0	0	 	1819	98.06	 	36	1.94	 	1855	2.91
Waverley		                                   	8	0.89	 	5	0.55	 	245	27.16	 	52	5.76	 	7	0.78	 	38	4.21	 	4	0.44	 	543	60.2	 	0	0	 	902	96.16	 	36	3.84	 	938	1.47
Weymouth		                                   	0	0	 	0	0	 	98	44.95	 	19	8.72	 	0	0	 	14	6.42	 	0	0	 	87	39.91	 	0	0	 	218	97.32	 	6	2.68	 	224	0.35
Whitemark		                                  	4	1.27	 	7	2.22	 	173	54.92	 	24	7.62	 	5	1.59	 	24	7.62	 	0	0	 	78	24.76	 	0	0	 	315	97.52	 	8	2.48	 	323	0.51
Windmill Hill		                              	0	0	 	1	0.23	 	254	57.34	 	31	7	 	3	0.68	 	60	13.54	 	2	0.45	 	92	20.77	 	0	0	 	443	98.01	 	9	1.99	 	452	0.71
Winnaleah		                                  	4	1.75	 	0	0	 	146	63.76	 	10	4.37	 	0	0	 	3	1.31	 	1	0.44	 	65	28.38	 	0	0	 	229	97.86	 	5	2.14	 	234	0.37
Young Town		                                 	6	0.45	 	6	0.45	 	644	48.13	 	92	6.88	 	10	0.75	 	55	4.11	 	6	0.45	 	519	38.79	 	0	0	 	1338	95.85	 	58	4.15	 	1396	2.19
Special Hospitals		                          	3	0.55	 	6	1.09	 	338	61.68	 	15	2.74	 	6	1.09	 	13	2.37	 	4	0.73	 	163	29.74	 	0	0	 	548	96.65	 	19	3.35	 	567	0.89
Total Ordinary		                             	289	0.56	 	341	0.67	 	23691	46.29	 	3134	6.12	 	288	0.56	 	3929	7.68	 	301	0.59	 	19209	37.53	 	0	0	 	51182	96.69	 	1750	3.31	 	52932	83.11
ABSENT		                                     	25	0.55	 	30	0.66	 	2142	47.28	 	325	7.17	 	12	0.26	 	455	10.04	 	18	0.4	 	1523	33.62	 	0	0	 	4530	97.84	 	100	2.16	 	4630	7.27
POSTAL		                                     	8	0.33	 	16	0.66	 	1236	50.66	 	146	5.98	 	20	0.82	 	155	6.35	 	16	0.66	 	843	34.55	 	0	0	 	2440	97.91	 	52	2.09	 	2492	3.91
PRE_POLL		                                   	11	0.39	 	24	0.85	 	1312	46.25	 	183	6.45	 	31	1.09	 	355	12.51	 	18	0.63	 	903	31.83	 	0	0	 	2837	97.49	 	73	2.51	 	2910	4.57
PROVISIONAL		                                	10	1.43	 	9	1.28	 	202	28.82	 	38	5.42	 	5	0.71	 	69	9.84	 	5	0.71	 	363	51.78	 	0	0	 	701	96.69	 	24	3.31	 	725	1.14
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0	
Division Summary		                           	343	0.56	 	420	0.68	 	28583	46.33	 	3826	6.2	 	356	0.58	 	4963	8.05	 	358	0.58	 	22841	37.03	 	0	0	 	61690	96.86	 	1999	3.14	 	63689	96.47
 																																					


Braddon (63449)																																					
	   		Group Total NLP			Group Total NP			Group Total LP			Group Total DEM			Group Total AWP			Group Total TG			Group Total CTA			Group Total ALP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Abbotsham		                                  	1	0.71	 	1	0.71	 	91	64.54	 	3	2.13	 	0	0	 	12	8.51	 	2	1.42	 	31	21.99	 	0	0	 	141	97.92	 	3	2.08	 	144	0.23
Acton		                                      	13	0.69	 	52	2.75	 	518	27.36	 	85	4.49	 	22	1.16	 	51	2.69	 	5	0.26	 	1147	60.59	 	0	0	 	1893	95.75	 	84	4.25	 	1977	3.21
Addison Street		                             	4	0.52	 	11	1.44	 	321	41.91	 	40	5.22	 	4	0.52	 	41	5.35	 	9	1.17	 	336	43.86	 	0	0	 	766	95.16	 	39	4.84	 	805	1.31
Ambleside		                                  	3	0.62	 	8	1.66	 	240	49.69	 	28	5.8	 	1	0.21	 	30	6.21	 	2	0.41	 	171	35.4	 	0	0	 	483	98.37	 	8	1.63	 	491	0.8
Blythe Heads		                               	3	1.66	 	8	4.42	 	66	36.46	 	25	13.81	 	3	1.66	 	10	5.52	 	1	0.55	 	65	35.91	 	0	0	 	181	97.31	 	5	2.69	 	186	0.3
Boat Harbour		                               	0	0	 	10	2.9	 	202	58.55	 	19	5.51	 	3	0.87	 	30	8.7	 	3	0.87	 	78	22.61	 	0	0	 	345	98.01	 	7	1.99	 	352	0.57
Brooklyn		                                   	1	0.17	 	23	3.85	 	204	34.17	 	27	4.52	 	4	0.67	 	19	3.18	 	2	0.34	 	317	53.1	 	0	0	 	597	96.14	 	24	3.86	 	621	1.01
Burnie		                                     	7	0.53	 	55	4.14	 	572	43.01	 	86	6.47	 	9	0.68	 	93	6.99	 	10	0.75	 	498	37.44	 	0	0	 	1330	96.87	 	43	3.13	 	1373	2.23
Burnie South		                               	1	0.23	 	27	6.19	 	199	45.64	 	13	2.98	 	1	0.23	 	15	3.44	 	0	0	 	180	41.28	 	0	0	 	436	97.1	 	13	2.9	 	449	0.73
Calder		                                     	0	0	 	6	6.9	 	49	56.32	 	6	6.9	 	0	0	 	8	9.2	 	1	1.15	 	17	19.54	 	0	0	 	87	98.86	 	1	1.14	 	88	0.14
Cooee		                                      	2	0.25	 	24	3.02	 	367	46.11	 	37	4.65	 	4	0.5	 	54	6.78	 	5	0.63	 	303	38.07	 	0	0	 	796	97.67	 	19	2.33	 	815	1.32
