	   		 A Pensioner and Citizen Initiated Referendum Alliance												 B The Australian Greens - Victoria															 C Democratic Labor Party (DLP) of Australia																								 D Liberal/National Party																								 E Australian Labor Party (Victorian Branch)																		 F Australians Against Further Immigration												 G Australian Democrats																		 H Natural Law Party												 I Republican Party/Australian Bill of Rights Group												 J - Unendorsed Group												 K Australian Shooters Party															 L Call to Australia (Fred Nile) Group												Ungrouped																												
    			TICKET VOTES			BORZATTI			MCKAY			Group Total			TICKET VOTES			SINGER			ALEXANDER			LUCAS			Group Total			TICKET VOTES			MULHOLLAND			CAHILL			ROWE			CREA			CODY			DODD			Group Total			TICKET VOTES			# ALSTON			# KEMP			# PATTERSON			ETTERY			HEAD			FERNANDEZ			Group Total			TICKET VOTES			# RAY			# COONEY			GILLARD			RAYMOND			Group Total			TICKET VOTES			MCCORMACK			SPENCER			Group Total			TICKET VOTES			# ALLISON			MCLAREN			LEVY			WHITE			Group Total			TICKET VOTES			GRIFFITH			MASON			Group Total			TICKET VOTES			DAHAN			BERGEN			Group Total			TICKET VOTES			TOSCANO			ROPER			Group Total			TICKET VOTES			WOOD			SAYERS			FLIEGNER			Group Total			TICKET VOTES			COOK			CHAPMAN			Group Total			RASKOVY			SMITH			GOOD			GREEN			ABBOTTO			ARMSTRONG			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
    						Will			Neil									Peter			Karen			Helen									John			Paul			Michael			Pat			Matthew			Christine									Richard K R			Rod			Kay			Robert John			Robyne L			Anthony G									Robert Francis			Barney			Julia			Melanie									Denis			Robyn Marion									Lyn			John			Laurie			Marj									Stephen			Ngaire									Paul			Des									Joe			Steve									Colin F			Neville			Gary									Ken			Christine						Steve			Maurie			Michael			Neil			John M			David													
Polling Places			Vote	%		Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Bayswater West		                             	3	0.15	 	1	0.05	 	0	0	 	4	0.2	 	31	1.55	 	7	0.35	 	1	0.05	 	0	0	 	39	1.95	 	29	1.45	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	29	1.45	 	850	42.44	 	26	1.3	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	876	43.73	 	681	34	 	10	0.5	 	1	0.05	 	0	0	 	0	0	 	692	34.55	 	30	1.5	 	4	0.2	 	0	0	 	34	1.7	 	273	13.63	 	17	0.85	 	1	0.05	 	0	0	 	0	0	 	291	14.53	 	6	0.3	 	0	0	 	0	0	 	6	0.3	 	0	0	 	0	0	 	0	0	 	0	0	 	3	0.15	 	0	0	 	0	0	 	3	0.15	 	10	0.5	 	2	0.1	 	0	0	 	0	0	 	12	0.6	 	10	0.5	 	3	0.15	 	0	0	 	13	0.65	 	2	0.1	 	0	0	 	0	0	 	0	0	 	0	0	 	2	0.1	 	4	0.2	 	2003	96.58	 	71	3.42	 	2074	2.67
Blackwood Park		                             	3	0.21	 	0	0	 	0	0	 	3	0.21	 	35	2.45	 	3	0.21	 	0	0	 	0	0	 	38	2.66	 	29	2.03	 	1	0.07	 	1	0.07	 	0	0	 	0	0	 	0	0	 	0	0	 	31	2.17	 	585	40.94	 	11	0.77	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.07	 	597	41.78	 	515	36.04	 	12	0.84	 	0	0	 	0	0	 	2	0.14	 	529	37.02	 	23	1.61	 	4	0.28	 	0	0	 	27	1.89	 	160	11.2	 	17	1.19	 	1	0.07	 	1	0.07	 	1	0.07	 	180	12.6	 	5	0.35	 	0	0	 	0	0	 	5	0.35	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.07	 	0	0	 	0	0	 	1	0.07	 	5	0.35	 	0	0	 	0	0	 	0	0	 	5	0.35	 	9	0.63	 	2	0.14	 	0	0	 	11	0.77	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	2	0.14	 	2	0.14	 	1429	96.68	 	49	3.32	 	1478	1.9
Charlesworth Park		                          	1	0.03	 	2	0.06	 	0	0	 	3	0.1	 	79	2.55	 	5	0.16	 	2	0.06	 	0	0	 	86	2.78	 	33	1.07	 	2	0.06	 	0	0	 	0	0	 	0	0	 	1	0.03	 	0	0	 	36	1.16	 	1556	50.23	 	38	1.23	 	0	0	 	2	0.06	 	0	0	 	1	0.03	 	0	0	 	1597	51.55	 	988	31.89	 	28	0.9	 	1	0.03	 	3	0.1	 	0	0	 	1020	32.92	 	41	1.32	 	8	0.26	 	1	0.03	 	50	1.61	 	236	7.62	 	38	1.23	 	0	0	 	0	0	 	1	0.03	 	275	8.88	 	3	0.1	 	1	0.03	 	0	0	 	4	0.13	 	0	0	 	0	0	 	0	0	 	0	0	 	3	0.1	 	0	0	 	0	0	 	3	0.1	 	13	0.42	 	0	0	 	0	0	 	0	0	 	13	0.42	 	7	0.23	 	2	0.06	 	0	0	 	9	0.29	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	2	0.06	 	2	0.06	 	3098	96.96	 	97	3.04	 	3195	4.11
Eastmont		                                   	1	0.06	 	0	0	 	0	0	 	1	0.06	 	28	1.67	 	9	0.54	 	1	0.06	 	1	0.06	 	39	2.32	 	16	0.95	 	1	0.06	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	17	1.01	 	734	43.72	 	16	0.95	 	0	0	 	2	0.12	 	0	0	 	0	0	 	0	0	 	752	44.79	 	539	32.1	 	14	0.83	 	0	0	 	2	0.12	 	0	0	 	555	33.06	 	21	1.25	 	4	0.24	 	0	0	 	25	1.49	 	218	12.98	 	35	2.08	 	0	0	 	0	0	 	0	0	 	253	15.07	 	4	0.24	 	1	0.06	 	0	0	 	5	0.3	 	3	0.18	 	0	0	 	0	0	 	3	0.18	 	4	0.24	 	1	0.06	 	0	0	 	5	0.3	 	6	0.36	 	3	0.18	 	0	0	 	0	0	 	9	0.54	 	6	0.36	 	4	0.24	 	0	0	 	10	0.6	 	1	0.06	 	0	0	 	0	0	 	0	0	 	0	0	 	4	0.24	 	5	0.3	 	1679	97.62	 	41	2.38	 	1720	2.21
Flamingo		                                   	0	0	 	0	0	 	0	0	 	0	0	 	10	0.58	 	1	0.06	 	0	0	 	0	0	 	11	0.64	 	11	0.64	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	11	0.64	 	951	55.03	 	14	0.81	 	0	0	 	0	0	 	1	0.06	 	0	0	 	0	0	 	966	55.9	 	542	31.37	 	11	0.64	 	0	0	 	2	0.12	 	0	0	 	555	32.12	 	9	0.52	 	4	0.23	 	0	0	 	13	0.75	 	126	7.29	 	17	0.98	 	0	0	 	0	0	 	0	0	 	143	8.28	 	3	0.17	 	0	0	 	0	0	 	3	0.17	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.06	 	0	0	 	1	0.06	 	3	0.17	 	0	0	 	0	0	 	0	0	 	3	0.17	 	14	0.81	 	6	0.35	 	0	0	 	20	1.16	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	2	0.12	 	2	0.12	 	1728	96.48	 	63	3.52	 	1791	2.3
Heany Park		                                 	0	0	 	0	0	 	0	0	 	0	0	 	12	0.64	 	1	0.05	 	1	0.05	 	1	0.05	 	15	0.8	 	21	1.12	 	0	0	 	1	0.05	 	0	0	 	0	0	 	0	0	 	0	0	 	22	1.17	 	942	50.11	 	20	1.06	 	1	0.05	 	0	0	 	0	0	 	1	0.05	 	0	0	 	964	51.28	 	662	35.21	 	7	0.37	 	0	0	 	1	0.05	 	0	0	 	670	35.64	 	8	0.43	 	3	0.16	 	0	0	 	11	0.59	 	153	8.14	 	16	0.85	 	0	0	 	0	0	 	0	0	 	169	8.99	 	3	0.16	 	0	0	 	0	0	 	3	0.16	 	0	0	 	0	0	 	0	0	 	0	0	 	2	0.11	 	0	0	 	0	0	 	2	0.11	 	12	0.64	 	1	0.05	 	0	0	 	0	0	 	13	0.69	 	8	0.43	 	0	0	 	0	0	 	8	0.43	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	3	0.16	 	3	0.16	 	1880	98.64	 	26	1.36	 	1906	2.45
Heathmont East		                             	1	0.08	 	1	0.08	 	0	0	 	2	0.15	 	23	1.74	 	5	0.38	 	1	0.08	 	0	0	 	29	2.19	 	14	1.06	 	2	0.15	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	16	1.21	 	637	48.18	 	16	1.21	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	653	49.39	 	352	26.63	 	8	0.61	 	1	0.08	 	2	0.15	 	0	0	 	363	27.46	 	13	0.98	 	7	0.53	 	1	0.08	 	21	1.59	 	155	11.72	 	40	3.03	 	0	0	 	2	0.15	 	0	0	 	197	14.9	 	4	0.3	 	0	0	 	0	0	 	4	0.3	 	1	0.08	 	0	0	 	1	0.08	 	2	0.15	 	1	0.08	 	0	0	 	0	0	 	1	0.08	 	6	0.45	 	2	0.15	 	0	0	 	0	0	 	8	0.61	 	13	0.98	 	11	0.83	 	0	0	 	24	1.82	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	2	0.15	 	2	0.15	 	1322	96.92	 	42	3.08	 	1364	1.76
Heathmont High		                             	3	0.17	 	1	0.06	 	0	0	 	4	0.23	 	34	1.97	 	3	0.17	 	1	0.06	 	0	0	 	38	2.21	 	16	0.93	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	16	0.93	 	809	46.95	 	24	1.39	 	1	0.06	 	1	0.06	 	1	0.06	 	0	0	 	4	0.23	 	840	48.75	 	488	28.32	 	14	0.81	 	0	0	 	1	0.06	 	0	0	 	503	29.19	 	16	0.93	 	7	0.41	 	0	0	 	23	1.33	 	223	12.94	 	43	2.5	 	0	0	 	0	0	 	0	0	 	266	15.44	 	1	0.06	 	0	0	 	0	0	 	1	0.06	 	2	0.12	 	1	0.06	 	0	0	 	3	0.17	 	0	0	 	0	0	 	0	0	 	0	0	 	8	0.46	 	1	0.06	 	0	0	 	0	0	 	9	0.52	 	9	0.52	 	3	0.17	 	0	0	 	12	0.7	 	2	0.12	 	0	0	 	0	0	 	1	0.06	 	0	0	 	5	0.29	 	8	0.46	 	1723	99.08	 	16	0.92	 	1739	2.24
Karoo		                                      	0	0	 	0	0	 	0	0	 	0	0	 	14	0.85	 	1	0.06	 	0	0	 	0	0	 	15	0.91	 	33	2.01	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	33	2.01	 	686	41.83	 	13	0.79	 	1	0.06	 	1	0.06	 	0	0	 	0	0	 	0	0	 	701	42.74	 	661	40.3	 	6	0.37	 	1	0.06	 	0	0	 	0	0	 	668	40.73	 	16	0.98	 	4	0.24	 	0	0	 	20	1.22	 	156	9.51	 	16	0.98	 	0	0	 	0	0	 	0	0	 	172	10.49	 	1	0.06	 	0	0	 	0	0	 	1	0.06	 	1	0.06	 	0	0	 	0	0	 	1	0.06	 	1	0.06	 	0	0	 	0	0	 	1	0.06	 	12	0.73	 	0	0	 	1	0.06	 	0	0	 	13	0.79	 	10	0.61	 	4	0.24	 	0	0	 	14	0.85	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.06	 	1	0.06	 	1640	98.74	 	21	1.26	 	1661	2.14
Knoxfield		                                  	3	0.08	 	0	0	 	0	0	 	3	0.08	 	54	1.52	 	8	0.22	 	0	0	 	0	0	 	62	1.74	 	29	0.81	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	29	0.81	 	1409	39.55	 	20	0.56	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.03	 	1430	40.13	 	1269	35.62	 	27	0.76	 	0	0	 	2	0.06	 	2	0.06	 	1300	36.49	 	36	1.01	 	7	0.2	 	0	0	 	43	1.21	 	565	15.86	 	33	0.93	 	2	0.06	 	0	0	 	1	0.03	 	601	16.87	 	6	0.17	 	2	0.06	 	0	0	 	8	0.22	 	0	0	 	1	0.03	 	0	0	 	1	0.03	 	2	0.06	 	0	0	 	0	0	 	2	0.06	 	22	0.62	 	6	0.17	 	0	0	 	0	0	 	28	0.79	 	33	0.93	 	9	0.25	 	0	0	 	42	1.18	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	14	0.39	 	14	0.39	 	3563	97.11	 	106	2.89	 	3669	4.72
