	   		 A Australian Women's Party												 B Liberal Party (W.A. Division) Inc.																								 C - Unendorsed Group												 D Call to Australia (Fred Nile) Group												 E National Party of Australia (WA) Inc												 F Australians Against Further Immigration												 G Australian Labor Party (Western Australi																		 H The Greens (WA) Inc												 I Australian Democrats															Ungrouped																						
    			TICKET VOTES			TURNBULL			MUDFORD			Group Total			TICKET VOTES			# CRANE			# PANIZZA			# EGGLESTON			HUSTON			SIRNA			THOMPSON			Group Total			TICKET VOTES			DRAKE			ROBINSON			Group Total			TICKET VOTES			JACKSON			LAURIE			Group Total			TICKET VOTES			MCANUFF			ANDERSON			Group Total			TICKET VOTES			HAYE			HAMMOND			Group Total			TICKET VOTES			# MCKIERNAN			# BISHOP			BEAHAN			CRAWFORD			Group Total			TICKET VOTES			CHAMARETTE			CHAPPLE			Group Total			TICKET VOTES			# MURRAY			MILLAR			DE LA HUNTY			Group Total			BRADSHAW			MACKINTOSH			COOPER			WHITE			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
    						Mattie			Kate									Winston			John H			Alan			Michael			Enzo			Clare Helen									Tony			Jean H									Don			Marj									Kevin			Lynley									Richard T			Robert K									Jim			Mark			Michael			Catherine									Christabel			Robin									Andrew J M			Don			Shirley						Craig			Craig Alan			Vin			Ros													
Polling Places			Vote	%		Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Binningup		                                  	5	1.14	 	0	0	 	0	0	 	5	1.14	 	213	48.74	 	6	1.37	 	0	0	 	1	0.23	 	0	0	 	0	0	 	1	0.23	 	221	50.57	 	0	0	 	0	0	 	0	0	 	0	0	 	2	0.46	 	3	0.69	 	0	0	 	5	1.14	 	13	2.97	 	1	0.23	 	0	0	 	14	3.2	 	3	0.69	 	1	0.23	 	0	0	 	4	0.92	 	126	28.83	 	0	0	 	0	0	 	0	0	 	0	0	 	126	28.83	 	26	5.95	 	6	1.37	 	0	0	 	32	7.32	 	25	5.72	 	4	0.92	 	0	0	 	1	0.23	 	30	6.86	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	437	96.9	 	14	3.1	 	451	0.51
Brunswick		                                  	3	0.52	 	0	0	 	0	0	 	3	0.52	 	313	54.25	 	1	0.17	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	314	54.42	 	0	0	 	0	0	 	0	0	 	0	0	 	5	0.87	 	0	0	 	0	0	 	5	0.87	 	19	3.29	 	1	0.17	 	0	0	 	20	3.47	 	7	1.21	 	3	0.52	 	0	0	 	10	1.73	 	179	31.02	 	4	0.69	 	0	0	 	0	0	 	0	0	 	183	31.72	 	16	2.77	 	3	0.52	 	0	0	 	19	3.29	 	20	3.47	 	3	0.52	 	0	0	 	0	0	 	23	3.99	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	577	93.37	 	41	6.63	 	618	0.7
Bunbury Central (Brand)		                    	1	0.85	 	0	0	 	0	0	 	1	0.85	 	49	41.88	 	1	0.85	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	50	42.74	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.85	 	0	0	 	0	0	 	1	0.85	 	0	0	 	1	0.85	 	0	0	 	1	0.85	 	45	38.46	 	2	1.71	 	0	0	 	2	1.71	 	0	0	 	49	41.88	 	5	4.27	 	1	0.85	 	0	0	 	6	5.13	 	9	7.69	 	0	0	 	0	0	 	0	0	 	9	7.69	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	117	96.69	 	4	3.31	 	121	0.14
Busselton (Brand)		                          	4	2.05	 	0	0	 	0	0	 	4	2.05	 	89	45.64	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	89	45.64	 	0	0	 	0	0	 	0	0	 	0	0	 	3	1.54	 	0	0	 	0	0	 	3	1.54	 	0	0	 	0	0	 	0	0	 	0	0	 	4	2.05	 	0	0	 	0	0	 	4	2.05	 	67	34.36	 	1	0.51	 	0	0	 	0	0	 	0	0	 	68	34.87	 	9	4.62	 	1	0.51	 	0	0	 	10	5.13	 	14	7.18	 	2	1.03	 	0	0	 	1	0.51	 	17	8.72	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	195	97.99	 	4	2.01	 	199	0.23
Busselton West (Brand)		                     	0	0	 	0	0	 	0	0	 	0	0	 	35	33.65	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	35	33.65	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.96	 	2	1.92	 	0	0	 	3	2.88	 	2	1.92	 	0	0	 	0	0	 	2	1.92	 	4	3.85	 	0	0	 	0	0	 	4	3.85	 	46	44.23	 	0	0	 	0	0	 	0	0	 	0	0	 	46	44.23	 	1	0.96	 	0	0	 	0	0	 	1	0.96	 	11	10.58	 	2	1.92	 	0	0	 	0	0	 	13	12.5	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	104	98.11	 	2	1.89	 	106	0.12
Calista		                                    	26	0.99	 	1	0.04	 	1	0.04	 	28	1.07	 	719	27.41	 	9	0.34	 	2	0.08	 	0	0	 	0	0	 	0	0	 	1	0.04	 	731	27.87	 	1	0.04	 	3	0.11	 	0	0	 	4	0.15	 	22	0.84	 	6	0.23	 	0	0	 	28	1.07	 	14	0.53	 	0	0	 	0	0	 	14	0.53	 	34	1.3	 	3	0.11	 	1	0.04	 	38	1.45	 	1374	52.38	 	19	0.72	 	0	0	 	1	0.04	 	3	0.11	 	1397	53.26	 	158	6.02	 	17	0.65	 	0	0	 	175	6.67	 	177	6.75	 	20	0.76	 	1	0.04	 	6	0.23	 	204	7.78	 	3	0.11	 	1	0.04	 	0	0	 	0	0	 	4	0.15	 	2623	96.12	 	106	3.88	 	2729	3.1
Carcoola		                                   	9	1.97	 	1	0.22	 	0	0	 	10	2.19	 	153	33.48	 	0	0	 	1	0.22	 	0	0	 	1	0.22	 	0	0	 	0	0	 	155	33.92	 	1	0.22	 	0	0	 	0	0	 	1	0.22	 	4	0.88	 	0	0	 	0	0	 	4	0.88	 	5	1.09	 	0	0	 	0	0	 	5	1.09	 	6	1.31	 	1	0.22	 	0	0	 	7	1.53	 	207	45.3	 	2	0.44	 	1	0.22	 	0	0	 	2	0.44	 	212	46.39	 	21	4.6	 	0	0	 	0	0	 	21	4.6	 	38	8.32	 	2	0.44	 	0	0	 	0	0	 	40	8.75	 	1	0.22	 	0	0	 	0	0	 	1	0.22	 	2	0.44	 	457	94.42	 	27	5.58	 	484	0.55
Collie		                                     	6	1.25	 	0	0	 	0	0	 	6	1.25	 	105	21.92	 	2	0.42	 	1	0.21	 	0	0	 	0	0	 	0	0	 	0	0	 	108	22.55	 	0	0	 	0	0	 	0	0	 	0	0	 	4	0.84	 	1	0.21	 	0	0	 	5	1.04	 	32	6.68	 	2	0.42	 	0	0	 	34	7.1	 	6	1.25	 	1	0.21	 	1	0.21	 	8	1.67	 	272	56.78	 	1	0.21	 	0	0	 	0	0	 	0	0	 	273	56.99	 	9	1.88	 	5	1.04	 	0	0	 	14	2.92	 	26	5.43	 	4	0.84	 	0	0	 	0	0	 	30	6.26	 	0	0	 	0	0	 	0	0	 	1	0.21	 	1	0.21	 	479	93.55	 	33	6.45	 	512	0.58
Collie Central		                             	25	1.6	 	11	0.7	 	1	0.06	 	37	2.37	 	306	19.6	 	8	0.51	 	2	0.13	 	1	0.06	 	0	0	 	0	0	 	0	0	 	317	20.31	 	5	0.32	 	0	0	 	0	0	 	5	0.32	 	4	0.26	 	0	0	 	0	0	 	4	0.26	 	64	4.1	 	3	0.19	 	0	0	 	67	4.29	 	13	0.83	 	2	0.13	 	0	0	 	15	0.96	 	983	62.97	 	17	1.09	 	0	0	 	2	0.13	 	0	0	 	1002	64.19	 	47	3.01	 	13	0.83	 	0	0	 	60	3.84	 	40	2.56	 	9	0.58	 	0	0	 	2	0.13	 	51	3.27	 	2	0.13	 	0	0	 	0	0	 	1	0.06	 	3	0.19	 	1561	94.78	 	86	5.22	 	1647	1.87
Collie District Hospital		                   	9	1.46	 	0	0	 	0	0	 	9	1.46	 	172	27.92	 	2	0.32	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	174	28.25	 	2	0.32	 	0	0	 	0	0	 	2	0.32	 	2	0.32	 	1	0.16	 	0	0	 	3	0.49	 	20	3.25	 	1	0.16	 	0	0	 	21	3.41	 	8	1.3	 	0	0	 	0	0	 	8	1.3	 	346	56.17	 	4	0.65	 	0	0	 	0	0	 	1	0.16	 	351	56.98	 	17	2.76	 	4	0.65	 	0	0	 	21	3.41	 	23	3.73	 	2	0.32	 	0	0	 	0	0	 	25	4.06	 	1	0.16	 	0	0	 	0	0	 	1	0.16	 	2	0.32	 	616	94.05	 	39	5.95	 	655	0.74
