Senate - 1996 Election: Tasmania																																																																																																																						
First Preference Votes by Candidate																																																																																																																						
by Polling Place																																																																																																																						
 																																																																																																																						

Bass (66017)																																																																																																																						

	   		 A Natural Law Party												 B National Party of Australia - Tasmania												 C Liberal Party of Australia - Tasmanian Division															 D Australian Democrats															 E Australian Women's Party												 F Tasmanian Greens												 G Call to Australia (Fred Nile) Group												 H Australian Labor Party (Tasmanian Branch)															Ungrouped										
    			TICKET VOTES			BROSZCZYK			HARLOW			Group Total			TICKET VOTES			JACKSON			CLAYTON			Group Total			TICKET VOTES			# NEWMAN			# CALVERT			# WATSON			Group Total			TICKET VOTES			BELL			ONSMAN			TATTERSALL			Group Total			TICKET VOTES			ANDERSEN			MACQUEEN			Group Total			TICKET VOTES			# BROWN			DALE			Group Total			TICKET VOTES			ROGERS			ROGERS			Group Total			TICKET VOTES			# MACKAY			# SHERRY			TOUBER			Group Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
    						Gregory			James									Mary			Jeff									Jocelyn			Paul			John									Robert			Julia			Philip J									Clair			Lin									Bob			Janet									Don			Beryl									Sue			Nick			Charles																
Polling Places			Vote	%		Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Derby		                                      	0	0	 	0	0	 	0	0	 	0	0	 	2	1.23	 	0	0	 	0	0	 	2	1.23	 	47	29.01	 	12	7.41	 	0	0	 	1	0.62	 	60	37.04	 	10	6.17	 	2	1.23	 	1	0.62	 	0	0	 	13	8.02	 	0	0	 	0	0	 	0	0	 	0	0	 	22	13.58	 	9	5.56	 	0	0	 	31	19.14	 	1	0.62	 	0	0	 	0	0	 	1	0.62	 	41	25.31	 	6	3.7	 	8	4.94	 	0	0	 	55	33.95	 	0	0	 	162	96.43	 	6	3.57	 	168	0.26
Dilston		                                    	2	0.35	 	1	0.17	 	0	0	 	3	0.52	 	2	0.35	 	2	0.35	 	0	0	 	4	0.69	 	239	41.28	 	58	10.02	 	2	0.35	 	12	2.07	 	311	53.71	 	14	2.42	 	16	2.76	 	0	0	 	0	0	 	30	5.18	 	1	0.17	 	0	0	 	0	0	 	1	0.17	 	30	5.18	 	34	5.87	 	1	0.17	 	65	11.23	 	0	0	 	0	0	 	0	0	 	0	0	 	143	24.7	 	13	2.25	 	9	1.55	 	0	0	 	165	28.5	 	0	0	 	579	97.97	 	12	2.03	 	591	0.93
Elphin		                                     	3	0.55	 	3	0.55	 	0	0	 	6	1.1	 	2	0.37	 	1	0.18	 	2	0.37	 	5	0.92	 	175	32.11	 	38	6.97	 	1	0.18	 	17	3.12	 	231	42.39	 	18	3.3	 	12	2.2	 	0	0	 	0	0	 	30	5.5	 	4	0.73	 	1	0.18	 	0	0	 	5	0.92	 	22	4.04	 	15	2.75	 	1	0.18	 	38	6.97	 	3	0.55	 	1	0.18	 	0	0	 	4	0.73	 	193	35.41	 	20	3.67	 	12	2.2	 	1	0.18	 	226	41.47	 	0	0	 	545	95.95	 	23	4.05	 	568	0.89
Emita		                                      	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	1.61	 	0	0	 	1	1.61	 	28	45.16	 	7	11.29	 	0	0	 	3	4.84	 	38	61.29	 	4	6.45	 	2	3.23	 	1	1.61	 	0	0	 	7	11.29	 	0	0	 	0	0	 	0	0	 	0	0	 	4	6.45	 	2	3.23	 	0	0	 	6	9.68	 	0	0	 	0	0	 	0	0	 	0	0	 	7	11.29	 	2	3.23	 	1	1.61	 	0	0	 	10	16.13	 	0	0	 	62	95.38	 	3	4.62	 	65	0.1
Franklin Village		                           	1	0.46	 	1	0.46	 	0	0	 	2	0.93	 	2	0.93	 	1	0.46	 	0	0	 	3	1.39	 	73	33.8	 	25	11.57	 	3	1.39	 	8	3.7	 	109	50.46	 	9	4.17	 	2	0.93	 	0	0	 	0	0	 	11	5.09	 	0	0	 	0	0	 	0	0	 	0	0	 	10	4.63	 	9	4.17	 	0	0	 	19	8.8	 	0	0	 	1	0.46	 	0	0	 	1	0.46	 	55	25.46	 	6	2.78	 	10	4.63	 	0	0	 	71	32.87	 	0	0	 	216	97.74	 	5	2.26	 	221	0.35
General Hospital		                           	1	0.22	 	2	0.43	 	1	0.22	 	4	0.87	 	5	1.08	 	2	0.43	 	0	0	 	7	1.52	 	149	32.32	 	36	7.81	 	0	0	 	7	1.52	 	192	41.65	 	17	3.69	 	10	2.17	 	0	0	 	0	0	 	27	5.86	 	6	1.3	 	0	0	 	0	0	 	6	1.3	 	24	5.21	 	28	6.07	 	0	0	 	52	11.28	 	0	0	 	0	0	 	0	0	 	0	0	 	149	32.32	 	15	3.25	 	9	1.95	 	0	0	 	173	37.53	 	0	0	 	461	96.24	 	18	3.76	 	479	0.75
George Town		                                	14	0.65	 	7	0.33	 	2	0.09	 	23	1.07	 	8	0.37	 	5	0.23	 	0	0	 	13	0.61	 	519	24.21	 	141	6.58	 	3	0.14	 	36	1.68	 	699	32.6	 	88	4.1	 	29	1.35	 	3	0.14	 	1	0.05	 	121	5.64	 	11	0.51	 	5	0.23	 	0	0	 	16	0.75	 	56	2.61	 	37	1.73	 	5	0.23	 	98	4.57	 	4	0.19	 	1	0.05	 	0	0	 	5	0.23	 	930	43.38	 	143	6.67	 	90	4.2	 	6	0.28	 	1169	54.52	 	0	0	 	2144	96.62	 	75	3.38	 	2219	3.48
George Town South		                          	2	0.22	 	0	0	 	1	0.11	 	3	0.33	 	4	0.44	 	4	0.44	 	0	0	 	8	0.88	 	254	28.07	 	62	6.85	 	0	0	 	3	0.33	 	319	35.25	 	27	2.98	 	17	1.88	 	0	0	 	0	0	 	44	4.86	 	5	0.55	 	0	0	 	0	0	 	5	0.55	 	24	2.65	 	12	1.33	 	2	0.22	 	38	4.2	 	2	0.22	 	0	0	 	0	0	 	2	0.22	 	404	44.64	 	44	4.86	 	36	3.98	 	2	0.22	 	486	53.7	 	0	0	 	905	96.69	 	31	3.31	 	936	1.47
Gladstone		                                  	1	0.5	 	2	1	 	0	0	 	3	1.49	 	0	0	 	1	0.5	 	0	0	 	1	0.5	 	57	28.36	 	17	8.46	 	1	0.5	 	4	1.99	 	79	39.3	 	3	1.49	 	4	1.99	 	0	0	 	0	0	 	7	3.48	 	2	1	 	0	0	 	0	0	 	2	1	 	9	4.48	 	2	1	 	0	0	 	11	5.47	 	1	0.5	 	1	0.5	 	0	0	 	2	1	 	84	41.79	 	8	3.98	 	4	1.99	 	0	0	 	96	47.76	 	0	0	 	201	93.93	 	13	6.07	 	214	0.34
Hillwood		                                   	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	128	34.5	 	36	9.7	 	2	0.54	 	2	0.54	 	168	45.28	 	15	4.04	 	11	2.96	 	0	0	 	0	0	 	26	7.01	 	1	0.27	 	1	0.27	 	0	0	 	2	0.54	 	8	2.16	 	14	3.77	 	1	0.27	 	23	6.2	 	2	0.54	 	0	0	 	0	0	 	2	0.54	 	121	32.61	 	20	5.39	 	8	2.16	 	1	0.27	 	150	40.43	 	0	0	 	371	97.89	 	8	2.11	 	379	0.6
