Senate - 1996 Election: Western Australia																																								
First Preference Votes by Group																																								
By Polling Place																																								


Brand (92099)																																								
	   		Group Total AWP			Group Total LP			Group Total - Unendorsed Group C			Group Total CTA			Group Total NP			Group Total AFI			Group Total ALP			Group Total GWA			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Allanson		                                   	4	1.32	 	69	22.85	 	3	0.99	 	4	1.32	 	21	6.95	 	7	2.32	 	156	51.66	 	13	4.3	 	24	7.95	 	1	0.33	 	302	96.18	 	12	3.82	 	314	0.36
Baldivis		                                   	5	0.5	 	550	55.17	 	0	0	 	7	0.7	 	19	1.91	 	12	1.2	 	266	26.68	 	54	5.42	 	80	8.02	 	4	0.4	 	997	96.8	 	33	3.2	 	1030	1.17
Barragup		                                   	20	1.7	 	619	52.59	 	3	0.25	 	2	0.17	 	18	1.53	 	13	1.1	 	339	28.8	 	74	6.29	 	89	7.56	 	0	0	 	1177	96.4	 	44	3.6	 	1221	1.39
Benger		                                     	2	2.94	 	54	79.41	 	0	0	 	0	0	 	1	1.47	 	0	0	 	6	8.82	 	3	4.41	 	2	2.94	 	0	0	 	68	95.77	 	3	4.23	 	71	0.08
Binningup		                                  	5	1.14	 	221	50.57	 	0	0	 	5	1.14	 	14	3.2	 	4	0.92	 	126	28.83	 	32	7.32	 	30	6.86	 	0	0	 	437	96.9	 	14	3.1	 	451	0.51
Brunswick		                                  	3	0.52	 	314	54.42	 	0	0	 	5	0.87	 	20	3.47	 	10	1.73	 	183	31.72	 	19	3.29	 	23	3.99	 	0	0	 	577	93.37	 	41	6.63	 	618	0.7
Bunbury Central (Brand)		                    	1	0.85	 	50	42.74	 	0	0	 	0	0	 	1	0.85	 	1	0.85	 	49	41.88	 	6	5.13	 	9	7.69	 	0	0	 	117	96.69	 	4	3.31	 	121	0.14
Busselton (Brand)		                          	4	2.05	 	89	45.64	 	0	0	 	3	1.54	 	0	0	 	4	2.05	 	68	34.87	 	10	5.13	 	17	8.72	 	0	0	 	195	97.99	 	4	2.01	 	199	0.23
Busselton West (Brand)		                     	0	0	 	35	33.65	 	0	0	 	3	2.88	 	2	1.92	 	4	3.85	 	46	44.23	 	1	0.96	 	13	12.5	 	0	0	 	104	98.11	 	2	1.89	 	106	0.12
Calista		                                    	28	1.07	 	731	27.87	 	4	0.15	 	28	1.07	 	14	0.53	 	38	1.45	 	1397	53.26	 	175	6.67	 	204	7.78	 	4	0.15	 	2623	96.12	 	106	3.88	 	2729	3.1
Carcoola		                                   	10	2.19	 	155	33.92	 	1	0.22	 	4	0.88	 	5	1.09	 	7	1.53	 	212	46.39	 	21	4.6	 	40	8.75	 	2	0.44	 	457	94.42	 	27	5.58	 	484	0.55
Collie		                                     	6	1.25	 	108	22.55	 	0	0	 	5	1.04	 	34	7.1	 	8	1.67	 	273	56.99	 	14	2.92	 	30	6.26	 	1	0.21	 	479	93.55	 	33	6.45	 	512	0.58
Collie Central		                             	37	2.37	 	317	20.31	 	5	0.32	 	4	0.26	 	67	4.29	 	15	0.96	 	1002	64.19	 	60	3.84	 	51	3.27	 	3	0.19	 	1561	94.78	 	86	5.22	 	1647	1.87
Collie District Hospital		                   	9	1.46	 	174	28.25	 	2	0.32	 	3	0.49	 	21	3.41	 	8	1.3	 	351	56.98	 	21	3.41	 	25	4.06	 	2	0.32	 	616	94.05	 	39	5.95	 	655	0.74
Collie North		                               	14	1.62	 	197	22.75	 	0	0	 	6	0.69	 	33	3.81	 	9	1.04	 	564	65.13	 	11	1.27	 	31	3.58	 	1	0.12	 	866	94.96	 	46	5.04	 	912	1.04
Coodanup		                                   	25	1.57	 	596	37.44	 	7	0.44	 	3	0.19	 	24	1.51	 	31	1.95	 	726	45.6	 	58	3.64	 	121	7.6	 	1	0.06	 	1592	95.9	 	68	4.1	 	1660	1.88
Cooloongup		                                 	47	1.28	 	1088	29.56	 	7	0.19	 	19	0.52	 	33	0.9	 	55	1.49	 	1929	52.4	 	185	5.03	 	315	8.56	 	3	0.08	 	3681	97.3	 	102	2.7	 	3783	4.29
Coolup		                                     	2	0.78	 	147	56.98	 	1	0.39	 	2	0.78	 	11	4.26	 	2	0.78	 	53	20.54	 	20	7.75	 	18	6.98	 	2	0.78	 	258	97.36	 	7	2.64	 	265	0.3
Dawesville		                                 	5	0.68	 	407	55	 	1	0.14	 	1	0.14	 	8	1.08	 	10	1.35	 	198	26.76	 	39	5.27	 	71	9.59	 	0	0	 	740	95.98	 	31	4.02	 	771	0.88
Dunsborough (Brand)		                        	1	1.16	 	51	59.3	 	0	0	 	1	1.16	 	2	2.33	 	1	1.16	 	22	25.58	 	2	2.33	 	6	6.98	 	0	0	 	86	98.85	 	1	1.15	 	87	0.1
Dwellingup		                                 	5	1.21	 	167	40.44	 	0	0	 	5	1.21	 	10	2.42	 	9	2.18	 	150	36.32	 	40	9.69	 	26	6.3	 	1	0.24	 	413	95.38	 	20	4.62	 	433	0.49
Ewington		                                   	2	0.83	 	57	23.65	 	0	0	 	0	0	 	16	6.64	 	3	1.24	 	150	62.24	 	9	3.73	 	4	1.66	 	0	0	 	241	94.14	 	15	5.86	 	256	0.29
Falcon		                                     	14	0.7	 	966	48.18	 	0	0	 	4	0.2	 	24	1.2	 	19	0.95	 	699	34.86	 	148	7.38	 	127	6.33	 	4	0.2	 	2005	95.93	 	85	4.07	 	2090	2.37
Golden Bay		                                 	10	1.56	 	275	42.83	 	1	0.16	 	7	1.09	 	4	0.62	 	12	1.87	 	224	34.89	 	55	8.57	 	53	8.26	 	1	0.16	 	642	96.25	 	25	3.75	 	667	0.76
Greenfields		                                	22	1.34	 	671	40.77	 	2	0.12	 	11	0.67	 	17	1.03	 	22	1.34	 	701	42.59	 	78	4.74	 	122	7.41	 	0	0	 	1646	96.71	 	56	3.29	 	1702	1.93
Greenfields East		                           	13	1.19	 	412	37.66	 	0	0	 	10	0.91	 	11	1.01	 	17	1.55	 	463	42.32	 	67	6.12	 	96	8.78	 	5	0.46	 	1094	96.99	 	34	3.01	 	1128	1.28
Halls Head		                                 	25	0.92	 	1551	56.94	 	0	0	 	13	0.48	 	18	0.66	 	28	1.03	 	787	28.89	 	77	2.83	 	220	8.08	 	5	0.18	 	2724	97.25	 	77	2.75	 	2801	3.18
Halls Head South		                           	16	1.39	 	529	46.08	 	0	0	 	8	0.7	 	16	1.39	 	12	1.05	 	405	35.28	 	32	2.79	 	128	11.15	 	2	0.17	 	1148	98.2	 	21	1.8	 	1169	1.33
Harvey		                                     	21	1.11	 	950	50.08	 	4	0.21	 	20	1.05	 	46	2.42	 	11	0.58	 	674	35.53	 	71	3.74	 	99	5.22	 	1	0.05	 	1897	94.47	 	111	5.53	 	2008	2.28
Hillman		                                    	26	1.29	 	659	32.64	 	3	0.15	 	9	0.45	 	14	0.69	 	23	1.14	 	992	49.13	 	128	6.34	 	163	8.07	 	2	0.1	 	2019	96.7	 	69	3.3	 	2088	2.37
Lake Clifton		                               	6	2.74	 	122	55.71	 	0	0	 	0	0	 	4	1.83	 	1	0.46	 	51	23.29	 	14	6.39	 	20	9.13	 	1	0.46	 	219	98.21	 	4	1.79	 	223	0.25
Lancelin (Brand)		                           	2	4.76	 	20	47.62	 	0	0	 	0	0	 	0	0	 	1	2.38	 	14	33.33	 	3	7.14	 	2	4.76	 	0	0	 	42	97.67	 	1	2.33	 	43	0.05
Leda		                                       	22	1.88	 	284	24.32	 	1	0.09	 	6	0.51	 	3	0.26	 	12	1.03	 	648	55.48	 	83	7.11	 	106	9.08	 	3	0.26	 	1168	96.05	 	48	3.95	 	1216	1.38
Madora		                                     	2	0.6	 	147	43.88	 	0	0	 	2	0.6	 	3	0.9	 	8	2.39	 	100	29.85	 	26	7.76	 	46	13.73	 	1	0.3	 	335	97.1	 	10	2.9	 	345	0.39
Mandurah		                                   	20	1.15	 	852	48.8	 	4	0.23	 	6	0.34	 	28	1.6	 	19	1.09	 	626	35.85	 	55	3.15	 	132	7.56	 	4	0.23	 	1746	95.99	 	73	4.01	 	1819	2.06
Mandurah Central		                           	23	1.23	 	902	48.36	 	4	0.21	 	8	0.43	 	15	0.8	 	11	0.59	 	709	38.02	 	78	4.18	 	113	6.06	 	2	0.11	 	1865	95.4	 	90	4.6	 	1955	2.22
Mandurah East		                              	26	1.96	 	617	46.43	 	2	0.15	 	2	0.15	 	8	0.6	 	31	2.33	 	491	36.95	 	45	3.39	 	103	7.75	 	4	0.3	 	1329	95.89	 	57	4.11	 	1386	1.57
Mandurah South		                             	32	1.51	 	1112	52.33	 	2	0.09	 	5	0.24	 	31	1.46	 	29	1.36	 	710	33.41	 	74	3.48	 	129	6.07	 	1	0.05	 	2125	95.51	 	100	4.49	 	2225	2.53
Margaret River (Brand)		                     	3	2.33	 	66	51.16	 	1	0.78	 	0	0	 	1	0.78	 	3	2.33	 	34	26.36	 	11	8.53	 	10	7.75	 	0	0	 	129	94.85	 	7	5.15	 	136	0.15
Meadow Springs		                             	14	0.82	 	892	52.44	 	2	0.12	 	9	0.53	 	8	0.47	 	15	0.88	 	575	33.8	 	61	3.59	 	124	7.29	 	1	0.06	 	1701	97.7	 	40	2.3	 	1741	1.98
Medina		                                     	46	1.73	 	702	26.36	 	7	0.26	 	19	0.71	 	20	0.75	 	27	1.01	 	1425	53.51	 	147	5.52	 	265	9.95	 	5	0.19	 	2663	95.59	 	123	4.41	 	2786	3.16
Nannup (Brand)		                             	0	0	 	29	49.15	 	0	0	 	0	0	 	1	1.69	 	1	1.69	 	21	35.59	 	2	3.39	 	4	6.78	 	1	1.69	 	59	98.33	 	1	1.67	 	60	0.07
North Dandalup		                             	2	0.69	 	143	49.14	 	0	0	 	3	1.03	 	7	2.41	 	5	1.72	 	87	29.9	 	16	5.5	 	27	9.28	 	1	0.34	 	291	95.72	 	13	4.28	 	304	0.35
Parmelia		                                   	15	0.86	 	399	22.79	 	3	0.17	 	9	0.51	 	10	0.57	 	28	1.6	 	1016	58.02	 	107	6.11	 	161	9.19	 	3	0.17	 	1751	96.69	 	60	3.31	 	1811	2.06
Perth (Brand)		                              	2	2.78	 	26	36.11	 	0	0	 	0	0	 	2	2.78	 	1	1.39	 	31	43.06	 	3	4.17	 	7	9.72	 	0	0	 	72	97.3	 	2	2.7	 	74	0.08
Pinjarra		                                   	20	1.4	 	739	51.68	 	1	0.07	 	15	1.05	 	29	2.03	 	24	1.68	 	446	31.19	 	62	4.34	 	94	6.57	 	0	0	 	1430	94.45	 	84	5.55	 	1514	1.72
Port Kennedy		                               	3	0.42	 	269	37.94	 	1	0.14	 	3	0.42	 	5	0.71	 	14	1.97	 	307	43.3	 	41	5.78	 	65	9.17	 	1	0.14	 	709	98.47	 	11	1.53	 	720	0.82
Rockingham		                                 	47	1.04	 	1800	39.72	 	5	0.11	 	24	0.53	 	25	0.55	 	91	2.01	 	1938	42.76	 	241	5.32	 	355	7.83	 	6	0.13	 	4532	95.31	 	223	4.69	 	4755	5.4
Rockingham Beach		                           	21	1.49	 	652	46.27	 	1	0.07	 	6	0.43	 	8	0.57	 	17	1.21	 	494	35.06	 	74	5.25	 	134	9.51	 	2	0.14	 	1409	94.75	 	78	5.25	 	1487	1.69
Roelands		                                   	3	2.52	 	74	62.18	 	0	0	 	0	0	 	2	1.68	 	0	0	 	24	20.17	 	7	5.88	 	9	7.56	 	0	0	 	119	96.75	 	4	3.25	 	123	0.14
Rottnest (Brand)		                           	1	0.87	 	59	51.3	 	1	0.87	 	0	0	 	0	0	 	0	0	 	34	29.57	 	7	6.09	 	13	11.3	 	0	0	 	115	98.29	 	2	1.71	 	117	0.13
Safety Bay		                                 	40	1.02	 	1790	45.64	 	2	0.05	 	36	0.92	 	36	0.92	 	63	1.61	 	1382	35.24	 	205	5.23	 	363	9.26	 	5	0.13	 	3922	95.75	 	174	4.25	 	4096	4.65
Safety Bay Central		                         	20	0.63	 	1387	43.64	 	10	0.31	 	15	0.47	 	16	0.5	 	51	1.6	 	1253	39.43	 	165	5.19	 	257	8.09	 	4	0.13	 	3178	97.1	 	95	2.9	 	3273	3.72
Secret Harbour		                             	1	0.22	 	202	43.63	 	1	0.22	 	4	0.86	 	2	0.43	 	6	1.3	 	182	39.31	 	25	5.4	 	40	8.64	 	0	0	 	463	98.72	 	6	1.28	 	469	0.53
Singleton		                                  	7	0.95	 	298	40.38	 	0	0	 	6	0.81	 	6	0.81	 	11	1.49	 	269	36.45	 	58	7.86	 	83	11.25	 	0	0	 	738	98.14	 	14	1.86	 	752	0.85
Waikiki		                                    	24	0.9	 	1035	38.87	 	1	0.04	 	21	0.79	 	23	0.86	 	32	1.2	 	1156	43.41	 	137	5.14	 	222	8.34	 	12	0.45	 	2663	97.3	 	74	2.7	 	2737	3.11
Warnbro		                                    	29	1.13	 	916	35.55	 	9	0.35	 	13	0.5	 	11	0.43	 	37	1.44	 	1124	43.62	 	192	7.45	 	240	9.31	 	6	0.23	 	2577	97.39	 	69	2.61	 	2646	3
Warnbro East		                               	13	1.05	 	422	33.98	 	3	0.24	 	8	0.64	 	11	0.89	 	20	1.61	 	552	44.44	 	73	5.88	 	139	11.19	 	1	0.08	 	1242	97.8	 	28	2.2	 	1270	1.44
Waroona		                                    	25	1.84	 	725	53.39	 	3	0.22	 	5	0.37	 	72	5.3	 	12	0.88	 	428	31.52	 	41	3.02	 	44	3.24	 	3	0.22	 	1358	94.5	 	79	5.5	 	1437	1.63
Wilson Park		                                	3	0.97	 	70	22.73	 	0	0	 	1	0.32	 	9	2.92	 	3	0.97	 	211	68.51	 	6	1.95	 	5	1.62	 	0	0	 	308	93.33	 	22	6.67	 	330	0.37
Yallingup (Brand)		                          	1	2	 	24	48	 	0	0	 	0	0	 	0	0	 	0	0	 	19	38	 	2	4	 	4	8	 	0	0	 	50	98.04	 	1	1.96	 	51	0.06
Yarloop		                                    	8	1.52	 	282	53.41	 	0	0	 	1	0.19	 	28	5.3	 	7	1.33	 	153	28.98	 	11	2.08	 	35	6.63	 	3	0.57	 	528	94.79	 	29	5.21	 	557	0.63
Yunderup		                                   	6	0.93	 	402	62.23	 	1	0.15	 	0	0	 	6	0.93	 	2	0.31	 	169	26.16	 	17	2.63	 	41	6.35	 	2	0.31	 	646	97.44	 	17	2.56	 	663	0.75
Yunderup North		                             	2	0.72	 	157	56.47	 	0	0	 	1	0.36	 	6	2.16	 	5	1.8	 	72	25.9	 	12	4.32	 	19	6.83	 	4	1.44	 	278	95.21	 	14	4.79	 	292	0.33
Special Hospitals		                          	8	1.42	 	286	50.71	 	0	0	 	2	0.35	 	3	0.53	 	7	1.24	 	224	39.72	 	5	0.89	 	29	5.14	 	0	0	 	564	94.79	 	31	5.21	 	595	0.68
Total Ordinary		                             	879	1.2	 	30111	41.2	 	109	0.15	 	422	0.58	 	963	1.32	 	989	1.35	 	30186	41.3	 	3629	4.97	 	5677	7.77	 	121	0.17	 	73086	96.18	 	2900	3.82	 	75986	86.26
ABSENT		                                     	86	1.61	 	2076	38.77	 	9	0.17	 	38	0.71	 	86	1.61	 	109	2.04	 	2172	40.56	 	333	6.22	 	430	8.03	 	16	0.3	 	5355	97.4	 	143	2.6	 	5498	6.24
POSTAL		                                     	20	1.04	 	819	42.75	 	3	0.16	 	10	0.52	 	32	1.67	 	41	2.14	 	754	39.35	 	79	4.12	 	156	8.14	 	2	0.1	 	1916	98.86	 	22	1.14	 	1938	2.2
PRE_POLL		                                   	49	1.45	 	1499	44.45	 	3	0.09	 	21	0.62	 	49	1.45	 	67	1.99	 	1215	36.03	 	143	4.24	 	318	9.43	 	8	0.24	 	3372	98.34	 	57	1.66	 	3429	3.89
PROVISIONAL		                                	22	1.82	 	380	31.43	 	0	0	 	8	0.66	 	18	1.49	 	32	2.65	 	596	49.3	 	100	8.27	 	51	4.22	 	2	0.17	 	1209	97.74	 	28	2.26	 	1237	1.4
ADJUSTMENT		                                 	8		       	13		       	5		       	1		       	0		       	0		       	15		       	2		       	1		       	-3		       	42		       	-42		       	0	
Division Summary		                           	1064	1.25	 	34898	41.07	 	129	0.15	 	500	0.59	 	1148	1.35	 	1238	1.46	 	34938	41.11	 	4286	5.04	 	6633	7.81	 	146	0.17	 	84980	96.47	 	3108	3.53	 	88088	95.64
 																																								


Canning (76087)																																								
	   		Group Total AWP			Group Total LP			Group Total - Unendorsed Group C			Group Total CTA			Group Total NP			Group Total AFI			Group Total ALP			Group Total GWA			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Armadale		                                   	36	1.17	 	1176	38.07	 	2	0.06	 	102	3.3	 	16	0.52	 	47	1.52	 	1241	40.17	 	163	5.28	 	303	9.81	 	3	0.1	 	3089	95.19	 	156	4.81	 	3245	4.44
Armadale East		                              	21	0.98	 	1073	50.02	 	4	0.19	 	38	1.77	 	13	0.61	 	27	1.26	 	652	30.4	 	101	4.71	 	209	9.74	 	7	0.33	 	2145	96.84	 	70	3.16	 	2215	3.03
Armadale North		                             	4	0.33	 	518	42.15	 	1	0.08	 	25	2.03	 	12	0.98	 	18	1.46	 	478	38.89	 	47	3.82	 	126	10.25	 	0	0	 	1229	97.39	 	33	2.61	 	1262	1.72
Armadale South		                             	5	0.72	 	364	52.22	 	0	0	 	10	1.43	 	7	1	 	6	0.86	 	235	33.72	 	18	2.58	 	48	6.89	 	4	0.57	 	697	95.48	 	33	4.52	 	730	1
Armadale West		                              	17	0.91	 	633	33.83	 	4	0.21	 	43	2.3	 	10	0.53	 	25	1.34	 	828	44.25	 	107	5.72	 	200	10.69	 	4	0.21	 	1871	95.95	 	79	4.05	 	1950	2.67
Beckenham (Canning)		                        	10	0.67	 	606	40.75	 	2	0.13	 	22	1.48	 	11	0.74	 	26	1.75	 	594	39.95	 	78	5.25	 	137	9.21	 	1	0.07	 	1487	97.32	 	41	2.68	 	1528	2.09
Bedfordale		                                 	3	0.73	 	239	58.01	 	1	0.24	 	10	2.43	 	3	0.73	 	6	1.46	 	81	19.66	 	28	6.8	 	40	9.71	 	1	0.24	 	412	97.86	 	9	2.14	 	421	0.58
Bunbury Central (Canning)		                  	1	1.25	 	33	41.25	 	0	0	 	8	10	 	0	0	 	1	1.25	 	24	30	 	5	6.25	 	8	10	 	0	0	 	80	96.39	 	3	3.61	 	83	0.11
Busselton (Canning)		                        	2	1.36	 	70	47.62	 	0	0	 	3	2.04	 	2	1.36	 	3	2.04	 	44	29.93	 	6	4.08	 	17	11.56	 	0	0	 	147	98	 	3	2	 	150	0.21
Busselton West (Canning)		                   	0	0	 	29	50	 	0	0	 	3	5.17	 	0	0	 	0	0	 	18	31.03	 	3	5.17	 	5	8.62	 	0	0	 	58	100	 	0	0	 	58	0.08
Byford		                                     	22	1.1	 	988	49.2	 	2	0.1	 	41	2.04	 	18	0.9	 	25	1.25	 	618	30.78	 	95	4.73	 	194	9.66	 	5	0.25	 	2008	96.08	 	82	3.92	 	2090	2.86
Canning Vale		                               	15	0.74	 	1078	53.31	 	2	0.1	 	11	0.54	 	12	0.59	 	11	0.54	 	628	31.06	 	56	2.77	 	207	10.24	 	2	0.1	 	2022	98.68	 	27	1.32	 	2049	2.8
Dunsborough (Canning)		                      	0	0	 	31	55.36	 	0	0	 	0	0	 	0	0	 	0	0	 	18	32.14	 	1	1.79	 	6	10.71	 	0	0	 	56	93.33	 	4	6.67	 	60	0.08
Falcon (Canning)		                           	0	0	 	41	56.94	 	0	0	 	2	2.78	 	0	0	 	2	2.78	 	20	27.78	 	3	4.17	 	4	5.56	 	0	0	 	72	92.31	 	6	7.69	 	78	0.11
Forrestdale		                                	7	0.75	 	443	47.58	 	1	0.11	 	6	0.64	 	7	0.75	 	13	1.4	 	296	31.79	 	60	6.44	 	95	10.2	 	3	0.32	 	931	96.58	 	33	3.42	 	964	1.32
Gosnells		                                   	17	0.98	 	671	38.56	 	4	0.23	 	22	1.26	 	9	0.52	 	34	1.95	 	661	37.99	 	123	7.07	 	196	11.26	 	3	0.17	 	1740	95.71	 	78	4.29	 	1818	2.48
Gosnells Central		                           	19	0.84	 	1012	44.74	 	0	0	 	51	2.25	 	12	0.53	 	29	1.28	 	774	34.22	 	123	5.44	 	228	10.08	 	14	0.62	 	2262	95.28	 	112	4.72	 	2374	3.24
Gosnells South		                             	30	1	 	1031	34.38	 	3	0.1	 	26	0.87	 	8	0.27	 	42	1.4	 	1403	46.78	 	132	4.4	 	322	10.74	 	2	0.07	 	2999	96.96	 	94	3.04	 	3093	4.23
Gosnells West		                              	27	1.17	 	862	37.27	 	0	0	 	16	0.69	 	8	0.35	 	36	1.56	 	946	40.9	 	143	6.18	 	268	11.59	 	7	0.3	 	2313	97.02	 	71	2.98	 	2384	3.26
Huntingdale		                                	24	0.9	 	1012	37.79	 	4	0.15	 	32	1.19	 	15	0.56	 	32	1.19	 	1120	41.82	 	117	4.37	 	312	11.65	 	10	0.37	 	2678	96.99	 	83	3.01	 	2761	3.77
Jarrahdale		                                 	4	1.15	 	143	40.97	 	0	0	 	4	1.15	 	1	0.29	 	4	1.15	 	128	36.68	 	24	6.88	 	38	10.89	 	3	0.86	 	349	95.1	 	18	4.9	 	367	0.5
Kelmscott		                                  	18	0.98	 	669	36.6	 	1	0.05	 	28	1.53	 	14	0.77	 	22	1.2	 	804	43.98	 	101	5.53	 	167	9.14	 	4	0.22	 	1828	96.52	 	66	3.48	 	1894	2.59
Kelmscott East		                             	16	0.79	 	1003	49.73	 	1	0.05	 	54	2.68	 	16	0.79	 	20	0.99	 	579	28.71	 	108	5.35	 	220	10.91	 	0	0	 	2017	96.65	 	70	3.35	 	2087	2.85
Kelmscott North		                            	11	0.81	 	626	45.89	 	1	0.07	 	14	1.03	 	9	0.66	 	21	1.54	 	476	34.9	 	64	4.69	 	138	10.12	 	4	0.29	 	1364	97.57	 	34	2.43	 	1398	1.91
Kenwick		                                    	21	1.07	 	827	42.22	 	3	0.15	 	31	1.58	 	10	0.51	 	28	1.43	 	774	39.51	 	100	5.1	 	162	8.27	 	3	0.15	 	1959	96.31	 	75	3.69	 	2034	2.78
Lancelin (Canning)		                         	0	0	 	47	51.09	 	1	1.09	 	2	2.17	 	0	0	 	1	1.09	 	31	33.7	 	4	4.35	 	6	6.52	 	0	0	 	92	98.92	 	1	1.08	 	93	0.13
Langford (Canning)		                         	4	2.04	 	59	30.1	 	1	0.51	 	1	0.51	 	0	0	 	3	1.53	 	105	53.57	 	8	4.08	 	15	7.65	 	0	0	 	196	97.51	 	5	2.49	 	201	0.27
Maddington		                                 	41	1.39	 	1067	36.27	 	4	0.14	 	20	0.68	 	16	0.54	 	55	1.87	 	1291	43.88	 	168	5.71	 	276	9.38	 	4	0.14	 	2942	95.61	 	135	4.39	 	3077	4.21
Maddington East		                            	2	0.31	 	205	32.03	 	1	0.16	 	11	1.72	 	4	0.63	 	10	1.56	 	304	47.5	 	30	4.69	 	71	11.09	 	2	0.31	 	640	96.39	 	24	3.61	 	664	0.91
Maddington North		                           	9	1.27	 	293	41.27	 	0	0	 	6	0.85	 	10	1.41	 	6	0.85	 	293	41.27	 	31	4.37	 	61	8.59	 	1	0.14	 	710	94.54	 	41	5.46	 	751	1.03
Mandurah Central (Canning)		                 	0	0	 	42	42.86	 	0	0	 	0	0	 	1	1.02	 	1	1.02	 	44	44.9	 	4	4.08	 	6	6.12	 	0	0	 	98	96.08	 	4	3.92	 	102	0.14
Margaret River (Canning)		                   	0	0	 	56	55.45	 	0	0	 	1	0.99	 	1	0.99	 	0	0	 	28	27.72	 	11	10.89	 	4	3.96	 	0	0	 	101	95.28	 	5	4.72	 	106	0.14
Mundijong		                                  	5	0.61	 	415	50.61	 	1	0.12	 	11	1.34	 	6	0.73	 	14	1.71	 	207	25.24	 	75	9.15	 	82	10	 	4	0.49	 	820	97.62	 	20	2.38	 	840	1.15
Nannup (Canning)		                           	0	0	 	8	32	 	0	0	 	0	0	 	0	0	 	0	0	 	11	44	 	3	12	 	3	12	 	0	0	 	25	96.15	 	1	3.85	 	26	0.04
Oakford		                                    	6	0.88	 	394	57.52	 	2	0.29	 	4	0.58	 	2	0.29	 	13	1.9	 	166	24.23	 	25	3.65	 	70	10.22	 	3	0.44	 	685	97.03	 	21	2.97	 	706	0.96
Perth (Canning)		                            	0	0	 	42	39.25	 	1	0.93	 	1	0.93	 	1	0.93	 	1	0.93	 	44	41.12	 	10	9.35	 	7	6.54	 	0	0	 	107	96.4	 	4	3.6	 	111	0.15
Rottnest (Canning)		                         	0	0	 	36	49.32	 	0	0	 	0	0	 	0	0	 	0	0	 	21	28.77	 	6	8.22	 	10	13.7	 	0	0	 	73	94.81	 	4	5.19	 	77	0.11
Serpentine		                                 	6	0.73	 	482	59	 	1	0.12	 	6	0.73	 	8	0.98	 	9	1.1	 	176	21.54	 	44	5.39	 	84	10.28	 	1	0.12	 	817	97.49	 	21	2.51	 	838	1.15
Strawberry Fields		                          	19	1.15	 	494	29.83	 	5	0.3	 	21	1.27	 	16	0.97	 	23	1.39	 	773	46.68	 	95	5.74	 	208	12.56	 	2	0.12	 	1656	96.9	 	53	3.1	 	1709	2.34
Thornlie		                                   	19	0.51	 	1520	40.75	 	4	0.11	 	41	1.1	 	37	0.99	 	52	1.39	 	1551	41.58	 	141	3.78	 	362	9.71	 	3	0.08	 	3730	97.72	 	87	2.28	 	3817	5.22
Thornlie East		                              	38	1.17	 	1337	41.05	 	8	0.25	 	33	1.01	 	20	0.61	 	64	1.96	 	1284	39.42	 	131	4.02	 	333	10.22	 	9	0.28	 	3257	96.45	 	120	3.55	 	3377	4.62
Thornlie South		                             	12	0.61	 	854	43.68	 	2	0.1	 	14	0.72	 	10	0.51	 	12	0.61	 	751	38.41	 	86	4.4	 	212	10.84	 	2	0.1	 	1955	98.44	 	31	1.56	 	1986	2.71
Thornlie West		                              	16	0.63	 	1063	42.13	 	2	0.08	 	20	0.79	 	12	0.48	 	28	1.11	 	1045	41.42	 	94	3.73	 	238	9.43	 	5	0.2	 	2523	96.56	 	90	3.44	 	2613	3.57
Westfield		                                  	15	1.11	 	436	32.39	 	5	0.37	 	20	1.49	 	10	0.74	 	18	1.34	 	631	46.88	 	58	4.31	 	148	11	 	5	0.37	 	1346	96.28	 	52	3.72	 	1398	1.91
Westfield South		                            	17	0.98	 	526	30.2	 	0	0	 	26	1.49	 	14	0.8	 	27	1.55	 	859	49.31	 	76	4.36	 	193	11.08	 	4	0.23	 	1742	95.61	 	80	4.39	 	1822	2.49
Wungong		                                    	19	1.49	 	365	28.69	 	1	0.08	 	18	1.42	 	7	0.55	 	12	0.94	 	652	51.26	 	73	5.74	 	120	9.43	 	5	0.39	 	1272	97.4	 	34	2.6	 	1306	1.79
Yallingup (Canning)		                        	2	5.26	 	8	21.05	 	0	0	 	0	0	 	1	2.63	 	1	2.63	 	15	39.47	 	4	10.53	 	7	18.42	 	0	0	 	38	100	 	0	0	 	38	0.05
Special Hospitals		                          	8	2.3	 	181	52.01	 	0	0	 	1	0.29	 	3	0.86	 	1	0.29	 	126	36.21	 	7	2.01	 	21	6.03	 	0	0	 	348	94.82	 	19	5.18	 	367	0.5
Prison Mobiles		                             	0	0	 	2	33.33	 	0	0	 	0	0	 	0	0	 	0	0	 	4	66.67	 	0	0	 	0	0	 	0	0	 	6	100	 	0	0	 	6	0.01
