Senate - 1996 Election: Western Australia																																								
First Preference Votes by Group																																								
By Polling Place																																								


Brand (92099)																																								
	   		Group Total AWP			Group Total LP			Group Total - Unendorsed Group C			Group Total CTA			Group Total NP			Group Total AFI			Group Total ALP			Group Total GWA			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Argyle		                                     	1	2.5	 	14	35	 	1	2.5	 	0	0	 	0	0	 	0	0	 	20	50	 	0	0	 	4	10	 	0	0	 	40	100	 	0	0	 	40	0.06
Balgo		                                      	0	0	 	10	7.14	 	0	0	 	0	0	 	0	0	 	1	0.71	 	122	87.14	 	1	0.71	 	6	4.29	 	0	0	 	140	100	 	0	0	 	140	0.22
Barrow Island		                              	0	0	 	2	33.33	 	0	0	 	0	0	 	0	0	 	0	0	 	3	50	 	1	16.67	 	0	0	 	0	0	 	6	100	 	0	0	 	6	0.01
Bodallin		                                   	0	0	 	54	80.6	 	0	0	 	0	0	 	7	10.45	 	1	1.49	 	3	4.48	 	1	1.49	 	0	0	 	1	1.49	 	67	100	 	0	0	 	67	0.1
Boulder		                                    	35	1.26	 	966	34.85	 	11	0.4	 	21	0.76	 	23	0.83	 	82	2.96	 	1413	50.97	 	80	2.89	 	134	4.83	 	7	0.25	 	2772	95.92	 	118	4.08	 	2890	4.47
Broome		                                     	29	1.3	 	846	38.04	 	5	0.22	 	5	0.22	 	15	0.67	 	17	0.76	 	1019	45.82	 	145	6.52	 	140	6.29	 	3	0.13	 	2224	98.28	 	39	1.72	 	2263	3.5
Broome West		                                	9	1.19	 	354	46.76	 	0	0	 	6	0.79	 	8	1.06	 	10	1.32	 	258	34.08	 	52	6.87	 	59	7.79	 	1	0.13	 	757	98.06	 	15	1.94	 	772	1.19
Bullfinch		                                  	0	0	 	37	62.71	 	1	1.69	 	0	0	 	0	0	 	1	1.69	 	17	28.81	 	3	5.08	 	0	0	 	0	0	 	59	96.72	 	2	3.28	 	61	0.09
Bunbury Central (Kalgoorlie)		               	0	0	 	18	38.3	 	0	0	 	0	0	 	0	0	 	0	0	 	25	53.19	 	2	4.26	 	2	4.26	 	0	0	 	47	100	 	0	0	 	47	0.07
Busselton (Kalgoorlie)		                     	0	0	 	18	50	 	0	0	 	0	0	 	0	0	 	3	8.33	 	9	25	 	4	11.11	 	2	5.56	 	0	0	 	36	100	 	0	0	 	36	0.06
Busselton West (Kalgoorlie)		                	0	0	 	16	64	 	0	0	 	0	0	 	1	4	 	0	0	 	8	32	 	0	0	 	0	0	 	0	0	 	25	100	 	0	0	 	25	0.04
Carnarvon		                                  	15	0.97	 	759	48.84	 	1	0.06	 	23	1.48	 	21	1.35	 	29	1.87	 	575	37	 	53	3.41	 	76	4.89	 	2	0.13	 	1554	97	 	48	3	 	1602	2.48
Carnarvon East		                             	3	0.34	 	522	59.32	 	1	0.11	 	8	0.91	 	4	0.45	 	11	1.25	 	285	32.39	 	19	2.16	 	25	2.84	 	2	0.23	 	880	95.34	 	43	4.66	 	923	1.43
Cascade		                                    	0	0	 	49	89.09	 	0	0	 	0	0	 	5	9.09	 	0	0	 	1	1.82	 	0	0	 	0	0	 	0	0	 	55	100	 	0	0	 	55	0.09
Castletown		                                 	22	1.21	 	1149	63.1	 	2	0.11	 	11	0.6	 	46	2.53	 	21	1.15	 	422	23.17	 	61	3.35	 	86	4.72	 	1	0.05	 	1821	96.55	 	65	3.45	 	1886	2.92
Condingup		                                  	4	1.51	 	185	69.81	 	1	0.38	 	4	1.51	 	14	5.28	 	2	0.75	 	45	16.98	 	1	0.38	 	9	3.4	 	0	0	 	265	98.88	 	3	1.12	 	268	0.41
Cooke Point		                                	16	1.82	 	333	37.88	 	0	0	 	3	0.34	 	5	0.57	 	22	2.5	 	378	43	 	39	4.44	 	69	7.85	 	14	1.59	 	879	97.99	 	18	2.01	 	897	1.39
Coolgardie		                                 	17	3.54	 	193	40.21	 	1	0.21	 	5	1.04	 	4	0.83	 	20	4.17	 	200	41.67	 	19	3.96	 	21	4.38	 	0	0	 	480	96.19	 	19	3.81	 	499	0.77
Coral Bay		                                  	0	0	 	49	53.26	 	0	0	 	0	0	 	2	2.17	 	3	3.26	 	23	25	 	4	4.35	 	11	11.96	 	0	0	 	92	100	 	0	0	 	92	0.14
Cue		                                        	2	1.03	 	86	44.1	 	0	0	 	2	1.03	 	4	2.05	 	3	1.54	 	82	42.05	 	3	1.54	 	12	6.15	 	1	0.51	 	195	97.01	 	6	2.99	 	201	0.31
Dalyup		                                     	1	0.79	 	101	80.16	 	0	0	 	0	0	 	12	9.52	 	1	0.79	 	9	7.14	 	1	0.79	 	1	0.79	 	0	0	 	126	100	 	0	0	 	126	0.19
Dampier		                                    	11	1.56	 	265	37.64	 	3	0.43	 	4	0.57	 	6	0.85	 	11	1.56	 	320	45.45	 	22	3.13	 	62	8.81	 	0	0	 	704	98.19	 	13	1.81	 	717	1.11
Denham		                                     	2	0.66	 	177	58.03	 	1	0.33	 	1	0.33	 	1	0.33	 	3	0.98	 	95	31.15	 	8	2.62	 	17	5.57	 	0	0	 	305	98.07	 	6	1.93	 	311	0.48
Derby		                                      	21	1.96	 	383	35.79	 	3	0.28	 	9	0.84	 	10	0.93	 	6	0.56	 	535	50	 	46	4.3	 	56	5.23	 	1	0.09	 	1070	97.99	 	22	2.01	 	1092	1.69
Dunsborough (Kalgoorlie)		                   	0	0	 	7	53.85	 	0	0	 	0	0	 	0	0	 	0	0	 	2	15.38	 	3	23.08	 	1	7.69	 	0	0	 	13	76.47	 	4	23.53	 	17	0.03
Esperance		                                  	21	0.88	 	1333	55.73	 	4	0.17	 	22	0.92	 	51	2.13	 	39	1.63	 	669	27.97	 	129	5.39	 	117	4.89	 	7	0.29	 	2392	97.71	 	56	2.29	 	2448	3.79
Exmouth		                                    	11	1.21	 	428	47.14	 	1	0.11	 	3	0.33	 	6	0.66	 	15	1.65	 	329	36.23	 	46	5.07	 	68	7.49	 	1	0.11	 	908	97.01	 	28	2.99	 	936	1.45
Falcon (Kalgoorlie)		                        	0	0	 	7	36.84	 	0	0	 	0	0	 	0	0	 	0	0	 	10	52.63	 	1	5.26	 	1	5.26	 	0	0	 	19	95	 	1	5	 	20	0.03
Fitzroy Crossing		                           	7	1.78	 	105	26.72	 	0	0	 	0	0	 	10	2.54	 	1	0.25	 	257	65.39	 	8	2.04	 	5	1.27	 	0	0	 	393	92.69	 	31	7.31	 	424	0.66
Gascoyne Junction		                          	0	0	 	22	73.33	 	0	0	 	0	0	 	1	3.33	 	0	0	 	6	20	 	0	0	 	0	0	 	1	3.33	 	30	100	 	0	0	 	30	0.05
Gibson		                                     	0	0	 	102	67.11	 	0	0	 	1	0.66	 	9	5.92	 	4	2.63	 	26	17.11	 	1	0.66	 	9	5.92	 	0	0	 	152	96.82	 	5	3.18	 	157	0.24
Grass Patch		                                	0	0	 	67	81.71	 	0	0	 	0	0	 	3	3.66	 	0	0	 	6	7.32	 	1	1.22	 	5	6.1	 	0	0	 	82	98.8	 	1	1.2	 	83	0.13
Halls Creek		                                	2	0.56	 	76	21.47	 	0	0	 	7	1.98	 	2	0.56	 	0	0	 	251	70.9	 	4	1.13	 	11	3.11	 	1	0.28	 	354	96.99	 	11	3.01	 	365	0.56
Jigalong		                                   	0	0	 	53	58.89	 	0	0	 	0	0	 	0	0	 	0	0	 	35	38.89	 	2	2.22	 	0	0	 	0	0	 	90	100	 	0	0	 	90	0.14
Kalgoorlie		                                 	39	1.42	 	1105	40.33	 	2	0.07	 	10	0.36	 	33	1.2	 	71	2.59	 	1164	42.48	 	129	4.71	 	180	6.57	 	7	0.26	 	2740	96.04	 	113	3.96	 	2853	4.41
Kalgoorlie East		                            	5	3.05	 	27	16.46	 	0	0	 	1	0.61	 	1	0.61	 	7	4.27	 	115	70.12	 	3	1.83	 	5	3.05	 	0	0	 	164	97.62	 	4	2.38	 	168	0.26
Kalgoorlie Eastern Goldfields		              	6	0.86	 	277	39.51	 	1	0.14	 	5	0.71	 	5	0.71	 	12	1.71	 	341	48.64	 	27	3.85	 	26	3.71	 	1	0.14	 	701	96.69	 	24	3.31	 	725	1.12
Kalgoorlie Halfway		                         	30	1.87	 	599	37.25	 	6	0.37	 	2	0.12	 	11	0.68	 	30	1.87	 	800	49.75	 	60	3.73	 	68	4.23	 	2	0.12	 	1608	96.58	 	57	3.42	 	1665	2.57
Kalgoorlie North		                           	25	1.29	 	932	48.09	 	4	0.21	 	18	0.93	 	17	0.88	 	34	1.75	 	719	37.1	 	67	3.46	 	122	6.3	 	0	0	 	1938	98.38	 	32	1.62	 	1970	3.05
Kalgoorlie Regional Hospital		               	13	2.04	 	274	43.08	 	1	0.16	 	3	0.47	 	14	2.2	 	13	2.04	 	249	39.15	 	28	4.4	 	41	6.45	 	0	0	 	636	96.95	 	20	3.05	 	656	1.01
Kalgoorlie Wallace Park		                    	2	0.42	 	203	43.01	 	0	0	 	2	0.42	 	7	1.48	 	10	2.12	 	212	44.92	 	18	3.81	 	18	3.81	 	0	0	 	472	97.72	 	11	2.28	 	483	0.75
Kambalda		                                   	6	1.28	 	114	24.31	 	2	0.43	 	1	0.21	 	6	1.28	 	12	2.56	 	289	61.62	 	12	2.56	 	27	5.76	 	0	0	 	469	96.9	 	15	3.1	 	484	0.75
Kambalda West		                              	17	1.8	 	311	32.94	 	1	0.11	 	4	0.42	 	11	1.17	 	30	3.18	 	492	52.12	 	29	3.07	 	47	4.98	 	2	0.21	 	944	97.93	 	20	2.07	 	964	1.49
Karratha		                                   	16	1.17	 	465	33.99	 	2	0.15	 	2	0.15	 	7	0.51	 	23	1.68	 	661	48.32	 	80	5.85	 	111	8.11	 	1	0.07	 	1368	98.56	 	20	1.44	 	1388	2.15
Karratha West		                              	35	1.59	 	956	43.53	 	4	0.18	 	10	0.46	 	15	0.68	 	37	1.68	 	833	37.93	 	104	4.74	 	197	8.97	 	5	0.23	 	2196	98.12	 	42	1.88	 	2238	3.46
Kununurra		                                  	14	1.02	 	657	47.99	 	7	0.51	 	12	0.88	 	26	1.9	 	19	1.39	 	462	33.75	 	84	6.14	 	87	6.36	 	1	0.07	 	1369	97.58	 	34	2.42	 	1403	2.17
Lancelin (Kalgoorlie)		                      	0	0	 	3	25	 	0	0	 	0	0	 	0	0	 	0	0	 	6	50	 	1	8.33	 	2	16.67	 	0	0	 	12	100	 	0	0	 	12	0.02
Laverton		                                   	1	0.53	 	80	42.78	 	0	0	 	4	2.14	 	1	0.53	 	3	1.6	 	84	44.92	 	7	3.74	 	7	3.74	 	0	0	 	187	98.42	 	3	1.58	 	190	0.29
Leinster		                                   	13	3.16	 	201	48.79	 	1	0.24	 	2	0.49	 	7	1.7	 	6	1.46	 	123	29.85	 	20	4.85	 	39	9.47	 	0	0	 	412	96.49	 	15	3.51	 	427	0.66
Leonora		                                    	3	0.96	 	154	49.04	 	0	0	 	6	1.91	 	4	1.27	 	5	1.59	 	109	34.71	 	22	7.01	 	11	3.5	 	0	0	 	314	95.44	 	15	4.56	 	329	0.51
Looma		                                      	3	1.69	 	9	5.08	 	2	1.13	 	0	0	 	4	2.26	 	2	1.13	 	155	87.57	 	0	0	 	2	1.13	 	0	0	 	177	100	 	0	0	 	177	0.27
Mandurah Central (Kalgoorlie)		              	0	0	 	11	42.31	 	1	3.85	 	0	0	 	0	0	 	2	7.69	 	8	30.77	 	2	7.69	 	2	7.69	 	0	0	 	26	96.3	 	1	3.7	 	27	0.04
Marble Bar		                                 	0	0	 	43	35.25	 	0	0	 	0	0	 	0	0	 	1	0.82	 	68	55.74	 	3	2.46	 	7	5.74	 	0	0	 	122	94.57	 	7	5.43	 	129	0.2
Margaret River (Kalgoorlie)		                	0	0	 	12	42.86	 	0	0	 	2	7.14	 	3	10.71	 	1	3.57	 	7	25	 	2	7.14	 	1	3.57	 	0	0	 	28	100	 	0	0	 	28	0.04
Marvel Loch		                                	0	0	 	100	66.67	 	0	0	 	0	0	 	3	2	 	2	1.33	 	34	22.67	 	3	2	 	6	4	 	2	1.33	 	150	98.68	 	2	1.32	 	152	0.24
Meekatharra		                                	6	1.63	 	196	53.12	 	2	0.54	 	0	0	 	5	1.36	 	8	2.17	 	124	33.6	 	9	2.44	 	17	4.61	 	2	0.54	 	369	96.6	 	13	3.4	 	382	0.59
Menzies		                                    	2	2.74	 	22	30.14	 	0	0	 	0	0	 	0	0	 	2	2.74	 	44	60.27	 	1	1.37	 	2	2.74	 	0	0	 	73	92.41	 	6	7.59	 	79	0.12
Moorine Rock		                               	0	0	 	63	80.77	 	0	0	 	0	0	 	2	2.56	 	0	0	 	11	14.1	 	1	1.28	 	1	1.28	 	0	0	 	78	97.5	 	2	2.5	 	80	0.12
Mount Magnet		                               	3	1.21	 	112	45.34	 	1	0.4	 	1	0.4	 	4	1.62	 	9	3.64	 	94	38.06	 	4	1.62	 	19	7.69	 	0	0	 	247	96.86	 	8	3.14	 	255	0.39
Mowanjum		                                   	0	0	 	2	1.56	 	0	0	 	0	0	 	0	0	 	0	0	 	122	95.31	 	0	0	 	4	3.13	 	0	0	 	128	100	 	0	0	 	128	0.2
Munglinup (Kalgoorlie)		                     	1	1.59	 	51	80.95	 	0	0	 	0	0	 	6	9.52	 	1	1.59	 	2	3.17	 	0	0	 	2	3.17	 	0	0	 	63	100	 	0	0	 	63	0.1
Nannup (Kalgoorlie)		                        	0	0	 	1	16.67	 	0	0	 	0	0	 	1	16.67	 	0	0	 	3	50	 	1	16.67	 	0	0	 	0	0	 	6	100	 	0	0	 	6	0.01
Newman		                                     	10	1.08	 	242	26.08	 	2	0.22	 	3	0.32	 	9	0.97	 	18	1.94	 	536	57.76	 	43	4.63	 	65	7	 	0	0	 	928	96.87	 	30	3.13	 	958	1.48
Newman North		                               	11	1.25	 	261	29.69	 	0	0	 	3	0.34	 	10	1.14	 	24	2.73	 	467	53.13	 	41	4.66	 	58	6.6	 	4	0.46	 	879	98.1	 	17	1.9	 	896	1.39
Noonkanbah		                                 	0	0	 	12	22.64	 	0	0	 	0	0	 	0	0	 	0	0	 	41	77.36	 	0	0	 	0	0	 	0	0	 	53	100	 	0	0	 	53	0.08
Norseman		                                   	11	1.86	 	184	31.13	 	3	0.51	 	3	0.51	 	13	2.2	 	18	3.05	 	307	51.95	 	21	3.55	 	30	5.08	 	1	0.17	 	591	96.1	 	24	3.9	 	615	0.95
Nullagine		                                  	1	1.39	 	16	22.22	 	0	0	 	0	0	 	1	1.39	 	7	9.72	 	44	61.11	 	1	1.39	 	2	2.78	 	0	0	 	72	98.63	 	1	1.37	 	73	0.11
Nulsen		                                     	19	1.81	 	406	38.63	 	3	0.29	 	4	0.38	 	18	1.71	 	13	1.24	 	489	46.53	 	55	5.23	 	43	4.09	 	1	0.1	 	1051	94.6	 	60	5.4	 	1111	1.72
Onslow		                                     	4	1.59	 	80	31.87	 	0	0	 	0	0	 	5	1.99	 	4	1.59	 	140	55.78	 	6	2.39	 	11	4.38	 	1	0.4	 	251	95.44	 	12	4.56	 	263	0.41
Pannawonica		                                	6	2.58	 	101	43.35	 	0	0	 	0	0	 	3	1.29	 	3	1.29	 	94	40.34	 	10	4.29	 	15	6.44	 	1	0.43	 	233	96.68	 	8	3.32	 	241	0.37
Paraburdoo		                                 	11	1.59	 	232	33.48	 	1	0.14	 	7	1.01	 	14	2.02	 	15	2.16	 	314	45.31	 	28	4.04	 	70	10.1	 	1	0.14	 	693	97.88	 	15	2.12	 	708	1.09
Perth (Kalgoorlie)		                         	0	0	 	64	42.38	 	0	0	 	1	0.66	 	7	4.64	 	8	5.3	 	52	34.44	 	7	4.64	 	10	6.62	 	2	1.32	 	151	99.34	 	1	0.66	 	152	0.24
Port Hedland		                               	5	0.99	 	202	40.08	 	3	0.6	 	2	0.4	 	3	0.6	 	19	3.77	 	215	42.66	 	20	3.97	 	29	5.75	 	6	1.19	 	504	97.11	 	15	2.89	 	519	0.8
Roebourne		                                  	9	2.33	 	66	17.05	 	0	0	 	4	1.03	 	2	0.52	 	1	0.26	 	284	73.39	 	13	3.36	 	8	2.07	 	0	0	 	387	96.99	 	12	3.01	 	399	0.62
Rottnest (Kalgoorlie)		                      	0	0	 	7	38.89	 	0	0	 	0	0	 	0	0	 	1	5.56	 	6	33.33	 	2	11.11	 	2	11.11	 	0	0	 	18	100	 	0	0	 	18	0.03
Salmon Gums		                                	0	0	 	55	59.78	 	0	0	 	0	0	 	6	6.52	 	2	2.17	 	18	19.57	 	3	3.26	 	8	8.7	 	0	0	 	92	95.83	 	4	4.17	 	96	0.15
Sandstone		                                  	0	0	 	21	50	 	0	0	 	0	0	 	0	0	 	0	0	 	18	42.86	 	0	0	 	3	7.14	 	0	0	 	42	100	 	0	0	 	42	0.06
Scaddan		                                    	0	0	 	45	91.84	 	0	0	 	0	0	 	1	2.04	 	1	2.04	 	1	2.04	 	0	0	 	1	2.04	 	0	0	 	49	98	 	1	2	 	50	0.08
Southern Cross		                             	13	2.83	 	258	56.21	 	4	0.87	 	2	0.44	 	7	1.53	 	8	1.74	 	128	27.89	 	18	3.92	 	20	4.36	 	1	0.22	 	459	96.23	 	18	3.77	 	477	0.74
South Hedland		                              	20	1.97	 	328	32.35	 	3	0.3	 	5	0.49	 	4	0.39	 	19	1.87	 	544	53.65	 	31	3.06	 	44	4.34	 	16	1.58	 	1014	97.31	 	28	2.69	 	1042	1.61
South Hedland Baler		                        	21	1.54	 	386	28.26	 	2	0.15	 	7	0.51	 	16	1.17	 	18	1.32	 	749	54.83	 	83	6.08	 	78	5.71	 	6	0.44	 	1366	97.16	 	40	2.84	 	1406	2.17
Telfer		                                     	2	4	 	17	34	 	0	0	 	0	0	 	0	0	 	0	0	 	24	48	 	1	2	 	6	12	 	0	0	 	50	98.04	 	1	1.96	 	51	0.08
Tom Price		                                  	25	1.82	 	494	35.95	 	3	0.22	 	4	0.29	 	12	0.87	 	27	1.97	 	658	47.89	 	41	2.98	 	106	7.71	 	4	0.29	 	1374	97.59	 	34	2.41	 	1408	2.18
Useless Loop		                               	1	1.85	 	31	57.41	 	0	0	 	0	0	 	0	0	 	1	1.85	 	12	22.22	 	4	7.41	 	5	9.26	 	0	0	 	54	98.18	 	1	1.82	 	55	0.09
Wangkatjungka		                              	2	3.77	 	5	9.43	 	0	0	 	0	0	 	1	1.89	 	0	0	 	42	79.25	 	0	0	 	3	5.66	 	0	0	 	53	98.15	 	1	1.85	 	54	0.08
Warmun		                                     	1	0.75	 	7	5.26	 	1	0.75	 	0	0	 	1	0.75	 	1	0.75	 	117	87.97	 	3	2.26	 	2	1.5	 	0	0	 	133	91.72	 	12	8.28	 	145	0.22
Westonia		                                   	3	2.97	 	69	68.32	 	2	1.98	 	0	0	 	12	11.88	 	1	0.99	 	7	6.93	 	4	3.96	 	3	2.97	 	0	0	 	101	96.19	 	4	3.81	 	105	0.16
Wickham		                                    	5	0.74	 	259	38.48	 	0	0	 	0	0	 	10	1.49	 	5	0.74	 	306	45.47	 	42	6.24	 	44	6.54	 	2	0.3	 	673	96.42	 	25	3.58	 	698	1.08
Wiluna		                                     	3	1.91	 	47	29.94	 	1	0.64	 	3	1.91	 	3	1.91	 	1	0.64	 	92	58.6	 	2	1.27	 	5	3.18	 	0	0	 	157	97.52	 	4	2.48	 	161	0.25
Wyndham		                                    	5	1.39	 	109	30.28	 	0	0	 	1	0.28	 	3	0.83	 	0	0	 	200	55.56	 	19	5.28	 	23	6.39	 	0	0	 	360	95.74	 	16	4.26	 	376	0.58
Yalgoo		                                     	1	1.67	 	30	50	 	0	0	 	0	0	 	1	1.67	 	4	6.67	 	24	40	 	0	0	 	0	0	 	0	0	 	60	100	 	0	0	 	60	0.09
Yallingup (Kalgoorlie)		                     	0	0	 	5	50	 	1	10	 	0	0	 	0	0	 	0	0	 	4	40	 	0	0	 	0	0	 	0	0	 	10	100	 	0	0	 	10	0.02
Yandeyarra		                                 	0	0	 	10	13.33	 	2	2.67	 	1	1.33	 	0	0	 	0	0	 	61	81.33	 	0	0	 	1	1.33	 	0	0	 	75	97.4	 	2	2.6	 	77	0.12
Special Hospitals		                          	8	3.98	 	72	35.82	 	0	0	 	1	0.5	 	4	1.99	 	3	1.49	 	99	49.25	 	5	2.49	 	9	4.48	 	0	0	 	201	98.53	 	3	1.47	 	204	0.32
Remote Mobiles		                             	43	1.92	 	165	7.38	 	16	0.72	 	17	0.76	 	14	0.63	 	8	0.36	 	1895	84.79	 	40	1.79	 	37	1.66	 	0	0	 	2235	98.24	 	40	1.76	 	2275	3.52
Prison Mobiles		                             	4	4.71	 	16	18.82	 	0	0	 	0	0	 	1	1.18	 	2	2.35	 	60	70.59	 	1	1.18	 	1	1.18	 	0	0	 	85	97.7	 	2	2.3	 	87	0.13
Total Ordinary		                             	713	1.41	 	20068	39.75	 	120	0.24	 	288	0.57	 	644	1.28	 	878	1.74	 	22837	45.24	 	2021	4	 	2802	5.55	 	112	0.22	 	50483	97.21	 	1449	2.79	 	51932	80.3
