House of Representatives - 2001 Election: Northern Territory											
Two Candidate Preferred Preference Flow Result											
by Polling Place											
											
Solomon (53945)											
		Candidate		"HULL, Laurene"		              	"TOLLNER, David"		             	Total	
				ALP		                        	CLP		                        		
				Votes	%	                     	Votes	%	                     		
		Total	1028	2316	47.08		2603	52.92		4919	

	PROVISIONAL										
			1st Prefs	86	52.44		78	47.56		164	
		"POLLOCK, David (GRN)"	24	16	66.67		8	33.33		24	
		"DUNSTAN, Ted (DEM)"	14	4	28.57		10	71.43		14	
		"STEWART, Mervyn James (HAN)"	10	5	50.00		5	50.00		10	
		"RYAN-JAPARTA, Maurie (IND)"	3	1	33.33		2	66.67		3	
		"AUSTIN, Maisie (IND)"	5	0	0.00		5	100.00		5	
		Total	56	112	50.91		108	49.09		220	

	Division Summary										
			1st Prefs	18195	47.85		19828	52.15		38023	
		"POLLOCK, David (GRN)"	2439	1908	78.23		531	21.77		2439	
		"DUNSTAN, Ted (DEM)"	2582	1717	66.50		865	33.50		2582	
		"STEWART, Mervyn James (HAN)"	1669	644	38.59		1025	61.41		1669	
		"RYAN-JAPARTA, Maurie (IND)"	337	196	58.16		141	41.84		337	
		"AUSTIN, Maisie (IND)"	2378	1010	42.47		1368	57.53		2378	
		Total	9405	23670	49.91		23758	50.09		47428	
