House of Representatives - 1993 Election									
Votes Counted by Vote Type									
By Division									
									
									
National Summary									
		Ordinary	Absent	Postal	Pre-Poll	Provisional		Total	
State	Enrolment	Votes	Votes	Votes	Votes	Votes	Adj	Votes	%
Melbourne Ports	78562	60939	4553	4409	3334	345	0	73580	93.66
Menzies	74199	63820	3703	1599	2884	95	0	72101	97.17
Murray	77773	68044	4040	1589	1517	207	6	75403	96.95
Scullin	80288	70698	3861	1779	1443	111	0	77892	97.02
Wannon	77614	66501	4275	1834	2739	194	-13	75530	97.31
Wills	76515	64688	3676	2476	1895	150	0	72885	95.26
TOTAL	2932640	2493130	152497	84372	84524	8087	16	2822626	96.25
									
									
Queensland									
		Ordinary	Absent	Postal	Pre-Poll	Provisional		Total	
Division	Enrolment	Votes	Votes	Votes	Votes	Votes	Adj	Votes	%
Bowman	75360	64045	3867	2194	2336	100	0	72542	96.26
Brisbane	80653	64089	6265	3463	2583	154	0	76554	94.92
Capricornia	80450	67017	4747	3512	1881	129	0	77286	96.07
Dawson	81072	68549	4126	2281	2487	145	0	77588	95.70
Dickson	76618	62956	0	3480	2651	30	0	69117	90.21
Fadden	72786	59928	5219	1964	2237	107	0	69455	95.42
Fairfax	77223	63507	3582	2478	3568	113	0	73248	94.85
Fisher	76577	63823	4381	2510	2552	101	0	73367	95.81
Forde	75893	62933	4976	1663	2056	152	0	71780	94.58
Griffith	81721	65896	5543	3113	2418	125	0	77095	94.34
Groom	80276	66932	4661	2089	3495	70	0	77247	96.23
Herbert	82958	69386	3880	2788	3061	163	0	79278	95.56
Hinkler	82428	69384	4903	2604	2213	103	0	79207	96.09
Kennedy	80862	65618	5049	3836	1297	137	11	75948	93.92
Leichhardt	76867	63496	3756	1756	2508	268	0	71784	93.39
Lilley	79277	65442	4840	3185	2322	106	0	75895	95.73
McPherson	74722	61539	3227	1626	4301	203	0	70896	94.88
Maranoa	83523	66699	6207	5560	1389	102	0	79957	95.73
Moncrieff	75232	61946	3083	1994	4006	226	3	71258	94.72
Moreton	79944	64971	5798	3080	2503	61	0	76413	95.58
Oxley	78236	66236	4447	2129	2062	124	0	74998	95.86
Petrie	78565	66112	4747	2588	1809	113	0	75369	95.93
Rankin	77110	63484	5947	2104	1720	126	0	73381	95.16
Ryan	82841	67622	6085	1912	3842	82	0	79543	96.02
Wide Bay	80535	67139	4556	3174	2300	81	3	77253	95.92
TOTAL	1971729	1628749	113892	67083	63597	3121	17	1876459	95.17
									
									
Western Australia									
		Ordinary	Absent	Postal	Pre-Poll	Provisional		Total	
Division	Enrolment	Votes	Votes	Votes	Votes	Votes	Adj	Votes	%
Brand	80370	68642	4705	1529	1971	266	0	77113	95.95
Canning	70453	60772	4117	1101	1362	227	0	67579	95.92
Cowan	74514	64204	4936	1198	1424	192	0	71954	96.56
Curtin	73700	60920	5186	1593	2663	304	0	70666	95.88
Forrest	75677	65246	4926	1195	1596	310	0	73273	96.82
Fremantle	74947	64568	3860	1293	1979	323	0	72023	96.10
Kalgoorlie	74058	57065	5227	1539	2138	476	0	66445	89.72
Moore	75592	64935	4932	920	2133	183	0	73103	96.71
O'Connor	75051	60760	8170	1423	1253	350	0	71956	95.88
Pearce	71880	60940	5146	1136	1781	162	0	69165	96.22
Perth	74344	61947	5153	1795	1376	349	0	70620	94.99
Stirling	73306	61300	5205	1636	1993	259	0	70393	96.03
Swan	72928	61091	4550	1893	1799	321	0	69654	95.51
