House of Representatives - 1993 Election				
National List of Candidates				

				
				
Candidate	Party		Division	State
"MAHONEY, Desiree"	QG		Dickson	QLD
"MANN, Glen"	IND		McMillan	VIC
"MANSELL, John"	LP		Dawson	QLD
"MANTELL, Ken"			Wills	VIC
"MARINKOVIC, George"			Maribyrnong	VIC
"MARKHAM, Peter"	DEM		Grayndler	NSW
"MARSH, Nigel"	NP		Bowman	QLD
"MARSHALL, Malcolm"	LP		Page	NSW
"MARSLAND, Patricia Jean"	LP		Kingsford-Smith	NSW
"MARTIN, Jeanette"	NLP		Indi	VIC
"MARTIN, Stephen Paul"	ALP		Cunningham	NSW
"MARTORANA, Mike"	DEM		Corio	VIC
"MASON, John"	ALP		O'Connor	WA
"MATHESON, Shaun"	AIP		Fadden	QLD
"MATSON, Murray"	GRN		Kingsford-Smith	NSW
"MATTHEWS, Leonard John"			Dickson	QLD
"MATUHINA, Chris"	IND		Adelaide	SA
"MAY, Alan"	DEM		Groom	QLD
"MAY, Bill"	CAP		Hinkler	QLD
"MAY, Richard"	IND		Bowman	QLD
"MCALEER, Eamon"	NLP		Bonython	SA
"MCARTHUR, Stewart"	LP		Corangamite	VIC
"MCCARTHY, Alan"	LP		Port Adelaide	SA
"MCCARTHY, Wally"	AIP		Groom	QLD
"MCCASKIE, Gordon"	ALP		Chisholm	VIC
"MCCULLAGH, Marie"	NP		Oxley	QLD
"MCCULLOCH, Bob"	CAP		Dawson	QLD
"MCDONALD, Alan"	NLP		Paterson	NSW
"MCDONALD, Graham"	CAP		Lilley	QLD
"MCGARRY, Norm"	IND		Barton	NSW
"MCGAURAN, Peter"	NP		Gippsland	VIC
"MCHUGH, Jeannette"	ALP		Grayndler	NSW
"MCILRATH, Christopher"	IND		Richmond	NSW
"MCKAY, Frances"	DEM		Maribyrnong	VIC
"MCKENZIE, Ian"	DEM		Farrer	NSW
"MCKENZIE, J. Dorothy"	NLP		Leichhardt	QLD
"MCLACHLAN, Ian Murray"	LP		Barker	SA
"MCLAREN, Mark"	IND		Bowman	QLD
"MCLEAY, Leo"	ALP		Watson	NSW
"MCLENNAN, David"	NLP		Parkes	NSW
"MCNEILLY, Bruce"	LP		North Sydney	NSW
"MCSWINEY, John"	ALP		Isaacs	VIC
"MEDCALF, Carole"	GRN		Cunningham	NSW
"MEIKLE, Jeff"	DEM		Lowe	NSW
"MELHAM, Daryl"	ALP		Banks	NSW
"MENDELSON, Lesley"	NLP		Higgins	VIC
"MEREDITH, Paul William"	IND		Riverina	NSW
"MEYER, Brian"	IND		Watson	NSW
"MILES, Chris"	LP		Braddon	TAS
"MILES, Suzan"	NLP		Cowan	WA
"MILLAR, Don"	DEM		Swan	WA
"MILNE, Roy J"	DEM		Wakefield	SA
"MINAS, Jack"	LP		Wills	VIC
"MISDOM, Fred J."	NLP		Cunningham	NSW
"MITCHELL, Matthew"	DEM		Adelaide	SA
"MITCHELL, Stephen"	LP		Burke	VIC
"MOLES, Sarah"	QG		Maranoa	QLD
"MOLLOY, Patsy"	GWA		Perth	WA
"MOORE, John Colinton"	LP		Ryan	QLD
"MORRIS, Allan"	ALP		Newcastle	NSW
"MORRIS, Bevan"	NLP		Boothby	SA
"MORRIS, Michael"	TG		Lyons	TAS
"MORRIS, Peter"	ALP		Shortland	NSW
"MORRIS, Ray"	LP		Greenway	NSW
"MORROW, Ivan"	CTA		Shortland	NSW
"MORROW, Richard Neale"	ALP		Wannon	VIC
"MOSLEY, Geoff"	DEM		McEwen	VIC
"MOYLAN, Judi"	LP		Pearce	WA
"MUDIE, Cathy"	CTA		Barton	NSW
"MUIR, Bob"	QG		Capricornia	QLD
"MULLINS, Patrick"	DEM		Fremantle	WA
"MUNCHENBERG, Jeff"	IND		Grey	SA
"MURGATROYD, Cecil Godfrey"			Wills	VIC
"MUTCH, Allan Kelson"	CAP		Petrie	QLD
"MYERS, Peter"	DEM		Canberra	ACT

"NEDELJKOVIC, Stephen"			Holt	VIC
"NEHL, Garry"	NP		Cowper	NSW
"NELSON, Bev"	NLP		Dunkley	VIC
"NELSON, Gary"	NLP		Corinella	VIC
"NETTLE, Rod"	NP		Grey	SA
"NEVILLE, Bernie"	IND		Paterson	NSW
"NEVILLE, Gina"	NLP		Petrie	QLD
"NEVILLE, Jason"	DEM		McPherson	QLD
"NEVILLE, Jason"	DEM		Moncrieff	QLD
"NEVILLE, Paul"	NP		Hinkler	QLD
"NEWELL, Neville"	ALP		Richmond	NSW
"NEWMAN, Amelia J."	DEM		Watson	NSW
"NEWTON, Paul"	LP		Prospect	NSW
"NIELSEN, Richard"	QG		Rankin	QLD
"NIEUWENHUIS, Robert"	NLP		Deakin	VIC
"NIHILL, Julie"	NLP		McEwen	VIC
"NOVAKOVIC, Alex"	NLP		Moore	WA
"NUGENT, Peter"	LP		Aston	VIC

"O'BREE, Bernard Patrick"	LP		Watson	NSW
"O'CONNOR, Gavan"	ALP		Corio	VIC
"O'DEMPSEY, Jim"	IND		Moreton	QLD
"O'HALLORAN, Donald"			Sydney	NSW
"O'KANE, Doreen Jean"	CTA		Jagajaga	VIC
"O'KEEFE, Neil"	ALP		Burke	VIC
"O'KENNY, James"	IND		Kalgoorlie	WA
"O'NEILL, Dafna"	NLP		Barton	NSW
"O'NEILL, Peter"	NLP		Blaxland	NSW
"O'NEILL, Rhondda"	IND		Page	NSW
"O'NEILL, Robert"	CTA		Cunningham	NSW
"OATES, Roger M"	CAP		Grey	SA
"OBERIN, Julie"	IND		Bendigo	VIC
"OLDIS, Trudie"	IND		Corinella	VIC
"OLEN, Lindsay"	CAP		Page	NSW
"OQUIST, Ben"	ESG		Wentworth	NSW
"ORR, Cathy"	ALP		Boothby	SA
"ORTON, Kerry"	ALP		Fairfax	QLD
"OSMOND, Les"	LP		Blaxland	NSW
"OSS-EMER, Elizabeth"	DEM		Fairfax	QLD

"PAIN, Geoff"	ALP		La Trobe	VIC
"PAINE, Kevin"	DEM		Kennedy	QLD
"PAKULA, Martin"	ALP		Goldstein	VIC
"PALING, Reg"	NLP		Prospect	NSW
"PALMER, Arthur"	CLP		Northern Territory	NT
"PANZARINO, Anthony"	IND		Lowe	NSW
"PAPADOPOULOS, Sam"	IND		Parramatta	NSW
"PAPAPHOTIS, John"	LP		Fremantle	WA
"PARKER, Alan A"	DEM		Gellibrand	VIC
"PARKER, Col"	DEM		Herbert	QLD
"PARNELL, Peter"	QG		Fairfax	QLD
"PARRY, Andrew"	NLP		Aston	VIC
"PAYNE, Geoff"			Shortland	NSW
"PEACOCK, Andrew Sharp"	LP		Kooyong	VIC
"PEARCE, Greta"	DEM		Corangamite	VIC
"PEARCE, Paul"	ALP		Wentworth	NSW
"PEARSON, Philip David"	NLP		Kingsford-Smith	NSW
"PEDRICK, Merilyn"	DEM		Mayo	SA
"PEEBLES, Shyama"	DEM		Kalgoorlie	WA
"PENNY, Ron"	NP		Calare	NSW
"PEPPER, Lee J."	IND		Grayndler	NSW
"PERRETT, Jim"	CAP		Gwydir	NSW
"PERROTT, Margaret"			Throsby	NSW
"PERRY, Antoinette"	NLP		Page	NSW
"PETERSON, Peter"	CTA		Lowe	NSW
"PETRIE, Bill"	CAP		Kennedy	QLD
"PHILLIPS, Bruce E"			Gippsland	VIC
"PHILLIPS, Neil"	NLP		Scullin	VIC
"PHILLIPS, Sue"			Hotham	VIC
"PHILPOT, John D"	IND		Wannon	VIC
"PIKE, Dick"	DEM		Prospect	NSW
"PIKE, Trevor John"	DEM		Cowper	NSW
"PIKE, Warren"	NP		Moncrieff	QLD
"PILTZ, Barry"	ALP		Grey	SA
"PIPER, Stephen"	IND		Leichhardt	QLD
"PJANIC, Predrag"			Corinella	VIC
"PJESIVAC, Petar"			Hotham	VIC
"PLANINCIC, Jim"	LP		Forde	QLD
"PLUMB, Noel"	DEM		Parkes	NSW
"PODGER, Lily"	QG		Wide Bay	QLD
"POSGATE, Roger"	DEM		Mitchell	NSW
"POWELL, Norm"	IND		Corangamite	VIC
"POWER, Brendan"	NP		Petrie	QLD
"POWER, Christine"	ALP		Moore	WA
"PRATT, Michael"			Sturt	SA
"PRICE, John"	NLP		Wills	VIC
"PRICE, Roger"	ALP		Chifley	NSW
"PRICE, Sandy"	NLP		Calwell	VIC
"PRICE, Susan Clare"			Brisbane	QLD
"PRIVITERA, Mick"	LP		Griffith	QLD
"PROCTER, Peter"	ALP		Forrest	WA
"PROSSER, Geoff"	LP		Forrest	WA
"PRYOR, Cilla"	AIP		Herbert	QLD
"PULLAR, Philip"	NP		Indi	VIC
"PUNCH, Gary"	ALP		Barton	NSW
"PYNE, Chris"	LP		Sturt	SA

"QUADRIO, Steve"	DEM		Dawson	QLD
"QUICK, Harry"	ALP		Franklin	TAS
"QUICK, Robyn"	NP		Herbert	QLD
"QUIN, Di"			Melbourne	VIC
"QUINLAN, Denis"	NLP		Menzies	VIC

"RALPH, Iain"	DEM		Burke	VIC
"RANDALL, Brett"	NLP		Shortland	NSW
"RAU, John"	ALP		Hindmarsh	SA
"RAWNSLEY, Max"	LP		Parramatta	NSW
"RAYNOR, Kaylyn"	DEM		Isaacs	VIC
"READING, Jill"	GWA		Forrest	WA
"REAVES, Lester J."	CAP		Rankin	QLD
"RECKENBERG, Michael"	DEM		Shortland	NSW
"REDDY, Suzanne"	DEM		Bennelong	NSW
"REID, Bob"	IND		Blaxland	NSW
"REID, Bruce"	LP		Bendigo	VIC
"REID, Ian"	IND		Rankin	QLD
"REILLY, Jim"	DEM		Braddon	TAS
"REITH, Peter K."	LP		Flinders	VIC
"REVERBERI, Daniela"	DEM		Cunningham	NSW
"RIACH, Rodger John"	DEM		Paterson	NSW
"RICHARDSON, Terri"	DEM		Cook	NSW
"RICKARD, Jodie"	CTA		Ballarat	VIC
"RICKARD, Jon Albert"	DEM		Macquarie	NSW
"RIELLY, Michelle A"	QG		Lilley	QLD
"RIGBY, Byron P"	NLP		Kalgoorlie	WA
"RIGGALL, John"	LP		McMillan	VIC
"RITCHIE, James A"			Goldstein	VIC
"ROBERTS, Bob"	LP		Paterson	NSW
"ROBERTS, Gavin"	CAP		Leichhardt	QLD
"ROBERTS, Patti"	NLP		Canning	WA
"ROBINSON, Jacqui"	NLP		Brand	WA
"ROBINSON, John Richard"	IND		Herbert	QLD
"ROBINSON, Kevin"	LP		Grayndler	NSW
"ROCCA, Tony"	IND		Bonython	SA
"ROCHER, Allan"	LP		Curtin	WA
"RODENBURG, Veronica A."	IND		Calwell	VIC
"ROGERS, Matthew"	DEM		Grey	SA
"RONALDSON, Michael"	LP		Ballarat	VIC
"ROSIER, Bill"	DEM		Parramatta	NSW
"ROSS, Joe"	CAP		Fadden	QLD
"ROTIK, Monique"	ALP		Bennelong	NSW
"ROWLAND-HORNBLOW, Barrie J"	DEM		Dunkley	VIC
"ROWSELL, Marje"	EFF		Lyne	NSW
"ROYLANCE, Michael"	NLP		Bennelong	NSW
"RUDDOCK, Philip"	LP		Berowra	NSW
"RUNDLE, Jim"	IND		Capricornia	QLD
"RYAN, Phil"	LP		Denison	TAS

"SALTER, Mary Teresa"	GWA		Fremantle	WA
"SAMPSON, Meg"	IND		Cunningham	NSW
"SANDERS, Leonie"	DEM		Fadden	QLD
"SANDERS, Norm"	IND		Eden-Monaro	NSW
"SANDFORD, Mick"	CTA		Charlton	NSW
"SANKO, Peter Marijan"	CTA		Gellibrand	VIC
"SAVAGE, Chris"	IND		Fisher	QLD
"SAVAGE, Katheryne"	IND		Wills	VIC
"SAWFORD, Rod"	ALP		Port Adelaide	SA
"SCHWARZ, Marian"	NP		Rankin	QLD
"SCIACCA, Con"	ALP		Bowman	QLD
"SCOTT, Bruce"	NP		Maranoa	QLD
"SCOTT, Colin David"	CTA		Hughes	NSW
"SCOTT, Les"	ALP		Oxley	QLD
"SCOTT, Patrick"	ALP		Mayo	SA
"SEKFY, Paul"	ALP		Cowper	NSW
"SEMMENS, Don"	DEM		Bendigo	VIC
"SETON, Terrence F"	IND		Parkes	NSW
"SETTER, Bill"	IND		Herbert	QLD
"SHANAHAN, Jack"	IND		Grayndler	NSW
"SHARP, John"	NP		Hume	NSW
"SHEARING, Colin"	IND		Port Adelaide	SA
"SHEEN, John"	ALP		Murray	VIC
"SHERLOCK, Alan"	LP		Petrie	QLD
"SHIELDS, John H."	CTA		Parramatta	NSW
"SHORT, Noel"	LP		Hughes	NSW
"SIDDONS, John"	IND		Scullin	VIC
"SIEVERS, Charley"	IND		Charlton	NSW
"SIEVERS, Elvie Margaret"	IND		Melbourne	VIC
"SIMATKOVICH, Gordana"			Batman	VIC
"SIMMONS, David"	ALP		Calare	NSW
"SIMPSON, Gordon"	NP		Fairfax	QLD
"SINCLAIR, Ian"	NP		New England	NSW
"SJOBERG, Melanie"			Hindmarsh	SA
"SKYRING, Alan"	IND		Ryan	QLD
"SLIPPER, Peter"	LP		Fisher	QLD
"SMITH, Angela"	DEM		Makin	SA
"SMITH, Barbara"	LP		Scullin	VIC
"SMITH, Bernadette"	GRN		Paterson	NSW
"SMITH, Carol Lorraine"	NLP		Corio	VIC
"SMITH, Caroline"	DEM		Lilley	QLD
"SMITH, Ira T."	IND		Moreton	QLD
"SMITH, Les"	CAP		Ryan	QLD
"SMITH, Ray"	IND		Wide Bay	QLD
"SMITH, Silvia"	ALP		Bass	TAS
"SMITH, Stephen"	ALP		Perth	WA
"SMITH, Warwick"	LP		Bass	TAS
"SMYTH, Cameron M"			Capricornia	QLD
"SNOW, Jim"	ALP		Eden-Monaro	NSW
"SNOWDON, Warren"	ALP		Northern Territory	NT
"SOLOMON, Noreen"	ALP		Cook	NSW
"SOLOMON, Peter"	IND		Grey	SA
"SOMLYAY, Alex"	LP		Fairfax	QLD
"SPENCER, Rod"	AFI		Calwell	VIC
"SPERLING, Karla"	GRN		Throsby	NSW
"SPICER, Glen C"	DEM		Dickson	QLD
"SPRINGETT, Bob"	DEM		Bradfield	NSW
"SQUILLACCIOTTI, Giancarlo"	DEM		Hotham	VIC
"ST.BAKER, Trevor"	NP		Dickson	QLD
"STAAL, John"	LP		Calare	NSW
"STACEY, Carla"	DEM		Lalor	VIC
"STANBOROUGH, Jeff"	IND		Gilmore	NSW
"STAPLES, Peter"	ALP		Jagajaga	VIC
"STARK, Barry J"	QG		Forde	QLD
"STAROPOLI, Leon"	NLP		Gellibrand	VIC
"STEAR, Christopher"	DEM		Mallee	VIC
"STEEN, Margaret"	LP		Moreton	QLD
"STEFANIAK, Bill"	LP		Canberra	ACT
"STEVENS, Mark A"	IND		Fowler	NSW
"STEVENS, Mike"	ALP		Wakefield	SA
"STOKES, Ian"	NLP		North Sydney	NSW
"STOKES, John O"	DEM		Lyne	NSW
"STONE, David"	NP		Griffith	QLD
"STONE, Judith"	ALP		Gippsland	VIC
"STONE, Robert"	DEM		Wills	VIC
"STOREY, Donal"	DEM		Gippsland	VIC
"STRETTON, Martin George"	GRY		Hindmarsh	SA
"STRINGER, Steven A."	CAP		Moncrieff	QLD
"STUBBINS, Ted"	ALP		Gwydir	NSW
"SULLIVAN, Kathy Martin"	LP		Moncrieff	QLD
"SUNDANCER, Mark"	GWA		Tangney	WA
"SWAN, Wayne"	ALP		Lilley	QLD

"TANNER, Lindsay James"	ALP		Melbourne	VIC
"TAYLOR, Alf"	IND		Makin	SA
"TAYLOR, Bill"	LP		Groom	QLD
"TAYLOR, Clive Arthur Adam"	LP		Banks	NSW
"TAYLOR, Pamela"	CTA		Bendigo	VIC
"TENENBAUM, Linda"			Blaxland	NSW
"TER HAAR, Margaret Fiona"	NLP		Riverina	NSW
"THACKRAH, David"	DEM		Boothby	SA
"THEOPHANOUS, Andrew"	ALP		Calwell	VIC
"THOMAS, Giselle"	DEM		Leichhardt	QLD
"THOMPSON, Tom"	CAP		Cook	NSW
"THOMSON, Allan"	DEM		Murray	VIC
"THOMSON, Andrew"	GWA		Swan	WA
"THRELFO, Bruce"	GLO		Lowe	NSW
"THRUPP, Mabel"	LP		Batman	VIC
"THURLOW, Valerie"	NLP		Brisbane	QLD
"TICKNER, Robert"	ALP		Hughes	NSW
"TILBURY, Ray"	DEM		Brand	WA
"TILBURY, Rosslyn"	DEM		Canning	WA
"TOL, John"	LP		Corio	VIC
"TRENNING, John"	CTA		Tangney	WA
"TREVETHAN, Mike"	ASG		Canberra	ACT
"TRUSS, Warren"	NP		Wide Bay	QLD
"TSIRKAS, George"	IND		Watson	NSW
"TUCKEY, Wilson"	LP		O'Connor	WA
"TULL, Bevan"	AIP		Capricornia	QLD
"TURNBULL, Rose"	AIP		Maranoa	QLD
"TURNER, Glenn"	LP		Newcastle	NSW

"URQUHART, Alistair Buxton"	LP		Jagajaga	VIC

"VAILE, Mark"	NP		Lyne	NSW
"VALENTINE, Keith"	NLP		Fairfax	QLD
"VAN BAER, Paul"	NLP		Gippsland	VIC
"VANCE, Euan P. L."	CTA		Denison	TAS
"VASSIS, Chris"	IND		Jagajaga	VIC
"VEITCH, Don"	CEG		Scullin	VIC
"VEIVERS, Tom"	IND		Brisbane	QLD
"VINCENT, Colin George"	NLP		Grey	SA
"VOIGT, Wolfgang"	CTA		La Trobe	VIC

"WAKELIN, Barry Hugh"	LP		Grey	SA
"WALKER, Angela"	AFI		Jagajaga	VIC
"WALKER, Frank"	ALP		Robertson	NSW
"WALKER, Hugh"	IND		Warringah	NSW
"WALKER, Robert"	NLP		Hunter	NSW
"WALLBRIDGE, Darrell"	CAP		Cowper	NSW
"WARD, Stephen"	LP		Hume	NSW
"WARDLE, Debra"	LP		Bowman	QLD
"WARNOCK, John"	IND		Corangamite	VIC
"WARREN, Julie"	ALP		Casey	VIC
"WATSON, Gary"	NP		Paterson	NSW
"WATSON, John"	CTA		Kingston	SA
"WATSON, Sam"	AIP		Fisher	QLD
"WATT, Chris"	ALP		New England	NSW
"WEBBER, Ray"	ALP		Groom	QLD
"WEBSTER, Alasdair"	LP		Macquarie	NSW
"WEIR, Isobel"	IND		Swan	WA
"WELLS, Chris"	NLP		Barker	SA
"WELSH, Ivan"	IND		Newcastle	NSW
"WERBA, Susan"	DEM		Rankin	QLD
"WEST, Bob"	DEM		Jagajaga	VIC
"WEST, Michael"	IND		Cunningham	NSW
"WESTON, Maxine"	NLP		Griffith	QLD
"WHEELER, Bill"			Bowman	QLD
"WHELAN, James"	GRN		Newcastle	NSW
"WHILLANS, Mark"	ALP		McPherson	QLD
"WHITE, David George"	DEM		McMillan	VIC
"WHITE, Phil"	LP		Barton	NSW
"WHITE, Sue"			Oxley	QLD
"WHITESIDE, Bruce"	CAP		McPherson	QLD
"WIGNEY, Rebecca"	GRN		La Trobe	VIC
"WIKBLOM, Stephen"	IND		Barker	SA
"WILD, Charles"	ALP		Mackellar	NSW
"WILLIAMS, Beverley"	ALP		Bruce	VIC
"WILLIAMS, Daryl Robert"	LP		Tangney	WA
"WILLIAMS, Elizabeth"	DEM		Sturt	SA
"WILLIS, Ralph"	ALP		Gellibrand	VIC
"WILSON, Anne"	CTA		Grey	SA
"WILSON, Barry"	QG		Griffith	QLD
"WILSON, Ben"	NP		Leichhardt	QLD
"WILSON, Clay"	CTA		Grayndler	NSW
"WILSON, David Graeme"	IND		Wannon	VIC
"WILSON, John"	CAP		Parramatta	NSW
"WILSON, Ryan"	IND		Charlton	NSW
"WINTER, Ian"	CTA		Corio	VIC
"WINTER, Terry"	CTA		Corangamite	VIC
"WISE, Damian"	DEM		Aston	VIC
"WISE, Kev"	IND		Fraser	ACT
"WOODLEY, Marie"	DEM		Wide Bay	QLD
"WOODLEY, Warren"	IND		New England	NSW
"WOODS, Bob"	LP		Lowe	NSW
"WOODS, Harry"	ALP		Page	NSW
"WOODS, Peter"	IND		Lowe	NSW
"WOOLDRIDGE, Michael Richard"	LP		Chisholm	VIC
"WORTH, Trish"	LP		Adelaide	SA
"WRIGHT, Keith Webb"	IND		Capricornia	QLD
"WYNNE, Les"	IND		Oxley	QLD
"WYNTER, Coral"			Griffith	QLD

"YIOSSIS, Athena"	NLP		Hindmarsh	SA
"YOUNG, June"	DEM		Hughes	NSW
"YOUNG, Sid"	DEM		Ryan	QLD
"YUILE, Fleur"	ALP		Ryan	QLD

"ZEMDEGS, David"	DEM		Kooyong	VIC
"ZIGOURAS, John Nicholas"	ALP		Mallee	VIC
