General Information - 1993 Election								
Declaration Votes Issued								
By Division								
								
				                Pre-Poll		            Postal Vote Certificates		
	State/Division	Provisional	Absent	Total Issued	Own Division	Total Issued	Own Division	
								
National Summary								
	New South Wales	60051	253516	110764	63965	109110	95110	
	Victoria	18560	165971	76569	44238	93308	80306	
	Queensland	11796	129691	70777	33387	78782	70138	
	Western Australia	7916	77149	23075	11469	21756	17013	
	South Australia	6817	59327	22547	11023	28993	24454	
	Tasmania	1592	16953	9056	4588	10173	9159	
	Australian Capital Territory	2992	4171	29448	16817	6307	4559	
	Northern Territory	2620	0	6531	2611	2817	2097	
	Overseas Posts	0	0	28978	0	10911	0	
	Antarctica	0	0	104	0	0	0	
	NATIONAL TOTAL        	112344	706778	377849	188098	362157	302836	
								
								
New South Wales                 								
	Banks                	617	3031	1048	860	2214	2015	
	Barton               	1433	4027	1635	1179	2166	2002	
	Bennelong            	893	4412	1737	1143	2445	2156	
	Berowra              	753	3657	3528	2413	2097	1691	
	Blaxland             	1283	3712	1459	940	1745	1570	
	Bradfield            	585	3614	1755	1671	2514	1924	
	Calare               	1313	6232	1042	572	2833	2613	
	Charlton             	896	3793	2048	1804	1953	1656	
	Chifley              	1651	3881	1239	987	715	647	
	Cook                 	898	2952	2348	1882	2021	1857	
	Cowper               	1171	5736	2499	1617	1847	1630
	Cunningham           	749	3586	2295	1465	2253	1946
	Dobell               	1077	6158	2303	1730	1880	1781
	Eden-Monaro          	1321	6319	3418	1188	3163	2796
	Farrer               	991	2398	2560	1552	2843	2551
	Fowler               	2099	3995	1520	638	1098	913
	Gilmore              	962	11781	2279	1641	2566	2410
	Grayndler            	2398	6168	1361	711	1785	1504
	Greenway             	1243	3919	1746	1210	1301	1129
	Gwydir               	1297	5858	1336	952	2505	2283
	Hughes               	749	3256	1709	1196	2057	1743
	Hume                 	963	5282	1073	821	2870	2587
	Hunter               	1105	4684	1418	1091	2318	2029
	Kingsford-Smith      	1466	5459	5818	1503	2227	1818
	Lindsay              	1031	3768	1926	1186	1081	888
	Lowe                 	1386	4913	1568	1050	2885	2676
	Lyne                 	868	8257	2230	1503	1963	1798
	Macarthur            	998	5378	1252	865	1487	1358
	Mackellar            	1315	4440	2069	1628	1856	1623
	Macquarie            	1124	5860	1686	1125	2216	1994
	Mitchell             	673	3134	1665	1186	1389	1227
	Newcastle            	862	6197	1769	881	2506	2027
	New England          	1224	5265	3424	2352	2674	2433
	North Sydney         	1748	7147	4136	1689	2146	2146
	Page                 	1105	4508	2219	1352	2980	2602
	Parkes               	1244	4071	2649	1885	2738	2526
	Parramatta           	1020	5631	2790	1184	3096	2357
	Paterson             	776	8046	1482	887	2431	2206
	Prospect             	1527	3663	1169	620	1249	1016
	Reid                 	1356	4658	934	695	1739	1580
	Richmond             	1174	4576	4391	2284	2930	2658
	Riverina             	1493	4087	2765	1206	2947	2493
	Robertson            	1094	6572	2720	1687	2491	2289
	Shortland            	682	5236	2373	1358	1762	1540
	Sydney               	3075	12292	7069	1147	3119	1720
	Throsby              	864	2605	899	748	1270	1210
	Warringah            	1132	5131	2098	1232	2352	2029
	Watson               	1185	4043	1448	580	1879	1661
	Wentworth            	2048	6294	3359	1994	3317	2806
	Werriwa              	1134	3834	1500	875	1191	996
							
NSW TOTAL             		60051	253516	110764	63965	109110	95110
							
							
Victoria                        							
	Aston                	380	2889	1069	765	2536	2277
	Ballarat             	442	4180	2509	1818	3063	2920
	Batman               	682	3468	1558	996	2597	2282
	Bendigo              	383	3878	1960	1397	2869	2703
	Bruce                	250	2445	2667	1892	2046	1763
	Burke                	525	3505	852	602	1986	1843
	Calwell              	541	4000	2398	681	1305	1108
	Casey                	458	3703	2494	1676	2103	1774
	Chisholm             	310	3044	2004	1257	2772	2301
	Corangamite          	336	8165	608	497	1798	1652
	Corinella            	630	5082	1013	705	2534	2323
	Corio                	550	4013	2931	1246	2983	2589
	Deakin               	271	3388	1958	1353	2351	1992
	Dunkley              	362	2615	2477	1589	2904	2570
	Flinders             	467	7122	2232	1731	2364	2099
	Gellibrand           	811	3724	1953	1182	2343	1904
	Gippsland            	380	6205	1343	867	2336	2052
	Goldstein            	455	3680	1852	1337	2482	2164
	Higgins              	641	6207	2541	1257	3111	2565
	Holt                 	948	2862	2336	1212	1969	1631
	Hotham               	602	4227	1741	1057	2671	2308
	Indi                 	393	5696	2195	1679	2299	1986
	Isaacs               	303	2805	2175	1636	1759	1555
	Jagajaga             	294	4092	1679	1069	2885	2472
	Kooyong              	409	4469	1792	1177	2646	2351
