State;Ticket;Group;Ballot Position;Member;Candidate;Party;Gender;Order Elected;Term Expires
NSW;A;FST;1;;SHEN, Victor;FST;M;0;
NSW;A;FST;2;;WILLSON, Greg;FST;M;0;
NSW;B;NAN;1;;NASH, Chris;NAN;M;0;
NSW;B;NAN;2;;WADDELL, Jane;NAN;F;0;
NSW;C;NDP;1;;DENBOROUGH, Michael;NDP;M;0;
NSW;C;NDP;2;;FRANCIS, Yvonne;NDP;F;0;
NSW;D;;1;;GALLAGHER, Mick;;M;0;
NSW;D;;2;;MAWSON, John A;;M;0;
NSW;E;NLP;1;;NOLAN, Richard;NLP;M;0;
NSW;E;NLP;2;;SEYMOUR, Bev;NLP;F;0;
NSW;F;ACS;1;;ABOLISH CHILD SUPPORT&FAMILY CRT, Justice;ACS;M;0;
NSW;F;ACS;2;;MEZINEC, Richard;ACS;M;0;
NSW;G;;1;;LEES, Malcolm;;M;0;
NSW;G;;2;;RANKIN, Warwick;;M;0;
NSW;H;ALP;1;;HUTCHINS, Steve;ALP;M;0;
NSW;H;ALP;2;;FAULKNER, John;ALP;M;0;
NSW;H;ALP;3;;FORSHAW, Michael;ALP;M;0;
NSW;H;ALP;4;;STEPHENS, Ursula;ALP;F;0;
NSW;I;CEC;1;;BUTLER, Robert H;CEC;M;0;
NSW;I;CEC;2;;COLLINS, Glenys;CEC;F;0;
NSW;I;CEC;3;;COSGROVE, Lindsay David;CEC;M;0;
NSW;J;;1;;MOULDFIELD, David;;M;0;
NSW;J;;2;;HANDSOME HANDPUPPET, Paul-Ian;;M;0;
NSW;K;HAN;1;;OLDFIELD, David;HAN;M;0;
NSW;K;HAN;2;;BURSTON, Brian;HAN;M;0;
NSW;K;HAN;3;;O'REGAN, Bevan;HAN;M;0;
NSW;L;LNP;1;;HEFFERNAN, Bill;LP;M;0;
NSW;L;LNP;2;;TIERNEY, John;LP;M;0;
NSW;L;LNP;3;;MACDONALD, Sandy;NP;M;0;
NSW;L;LNP;4;;FIERRAVANTI-WELLS, Concetta;LP;F;0;
NSW;M;DEM;1;;RIDGEWAY, Aden;DEM;M;0;
NSW;M;DEM;2;;BAIRD, Matthew;DEM;M;0;
NSW;M;DEM;3;;REDDY, Suzanne;DEM;F;0;
NSW;M;DEM;4;;MENDELSSOHN, David;DEM;M;0;
NSW;N;DSL;1;;CARMAN, Marina;DSL;F;0;
NSW;N;DSL;2;;BOYLE, Peter;DSL;M;0;
NSW;O;RAR;1;;SMITH, Rodney;RARI;M;0;
NSW;O;RAR;2;;WOODGER, Edwin;RARI;M;0;
NSW;P;;1;;POULOS, Patricia;;F;0;
NSW;P;;2;;HOLLEY, John;;M;0;
NSW;Q;SEP;1;;BEAMS, Nick;SEP;M;0;
NSW;Q;SEP;2;;DIVJAK, Carol;SEP;F;0;
NSW;R;;1;;SCHOLLBACH, Robert F;;M;0;
NSW;R;;2;;STIRLING, Amanda Jane;;F;0;
NSW;S;;1;;MELVILLE, Graeme;;M;0;
NSW;S;;2;;BROADBRIDGE, Philip;;M;0;
NSW;T;CTA;1;;MCLENNAN, Graham Clarke;CTA;M;0;
NSW;T;CTA;2;;PETERSON, Janne;CTA;F;0;
NSW;T;CTA;3;;ALLANSON, Tom;CTA;M;0;
NSW;T;CTA;4;;MORGAN, Rex L;CTA;M;0;
NSW;T;CTA;5;;MCLENNAN, Michael Stewart;CTA;M;0;
NSW;U;GRN;1;;SUTTON, John;GRN;M;0;
NSW;U;GRN;2;;MOORE, Catherine;GRN;F;0;
NSW;U;GRN;3;;RHIANNON, Lee;GRN;F;0;
NSW;U;GRN;4;;RUSSELL, Susie;GRN;F;0;
NSW;V;UNI;1;;LI, Jason Yat-Sen;UNI;M;0;
NSW;V;UNI;2;;STOCKREITER, Sonja;UNI;F;0;
NSW;V;UNI;3;;MCGUID, Sam;UNI;M;0;
NSW;V;UNI;4;;GINGES, Kieran Daniel;UNI;M;0;
NSW;V;UNI;5;;HASSAPIS, Nicholas Victor;UNI;M;0;
NSW;UG;;1;;YAGLIPINAR, Mehmet;IND;M;0;
NSW;UG;;2;;SARKS, Paul Anthony;IND;M;0;
NSW;UG;;3;;VAUGHAN, Adrian;IND;M;0;
NSW;UG;;4;;PANTSDOWN, Pauline;IND;M;0;
NSW;UG;;5;;KUMAR, Tom;IND;M;0;
NSW;UG;;6;;ROSS, Richard;IND;M;0;
NSW;UG;;7;;JOSEPH, Stani R;IND;M;0;
NSW;UG;;8;;PARSLOW, Party;IND;M;0;
NSW;UG;;9;;POULSEN, Ron;;M;0;
VIC;A;ABR;1;;BULLMORE, Eric;ABR;M;0;
VIC;A;ABR;2;;SYDENHAM, David;ABR;M;0;
VIC;B;;1;;TOSCANO, Joe;;M;0;
VIC;B;;2;;ROPER, Steve;;M;0;
VIC;C;DEM;1;;DOWNEY, Jim;DEM;M;0;
VIC;C;DEM;2;;TOWNSEND, Matthew;DEM;M;0;
VIC;C;DEM;3;;SAUNDERS, Ken;DEM;M;0;
VIC;C;DEM;4;;HARCOURT, Alison;DEM;F;0;
VIC;D;UNI;1;;COPE, Bill;UNI;M;0;
VIC;D;UNI;2;;NGUYEN, Phong;UNI;M;0;
VIC;D;UNI;3;;LEE, Wellington;UNI;M;0;
