State;Division;Ballot Position;Member;Candidate;Party;Gender;Vote;Vote Percent;Swing
NSW;Banks;1;;IACONO, Stephen;LP;M;24744;33.79;-5.70
NSW;Banks;2;;MADDISON, Philip;HAN;M;8010;10.94;10.94
NSW;Banks;3;;CHEN, Bin;UNI;M;2250;3.07;3.07
NSW;Banks;4;;ARCHER, Greg;GRN;M;1075;1.47;1.47
NSW;Banks;5;;BAILEY, Alison;DEM;F;3128;4.27;-3.33
NSW;Banks;6;#;MELHAM, Daryl;ALP;M;32599;44.52;0.96
NSW;Banks;7;;GRIGG, Brian;CTA;M;1422;1.94;1.94
NSW;Banks;903;;;RARI;;0;0.00;-1.33
NSW;Banks;904;;;AFI;;0;0.00;-5.19
NSW;Banks;997;;;OTH;;0;0.00;-2.84
NSW;Barton;1;#;MCCLELLAND, Robert;ALP;M;37382;49.61;1.23
NSW;Barton;2;;TANG, Lin;UNI;M;3182;4.22;4.22
NSW;Barton;3;;NELSON, Adam;GRN;M;1161;1.54;1.54
NSW;Barton;4;;JORDAN, James;LP;M;26430;35.08;-6.09
NSW;Barton;5;;BAIRD, Neil;HAN;M;5162;6.85;6.85
NSW;Barton;6;;CHUNG, Craig;DEM;M;2028;2.69;-2.73
NSW;Barton;901;;;CTA;;0;0.00;-3.20
NSW;Barton;997;;;OTH;;0;0.00;-1.83
NSW;Bennelong;1;;PARKER, Jamie;GRN;M;2306;3.07;0.60
NSW;Bennelong;2;;KING, Gordon;HAN;M;3099;4.13;4.13
NSW;Bennelong;3;#;HOWARD, John Winston;LP;M;36976;49.24;-4.59
NSW;Bennelong;4;;DROULERS, Julien Paul;IND;M;128;0.17;-0.08
NSW;Bennelong;5;;LUNG, David;IND;M;1319;1.76;1.76
NSW;Bennelong;6;;CARR, Tim;NLP;M;123;0.16;-0.14
NSW;Bennelong;7;;AUSSIE-STONE, Marcus;IND;M;71;0.09;0.09
NSW;Bennelong;8;;SPRINGETT, Bob;DEM;M;3504;4.67;-1.57
NSW;Bennelong;9;;PISS THE FAMILY COURT-LEGAL AID, Prime Minister John;ACS;M;183;0.24;0.24
NSW;Bennelong;10;;KEMP, Sarah;UNI;F;2923;3.89;3.89
NSW;Bennelong;11;;GOLLAN, William Edward;NAN;M;341;0.45;-1.28
NSW;Bennelong;12;;DAWSON, John;IND;M;186;0.25;-0.03
NSW;Bennelong;13;;MAHON, Wendy;ALP;F;23929;31.87;-0.29
NSW;Bennelong;903;;;AFI;;0;0.00;-2.61
NSW;Bennelong;997;;;OTH;;0;0.00;-0.15
NSW;Berowra;1;;STEWART, Wayne;HAN;M;4788;6.03;6.03
NSW;Berowra;2;;TEUBEN, Bernard;DEM;M;5255;6.62;-0.82
NSW;Berowra;3;#;RUDDOCK, Philip;LP;M;43180;54.36;-4.24
NSW;Berowra;4;;NANNELLI, Owen;CTA;M;1893;2.38;2.38
NSW;Berowra;5;;BURKE, Andrew;GRN;M;2561;3.22;0.05
NSW;Berowra;6;;MCCARROLL, Nola;ALP;F;21763;27.40;5.84
NSW;Berowra;905;;;AFI;;0;0.00;-2.54
NSW;Berowra;907;;;NLP;;0;0.00;-0.18
NSW;Berowra;997;;;OTH;;0;0.00;-6.51
