State;Division;Enrolment;Formal Vote;Informal Vote;Total Vote;Formal Pc;Formal Swing;Informal Pc;Informal Swing;Turnout;Turnout Swing;ALP TPP Vote;Coalition TPP Vote;TPP Exhausted;ALP TPP Pc;ALP Swing
NSW;Banks;80108;73228;3006;76234;96.06;0.30;3.94;-0.30;95.16;-1.68;41818;31410;0;57.11;5.70
NSW;Barton;83151;75345;3364;78709;95.73;0.01;4.27;-0.01;94.66;-2.15;45029;30316;0;59.76;5.42
NSW;Bennelong;83725;75088;4513;79601;94.33;-1.85;5.67;1.85;95.07;-1.67;33013;42075;0;43.97;4.10
NSW;Berowra;86091;79440;2492;81932;96.96;-0.23;3.04;0.23;95.17;-1.42;28983;50457;0;36.48;4.88
NSW;Blaxland;80590;71796;4211;76007;94.46;1.08;5.54;-1.08;94.31;-1.75;51738;20058;0;72.06;9.08
NSW;Bradfield;80669;74143;2175;76318;97.15;0.08;2.85;-0.08;94.61;-1.84;19867;54276;0;26.80;2.56
NSW;Calare;78339;72812;2548;75360;96.62;-1.15;3.38;1.15;96.20;-0.62;34068;38744;0;46.79;-0.31
NSW;Charlton;86091;80305;2513;82818;96.97;0.42;3.03;-0.42;96.20;-1.14;50570;29735;0;62.97;3.65
NSW;Chifley;82386;73402;4597;77999;94.11;-0.64;5.89;0.64;94.68;-1.37;52037;21365;0;70.89;6.36
NSW;Cook;80733;73820;3103;76923;95.97;-1.55;4.03;1.55;95.28;-1.49;30310;43510;0;41.06;3.34
NSW;Cowper;79213;73337;2068;75405;97.26;-0.44;2.74;0.44;95.19;-0.99;32002;41335;0;43.64;5.20
NSW;Cunningham;77221;71004;2564;73568;96.51;0.12;3.49;-0.12;95.27;-1.26;48423;22581;0;68.20;5.29
NSW;Dobell;82861;76820;2466;79286;96.89;-0.17;3.11;0.17;95.69;-1.05;40980;35840;0;53.35;3.27
NSW;Eden-Monaro;78927;73182;2425;75607;96.79;-0.22;3.21;0.22;95.79;-0.17;36460;36722;0;49.82;4.58
NSW;Farrer;75126;69226;2830;72056;96.07;-0.51;3.93;0.51;95.91;-0.11;24493;44733;0;35.38;6.61
NSW;Fowler;90623;80198;4920;85118;94.22;2.29;5.78;-2.29;93.93;-1.93;61216;18982;0;76.33;8.06
NSW;Gilmore;78777;74050;1743;75793;97.70;0.05;2.30;-0.05;96.21;-0.86;34037;40013;0;45.96;2.20
NSW;Grayndler;85901;75394;4142;79536;94.79;0.23;5.21;-0.23;92.59;-2.65;54528;20866;0;72.32;5.95
NSW;Greenway;86328;77565;4522;82087;94.49;-0.21;5.51;0.21;95.09;-1.11;46493;31072;0;59.94;6.55
NSW;Gwydir;72930;66810;2745;69555;96.05;-1.40;3.95;1.40;95.37;-1.34;24330;42480;0;36.42;4.93
NSW;Hughes;87821;81333;3162;84495;96.26;-1.01;3.74;1.01;96.21;-1.26;36179;45154;0;44.48;-0.63
NSW;Hume;75237;69152;3269;72421;95.49;-1.92;4.51;1.92;96.26;-0.68;29003;40149;0;41.94;3.71
NSW;Hunter;77139;71734;2441;74175;96.71;-0.63;3.29;0.63;96.16;-0.89;46405;25329;0;64.69;7.73
NSW;Kingsford-Smith;80581;71563;4013;75576;94.69;-0.26;5.31;0.26;93.79;-1.21;45373;26190;0;63.40;3.26
NSW;Lindsay;84257;76438;4467;80905;94.48;-1.94;5.52;1.94;96.02;-0.09;37238;39200;0;48.72;0.30
NSW;Lowe;81910;74189;3585;77774;95.39;0.62;4.61;-0.62;94.95;-1.51;40527;33662;0;54.63;7.09
NSW;Lyne;82215;76101;2947;79048;96.27;-1.22;3.73;1.22;96.15;-0.67;30650;45451;0;40.28;5.71
NSW;Macarthur;91700;84589;2973;87562;96.60;0.12;3.40;-0.12;95.49;-1.25;37529;47060;0;44.37;5.06
NSW;Mackellar;81571;74452;2770;77222;96.41;-0.29;3.59;0.29;94.67;-1.80;25578;48874;0;34.36;0.88
NSW;Macquarie;82050;75883;2395;78278;96.94;0.88;3.06;-0.88;95.40;-1.18;34830;41053;0;45.90;2.26
NSW;Mitchell;82764;76495;2648;79143;96.65;-0.36;3.35;0.36;95.62;-1.50;23063;53432;0;30.15;4.47
NSW;Newcastle;77596;65223;3347;68570;95.12;-2.04;4.88;2.04;88.37;-8.40;0;0;0;0.00;-61.19
NSW;New England;74637;68463;2573;71036;96.38;-1.33;3.62;1.33;95.18;-0.91;25377;43086;0;37.07;6.25
NSW;North Sydney;87686;78953;2676;81629;96.72;-0.73;3.28;0.73;93.09;-2.04;29829;49124;0;37.78;3.34
NSW;Page;80248;74989;2043;77032;97.35;-0.70;2.65;0.70;95.99;-0.59;35724;39265;0;47.64;1.95
NSW;Parkes;79589;73255;2257;75512;97.01;-0.11;2.99;0.11;94.88;-0.98;33617;39638;0;45.89;2.39
NSW;Parramatta;78800;71170;3600;74770;95.19;-0.96;4.81;0.96;94.89;-1.51;34824;36346;0;48.93;2.80
NSW;Paterson;82019;76665;2643;79308;96.67;-1.07;3.33;1.07;96.69;-0.66;39268;37397;0;51.22;1.65
NSW;Prospect;78030;69387;4806;74193;93.52;-0.71;6.48;0.71;95.08;-1.19;48371;21016;0;69.71;5.81
NSW;Reid;82635;71512;5468;76980;92.90;-1.75;7.10;1.75;93.16;-3.15;51233;20279;0;71.64;10.26
NSW;Richmond;87997;81283;2271;83554;97.28;-0.63;2.72;0.63;94.95;-1.06;40013;41270;0;49.23;5.98
NSW;Riverina;79880;74353;2257;76610;97.05;0.28;2.95;-0.28;95.91;-1.11;25801;48552;0;34.70;5.71
NSW;Robertson;80631;75085;2254;77339;97.09;-0.10;2.91;0.10;95.92;-1.16;36034;39051;0;47.99;1.56
NSW;Shortland;78527;73400;2167;75567;97.13;-0.06;2.87;0.06;96.23;-1.04;46100;27300;0;62.81;4.66
NSW;Sydney;87278;75437;3331;78768;95.77;0.29;4.23;-0.29;90.25;-2.60;50463;24974;0;66.89;3.09
NSW;Throsby;78879;72582;2948;75530;96.10;-0.03;3.90;0.03;95.75;-1.34;52593;19989;0;72.46;2.84
NSW;Warringah;79007;71676;2273;73949;96.93;-0.18;3.07;0.18;93.60;-2.51;26531;45145;0;37.02;2.33
NSW;Watson;81571;72405;3791;76196;95.02;0.14;4.98;-0.14;93.41;-2.63;48849;23556;0;67.47;5.79
NSW;Wentworth;82463;73057;2771;75828;96.35;-0.20;3.65;0.20;91.95;-3.46;31910;41147;0;43.68;1.51
NSW;Werriwa;81573;73355;3766;77121;95.12;0.20;4.88;-0.20;94.54;-1.28;45974;27381;0;62.67;6.46
VIC;Aston;84875;79696;2324;82020;97.17;-0.43;2.83;0.43;96.64;-0.38;36469;43227;0;45.76;1.35
VIC;Ballarat;81818;76330;2809;79139;96.45;-1.44;3.55;1.44;96.73;-0.09;36050;40280;0;47.23;0.90
VIC;Batman;88729;80553;3280;83833;96.09;1.17;3.91;-1.17;94.48;-0.75;61569;18984;0;76.43;5.12
VIC;Bendigo;83912;78037;3366;81403;95.87;-2.09;4.13;2.09;97.01;0.08;41726;36311;0;53.47;4.35
VIC;Bruce;84659;78429;3001;81430;96.31;-0.72;3.69;0.72;96.19;-0.26;44485;33944;0;56.72;5.96
VIC;Burke;80245;73034;3988;77022;94.82;-2.21;5.18;2.21;95.98;-0.23;42074;30960;0;57.61;0.58
VIC;Calwell;87318;80219;2864;83083;96.55;0.31;3.45;-0.31;95.15;-0.48;55334;24885;0;68.98;1.78
VIC;Casey;80213;73993;3098;77091;95.98;-1.26;4.02;1.26;96.11;-0.55;33395;40598;0;45.13;1.78
VIC;Chisholm;85104;78516;2910;81426;96.43;-1.01;3.57;1.01;95.68;-0.51;40887;37629;0;52.07;4.67
VIC;Corangamite;79927;74615;1949;76564;97.45;-0.33;2.55;0.33;95.79;-0.90;33950;40665;0;45.50;3.19
VIC;Corio;82075;75977;2516;78493;96.79;-0.18;3.21;0.18;95.64;-1.05;46618;29359;0;61.36;4.56
VIC;Deakin;83312;77469;2549;80018;96.81;-0.32;3.19;0.32;96.05;-0.61;37236;40233;0;48.07;0.55
VIC;Dunkley;81845;76334;2264;78598;97.12;-0.39;2.88;0.39;96.03;-0.39;36613;39721;0;47.96;1.32
