Senate -  1998 Election: New South Wales																																																																															
First Preference Votes by Group																																																																															
By Polling Place																																																																															


Banks (80108)																																																																															

	   		Group Total FST			Group Total NAN			Group Total NDP			Group Total - Unendorsed Group D			Group Total NLP			Group Total ACS			Group Total - Unendorsed Group G			Group Total ALP			Group Total CEC			Group Total - Unendorsed Group J			Group Total HAN			Group Total LNP			Group Total DEM			Group Total DSL			Group Total RAR			Group Total - Unendorsed Group P			Group Total SEP			Group Total - Unendorsed Group R			Group Total - Unendorsed Group S			Group Total CDP			Group Total GRN			Group Total UNI			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Padstow East		                               	17	1.24	  	0	0	  	0	0	  	0	0	  	1	0.07	  	2	0.15	  	4	0.29	  	614	44.95	  	0	0	  	0	0	  	174	12.74	  	384	28.11	  	77	5.64	  	2	0.15	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	23	1.68	  	12	0.88	  	54	3.95	  	2	0.15	  	1366	95.86	  	59	4.14	  	1425	1.86
Padstow North		                              	2	0.33	  	0	0	  	1	0.17	  	0	0	  	0	0	  	2	0.33	  	1	0.17	  	255	42.29	  	0	0	  	0	0	  	81	13.43	  	182	30.18	  	33	5.47	  	2	0.33	  	2	0.33	  	0	0	  	0	0	  	0	0	  	0	0	  	25	4.15	  	11	1.82	  	6	1	  	0	0	  	603	97.89	  	13	2.11	  	616	0.81
Padstow South		                              	18	0.65	  	1	0.04	  	4	0.14	  	0	0	  	2	0.07	  	4	0.14	  	6	0.22	  	1052	38.07	  	3	0.11	  	0	0	  	362	13.1	  	974	35.25	  	196	7.09	  	6	0.22	  	10	0.36	  	0	0	  	0	0	  	0	0	  	0	0	  	62	2.24	  	27	0.98	  	33	1.19	  	3	0.11	  	2763	96.61	  	97	3.39	  	2860	3.74
Panania		                                    	17	1.05	  	2	0.12	  	2	0.12	  	0	0	  	0	0	  	0	0	  	6	0.37	  	737	45.41	  	2	0.12	  	0	0	  	211	13	  	471	29.02	  	82	5.05	  	3	0.18	  	4	0.25	  	0	0	  	0	0	  	1	0.06	  	0	0	  	33	2.03	  	22	1.36	  	30	1.85	  	0	0	  	1623	96.43	  	60	3.57	  	1683	2.2
Panania Central		                            	18	1.21	  	1	0.07	  	5	0.34	  	0	0	  	3	0.2	  	0	0	  	5	0.34	  	652	43.88	  	3	0.2	  	2	0.13	  	236	15.88	  	401	26.99	  	89	5.99	  	2	0.13	  	7	0.47	  	1	0.07	  	0	0	  	0	0	  	0	0	  	33	2.22	  	15	1.01	  	13	0.87	  	0	0	  	1486	95.32	  	73	4.68	  	1559	2.04
Panania North		                              	7	0.4	  	2	0.11	  	1	0.06	  	0	0	  	1	0.06	  	6	0.34	  	10	0.57	  	820	46.67	  	1	0.06	  	1	0.06	  	233	13.26	  	491	27.95	  	102	5.81	  	1	0.06	  	7	0.4	  	1	0.06	  	0	0	  	1	0.06	  	0	0	  	34	1.94	  	18	1.02	  	20	1.14	  	0	0	  	1757	96.43	  	65	3.57	  	1822	2.38
Panania South		                              	12	0.44	  	4	0.15	  	6	0.22	  	0	0	  	3	0.11	  	7	0.26	  	5	0.18	  	1011	37.31	  	1	0.04	  	0	0	  	373	13.76	  	954	35.2	  	180	6.64	  	3	0.11	  	13	0.48	  	1	0.04	  	2	0.07	  	1	0.04	  	0	0	  	70	2.58	  	35	1.29	  	26	0.96	  	3	0.11	  	2710	96.13	  	109	3.87	  	2819	3.69
Peakhurst		                                  	8	1.4	  	0	0	  	3	0.53	  	0	0	  	0	0	  	1	0.18	  	3	0.53	  	268	46.94	  	1	0.18	  	0	0	  	81	14.19	  	159	27.85	  	35	6.13	  	0	0	  	1	0.18	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	5	0.88	  	6	1.05	  	0	0	  	571	96.13	  	23	3.87	  	594	0.78
Peakhurst East		                             	21	1.35	  	1	0.06	  	5	0.32	  	1	0.06	  	0	0	  	1	0.06	  	6	0.39	  	646	41.46	  	1	0.06	  	1	0.06	  	181	11.62	  	466	29.91	  	100	6.42	  	4	0.26	  	2	0.13	  	2	0.13	  	2	0.13	  	0	0	  	0	0	  	27	1.73	  	19	1.22	  	70	4.49	  	2	0.13	  	1558	96.17	  	62	3.83	  	1620	2.12
Peakhurst South		                            	13	0.81	  	0	0	  	4	0.25	  	0	0	  	2	0.12	  	2	0.12	  	2	0.12	  	478	29.62	  	1	0.06	  	1	0.06	  	193	11.96	  	707	43.8	  	143	8.86	  	4	0.25	  	2	0.12	  	0	0	  	0	0	  	0	0	  	0	0	  	27	1.67	  	19	1.18	  	15	0.93	  	1	0.06	  	1614	96.36	  	61	3.64	  	1675	2.19
Peakhurst West		                             	21	0.83	  	5	0.2	  	3	0.12	  	0	0	  	2	0.08	  	4	0.16	  	4	0.16	  	983	38.72	  	4	0.16	  	4	0.16	  	314	12.37	  	895	35.25	  	206	8.11	  	0	0	  	5	0.2	  	0	0	  	1	0.04	  	0	0	  	0	0	  	25	0.98	  	29	1.14	  	32	1.26	  	2	0.08	  	2539	96.98	  	79	3.02	  	2618	3.43
