Senate -  1998 Election: New South Wales																																																																															
First Preference Votes by Group																																																																															
By Polling Place																																																																															


Banks (80108)																																																																															

	   		Group Total FST			Group Total NAN			Group Total NDP			Group Total - Unendorsed Group D			Group Total NLP			Group Total ACS			Group Total - Unendorsed Group G			Group Total ALP			Group Total CEC			Group Total - Unendorsed Group J			Group Total HAN			Group Total LNP			Group Total DEM			Group Total DSL			Group Total RAR			Group Total - Unendorsed Group P			Group Total SEP			Group Total - Unendorsed Group R			Group Total - Unendorsed Group S			Group Total CDP			Group Total GRN			Group Total UNI			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Pymble		                                     	3	0.18	  	6	0.37	  	1	0.06	  	0	0	  	0	0	  	2	0.12	  	2	0.12	  	166	10.11	  	0	0	  	3	0.18	  	64	3.9	  	1064	64.8	  	207	12.61	  	2	0.12	  	1	0.06	  	0	0	  	1	0.06	  	0	0	  	0	0	  	22	1.34	  	31	1.89	  	65	3.96	  	2	0.12	  	1642	98.5	  	25	1.5	  	1667	2.18
Pymble North		                               	3	0.16	  	0	0	  	0	0	  	6	0.32	  	3	0.16	  	0	0	  	7	0.37	  	261	13.74	  	1	0.05	  	0	0	  	50	2.63	  	1191	62.68	  	238	12.53	  	3	0.16	  	3	0.16	  	0	0	  	0	0	  	0	0	  	3	0.16	  	17	0.89	  	39	2.05	  	70	3.68	  	5	0.26	  	1900	97.94	  	40	2.06	  	1940	2.54
Pymble West		                                	3	0.16	  	4	0.22	  	0	0	  	0	0	  	1	0.05	  	0	0	  	4	0.22	  	283	15.36	  	0	0	  	0	0	  	79	4.29	  	1015	55.07	  	313	16.98	  	5	0.27	  	3	0.16	  	0	0	  	0	0	  	0	0	  	2	0.11	  	40	2.17	  	46	2.5	  	40	2.17	  	5	0.27	  	1843	98.14	  	35	1.86	  	1878	2.45
Roseville		                                  	2	0.15	  	1	0.07	  	0	0	  	1	0.07	  	5	0.36	  	0	0	  	0	0	  	194	14.14	  	1	0.07	  	3	0.22	  	46	3.35	  	798	58.16	  	221	16.11	  	3	0.22	  	5	0.36	  	0	0	  	1	0.07	  	0	0	  	0	0	  	16	1.17	  	26	1.9	  	45	3.28	  	4	0.29	  	1372	98.14	  	26	1.86	  	1398	1.83
Roseville Chase		                            	6	0.68	  	0	0	  	4	0.46	  	0	0	  	2	0.23	  	1	0.11	  	1	0.11	  	151	17.24	  	0	0	  	0	0	  	49	5.59	  	505	57.65	  	91	10.39	  	2	0.23	  	1	0.11	  	0	0	  	1	0.11	  	0	0	  	0	0	  	7	0.8	  	20	2.28	  	34	3.88	  	1	0.11	  	876	96.37	  	33	3.63	  	909	1.19
Roseville East		                             	1	0.12	  	1	0.12	  	0	0	  	0	0	  	0	0	  	0	0	  	3	0.37	  	137	16.77	  	0	0	  	0	0	  	23	2.82	  	472	57.77	  	124	15.18	  	3	0.37	  	1	0.12	  	0	0	  	0	0	  	0	0	  	0	0	  	6	0.73	  	16	1.96	  	29	3.55	  	1	0.12	  	817	99.03	  	8	0.97	  	825	1.08
Roseville South (Bradfield)		                	2	0.3	  	0	0	  	1	0.15	  	0	0	  	1	0.15	  	0	0	  	1	0.15	  	154	23.37	  	0	0	  	0	0	  	20	3.03	  	345	52.35	  	87	13.2	  	1	0.15	  	5	0.76	  	0	0	  	1	0.15	  	0	0	  	1	0.15	  	10	1.52	  	14	2.12	  	16	2.43	  	0	0	  	659	97.34	  	18	2.66	  	677	0.88
St Ives		                                    	1	0.07	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.07	  	179	12.91	  	0	0	  	1	0.07	  	55	3.97	  	924	66.67	  	137	9.88	  	4	0.29	  	2	0.14	  	0	0	  	0	0	  	0	0	  	0	0	  	7	0.51	  	29	2.09	  	46	3.32	  	0	0	  	1386	97.06	  	42	2.94	  	1428	1.87
St Ives Chase		                              	3	0.42	  	0	0	  	3	0.42	  	0	0	  	0	0	  	1	0.14	  	0	0	  	78	10.82	  	0	0	  	1	0.14	  	17	2.36	  	497	68.93	  	77	10.68	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	3	0.42	  	21	2.91	  	18	2.5	  	2	0.28	  	721	97.56	  	18	2.44	  	739	0.97
St Ives North		                              	5	0.21	  	4	0.17	  	3	0.12	  	1	0.04	  	6	0.25	  	0	0	  	3	0.12	  	297	12.33	  	0	0	  	1	0.04	  	97	4.03	  	1551	64.38	  	267	11.08	  	3	0.12	  	0	0	  	0	0	  	1	0.04	  	0	0	  	0	0	  	30	1.25	  	49	2.03	  	88	3.65	  	3	0.12	  	2409	97.89	  	52	2.11	  	2461	3.22
St Ives Park		                               	3	0.19	  	4	0.25	  	2	0.12	  	1	0.06	  	0	0	  	2	0.12	  	1	0.06	  	204	12.68	  	1	0.06	  	0	0	  	71	4.41	  	1074	66.75	  	147	9.14	  	1	0.06	  	2	0.12	  	0	0	  	0	0	  	0	0	  	0	0	  	16	0.99	  	16	0.99	  	64	3.98	  	0	0	  	1609	97.75	  	37	2.25	  	1646	2.15
St Ives South		                              	6	0.25	  	0	0	  	6	0.25	  	1	0.04	  	7	0.29	  	1	0.04	  	3	0.12	  	329	13.45	  	0	0	  	1	0.04	  	83	3.39	  	1558	63.7	  	246	10.06	  	5	0.2	  	1	0.04	  	1	0.04	  	0	0	  	0	0	  	0	0	  	37	1.51	  	45	1.84	  	112	4.58	  	4	0.16	  	2446	98.11	  	47	1.89	  	2493	3.26
Sydney (Bradfield)		                         	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	21	21.43	  	0	0	  	0	0	  	3	3.06	  	47	47.96	  	9	9.18	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	6	6.12	  	11	11.22	  	1	1.02	  	98	100	  	0	0	  	98	0.13
Turramurra		                                 	1	0.15	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	46	6.71	  	0	0	  	1	0.15	  	32	4.66	  	517	75.36	  	62	9.04	  	1	0.15	  	1	0.15	  	0	0	  	0	0	  	0	0	  	0	0	  	7	1.02	  	13	1.9	  	5	0.73	  	0	0	  	686	95.68	  	31	4.32	  	717	0.94
Turramurra Central		                         	3	0.21	  	1	0.07	  	1	0.07	  	1	0.07	  	4	0.28	  	0	0	  	1	0.07	  	198	13.98	  	0	0	  	0	0	  	72	5.08	  	880	62.15	  	131	9.25	  	3	0.21	  	4	0.28	  	0	0	  	0	0	  	0	0	  	1	0.07	  	15	1.06	  	30	2.12	  	71	5.01	  	0	0	  	1416	97.86	  	31	2.14	  	1447	1.89
Turramurra North		                           	6	0.28	  	2	0.09	  	2	0.09	  	6	0.28	  	5	0.23	  	2	0.09	  	5	0.23	  	315	14.45	  	0	0	  	3	0.14	  	107	4.91	  	1326	60.83	  	255	11.7	  	5	0.23	  	4	0.18	  	1	0.05	  	0	0	  	0	0	  	4	0.18	  	34	1.56	  	48	2.2	  	48	2.2	  	2	0.09	  	2180	97.54	  	55	2.46	  	2235	2.92
Turramurra South (Bradfield)		               	3	0.16	  	4	0.21	  	3	0.16	  	1	0.05	  	1	0.05	  	0	0	  	1	0.05	  	348	18.04	  	0	0	  	1	0.05	  	84	4.35	  	1018	52.77	  	315	16.33	  	4	0.21	  	5	0.26	  	0	0	  	1	0.05	  	0	0	  	0	0	  	39	2.02	  	44	2.28	  	53	2.75	  	4	0.21	  	1929	97.72	  	45	2.28	  	1974	2.58
Wahroonga		                                  	4	0.16	  	1	0.04	  	5	0.2	  	5	0.2	  	5	0.2	  	0	0	  	6	0.24	  	300	11.88	  	0	0	  	1	0.04	  	109	4.32	  	1688	66.85	  	279	11.05	  	6	0.24	  	3	0.12	  	0	0	  	0	0	  	0	0	  	0	0	  	30	1.19	  	27	1.07	  	52	2.06	  	4	0.16	  	2525	97.72	  	59	2.28	  	2584	3.38
Wahroonga East		                             	3	0.19	  	0	0	  	1	0.06	  	3	0.19	  	2	0.13	  	2	0.13	  	3	0.19	  	217	14.05	  	1	0.06	  	0	0	  	55	3.56	  	922	59.72	  	235	15.22	  	4	0.26	  	2	0.13	  	0	0	  	0	0	  	0	0	  	1	0.06	  	9	0.58	  	21	1.36	  	60	3.89	  	3	0.19	  	1544	98.28	  	27	1.72	  	1571	2.05
Warrawee (Bradfield)		                       	1	0.08	  	0	0	  	3	0.25	  	5	0.42	  	1	0.08	  	0	0	  	2	0.17	  	176	14.7	  	0	0	  	0	0	  	55	4.59	  	704	58.81	  	180	15.04	  	0	0	  	3	0.25	  	0	0	  	0	0	  	0	0	  	2	0.17	  	12	1	  	26	2.17	  	26	2.17	  	1	0.08	  	1197	97.48	  	31	2.52	  	1228	1.61
Special Hospitals		                          	9	1	  	0	0	  	2	0.22	  	0	0	  	0	0	  	0	0	  	1	0.11	  	76	8.45	  	0	0	  	1	0.11	  	14	1.56	  	769	85.54	  	19	2.11	  	2	0.22	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	4	0.44	  	0	0	  	2	0.22	  	0	0	  	899	96.88	  	29	3.13	  	928	1.21
Total Ordinary		                             	142	0.25	  	44	0.08	  	65	0.11	  	35	0.06	  	73	0.13	  	30	0.05	  	79	0.14	  	8557	14.89	  	38	0.07	  	33	0.06	  	2385	4.15	  	34533	60.09	  	6897	12	  	103	0.18	  	85	0.15	  	6	0.01	  	17	0.03	  	2	0	  	29	0.05	  	729	1.27	  	1179	2.05	  	2333	4.06	  	75	0.13	  	57469	97.81	  	1286	2.19	  	58755	76.8
ABSENT		                                     	19	0.29	  	3	0.05	  	14	0.21	  	10	0.15	  	4	0.06	  	9	0.14	  	10	0.15	  	1016	15.41	  	2	0.03	  	5	0.08	  	201	3.05	  	4005	60.74	  	748	11.34	  	14	0.21	  	20	0.3	  	0	0	  	2	0.03	  	2	0.03	  	1	0.02	  	108	1.64	  	273	4.14	  	117	1.77	  	11	0.17	  	6594	99.01	  	66	0.99	  	6660	8.7
POSTAL		                                     	7	0.18	  	5	0.13	  	4	0.1	  	3	0.08	  	2	0.05	  	1	0.03	  	2	0.05	  	511	13.36	  	1	0.03	  	1	0.03	  	165	4.31	  	2500	65.38	  	380	9.94	  	4	0.1	  	12	0.31	  	1	0.03	  	1	0.03	  	1	0.03	  	1	0.03	  	70	1.83	  	66	1.73	  	80	2.09	  	6	0.16	  	3824	99.27	  	28	0.73	  	3852	5.03
PRE_POLL		                                   	17	0.25	  	15	0.22	  	12	0.18	  	1	0.01	  	8	0.12	  	1	0.01	  	4	0.06	  	1340	19.66	  	1	0.01	  	1	0.01	  	199	2.92	  	3990	58.54	  	633	9.29	  	7	0.1	  	12	0.18	  	0	0	  	4	0.06	  	0	0	  	3	0.04	  	84	1.23	  	178	2.61	  	303	4.45	  	3	0.04	  	6816	98.71	  	89	1.29	  	6905	9.03
PROVISIONAL		                                	1	0.31	  	0	0	  	1	0.31	  	0	0	  	1	0.31	  	1	0.31	  	1	0.31	  	66	20.18	  	0	0	  	0	0	  	14	4.28	  	181	55.35	  	24	7.34	  	5	1.53	  	2	0.61	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	13	3.98	  	16	4.89	  	1	0.31	  	327	97.32	  	9	2.68	  	336	0.44
Division Summary		                           	186	0.25	  	67	0.09	  	96	0.13	  	49	0.07	  	88	0.12	  	42	0.06	  	96	0.13	  	11490	15.31	  	42	0.06	  	40	0.05	  	2964	3.95	  	45209	60.25	  	8682	11.57	  	133	0.18	  	131	0.17	  	7	0.01	  	24	0.03	  	5	0.01	  	34	0.05	  	991	1.32	  	1709	2.28	  	2849	3.8	  	96	0.13	  	75030	98.07	  	1478	1.93	  	76508	94.84


Calare (78339)																																																																															

	   		Group Total FST			Group Total NAN			Group Total NDP			Group Total - Unendorsed Group D			Group Total NLP			Group Total ACS			Group Total - Unendorsed Group G			Group Total ALP			Group Total CEC			Group Total - Unendorsed Group J			Group Total HAN			Group Total LNP			Group Total DEM			Group Total DSL			Group Total RAR			Group Total - Unendorsed Group P			Group Total SEP			Group Total - Unendorsed Group R			Group Total - Unendorsed Group S			Group Total CDP			Group Total GRN			Group Total UNI			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Barry		                                      	1	0.99	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	20	19.8	  	0	0	  	0	0	  	13	12.87	  	53	52.48	  	9	8.91	  	0	0	  	1	0.99	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	4	3.96	  	0	0	  	0	0	  	101	97.12	  	3	2.88	  	104	0.14
Bathurst		                                   	19	0.79	  	2	0.08	  	5	0.21	  	1	0.04	  	9	0.38	  	8	0.33	  	2	0.08	  	989	41.23	  	8	0.33	  	0	0	  	246	10.25	  	788	32.85	  	200	8.34	  	7	0.29	  	4	0.17	  	0	0	  	2	0.08	  	0	0	  	1	0.04	  	25	1.04	  	57	2.38	  	24	1	  	2	0.08	  	2399	98.04	  	48	1.96	  	2447	3.25
Bathurst Central		                           	10	1.17	  	0	0	  	2	0.23	  	0	0	  	0	0	  	1	0.12	  	0	0	  	354	41.55	  	0	0	  	2	0.23	  	72	8.45	  	279	32.75	  	72	8.45	  	3	0.35	  	2	0.23	  	0	0	  	1	0.12	  	0	0	  	0	0	  	13	1.53	  	32	3.76	  	9	1.06	  	0	0	  	852	96.71	  	29	3.29	  	881	1.17
Bathurst City		                              	9	0.71	  	0	0	  	2	0.16	  	0	0	  	1	0.08	  	3	0.24	  	1	0.08	  	535	41.96	  	2	0.16	  	0	0	  	131	10.27	  	408	32	  	99	7.76	  	5	0.39	  	2	0.16	  	0	0	  	1	0.08	  	2	0.16	  	0	0	  	22	1.73	  	30	2.35	  	21	1.65	  	1	0.08	  	1275	95.58	  	59	4.42	  	1334	1.77
Bathurst High		                              	9	0.74	  	1	0.08	  	3	0.25	  	0	0	  	1	0.08	  	3	0.25	  	1	0.08	  	487	40.21	  	1	0.08	  	1	0.08	  	111	9.17	  	404	33.36	  	119	9.83	  	8	0.66	  	2	0.17	  	0	0	  	0	0	  	0	0	  	1	0.08	  	27	2.23	  	22	1.82	  	9	0.74	  	1	0.08	  	1211	98.22	  	22	1.78	  	1233	1.64
Bathurst Hospital		                          	6	0.79	  	1	0.13	  	1	0.13	  	0	0	  	2	0.26	  	5	0.66	  	0	0	  	347	45.66	  	1	0.13	  	0	0	  	74	9.74	  	241	31.71	  	64	8.42	  	1	0.13	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	8	1.05	  	7	0.92	  	1	0.13	  	1	0.13	  	760	97.19	  	22	2.81	  	782	1.04
Bathurst St Vincents		                       	6	1.87	  	0	0	  	1	0.31	  	0	0	  	0	0	  	1	0.31	  	0	0	  	170	52.96	  	0	0	  	0	0	  	43	13.4	  	63	19.63	  	23	7.17	  	1	0.31	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	5	1.56	  	5	1.56	  	3	0.93	  	0	0	  	321	97.57	  	8	2.43	  	329	0.44
Bathurst South		                             	14	1.21	  	0	0	  	2	0.17	  	0	0	  	1	0.09	  	4	0.35	  	1	0.09	  	504	43.67	  	4	0.35	  	0	0	  	175	15.16	  	309	26.78	  	92	7.97	  	3	0.26	  	0	0	  	1	0.09	  	0	0	  	0	0	  	0	0	  	17	1.47	  	23	1.99	  	4	0.35	  	0	0	  	1154	96.97	  	36	3.03	  	1190	1.58
Bathurst West		                              	11	0.55	  	2	0.1	  	3	0.15	  	0	0	  	3	0.15	  	6	0.3	  	0	0	  	757	37.79	  	8	0.4	  	2	0.1	  	215	10.73	  	746	37.24	  	158	7.89	  	10	0.5	  	7	0.35	  	0	0	  	3	0.15	  	0	0	  	2	0.1	  	24	1.2	  	35	1.75	  	11	0.55	  	0	0	  	2003	97.28	  	56	2.72	  	2059	2.73
Black Springs		                              	1	0.41	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.41	  	0	0	  	57	23.65	  	0	0	  	0	0	  	48	19.92	  	106	43.98	  	19	7.88	  	2	0.83	  	2	0.83	  	0	0	  	0	0	  	0	0	  	0	0	  	4	1.66	  	1	0.41	  	0	0	  	0	0	  	241	97.97	  	5	2.03	  	246	0.33
Blayney		                                    	17	1.05	  	5	0.31	  	4	0.25	  	1	0.06	  	1	0.06	  	7	0.43	  	0	0	  	612	37.78	  	3	0.19	  	0	0	  	260	16.05	  	582	35.93	  	60	3.7	  	5	0.31	  	6	0.37	  	0	0	  	0	0	  	0	0	  	1	0.06	  	35	2.16	  	16	0.99	  	4	0.25	  	1	0.06	  	1620	97.65	  	39	2.35	  	1659	2.2
Bletchington		                               	17	0.75	  	2	0.09	  	3	0.13	  	3	0.13	  	6	0.26	  	4	0.18	  	1	0.04	  	799	35.14	  	3	0.13	  	3	0.13	  	313	13.76	  	858	37.73	  	143	6.29	  	7	0.31	  	9	0.4	  	1	0.04	  	1	0.04	  	0	0	  	0	0	  	62	2.73	  	29	1.28	  	8	0.35	  	2	0.09	  	2274	97.06	  	69	2.94	  	2343	3.11
Bloomfield Hospital		                        	1	0.67	  	0	0	  	1	0.67	  	0	0	  	0	0	  	0	0	  	0	0	  	48	32	  	0	0	  	0	0	  	14	9.33	  	69	46	  	14	9.33	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	2	1.33	  	1	0.67	  	0	0	  	150	96.77	  	5	3.23	  	155	0.21
Borenore		                                   	3	1.23	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	51	20.9	  	0	0	  	0	0	  	27	11.07	  	131	53.69	  	18	7.38	  	1	0.41	  	0	0	  	0	0	  	0	0	  	1	0.41	  	1	0.41	  	8	3.28	  	2	0.82	  	1	0.41	  	0	0	  	244	98.79	  	3	1.21	  	247	0.33
Bowen		                                      	18	0.83	  	1	0.05	  	3	0.14	  	0	0	  	3	0.14	  	4	0.18	  	2	0.09	  	875	40.12	  	4	0.18	  	1	0.05	  	315	14.44	  	742	34.02	  	106	4.86	  	11	0.5	  	8	0.37	  	0	0	  	1	0.05	  	0	0	  	0	0	  	53	2.43	  	26	1.19	  	7	0.32	  	1	0.05	  	2181	96.68	  	75	3.32	  	2256	2.99
Bowenfels South		                            	2	1.22	  	0	0	  	0	0	  	0	0	  	1	0.61	  	1	0.61	  	0	0	  	69	42.07	  	1	0.61	  	0	0	  	18	10.98	  	50	30.49	  	11	6.71	  	1	0.61	  	1	0.61	  	0	0	  	0	0	  	0	0	  	0	0	  	7	4.27	  	1	0.61	  	0	0	  	1	0.61	  	164	98.2	  	3	1.8	  	167	0.22
Burraga		                                    	1	1.28	  	0	0	  	0	0	  	0	0	  	1	1.28	  	0	0	  	0	0	  	19	24.36	  	0	0	  	0	0	  	19	24.36	  	30	38.46	  	5	6.41	  	0	0	  	2	2.56	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	1.28	  	78	97.5	  	2	2.5	  	80	0.11
Bylong		                                     	1	1.35	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	14	18.92	  	0	0	  	0	0	  	14	18.92	  	42	56.76	  	1	1.35	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	2	2.7	  	0	0	  	0	0	  	74	97.37	  	2	2.63	  	76	0.1
Calare School		                              	10	0.68	  	1	0.07	  	0	0	  	0	0	  	2	0.14	  	1	0.07	  	0	0	  	419	28.29	  	0	0	  	0	0	  	166	11.21	  	705	47.6	  	109	7.36	  	2	0.14	  	7	0.47	  	0	0	  	0	0	  	0	0	  	0	0	  	44	2.97	  	11	0.74	  	3	0.2	  	1	0.07	  	1481	97.88	  	32	2.12	  	1513	2.01
Canobolas		                                  	1	0.78	  	0	0	  	1	0.78	  	1	0.78	  	0	0	  	0	0	  	1	0.78	  	19	14.84	  	0	0	  	1	0.78	  	16	12.5	  	56	43.75	  	24	18.75	  	0	0	  	2	1.56	  	0	0	  	0	0	  	0	0	  	0	0	  	4	3.13	  	1	0.78	  	0	0	  	1	0.78	  	128	93.43	  	9	6.57	  	137	0.18
Canowindra		                                 	16	1.31	  	0	0	  	3	0.25	  	0	0	  	1	0.08	  	4	0.33	  	1	0.08	  	361	29.57	  	3	0.25	  	0	0	  	262	21.46	  	497	40.7	  	51	4.18	  	3	0.25	  	1	0.08	  	0	0	  	1	0.08	  	1	0.08	  	0	0	  	4	0.33	  	8	0.66	  	4	0.33	  	0	0	  	1221	96.37	  	46	3.63	  	1267	1.68
Capertee		                                   	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.66	  	0	0	  	59	38.82	  	0	0	  	0	0	  	40	26.32	  	35	23.03	  	16	10.53	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.66	  	0	0	  	0	0	  	152	96.2	  	6	3.8	  	158	0.21
Carcoar		                                    	1	0.5	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	86	43	  	1	0.5	  	0	0	  	30	15	  	64	32	  	10	5	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	3	1.5	  	2	1	  	3	1.5	  	0	0	  	200	96.62	  	7	3.38	  	207	0.27
Cargo		                                      	5	1.94	  	0	0	  	0	0	  	1	0.39	  	1	0.39	  	0	0	  	0	0	  	94	36.43	  	0	0	  	0	0	  	35	13.57	  	103	39.92	  	11	4.26	  	0	0	  	2	0.78	  	0	0	  	0	0	  	0	0	  	0	0	  	3	1.16	  	1	0.39	  	2	0.78	  	0	0	  	258	96.99	  	8	3.01	  	266	0.35
Cooerwull		                                  	13	0.74	  	2	0.11	  	4	0.23	  	0	0	  	5	0.28	  	3	0.17	  	1	0.06	  	1025	58.14	  	1	0.06	  	0	0	  	178	10.1	  	356	20.19	  	108	6.13	  	9	0.51	  	4	0.23	  	0	0	  	2	0.11	  	0	0	  	0	0	  	26	1.47	  	20	1.13	  	6	0.34	  	0	0	  	1763	97.24	  	50	2.76	  	1813	2.4
Cudal		                                      	3	0.64	  	0	0	  	1	0.21	  	0	0	  	1	0.21	  	0	0	  	0	0	  	113	24.15	  	1	0.21	  	0	0	  	70	14.96	  	248	52.99	  	21	4.49	  	2	0.43	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	3	0.64	  	5	1.07	  	0	0	  	0	0	  	468	96.89	  	15	3.11	  	483	0.64
Cullen Bullen		                              	1	0.71	  	0	0	  	0	0	  	0	0	  	1	0.71	  	0	0	  	0	0	  	96	68.57	  	0	0	  	21	15	  	10	7.14	  	4	2.86	  	3	2.14	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	2	1.43	  	2	1.43	  	0	0	  	0	0	  	140	97.22	  	4	2.78	  	144	0.19
Cumnock		                                    	1	0.34	  	0	0	  	0	0	  	0	0	  	1	0.34	  	0	0	  	0	0	  	66	22.15	  	0	0	  	0	0	  	53	17.79	  	149	50	  	13	4.36	  	4	1.34	  	1	0.34	  	0	0	  	0	0	  	0	0	  	0	0	  	7	2.35	  	1	0.34	  	2	0.67	  	0	0	  	298	98.03	  	6	1.97	  	304	0.4
Eglinton		                                   	12	0.93	  	1	0.08	  	1	0.08	  	1	0.08	  	1	0.08	  	6	0.46	  	0	0	  	398	30.69	  	0	0	  	0	0	  	203	15.65	  	474	36.55	  	132	10.18	  	3	0.23	  	6	0.46	  	0	0	  	0	0	  	0	0	  	0	0	  	23	1.77	  	31	2.39	  	5	0.39	  	0	0	  	1297	98.03	  	26	1.97	  	1323	1.75
Errowanbang		                                	1	1.75	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	8	14.04	  	0	0	  	0	0	  	6	10.53	  	31	54.39	  	5	8.77	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	6	10.53	  	0	0	  	0	0	  	0	0	  	57	98.28	  	1	1.72	  	58	0.08
Euchareena		                                 	1	0.9	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	20	18.02	  	0	0	  	0	0	  	25	22.52	  	54	48.65	  	3	2.7	  	0	0	  	1	0.9	  	0	0	  	0	0	  	0	0	  	0	0	  	4	3.6	  	1	0.9	  	2	1.8	  	0	0	  	111	98.23	  	2	1.77	  	113	0.15
Eugowra		                                    	9	1.9	  	0	0	  	1	0.21	  	0	0	  	4	0.85	  	1	0.21	  	0	0	  	119	25.16	  	0	0	  	0	0	  	71	15.01	  	234	49.47	  	19	4.02	  	1	0.21	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	2	0.42	  	10	2.11	  	1	0.21	  	1	0.21	  	473	96.93	  	15	3.07	  	488	0.65
Glen Alice		                                 	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	7	10.77	  	0	0	  	0	0	  	20	30.77	  	32	49.23	  	3	4.62	  	0	0	  	1	1.54	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	2	3.08	  	0	0	  	0	0	  	65	100	  	0	0	  	65	0.09
Glenroi		                                    	21	1.19	  	1	0.06	  	6	0.34	  	1	0.06	  	5	0.28	  	6	0.34	  	1	0.06	  	953	53.93	  	2	0.11	  	0	0	  	261	14.77	  	339	19.19	  	66	3.74	  	7	0.4	  	9	0.51	  	1	0.06	  	0	0	  	0	0	  	0	0	  	55	3.11	  	21	1.19	  	12	0.68	  	0	0	  	1767	96.4	  	66	3.6	  	1833	2.43
Hampton		                                    	2	1.57	  	1	0.79	  	0	0	  	0	0	  	0	0	  	1	0.79	  	0	0	  	35	27.56	  	1	0.79	  	0	0	  	29	22.83	  	46	36.22	  	11	8.66	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.79	  	0	0	  	0	0	  	127	97.69	  	3	2.31	  	130	0.17
Hartley		                                    	3	1.17	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	62	24.12	  	0	0	  	1	0.39	  	46	17.9	  	105	40.86	  	27	10.51	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	8	3.11	  	5	1.95	  	0	0	  	0	0	  	257	95.9	  	11	4.1	  	268	0.36
Hermitage		                                  	8	1.54	  	0	0	  	0	0	  	0	0	  	1	0.19	  	1	0.19	  	0	0	  	322	62.04	  	1	0.19	  	3	0.58	  	50	9.63	  	82	15.8	  	40	7.71	  	1	0.19	  	3	0.58	  	0	0	  	0	0	  	0	0	  	0	0	  	3	0.58	  	4	0.77	  	0	0	  	0	0	  	519	97.74	  	12	2.26	  	531	0.7
Hill End		                                   	0	0	  	0	0	  	0	0	  	0	0	  	2	2.15	  	1	1.08	  	0	0	  	36	38.71	  	1	1.08	  	0	0	  	23	24.73	  	26	27.96	  	4	4.3	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	93	97.89	  	2	2.11	  	95	0.13
