Senate -  1998 Election: Western Australia																																																																
First Preference Votes by Group																																																																
By Polling Place																																																																



Brand (77633)																																																																

	   		Group Total HAN			Group Total ASP			Group Total NP			Group Total NLP			Group Total LP			Group Total TPS			Group Total UNI			Group Total ACS			Group Total CEC			Group Total ALP			Group Total DSL			Group Total CDP			Group Total GWA			Group Total - Unendorsed Group N			Group Total - Unendorsed Unendorsed Group O			Group Total DEM			Group Total RPA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Albany Regional Hospital		                   	55	18.77	  	3	1.02	  	7	2.39	  	1	0.34	  	106	36.18	  	0	0	  	1	0.34	  	0	0	  	1	0.34	  	82	27.99	  	2	0.68	  	5	1.71	  	15	5.12	  	0	0	  	0	0	  	15	5.12	  	0	0	  	0	0	  	293	98.32	  	5	1.68	  	298	0.37
Alexandra Bridge		                           	22	12.57	  	0	0	  	16	9.14	  	1	0.57	  	104	59.43	  	0	0	  	0	0	  	0	0	  	0	0	  	17	9.71	  	0	0	  	1	0.57	  	6	3.43	  	0	0	  	0	0	  	8	4.57	  	0	0	  	0	0	  	175	98.31	  	3	1.69	  	178	0.22
Augusta		                                    	118	15.11	  	1	0.13	  	12	1.54	  	0	0	  	367	46.99	  	0	0	  	0	0	  	1	0.13	  	1	0.13	  	160	20.49	  	7	0.9	  	0	0	  	69	8.83	  	0	0	  	0	0	  	43	5.51	  	2	0.26	  	0	0	  	781	97.26	  	22	2.74	  	803	1.01
Balingup		                                   	36	10.94	  	3	0.91	  	15	4.56	  	0	0	  	111	33.74	  	0	0	  	0	0	  	0	0	  	0	0	  	66	20.06	  	2	0.61	  	1	0.3	  	75	22.8	  	0	0	  	2	0.61	  	18	5.47	  	0	0	  	0	0	  	329	98.5	  	5	1.5	  	334	0.42
Bayonet Head		                               	154	20.62	  	3	0.4	  	31	4.15	  	5	0.67	  	304	40.7	  	0	0	  	0	0	  	1	0.13	  	2	0.27	  	159	21.29	  	2	0.27	  	21	2.81	  	41	5.49	  	0	0	  	0	0	  	24	3.21	  	0	0	  	0	0	  	747	97.9	  	16	2.1	  	763	0.96
Bornholm		                                   	76	22.55	  	4	1.19	  	17	5.04	  	0	0	  	108	32.05	  	0	0	  	0	0	  	0	0	  	1	0.3	  	40	11.87	  	4	1.19	  	4	1.19	  	63	18.69	  	0	0	  	0	0	  	20	5.93	  	0	0	  	0	0	  	337	97.68	  	8	2.32	  	345	0.43
Boyanup		                                    	100	14.95	  	8	1.2	  	16	2.39	  	3	0.45	  	291	43.5	  	3	0.45	  	0	0	  	0	0	  	0	0	  	160	23.92	  	3	0.45	  	10	1.49	  	41	6.13	  	1	0.15	  	0	0	  	33	4.93	  	0	0	  	0	0	  	669	97.24	  	19	2.76	  	688	0.87
Boyup Brook		                                	132	23.04	  	4	0.7	  	35	6.11	  	0	0	  	263	45.9	  	0	0	  	0	0	  	1	0.17	  	0	0	  	74	12.91	  	1	0.17	  	16	2.79	  	26	4.54	  	0	0	  	0	0	  	21	3.66	  	0	0	  	0	0	  	573	96.63	  	20	3.37	  	593	0.75
Bridgetown		                                 	192	12.66	  	6	0.4	  	28	1.85	  	5	0.33	  	631	41.6	  	1	0.07	  	3	0.2	  	3	0.2	  	2	0.13	  	352	23.2	  	5	0.33	  	9	0.59	  	159	10.48	  	3	0.2	  	0	0	  	115	7.58	  	3	0.2	  	0	0	  	1517	96.93	  	48	3.07	  	1565	1.97
Brookhampton		                               	17	13.18	  	1	0.78	  	16	12.4	  	0	0	  	74	57.36	  	0	0	  	0	0	  	0	0	  	0	0	  	8	6.2	  	1	0.78	  	0	0	  	8	6.2	  	0	0	  	0	0	  	4	3.1	  	0	0	  	0	0	  	129	99.23	  	1	0.77	  	130	0.16
Broome (Forrest)		                           	8	8	  	0	0	  	2	2	  	0	0	  	50	50	  	0	0	  	0	0	  	0	0	  	0	0	  	23	23	  	0	0	  	0	0	  	15	15	  	0	0	  	0	0	  	2	2	  	0	0	  	0	0	  	100	99.01	  	1	0.99	  	101	0.13
Bunbury		                                    	78	8.25	  	1	0.11	  	7	0.74	  	1	0.11	  	448	47.41	  	0	0	  	0	0	  	3	0.32	  	1	0.11	  	248	26.24	  	4	0.42	  	9	0.95	  	71	7.51	  	1	0.11	  	0	0	  	72	7.62	  	1	0.11	  	0	0	  	945	97.62	  	23	2.38	  	968	1.22
Bunbury Central		                            	74	9.05	  	3	0.37	  	8	0.98	  	2	0.24	  	356	43.52	  	1	0.12	  	1	0.12	  	6	0.73	  	1	0.12	  	233	28.48	  	2	0.24	  	8	0.98	  	67	8.19	  	1	0.12	  	0	0	  	54	6.6	  	1	0.12	  	0	0	  	818	97.5	  	21	2.5	  	839	1.06
Bunbury East		                               	257	13.07	  	8	0.41	  	12	0.61	  	2	0.1	  	779	39.62	  	0	0	  	1	0.05	  	7	0.36	  	2	0.1	  	679	34.54	  	9	0.46	  	29	1.48	  	100	5.09	  	3	0.15	  	1	0.05	  	77	3.92	  	0	0	  	0	0	  	1966	97.42	  	52	2.58	  	2018	2.54
Bunbury Regional Hospital		                  	45	13.98	  	2	0.62	  	4	1.24	  	0	0	  	108	33.54	  	0	0	  	0	0	  	1	0.31	  	0	0	  	124	38.51	  	1	0.31	  	2	0.62	  	17	5.28	  	0	0	  	0	0	  	18	5.59	  	0	0	  	0	0	  	322	97.58	  	8	2.42	  	330	0.41
Bunbury St Johns Hospital		                  	50	11.31	  	0	0	  	10	2.26	  	0	0	  	225	50.9	  	0	0	  	0	0	  	1	0.23	  	1	0.23	  	98	22.17	  	0	0	  	9	2.04	  	28	6.33	  	1	0.23	  	0	0	  	19	4.3	  	0	0	  	0	0	  	442	96.51	  	16	3.49	  	458	0.58
Burekup		                                    	53	17.15	  	0	0	  	14	4.53	  	1	0.32	  	164	53.07	  	0	0	  	0	0	  	2	0.65	  	2	0.65	  	48	15.53	  	0	0	  	0	0	  	12	3.88	  	0	0	  	0	0	  	13	4.21	  	0	0	  	0	0	  	309	97.48	  	8	2.52	  	317	0.4
Busselton		                                  	210	12.67	  	5	0.3	  	44	2.65	  	2	0.12	  	761	45.9	  	1	0.06	  	0	0	  	3	0.18	  	0	0	  	384	23.16	  	3	0.18	  	20	1.21	  	134	8.08	  	5	0.3	  	0	0	  	86	5.19	  	0	0	  	0	0	  	1658	96.23	  	65	3.77	  	1723	2.17
Busselton East		                             	205	12.76	  	5	0.31	  	44	2.74	  	1	0.06	  	748	46.55	  	0	0	  	1	0.06	  	1	0.06	  	1	0.06	  	392	24.39	  	1	0.06	  	18	1.12	  	104	6.47	  	3	0.19	  	0	0	  	81	5.04	  	2	0.12	  	0	0	  	1607	96.29	  	62	3.71	  	1669	2.1
Busselton West		                             	344	11.16	  	12	0.39	  	127	4.12	  	4	0.13	  	1460	47.36	  	2	0.06	  	4	0.13	  	10	0.32	  	3	0.1	  	752	24.39	  	8	0.26	  	28	0.91	  	163	5.29	  	3	0.1	  	0	0	  	161	5.22	  	2	0.06	  	0	0	  	3083	97.04	  	94	2.96	  	3177	3.99
Capel		                                      	177	14.41	  	5	0.41	  	32	2.61	  	4	0.33	  	556	45.28	  	2	0.16	  	0	0	  	3	0.24	  	2	0.16	  	309	25.16	  	5	0.41	  	4	0.33	  	74	6.03	  	1	0.08	  	0	0	  	53	4.32	  	0	0	  	1	0.08	  	1228	98.4	  	20	1.6	  	1248	1.57
Carbunup River		                             	37	13.91	  	1	0.38	  	19	7.14	  	2	0.75	  	141	53.01	  	0	0	  	0	0	  	2	0.75	  	0	0	  	23	8.65	  	2	0.75	  	1	0.38	  	26	9.77	  	0	0	  	0	0	  	12	4.51	  	0	0	  	0	0	  	266	99.63	  	1	0.37	  	267	0.34
Carey Park		                                 	330	15.93	  	10	0.48	  	18	0.87	  	5	0.24	  	582	28.1	  	1	0.05	  	3	0.14	  	5	0.24	  	4	0.19	  	856	41.33	  	5	0.24	  	32	1.55	  	129	6.23	  	4	0.19	  	0	0	  	85	4.1	  	1	0.05	  	1	0.05	  	2071	95.79	  	91	4.21	  	2162	2.72
Carey Park South		                           	144	14.2	  	6	0.59	  	13	1.28	  	2	0.2	  	353	34.81	  	0	0	  	0	0	  	1	0.1	  	0	0	  	400	39.45	  	9	0.89	  	6	0.59	  	54	5.33	  	2	0.2	  	0	0	  	24	2.37	  	0	0	  	0	0	  	1014	97.78	  	23	2.22	  	1037	1.3
Carnarvon (Forrest)		                        	5	9.09	  	0	0	  	1	1.82	  	0	0	  	27	49.09	  	0	0	  	0	0	  	0	0	  	1	1.82	  	19	34.55	  	0	0	  	0	0	  	1	1.82	  	0	0	  	0	0	  	1	1.82	  	0	0	  	0	0	  	55	98.21	  	1	1.79	  	56	0.07
Centennial Park		                            	202	16.29	  	7	0.56	  	38	3.06	  	2	0.16	  	559	45.08	  	1	0.08	  	1	0.08	  	0	0	  	2	0.16	  	279	22.5	  	2	0.16	  	28	2.26	  	73	5.89	  	0	0	  	0	0	  	44	3.55	  	0	0	  	2	0.16	  	1240	96.72	  	42	3.28	  	1282	1.61
Chowerup		                                   	19	32.2	  	0	0	  	11	18.64	  	0	0	  	28	47.46	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	1.69	  	0	0	  	0	0	  	59	96.72	  	2	3.28	  	61	0.08
Coral Park		                                 	198	11.87	  	6	0.36	  	27	1.62	  	2	0.12	  	662	39.69	  	2	0.12	  	2	0.12	  	6	0.36	  	1	0.06	  	555	33.27	  	10	0.6	  	26	1.56	  	79	4.74	  	1	0.06	  	0	0	  	90	5.4	  	1	0.06	  	0	0	  	1668	97.15	  	49	2.85	  	1717	2.16
Cowaramup		                                  	47	9.29	  	1	0.2	  	11	2.17	  	0	0	  	243	48.02	  	0	0	  	0	0	  	0	0	  	0	0	  	89	17.59	  	2	0.4	  	3	0.59	  	79	15.61	  	0	0	  	1	0.2	  	30	5.93	  	0	0	  	0	0	  	506	97.5	  	13	2.5	  	519	0.65
Dardanup		                                   	87	12.59	  	1	0.14	  	26	3.76	  	1	0.14	  	360	52.1	  	0	0	  	0	0	  	0	0	  	0	0	  	115	16.64	  	4	0.58	  	8	1.16	  	46	6.66	  	0	0	  	0	0	  	43	6.22	  	0	0	  	0	0	  	691	97.6	  	17	2.4	  	708	0.89
Deanmill		                                   	33	16.02	  	0	0	  	6	2.91	  	1	0.49	  	90	43.69	  	2	0.97	  	1	0.49	  	0	0	  	0	0	  	62	30.1	  	0	0	  	3	1.46	  	1	0.49	  	0	0	  	0	0	  	6	2.91	  	0	0	  	1	0.49	  	206	97.17	  	6	2.83	  	212	0.27
Denmark		                                    	198	13.14	  	6	0.4	  	35	2.32	  	1	0.07	  	537	35.63	  	0	0	  	2	0.13	  	1	0.07	  	0	0	  	310	20.57	  	6	0.4	  	10	0.66	  	280	18.58	  	7	0.46	  	0	0	  	112	7.43	  	1	0.07	  	1	0.07	  	1507	97.29	  	42	2.71	  	1549	1.95
Dinninup		                                   	24	18.32	  	0	0	  	16	12.21	  	0	0	  	60	45.8	  	0	0	  	0	0	  	0	0	  	0	0	  	19	14.5	  	0	0	  	4	3.05	  	1	0.76	  	0	0	  	0	0	  	6	4.58	  	0	0	  	1	0.76	  	131	93.57	  	9	6.43	  	140	0.18
Donnybrook		                                 	176	12.84	  	11	0.8	  	102	7.44	  	1	0.07	  	629	45.88	  	2	0.15	  	0	0	  	0	0	  	0	0	  	275	20.06	  	2	0.15	  	9	0.66	  	97	7.08	  	3	0.22	  	0	0	  	62	4.52	  	2	0.15	  	0	0	  	1371	97.03	  	42	2.97	  	1413	1.78
Dunsborough		                                	150	10.1	  	2	0.13	  	47	3.16	  	2	0.13	  	702	47.27	  	0	0	  	1	0.07	  	1	0.07	  	2	0.13	  	286	19.26	  	3	0.2	  	12	0.81	  	170	11.45	  	2	0.13	  	0	0	  	100	6.73	  	4	0.27	  	1	0.07	  	1485	97.89	  	32	2.11	  	1517	1.91
Eaton		                                      	371	14.53	  	8	0.31	  	35	1.37	  	6	0.24	  	1027	40.23	  	3	0.12	  	0	0	  	8	0.31	  	0	0	  	841	32.94	  	8	0.31	  	42	1.65	  	98	3.84	  	4	0.16	  	0	0	  	98	3.84	  	4	0.16	  	0	0	  	2553	97.29	  	71	2.71	  	2624	3.3
Elgin		                                      	21	14.19	  	0	0	  	19	12.84	  	0	0	  	90	60.81	  	0	0	  	0	0	  	0	0	  	0	0	  	6	4.05	  	1	0.68	  	0	0	  	5	3.38	  	0	0	  	0	0	  	6	4.05	  	0	0	  	0	0	  	148	100	  	0	0	  	148	0.19
Elleker		                                    	103	26.28	  	1	0.26	  	21	5.36	  	1	0.26	  	94	23.98	  	0	0	  	0	0	  	0	0	  	2	0.51	  	75	19.13	  	2	0.51	  	14	3.57	  	58	14.8	  	0	0	  	0	0	  	21	5.36	  	0	0	  	0	0	  	392	98.49	  	6	1.51	  	398	0.5
Emu Point		                                  	67	20.18	  	5	1.51	  	20	6.02	  	0	0	  	147	44.28	  	0	0	  	0	0	  	0	0	  	0	0	  	60	18.07	  	1	0.3	  	1	0.3	  	16	4.82	  	2	0.6	  	1	0.3	  	12	3.61	  	0	0	  	0	0	  	332	96.79	  	11	3.21	  	343	0.43
Exmouth (Forrest)		                          	20	17.7	  	0	0	  	3	2.65	  	0	0	  	50	44.25	  	0	0	  	1	0.88	  	0	0	  	0	0	  	26	23.01	  	0	0	  	0	0	  	11	9.73	  	0	0	  	0	0	  	2	1.77	  	0	0	  	0	0	  	113	99.12	  	1	0.88	  	114	0.14
Ferguson		                                   	17	11.49	  	1	0.68	  	11	7.43	  	1	0.68	  	90	60.81	  	0	0	  	0	0	  	0	0	  	0	0	  	15	10.14	  	0	0	  	0	0	  	9	6.08	  	0	0	  	0	0	  	4	2.7	  	0	0	  	0	0	  	148	99.33	  	1	0.67	  	149	0.19
Gelorup		                                    	160	14.38	  	7	0.63	  	35	3.14	  	1	0.09	  	534	47.98	  	0	0	  	0	0	  	4	0.36	  	1	0.09	  	225	20.22	  	7	0.63	  	4	0.36	  	54	4.85	  	3	0.27	  	0	0	  	78	7.01	  	0	0	  	0	0	  	1113	98.5	  	17	1.5	  	1130	1.42
Greenbushes		                                	44	12.83	  	1	0.29	  	10	2.92	  	0	0	  	151	44.02	  	0	0	  	0	0	  	4	1.17	  	1	0.29	  	99	28.86	  	3	0.87	  	3	0.87	  	20	5.83	  	0	0	  	0	0	  	6	1.75	  	1	0.29	  	0	0	  	343	97.44	  	9	2.56	  	352	0.44
Kalbarri (Forrest)		                         	9	8.91	  	0	0	  	2	1.98	  	0	0	  	38	37.62	  	0	0	  	0	0	  	0	0	  	0	0	  	27	26.73	  	0	0	  	1	0.99	  	9	8.91	  	0	0	  	1	0.99	  	14	13.86	  	0	0	  	0	0	  	101	97.12	  	3	2.88	  	104	0.13
Karridale		                                  	19	10.27	  	2	1.08	  	4	2.16	  	0	0	  	74	40	  	0	0	  	0	0	  	0	0	  	0	0	  	36	19.46	  	1	0.54	  	0	0	  	36	19.46	  	0	0	  	0	0	  	12	6.49	  	1	0.54	  	0	0	  	185	97.88	  	4	2.12	  	189	0.24
King River		                                 	62	20.39	  	3	0.99	  	20	6.58	  	0	0	  	127	41.78	  	0	0	  	1	0.33	  	0	0	  	0	0	  	45	14.8	  	2	0.66	  	12	3.95	  	23	7.57	  	0	0	  	0	0	  	9	2.96	  	0	0	  	0	0	  	304	98.06	  	6	1.94	  	310	0.39
Kirup		                                      	28	14.21	  	2	1.02	  	14	7.11	  	0	0	  	80	40.61	  	0	0	  	2	1.02	  	0	0	  	0	0	  	47	23.86	  	1	0.51	  	1	0.51	  	18	9.14	  	0	0	  	0	0	  	4	2.03	  	0	0	  	0	0	  	197	97.04	  	6	2.96	  	203	0.26
Kudardup		                                   	49	31.01	  	0	0	  	3	1.9	  	0	0	  	58	36.71	  	0	0	  	0	0	  	1	0.63	  	0	0	  	28	17.72	  	1	0.63	  	1	0.63	  	11	6.96	  	0	0	  	0	0	  	6	3.8	  	0	0	  	0	0	  	158	96.93	  	5	3.07	  	163	0.2
Little Grove		                               	177	18.73	  	2	0.21	  	22	2.33	  	0	0	  	383	40.53	  	0	0	  	2	0.21	  	0	0	  	3	0.32	  	217	22.96	  	3	0.32	  	14	1.48	  	72	7.62	  	8	0.85	  	0	0	  	40	4.23	  	1	0.11	  	1	0.11	  	945	98.34	  	16	1.66	  	961	1.21
Lockyer		                                    	488	22.05	  	6	0.27	  	45	2.03	  	6	0.27	  	691	31.22	  	4	0.18	  	2	0.09	  	5	0.23	  	4	0.18	  	700	31.63	  	8	0.36	  	77	3.48	  	106	4.79	  	3	0.14	  	2	0.09	  	63	2.85	  	3	0.14	  	0	0	  	2213	97.06	  	67	2.94	  	2280	2.87
Lowden		                                     	26	15.95	  	1	0.61	  	17	10.43	  	0	0	  	62	38.04	  	0	0	  	0	0	  	0	0	  	0	0	  	22	13.5	  	1	0.61	  	0	0	  	19	11.66	  	0	0	  	0	0	  	15	9.2	  	0	0	  	0	0	  	163	98.19	  	3	1.81	  	166	0.21
Lower Kalgan		                               	63	24.05	  	1	0.38	  	11	4.2	  	1	0.38	  	98	37.4	  	1	0.38	  	1	0.38	  	0	0	  	0	0	  	35	13.36	  	0	0	  	8	3.05	  	31	11.83	  	1	0.38	  	0	0	  	11	4.2	  	0	0	  	0	0	  	262	97.76	  	6	2.24	  	268	0.34
Lower King		                                 	167	24.52	  	5	0.73	  	26	3.82	  	1	0.15	  	247	36.27	  	0	0	  	0	0	  	0	0	  	0	0	  	144	21.15	  	2	0.29	  	22	3.23	  	38	5.58	  	4	0.59	  	0	0	  	24	3.52	  	0	0	  	1	0.15	  	681	98.98	  	7	1.02	  	688	0.87
Ludlow		                                     	21	14.79	  	0	0	  	10	7.04	  	1	0.7	  	82	57.75	  	0	0	  	0	0	  	0	0	  	0	0	  	11	7.75	  	0	0	  	0	0	  	11	7.75	  	0	0	  	0	0	  	6	4.23	  	0	0	  	0	0	  	142	97.93	  	3	2.07	  	145	0.18
Manjimup		                                   	350	15.12	  	13	0.56	  	35	1.51	  	9	0.39	  	1002	43.28	  	1	0.04	  	1	0.04	  	5	0.22	  	23	0.99	  	689	29.76	  	5	0.22	  	26	1.12	  	87	3.76	  	1	0.04	  	1	0.04	  	65	2.81	  	1	0.04	  	1	0.04	  	2315	96.34	  	88	3.66	  	2403	3.02
Manjimup East		                              	109	15.24	  	3	0.42	  	11	1.54	  	0	0	  	296	41.4	  	0	0	  	1	0.14	  	0	0	  	3	0.42	  	220	30.77	  	3	0.42	  	6	0.84	  	26	3.64	  	1	0.14	  	0	0	  	36	5.03	  	0	0	  	0	0	  	715	96.23	  	28	3.77	  	743	0.93
Manypeaks		                                  	43	21.18	  	1	0.49	  	17	8.37	  	2	0.99	  	102	50.25	  	0	0	  	0	0	  	0	0	  	0	0	  	16	7.88	  	1	0.49	  	3	1.48	  	8	3.94	  	4	1.97	  	0	0	  	5	2.46	  	1	0.49	  	0	0	  	203	99.02	  	2	0.98	  	205	0.26
Margaret River		                             	147	6.63	  	5	0.23	  	33	1.49	  	5	0.23	  	886	39.96	  	0	0	  	1	0.05	  	1	0.05	  	1	0.05	  	584	26.34	  	8	0.36	  	17	0.77	  	378	17.05	  	2	0.09	  	0	0	  	147	6.63	  	2	0.09	  	0	0	  	2217	97.45	  	58	2.55	  	2275	2.86
Mayanup		                                    	35	29.41	  	0	0	  	7	5.88	  	0	0	  	61	51.26	  	0	0	  	0	0	  	0	0	  	0	0	  	5	4.2	  	0	0	  	6	5.04	  	3	2.52	  	0	0	  	1	0.84	  	1	0.84	  	0	0	  	0	0	  	119	99.17	  	1	0.83	  	120	0.15
Middlesex		                                  	19	16.52	  	1	0.87	  	0	0	  	1	0.87	  	63	54.78	  	0	0	  	0	0	  	0	0	  	1	0.87	  	19	16.52	  	1	0.87	  	0	0	  	6	5.22	  	0	0	  	0	0	  	4	3.48	  	0	0	  	0	0	  	115	96.64	  	4	3.36	  	119	0.15
Middleton Beach		                            	129	13.16	  	4	0.41	  	29	2.96	  	2	0.2	  	449	45.82	  	0	0	  	0	0	  	6	0.61	  	3	0.31	  	208	21.22	  	2	0.2	  	15	1.53	  	85	8.67	  	1	0.1	  	0	0	  	47	4.8	  	0	0	  	0	0	  	980	98.2	  	18	1.8	  	998	1.25
Nannup		                                     	91	15.14	  	0	0	  	21	3.49	  	0	0	  	199	33.11	  	0	0	  	1	0.17	  	5	0.83	  	1	0.17	  	160	26.62	  	1	0.17	  	0	0	  	90	14.98	  	3	0.5	  	0	0	  	28	4.66	  	0	0	  	1	0.17	  	601	96.78	  	20	3.22	  	621	0.78
Napier		                                     	27	19.01	  	0	0	  	22	15.49	  	0	0	  	57	40.14	  	0	0	  	0	0	  	0	0	  	0	0	  	18	12.68	  	1	0.7	  	1	0.7	  	5	3.52	  	0	0	  	0	0	  	11	7.75	  	0	0	  	0	0	  	142	97.93	  	3	2.07	  	145	0.18
Northcliffe		                                	91	21.82	  	1	0.24	  	7	1.68	  	0	0	  	146	35.01	  	0	0	  	0	0	  	0	0	  	0	0	  	89	21.34	  	0	0	  	1	0.24	  	69	16.55	  	0	0	  	0	0	  	13	3.12	  	0	0	  	0	0	  	417	96.3	  	16	3.7	  	433	0.54
Parryville		                                 	28	16.87	  	2	1.2	  	18	10.84	  	2	1.2	  	53	31.93	  	0	0	  	0	0	  	0	0	  	0	0	  	23	13.86	  	0	0	  	0	0	  	35	21.08	  	2	1.2	  	0	0	  	3	1.81	  	0	0	  	0	0	  	166	98.22	  	3	1.78	  	169	0.21
Pemberton		                                  	112	12.57	  	4	0.45	  	8	0.9	  	1	0.11	  	402	45.12	  	0	0	  	2	0.22	  	0	0	  	6	0.67	  	219	24.58	  	1	0.11	  	8	0.9	  	77	8.64	  	8	0.9	  	0	0	  	41	4.6	  	2	0.22	  	0	0	  	891	96.12	  	36	3.88	  	927	1.17
Perth (Forrest)		                            	2	3.23	  	0	0	  	5	8.06	  	0	0	  	26	41.94	  	0	0	  	0	0	  	0	0	  	0	0	  	16	25.81	  	0	0	  	0	0	  	7	11.29	  	0	0	  	0	0	  	6	9.68	  	0	0	  	0	0	  	62	100	  	0	0	  	62	0.08
Picton		                                     	82	14.64	  	1	0.18	  	7	1.25	  	0	0	  	220	39.29	  	0	0	  	0	0	  	2	0.36	  	1	0.18	  	184	32.86	  	1	0.18	  	17	3.04	  	23	4.11	  	1	0.18	  	0	0	  	20	3.57	  	1	0.18	  	0	0	  	560	96.89	  	18	3.11	  	578	0.73
Quinninup		                                  	15	16.67	  	0	0	  	1	1.11	  	0	0	  	24	26.67	  	0	0	  	0	0	  	0	0	  	0	0	  	21	23.33	  	0	0	  	1	1.11	  	22	24.44	  	0	0	  	0	0	  	5	5.56	  	1	1.11	  	0	0	  	90	100	  	0	0	  	90	0.11
Redmond		                                    	28	22.22	  	1	0.79	  	9	7.14	  	1	0.79	  	52	41.27	  	0	0	  	0	0	  	0	0	  	0	0	  	15	11.9	  	0	0	  	9	7.14	  	6	4.76	  	0	0	  	0	0	  	4	3.17	  	1	0.79	  	0	0	  	126	97.67	  	3	2.33	  	129	0.16
Rosa Brook		                                 	11	7.33	  	2	1.33	  	10	6.67	  	1	0.67	  	76	50.67	  	0	0	  	0	0	  	0	0	  	0	0	  	15	10	  	0	0	  	0	0	  	18	12	  	0	0	  	0	0	  	17	11.33	  	0	0	  	0	0	  	150	99.34	  	1	0.66	  	151	0.19
Rottnest (Forrest)		                         	2	9.52	  	0	0	  	1	4.76	  	0	0	  	7	33.33	  	0	0	  	0	0	  	0	0	  	0	0	  	9	42.86	  	0	0	  	0	0	  	2	9.52	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	21	100	  	0	0	  	21	0.03
Scotsdale		                                  	28	14.81	  	1	0.53	  	9	4.76	  	1	0.53	  	71	37.57	  	0	0	  	0	0	  	0	0	  	0	0	  	25	13.23	  	0	0	  	0	0	  	34	17.99	  	1	0.53	  	0	0	  	19	10.05	  	0	0	  	0	0	  	189	99.47	  	1	0.53	  	190	0.24
Sealinks		                                   	121	10.5	  	1	0.09	  	13	1.13	  	2	0.17	  	616	53.47	  	0	0	  	1	0.09	  	0	0	  	0	0	  	279	24.22	  	4	0.35	  	22	1.91	  	44	3.82	  	0	0	  	0	0	  	49	4.25	  	0	0	  	0	0	  	1152	96.89	  	37	3.11	  	1189	1.5
South Bunbury		                              	120	9.34	  	3	0.23	  	15	1.17	  	3	0.23	  	546	42.49	  	0	0	  	0	0	  	4	0.31	  	3	0.23	  	451	35.1	  	3	0.23	  	18	1.4	  	65	5.06	  	2	0.16	  	1	0.08	  	50	3.89	  	1	0.08	  	0	0	  	1285	96.62	  	45	3.38	  	1330	1.67
South Stirling		                             	2	7.69	  	0	0	  	1	3.85	  	0	0	  	19	73.08	  	0	0	  	0	0	  	0	0	  	0	0	  	2	7.69	  	1	3.85	  	0	0	  	0	0	  	1	3.85	  	0	0	  	0	0	  	0	0	  	0	0	  	26	100	  	0	0	  	26	0.03
Spencer Park		                               	330	18.68	  	8	0.45	  	51	2.89	  	5	0.28	  	647	36.62	  	2	0.11	  	1	0.06	  	1	0.06	  	2	0.11	  	519	29.37	  	10	0.57	  	43	2.43	  	82	4.64	  	4	0.23	  	1	0.06	  	61	3.45	  	0	0	  	0	0	  	1767	96.72	  	60	3.28	  	1827	2.3
Tingledale		                                 	24	14.2	  	0	0	  	5	2.96	  	0	0	  	70	41.42	  	0	0	  	0	0	  	0	0	  	0	0	  	36	21.3	  	0	0	  	0	0	  	31	18.34	  	0	0	  	0	0	  	3	1.78	  	0	0	  	0	0	  	169	98.83	  	2	1.17	  	171	0.22
Vasse		                                      	138	15.7	  	2	0.23	  	54	6.14	  	0	0	  	418	47.55	  	0	0	  	0	0	  	0	0	  	0	0	  	152	17.29	  	4	0.46	  	7	0.8	  	66	7.51	  	0	0	  	0	0	  	38	4.32	  	0	0	  	0	0	  	879	97.88	  	19	2.12	  	898	1.13
Villa Maria		                                	54	9.44	  	1	0.17	  	27	4.72	  	2	0.35	  	288	50.35	  	0	0	  	0	0	  	0	0	  	2	0.35	  	113	19.76	  	0	0	  	9	1.57	  	32	5.59	  	1	0.17	  	0	0	  	43	7.52	  	0	0	  	0	0	  	572	96.13	  	23	3.87	  	595	0.75
Walpole		                                    	73	18.3	  	5	1.25	  	5	1.25	  	0	0	  	161	40.35	  	0	0	  	0	0	  	1	0.25	  	0	0	  	82	20.55	  	1	0.25	  	5	1.25	  	42	10.53	  	0	0	  	0	0	  	23	5.76	  	1	0.25	  	0	0	  	399	97.56	  	10	2.44	  	409	0.51
Wellstead		                                  	73	33.18	  	0	0	  	14	6.36	  	3	1.36	  	83	37.73	  	2	0.91	  	0	0	  	0	0	  	0	0	  	29	13.18	  	1	0.45	  	0	0	  	8	3.64	  	1	0.45	  	0	0	  	6	2.73	  	0	0	  	0	0	  	220	97.35	  	6	2.65	  	226	0.28
Witchcliffe		                                	25	7.58	  	0	0	  	12	3.64	  	4	1.21	  	156	47.27	  	0	0	  	0	0	  	0	0	  	0	0	  	49	14.85	  	0	0	  	1	0.3	  	69	20.91	  	1	0.3	  	0	0	  	13	3.94	  	0	0	  	0	0	  	330	96.77	  	11	3.23	  	341	0.43
