Senate -  1998 Election: Western Australia																																																																
First Preference Votes by Group																																																																
By Polling Place																																																																



Brand (77633)																																																																

	   		Group Total HAN			Group Total ASP			Group Total NP			Group Total NLP			Group Total LP			Group Total TPS			Group Total UNI			Group Total ACS			Group Total CEC			Group Total ALP			Group Total DSL			Group Total CDP			Group Total GWA			Group Total - Unendorsed Group N			Group Total - Unendorsed Unendorsed Group O			Group Total DEM			Group Total RPA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Madora		                                     	48	13.48	  	1	0.28	  	0	0	  	3	0.84	  	118	33.15	  	0	0	  	0	0	  	0	0	  	1	0.28	  	146	41.01	  	1	0.28	  	1	0.28	  	15	4.21	  	2	0.56	  	1	0.28	  	18	5.06	  	0	0	  	1	0.28	  	356	97.27	  	10	2.73	  	366	0.49
Mandurah		                                   	231	14.09	  	5	0.31	  	8	0.49	  	5	0.31	  	575	35.08	  	1	0.06	  	1	0.06	  	3	0.18	  	4	0.24	  	682	41.61	  	4	0.24	  	9	0.55	  	51	3.11	  	1	0.06	  	1	0.06	  	57	3.48	  	1	0.06	  	0	0	  	1639	96.07	  	67	3.93	  	1706	2.29
Mandurah Central		                           	205	13.19	  	3	0.19	  	10	0.64	  	2	0.13	  	523	33.66	  	1	0.06	  	1	0.06	  	3	0.19	  	3	0.19	  	679	43.69	  	8	0.51	  	12	0.77	  	50	3.22	  	6	0.39	  	1	0.06	  	46	2.96	  	1	0.06	  	0	0	  	1554	96.1	  	63	3.9	  	1617	2.17
Mandurah East		                              	191	15.39	  	4	0.32	  	5	0.4	  	2	0.16	  	363	29.25	  	1	0.08	  	0	0	  	4	0.32	  	2	0.16	  	567	45.69	  	3	0.24	  	4	0.32	  	39	3.14	  	3	0.24	  	2	0.16	  	50	4.03	  	1	0.08	  	0	0	  	1241	96.43	  	46	3.57	  	1287	1.73
Mandurah South		                             	302	14.13	  	3	0.14	  	3	0.14	  	4	0.19	  	810	37.9	  	2	0.09	  	1	0.05	  	3	0.14	  	3	0.14	  	842	39.4	  	10	0.47	  	11	0.51	  	51	2.39	  	9	0.42	  	0	0	  	83	3.88	  	0	0	  	0	0	  	2137	96.52	  	77	3.48	  	2214	2.98
Meadow Springs		                             	258	13.9	  	1	0.05	  	3	0.16	  	2	0.11	  	733	39.49	  	1	0.05	  	1	0.05	  	5	0.27	  	1	0.05	  	644	34.7	  	6	0.32	  	18	0.97	  	57	3.07	  	7	0.38	  	3	0.16	  	113	6.09	  	2	0.11	  	1	0.05	  	1856	98.57	  	27	1.43	  	1883	2.53
Medina		                                     	371	14.08	  	8	0.3	  	10	0.38	  	7	0.27	  	424	16.09	  	2	0.08	  	10	0.38	  	4	0.15	  	7	0.27	  	1536	58.29	  	11	0.42	  	28	1.06	  	111	4.21	  	5	0.19	  	1	0.04	  	99	3.76	  	1	0.04	  	0	0	  	2635	97.02	  	81	2.98	  	2716	3.65
Parmelia		                                   	233	11.31	  	3	0.15	  	7	0.34	  	2	0.1	  	364	17.67	  	0	0	  	1	0.05	  	2	0.1	  	1	0.05	  	1283	62.28	  	10	0.49	  	4	0.19	  	60	2.91	  	0	0	  	0	0	  	90	4.37	  	0	0	  	0	0	  	2060	96.94	  	65	3.06	  	2125	2.86
Perth (Brand)		                              	6	12.24	  	0	0	  	0	0	  	0	0	  	15	30.61	  	0	0	  	0	0	  	0	0	  	0	0	  	19	38.78	  	0	0	  	1	2.04	  	4	8.16	  	0	0	  	1	2.04	  	3	6.12	  	0	0	  	0	0	  	49	98	  	1	2	  	50	0.07
Port Kennedy		                               	157	9.94	  	3	0.19	  	2	0.13	  	2	0.13	  	464	29.37	  	0	0	  	0	0	  	3	0.19	  	3	0.19	  	815	51.58	  	0	0	  	11	0.7	  	45	2.85	  	1	0.06	  	1	0.06	  	72	4.56	  	1	0.06	  	0	0	  	1580	98.75	  	20	1.25	  	1600	2.15
