Senate -  1998 Election: Victoria																																																																									
First Preference Votes by Group																																																																									
By Polling Place																																																																									


Aston (84875)																																																																									

	   		Group Total ABR			Group Total - Unendorsed Group B			Group Total DEM			Group Total UNI			Group Total GRN			Group Total SEP			Group Total NDP			Group Total ARP			Group Total AWP			Group Total DLP			Group Total ALP			Group Total LNP			Group Total FCP			Group Total CDP			Group Total FST			Group Total HAN			Group Total NLP			Group Total ASP			Group Total DSL			Group Total CEC			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Montrose		                                   	7	0.21	  	5	0.15	  	493	14.77	  	10	0.3	  	98	2.94	  	1	0.03	  	5	0.15	  	4	0.12	  	6	0.18	  	13	0.39	  	1028	30.81	  	1425	42.7	  	3	0.09	  	34	1.02	  	7	0.21	  	151	4.53	  	3	0.09	  	42	1.26	  	1	0.03	  	0	0	  	1	0.03	  	3337	95.92	  	142	4.08	  	3479	4.5
Montrose South		                             	1	0.12	  	1	0.12	  	131	15.32	  	2	0.23	  	28	3.27	  	0	0	  	0	0	  	1	0.12	  	2	0.23	  	5	0.58	  	236	27.6	  	399	46.67	  	1	0.12	  	12	1.4	  	3	0.35	  	23	2.69	  	1	0.12	  	9	1.05	  	0	0	  	0	0	  	0	0	  	855	98.16	  	16	1.84	  	871	1.13
Mooroolbark		                                	7	0.3	  	4	0.17	  	289	12.53	  	15	0.65	  	38	1.65	  	1	0.04	  	3	0.13	  	0	0	  	4	0.17	  	24	1.04	  	877	38.01	  	876	37.97	  	2	0.09	  	20	0.87	  	5	0.22	  	109	4.72	  	2	0.09	  	26	1.13	  	4	0.17	  	0	0	  	1	0.04	  	2307	96.61	  	81	3.39	  	2388	3.09
Mooroolbark East		                           	2	0.1	  	2	0.1	  	260	13.63	  	7	0.37	  	35	1.83	  	0	0	  	4	0.21	  	1	0.05	  	5	0.26	  	24	1.26	  	606	31.76	  	848	44.44	  	0	0	  	27	1.42	  	2	0.1	  	70	3.67	  	0	0	  	12	0.63	  	0	0	  	0	0	  	3	0.16	  	1908	97.3	  	53	2.7	  	1961	2.54
Mooroolbark South		                          	7	0.32	  	2	0.09	  	270	12.31	  	9	0.41	  	50	2.28	  	1	0.05	  	6	0.27	  	1	0.05	  	11	0.5	  	18	0.82	  	783	35.7	  	889	40.54	  	2	0.09	  	27	1.23	  	2	0.09	  	72	3.28	  	5	0.23	  	38	1.73	  	0	0	  	0	0	  	0	0	  	2193	96.02	  	91	3.98	  	2284	2.95
Mount Dandenong (Casey)		                    	2	0.3	  	0	0	  	147	22.11	  	1	0.15	  	53	7.97	  	0	0	  	1	0.15	  	1	0.15	  	3	0.45	  	1	0.15	  	194	29.17	  	236	35.49	  	0	0	  	4	0.6	  	0	0	  	18	2.71	  	0	0	  	3	0.45	  	1	0.15	  	0	0	  	0	0	  	665	97.79	  	15	2.21	  	680	0.88
Mount Evelyn		                               	3	0.23	  	1	0.08	  	178	13.79	  	4	0.31	  	37	2.87	  	0	0	  	1	0.08	  	5	0.39	  	9	0.7	  	9	0.7	  	373	28.89	  	551	42.68	  	0	0	  	39	3.02	  	2	0.15	  	54	4.18	  	2	0.15	  	19	1.47	  	3	0.23	  	0	0	  	1	0.08	  	1291	97.73	  	30	2.27	  	1321	1.71
Rolling Hills		                              	3	0.17	  	2	0.11	  	217	12.2	  	5	0.28	  	22	1.24	  	0	0	  	1	0.06	  	5	0.28	  	4	0.22	  	12	0.67	  	513	28.84	  	910	51.15	  	2	0.11	  	19	1.07	  	0	0	  	48	2.7	  	1	0.06	  	14	0.79	  	0	0	  	0	0	  	1	0.06	  	1779	97.64	  	43	2.36	  	1822	2.36
Seville		                                    	6	0.42	  	4	0.28	  	187	13.04	  	4	0.28	  	30	2.09	  	0	0	  	2	0.14	  	2	0.14	  	5	0.35	  	9	0.63	  	397	27.68	  	661	46.09	  	0	0	  	13	0.91	  	2	0.14	  	84	5.86	  	2	0.14	  	23	1.6	  	0	0	  	2	0.14	  	1	0.07	  	1434	97.82	  	32	2.18	  	1466	1.9
Silvan		                                     	4	0.68	  	2	0.34	  	79	13.48	  	0	0	  	8	1.37	  	0	0	  	0	0	  	0	0	  	1	0.17	  	6	1.02	  	125	21.33	  	305	52.05	  	1	0.17	  	8	1.37	  	1	0.17	  	37	6.31	  	0	0	  	8	1.37	  	1	0.17	  	0	0	  	0	0	  	586	94.21	  	36	5.79	  	622	0.8
The Patch		                                  	1	0.21	  	0	0	  	109	22.66	  	1	0.21	  	27	5.61	  	0	0	  	1	0.21	  	0	0	  	2	0.42	  	1	0.21	  	121	25.16	  	194	40.33	  	0	0	  	2	0.42	  	0	0	  	22	4.57	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	481	98.36	  	8	1.64	  	489	0.63
Wandin East		                                	0	0	  	0	0	  	24	9.38	  	2	0.78	  	4	1.56	  	0	0	  	0	0	  	2	0.78	  	0	0	  	2	0.78	  	60	23.44	  	144	56.25	  	0	0	  	0	0	  	0	0	  	15	5.86	  	1	0.39	  	2	0.78	  	0	0	  	0	0	  	0	0	  	256	94.46	  	15	5.54	  	271	0.35
Wandin North		                               	3	0.29	  	1	0.1	  	130	12.51	  	3	0.29	  	13	1.25	  	0	0	  	1	0.1	  	1	0.1	  	6	0.58	  	17	1.64	  	279	26.85	  	504	48.51	  	1	0.1	  	11	1.06	  	1	0.1	  	56	5.39	  	1	0.1	  	9	0.87	  	0	0	  	1	0.1	  	1	0.1	  	1039	96.03	  	43	3.97	  	1082	1.4
Wandin Yallock		                             	6	1.13	  	0	0	  	59	11.09	  	2	0.38	  	10	1.88	  	1	0.19	  	0	0	  	0	0	  	0	0	  	4	0.75	  	131	24.62	  	283	53.2	  	1	0.19	  	6	1.13	  	0	0	  	21	3.95	  	0	0	  	6	1.13	  	1	0.19	  	1	0.19	  	0	0	  	532	95.68	  	24	4.32	  	556	0.72
Yarra Road		                                 	1	0.12	  	0	0	  	100	12.25	  	0	0	  	11	1.35	  	1	0.12	  	0	0	  	0	0	  	0	0	  	5	0.61	  	196	24.02	  	470	57.6	  	2	0.25	  	14	1.72	  	0	0	  	14	1.72	  	0	0	  	2	0.25	  	0	0	  	0	0	  	0	0	  	816	98.31	  	14	1.69	  	830	1.07
Special Hospitals		                          	3	0.67	  	0	0	  	21	4.66	  	2	0.44	  	2	0.44	  	2	0.44	  	0	0	  	1	0.22	  	2	0.44	  	2	0.44	  	122	27.05	  	283	62.75	  	0	0	  	5	1.11	  	2	0.44	  	2	0.44	  	0	0	  	0	0	  	2	0.44	  	0	0	  	0	0	  	451	92.42	  	37	7.58	  	488	0.63
Total Ordinary		                             	134	0.21	  	54	0.09	  	8200	13.09	  	220	0.35	  	1439	2.3	  	21	0.03	  	76	0.12	  	63	0.1	  	202	0.32	  	490	0.78	  	19883	31.73	  	27900	44.52	  	71	0.11	  	688	1.1	  	78	0.12	  	2307	3.68	  	59	0.09	  	706	1.13	  	43	0.07	  	13	0.02	  	20	0.03	  	62667	96.74	  	2114	3.26	  	64781	83.79
ABSENT		                                     	3	0.07	  	7	0.16	  	549	12.69	  	19	0.44	  	197	4.55	  	3	0.07	  	6	0.14	  	11	0.25	  	26	0.6	  	56	1.29	  	1334	30.83	  	1805	41.71	  	3	0.07	  	46	1.06	  	8	0.18	  	173	4	  	12	0.28	  	59	1.36	  	7	0.16	  	1	0.02	  	2	0.05	  	4327	98.36	  	72	1.64	  	4399	5.69
POSTAL		                                     	4	0.13	  	6	0.19	  	305	9.58	  	16	0.5	  	68	2.14	  	2	0.06	  	0	0	  	6	0.19	  	17	0.53	  	23	0.72	  	852	26.76	  	1600	50.25	  	3	0.09	  	52	1.63	  	8	0.25	  	164	5.15	  	5	0.16	  	48	1.51	  	2	0.06	  	0	0	  	3	0.09	  	3184	99	  	32	1	  	3216	4.16
PRE_POLL		                                   	5	0.12	  	4	0.09	  	381	8.92	  	28	0.66	  	124	2.9	  	1	0.02	  	4	0.09	  	7	0.16	  	24	0.56	  	32	0.75	  	1292	30.26	  	1994	46.7	  	5	0.12	  	61	1.43	  	8	0.19	  	211	4.94	  	10	0.23	  	73	1.71	  	5	0.12	  	0	0	  	1	0.02	  	4270	98.93	  	46	1.07	  	4316	5.58
PROVISIONAL		                                	2	0.35	  	0	0	  	42	7.28	  	6	1.04	  	27	4.68	  	0	0	  	2	0.35	  	2	0.35	  	3	0.52	  	9	1.56	  	230	39.86	  	217	37.61	  	2	0.35	  	6	1.04	  	1	0.17	  	18	3.12	  	0	0	  	9	1.56	  	1	0.17	  	0	0	  	0	0	  	577	96.33	  	22	3.67	  	599	0.77
Division Summary		                           	148	0.2	  	71	0.09	  	9477	12.63	  	289	0.39	  	1855	2.47	  	27	0.04	  	88	0.12	  	89	0.12	  	272	0.36	  	610	0.81	  	23591	31.44	  	33516	44.67	  	84	0.11	  	853	1.14	  	103	0.14	  	2873	3.83	  	86	0.11	  	895	1.19	  	58	0.08	  	14	0.02	  	26	0.03	  	75025	97.04	  	2286	2.96	  	77311	96.38


Chisholm (85104)																																																																									

	   		Group Total ABR			Group Total - Unendorsed Group B			Group Total DEM			Group Total UNI			Group Total GRN			Group Total SEP			Group Total NDP			Group Total ARP			Group Total AWP			Group Total DLP			Group Total ALP			Group Total LNP			Group Total FCP			Group Total CTA			Group Total FST			Group Total HAN			Group Total NLP			Group Total ASP			Group Total DSL			Group Total CEC			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Ashwood		                                    	9	0.26	  	1	0.03	  	485	13.93	  	41	1.18	  	91	2.61	  	1	0.03	  	4	0.11	  	5	0.14	  	8	0.23	  	35	1.01	  	1475	42.36	  	1163	33.4	  	1	0.03	  	8	0.23	  	1	0.03	  	126	3.62	  	3	0.09	  	14	0.4	  	2	0.06	  	1	0.03	  	8	0.23	  	3482	96.29	  	134	3.71	  	3616	4.43
Bennettswood		                               	10	0.34	  	4	0.14	  	371	12.71	  	38	1.3	  	61	2.09	  	2	0.07	  	1	0.03	  	7	0.24	  	7	0.24	  	22	0.75	  	1208	41.37	  	1055	36.13	  	1	0.03	  	25	0.86	  	2	0.07	  	89	3.05	  	3	0.1	  	9	0.31	  	1	0.03	  	3	0.1	  	1	0.03	  	2920	95.08	  	151	4.92	  	3071	3.76
Box Hill		                                   	5	0.25	  	2	0.1	  	284	14.15	  	49	2.44	  	116	5.78	  	2	0.1	  	2	0.1	  	0	0	  	5	0.25	  	21	1.05	  	786	39.16	  	649	32.34	  	0	0	  	10	0.5	  	2	0.1	  	58	2.89	  	5	0.25	  	6	0.3	  	3	0.15	  	0	0	  	2	0.1	  	2007	95.48	  	95	4.52	  	2102	2.58
Box Hill Central		                           	7	0.42	  	0	0	  	220	13.29	  	41	2.48	  	72	4.35	  	1	0.06	  	3	0.18	  	1	0.06	  	3	0.18	  	15	0.91	  	688	41.57	  	560	33.84	  	1	0.06	  	4	0.24	  	3	0.18	  	27	1.63	  	0	0	  	4	0.24	  	3	0.18	  	1	0.06	  	1	0.06	  	1655	97.35	  	45	2.65	  	1700	2.08
Box Hill North		                             	2	0.15	  	1	0.07	  	203	15	  	18	1.33	  	46	3.4	  	0	0	  	1	0.07	  	0	0	  	1	0.07	  	7	0.52	  	564	41.69	  	469	34.66	  	1	0.07	  	10	0.74	  	2	0.15	  	24	1.77	  	0	0	  	3	0.22	  	0	0	  	1	0.07	  	0	0	  	1353	96.78	  	45	3.22	  	1398	1.71
Box Hill South		                             	4	0.24	  	3	0.18	  	248	14.98	  	20	1.21	  	48	2.9	  	0	0	  	2	0.12	  	1	0.06	  	4	0.24	  	17	1.03	  	610	36.84	  	642	38.77	  	1	0.06	  	1	0.06	  	2	0.12	  	44	2.66	  	2	0.12	  	4	0.24	  	2	0.12	  	0	0	  	1	0.06	  	1656	96.73	  	56	3.27	  	1712	2.1
Burwood Central		                            	5	0.25	  	2	0.1	  	280	13.94	  	30	1.49	  	53	2.64	  	0	0	  	2	0.1	  	1	0.05	  	4	0.2	  	16	0.8	  	752	37.43	  	788	39.22	  	2	0.1	  	11	0.55	  	2	0.1	  	45	2.24	  	3	0.15	  	6	0.3	  	7	0.35	  	0	0	  	0	0	  	2009	96.82	  	66	3.18	  	2075	2.54
Chadstone East		                             	8	0.35	  	2	0.09	  	260	11.38	  	53	2.32	  	41	1.8	  	0	0	  	3	0.13	  	7	0.31	  	7	0.31	  	26	1.14	  	1166	51.05	  	623	27.28	  	0	0	  	8	0.35	  	2	0.09	  	62	2.71	  	3	0.13	  	6	0.26	  	5	0.22	  	1	0.04	  	1	0.04	  	2284	95.48	  	108	4.52	  	2392	2.93
Clayton		                                    	7	0.43	  	2	0.12	  	154	9.44	  	22	1.35	  	27	1.65	  	0	0	  	0	0	  	0	0	  	8	0.49	  	29	1.78	  	921	56.43	  	421	25.8	  	1	0.06	  	2	0.12	  	1	0.06	  	27	1.65	  	0	0	  	7	0.43	  	1	0.06	  	0	0	  	2	0.12	  	1632	95.77	  	72	4.23	  	1704	2.09
Clayton East		                               	12	0.82	  	1	0.07	  	138	9.38	  	29	1.97	  	16	1.09	  	1	0.07	  	1	0.07	  	1	0.07	  	6	0.41	  	20	1.36	  	814	55.3	  	388	26.36	  	1	0.07	  	7	0.48	  	0	0	  	29	1.97	  	1	0.07	  	5	0.34	  	1	0.07	  	0	0	  	1	0.07	  	1472	95.52	  	69	4.48	  	1541	1.89
Clayton North		                              	9	0.45	  	1	0.05	  	264	13.08	  	29	1.44	  	56	2.77	  	2	0.1	  	2	0.1	  	3	0.15	  	4	0.2	  	26	1.29	  	1027	50.87	  	510	25.26	  	4	0.2	  	8	0.4	  	4	0.2	  	55	2.72	  	0	0	  	12	0.59	  	3	0.15	  	0	0	  	0	0	  	2019	95.28	  	100	4.72	  	2119	2.6
Elgar Park		                                 	2	0.12	  	0	0	  	269	15.54	  	19	1.1	  	42	2.43	  	0	0	  	1	0.06	  	0	0	  	1	0.06	  	8	0.46	  	488	28.19	  	841	48.58	  	0	0	  	8	0.46	  	0	0	  	47	2.72	  	1	0.06	  	3	0.17	  	0	0	  	0	0	  	1	0.06	  	1731	96.81	  	57	3.19	  	1788	2.19
Essex Heights		                              	4	0.12	  	1	0.03	  	397	12.39	  	46	1.44	  	87	2.72	  	1	0.03	  	2	0.06	  	0	0	  	9	0.28	  	33	1.03	  	1048	32.71	  	1444	45.07	  	2	0.06	  	12	0.37	  	3	0.09	  	97	3.03	  	6	0.19	  	10	0.31	  	2	0.06	  	0	0	  	0	0	  	3204	96.91	  	102	3.09	  	3306	4.05
Glendal		                                    	3	0.11	  	2	0.08	  	359	13.61	  	59	2.24	  	57	2.16	  	1	0.04	  	1	0.04	  	3	0.11	  	5	0.19	  	25	0.95	  	860	32.61	  	1170	44.37	  	3	0.11	  	19	0.72	  	1	0.04	  	57	2.16	  	0	0	  	10	0.38	  	1	0.04	  	0	0	  	1	0.04	  	2637	97.02	  	81	2.98	  	2718	3.33
Huntingdale		                                	9	0.85	  	1	0.09	  	122	11.53	  	15	1.42	  	13	1.23	  	0	0	  	0	0	  	0	0	  	4	0.38	  	12	1.13	  	552	52.17	  	293	27.69	  	1	0.09	  	1	0.09	  	0	0	  	28	2.65	  	0	0	  	5	0.47	  	2	0.19	  	0	0	  	0	0	  	1058	95.83	  	46	4.17	  	1104	1.35
Kerrimuir		                                  	8	0.3	  	4	0.15	  	343	13	  	38	1.44	  	74	2.8	  	0	0	  	2	0.08	  	2	0.08	  	4	0.15	  	17	0.64	  	1041	39.45	  	1010	38.27	  	0	0	  	22	0.83	  	1	0.04	  	59	2.24	  	3	0.11	  	7	0.27	  	2	0.08	  	0	0	  	2	0.08	  	2639	96	  	110	4	  	2749	3.37
Koonung Heights		                            	2	0.08	  	3	0.12	  	374	14.91	  	32	1.28	  	77	3.07	  	0	0	  	0	0	  	1	0.04	  	6	0.24	  	20	0.8	  	823	32.81	  	1077	42.94	  	3	0.12	  	13	0.52	  	0	0	  	62	2.47	  	2	0.08	  	12	0.48	  	0	0	  	1	0.04	  	0	0	  	2508	98.16	  	47	1.84	  	2555	3.13
Manooka		                                    	5	0.45	  	3	0.27	  	120	10.75	  	9	0.81	  	12	1.08	  	0	0	  	0	0	  	1	0.09	  	4	0.36	  	10	0.9	  	472	42.29	  	445	39.87	  	0	0	  	1	0.09	  	1	0.09	  	23	2.06	  	1	0.09	  	7	0.63	  	2	0.18	  	0	0	  	0	0	  	1116	95.96	  	47	4.04	  	1163	1.42
Melbourne (Chisholm)		                       	0	0	  	0	0	  	14	19.72	  	2	2.82	  	5	7.04	  	0	0	  	0	0	  	0	0	  	0	0	  	1	1.41	  	30	42.25	  	18	25.35	  	0	0	  	0	0	  	0	0	  	1	1.41	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	71	100	  	0	0	  	71	0.09
Mont Albert		                                	4	0.2	  	3	0.15	  	399	20	  	13	0.65	  	88	4.41	  	0	0	  	0	0	  	1	0.05	  	0	0	  	11	0.55	  	482	24.16	  	942	47.22	  	0	0	  	17	0.85	  	1	0.05	  	25	1.25	  	2	0.1	  	6	0.3	  	0	0	  	1	0.05	  	0	0	  	1995	97.22	  	57	2.78	  	2052	2.51
Mount Waverley		                             	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0
Mount Waverley South		                       	8	0.21	  	0	0	  	568	14.82	  	65	1.7	  	109	2.84	  	0	0	  	2	0.05	  	1	0.03	  	9	0.23	  	24	0.63	  	1189	31.02	  	1725	45	  	3	0.08	  	26	0.68	  	1	0.03	  	92	2.4	  	0	0	  	10	0.26	  	1	0.03	  	0	0	  	0	0	  	3833	96.67	  	132	3.33	  	3965	4.86
Oakleigh		                                   	7	0.55	  	0	0	  	132	10.38	  	21	1.65	  	31	2.44	  	2	0.16	  	1	0.08	  	0	0	  	3	0.24	  	21	1.65	  	666	52.36	  	348	27.36	  	2	0.16	  	2	0.16	  	1	0.08	  	27	2.12	  	1	0.08	  	5	0.39	  	1	0.08	  	0	0	  	1	0.08	  	1272	93.81	  	84	6.19	  	1356	1.66
Oakleigh East		                              	2	0.14	  	2	0.14	  	155	10.73	  	10	0.69	  	16	1.11	  	0	0	  	2	0.14	  	3	0.21	  	7	0.48	  	16	1.11	  	714	49.45	  	447	30.96	  	3	0.21	  	5	0.35	  	1	0.07	  	49	3.39	  	2	0.14	  	8	0.55	  	0	0	  	1	0.07	  	1	0.07	  	1444	95.69	  	65	4.31	  	1509	1.85
Oakleigh North		                             	10	0.58	  	1	0.06	  	190	11.03	  	23	1.34	  	22	1.28	  	0	0	  	5	0.29	  	1	0.06	  	4	0.23	  	27	1.57	  	784	45.53	  	586	34.03	  	3	0.17	  	9	0.52	  	0	0	  	42	2.44	  	3	0.17	  	9	0.52	  	2	0.12	  	1	0.06	  	0	0	  	1722	94.56	  	99	5.44	  	1821	2.23
Pinewood (Chisholm)		                        	7	0.31	  	2	0.09	  	295	13.16	  	27	1.2	  	46	2.05	  	1	0.04	  	1	0.04	  	1	0.04	  	6	0.27	  	19	0.85	  	749	33.41	  	990	44.16	  	2	0.09	  	13	0.58	  	1	0.04	  	68	3.03	  	1	0.04	  	8	0.36	  	3	0.13	  	1	0.04	  	1	0.04	  	2242	97.01	  	69	2.99	  	2311	2.83
Surrey Hills		                               	2	0.13	  	0	0	  	278	17.72	  	13	0.83	  	53	3.38	  	0	0	  	0	0	  	0	0	  	4	0.25	  	16	1.02	  	360	22.94	  	803	51.18	  	0	0	  	7	0.45	  	2	0.13	  	25	1.59	  	2	0.13	  	3	0.19	  	1	0.06	  	0	0	  	0	0	  	1569	97.39	  	42	2.61	  	1611	1.97
Sussex Heights		                             	7	0.32	  	1	0.05	  	243	11.24	  	19	0.88	  	56	2.59	  	0	0	  	2	0.09	  	2	0.09	  	2	0.09	  	20	0.93	  	1000	46.27	  	713	32.99	  	1	0.05	  	2	0.09	  	0	0	  	80	3.7	  	1	0.05	  	11	0.51	  	1	0.05	  	0	0	  	0	0	  	2161	94.74	  	120	5.26	  	2281	2.79
Syndal North		                               	4	0.12	  	0	0	  	416	12.88	  	45	1.39	  	57	1.76	  	0	0	  	1	0.03	  	0	0	  	3	0.09	  	25	0.77	  	1023	31.67	  	1525	47.21	  	5	0.15	  	11	0.34	  	3	0.09	  	92	2.85	  	3	0.09	  	11	0.34	  	4	0.12	  	0	0	  	2	0.06	  	3230	97.55	  	81	2.45	  	3311	4.06
Syndal South		                               	0	0	  	0	0	  	326	16.04	  	41	2.02	  	61	3	  	0	0	  	1	0.05	  	2	0.1	  	3	0.15	  	17	0.84	  	557	27.41	  	943	46.41	  	4	0.2	  	17	0.84	  	1	0.05	  	49	2.41	  	1	0.05	  	8	0.39	  	0	0	  	0	0	  	1	0.05	  	2032	96.81	  	67	3.19	  	2099	2.57
Tally Ho (Chisholm)		                        	8	0.49	  	1	0.06	  	206	12.57	  	32	1.95	  	22	1.34	  	1	0.06	  	2	0.12	  	1	0.06	  	4	0.24	  	18	1.1	  	664	40.51	  	627	38.26	  	1	0.06	  	11	0.67	  	0	0	  	32	1.95	  	0	0	  	7	0.43	  	1	0.06	  	1	0.06	  	0	0	  	1639	95.51	  	77	4.49	  	1716	2.1
Tyne		                                       	3	0.25	  	0	0	  	169	13.9	  	17	1.4	  	25	2.06	  	0	0	  	0	0	  	0	0	  	6	0.49	  	11	0.9	  	435	35.77	  	486	39.97	  	1	0.08	  	7	0.58	  	1	0.08	  	44	3.62	  	1	0.08	  	9	0.74	  	0	0	  	1	0.08	  	0	0	  	1216	95.9	  	52	4.1	  	1268	1.55
Wattle Park		                                	6	0.25	  	1	0.04	  	323	13.48	  	47	1.96	  	89	3.71	  	1	0.04	  	1	0.04	  	1	0.04	  	3	0.13	  	22	0.92	  	897	37.44	  	920	38.4	  	2	0.08	  	16	0.67	  	0	0	  	54	2.25	  	5	0.21	  	7	0.29	  	0	0	  	0	0	  	1	0.04	  	2396	96.85	  	78	3.15	  	2474	3.03
Waverley North		                             	1	0.08	  	0	0	  	195	16.33	  	35	2.93	  	36	3.02	  	1	0.08	  	2	0.17	  	1	0.08	  	2	0.17	  	20	1.68	  	393	32.91	  	467	39.11	  	0	0	  	10	0.84	  	0	0	  	27	2.26	  	2	0.17	  	0	0	  	1	0.08	  	0	0	  	1	0.08	  	1194	97.15	  	35	2.85	  	1229	1.51
Special Hospitals		                          	1	0.71	  	1	0.71	  	4	2.86	  	1	0.71	  	2	1.43	  	0	0	  	0	0	  	0	0	  	2	1.43	  	2	1.43	  	60	42.86	  	65	46.43	  	0	0	  	0	0	  	0	0	  	2	1.43	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	140	96.55	  	5	3.45	  	145	0.18
Total Ordinary		                             	181	0.28	  	45	0.07	  	8804	13.43	  	999	1.52	  	1707	2.6	  	17	0.03	  	47	0.07	  	47	0.07	  	148	0.23	  	629	0.96	  	25298	38.6	  	25153	38.38	  	49	0.07	  	323	0.49	  	39	0.06	  	1668	2.55	  	57	0.09	  	232	0.35	  	52	0.08	  	14	0.02	  	29	0.04	  	65538	96.33	  	2494	3.67	  	68032	83.35
ABSENT		                                     	11	0.21	  	3	0.06	  	691	13.49	  	60	1.17	  	236	4.61	  	5	0.1	  	6	0.12	  	6	0.12	  	15	0.29	  	76	1.48	  	1703	33.24	  	2096	40.91	  	1	0.02	  	28	0.55	  	7	0.14	  	121	2.36	  	10	0.2	  	40	0.78	  	3	0.06	  	2	0.04	  	4	0.08	  	5124	98.48	  	79	1.52	  	5203	6.37
POSTAL		                                     	3	0.08	  	0	0	  	334	9.4	  	53	1.49	  	74	2.08	  	1	0.03	  	3	0.08	  	4	0.11	  	12	0.34	  	36	1.01	  	1199	33.75	  	1666	46.89	  	8	0.23	  	22	0.62	  	3	0.08	  	108	3.04	  	5	0.14	  	18	0.51	  	1	0.03	  	1	0.03	  	2	0.06	  	3553	99.16	  	30	0.84	  	3583	4.39
PRE_POLL		                                   	4	0.09	  	2	0.05	  	424	10.03	  	78	1.84	  	110	2.6	  	0	0	  	5	0.12	  	3	0.07	  	16	0.38	  	46	1.09	  	1500	35.48	  	1835	43.4	  	3	0.07	  	32	0.76	  	3	0.07	  	135	3.19	  	5	0.12	  	17	0.4	  	6	0.14	  	2	0.05	  	2	0.05	  	4228	98.26	  	75	1.74	  	4303	5.27
PROVISIONAL		                                	0	0	  	0	0	  	43	8.79	  	11	2.25	  	20	4.09	  	1	0.2	  	3	0.61	  	0	0	  	1	0.2	  	10	2.04	  	233	47.65	  	149	30.47	  	0	0	  	1	0.2	  	1	0.2	  	13	2.66	  	0	0	  	2	0.41	  	0	0	  	1	0.2	  	0	0	  	489	96.83	  	16	3.17	  	505	0.62
Division Summary		                           	199	0.25	  	50	0.06	  	10296	13.04	  	1201	1.52	  	2147	2.72	  	24	0.03	  	64	0.08	  	60	0.08	  	192	0.24	  	797	1.01	  	29933	37.92	  	30899	39.15	  	61	0.08	  	406	0.51	  	53	0.07	  	2045	2.59	  	77	0.1	  	309	0.39	  	62	0.08	  	20	0.03	  	37	0.05	  	78932	96.7	  	2694	3.3	  	81626	95.91


Corangamite (79927)																																																																									

	   		Group Total ABR			Group Total - Unendorsed Group B			Group Total DEM			Group Total UNI			Group Total GRN			Group Total SEP			Group Total NDP			Group Total ARP			Group Total AWP			Group Total DLP			Group Total ALP			Group Total LNP			Group Total FCP			Group Total CTA			Group Total FST			Group Total HAN			Group Total NLP			Group Total ASP			Group Total DSL			Group Total CEC			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Aireys Inlet		                               	0	0	  	1	0.19	  	74	14.31	  	4	0.77	  	46	8.9	  	0	0	  	0	0	  	1	0.19	  	2	0.39	  	4	0.77	  	165	31.91	  	205	39.65	  	0	0	  	0	0	  	0	0	  	13	2.51	  	0	0	  	2	0.39	  	0	0	  	0	0	  	0	0	  	517	97.73	  	12	2.27	  	529	0.69
Alvie		                                      	0	0	  	0	0	  	14	7.22	  	1	0.52	  	2	1.03	  	0	0	  	0	0	  	0	0	  	1	0.52	  	2	1.03	  	29	14.95	  	114	58.76	  	0	0	  	1	0.52	  	2	1.03	  	21	10.82	  	0	0	  	6	3.09	  	1	0.52	  	0	0	  	0	0	  	194	98.48	  	3	1.52	  	197	0.26
