Senate -  1998 Election: Victoria																																																																									
First Preference Votes by Group																																																																									
By Polling Place																																																																									


Aston (84875)																																																																									

	   		Group Total ABR			Group Total - Unendorsed Group B			Group Total DEM			Group Total UNI			Group Total GRN			Group Total SEP			Group Total NDP			Group Total ARP			Group Total AWP			Group Total DLP			Group Total ALP			Group Total LNP			Group Total FCP			Group Total CDP			Group Total FST			Group Total HAN			Group Total NLP			Group Total ASP			Group Total DSL			Group Total CEC			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Lysterfield		                                	0	0	  	2	0.18	  	82	7.38	  	3	0.27	  	9	0.81	  	0	0	  	0	0	  	5	0.45	  	2	0.18	  	13	1.17	  	363	32.67	  	594	53.47	  	0	0	  	7	0.63	  	2	0.18	  	26	2.34	  	0	0	  	2	0.18	  	1	0.09	  	0	0	  	0	0	  	1111	96.52	  	40	3.48	  	1151	1.4
Melbourne (Aston)		                          	0	0	  	0	0	  	7	13.21	  	1	1.89	  	6	11.32	  	0	0	  	1	1.89	  	0	0	  	0	0	  	1	1.89	  	22	41.51	  	14	26.42	  	0	0	  	1	1.89	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	53	98.15	  	1	1.85	  	54	0.07
Morack		                                     	3	0.13	  	0	0	  	253	10.81	  	9	0.38	  	30	1.28	  	0	0	  	2	0.09	  	11	0.47	  	4	0.17	  	11	0.47	  	753	32.17	  	1175	50.19	  	0	0	  	17	0.73	  	2	0.09	  	59	2.52	  	2	0.09	  	10	0.43	  	0	0	  	0	0	  	0	0	  	2341	97.26	  	66	2.74	  	2407	2.93
Mountain Gate		                              	10	0.28	  	1	0.03	  	457	12.65	  	30	0.83	  	67	1.85	  	0	0	  	3	0.08	  	12	0.33	  	11	0.3	  	32	0.89	  	1388	38.41	  	1416	39.18	  	7	0.19	  	14	0.39	  	4	0.11	  	127	3.51	  	2	0.06	  	31	0.86	  	1	0.03	  	0	0	  	1	0.03	  	3614	96.45	  	133	3.55	  	3747	4.56
Parkmore		                                   	4	0.16	  	0	0	  	259	10.37	  	37	1.48	  	43	1.72	  	0	0	  	0	0	  	11	0.44	  	1	0.04	  	27	1.08	  	1011	40.47	  	976	39.07	  	2	0.08	  	20	0.8	  	1	0.04	  	87	3.48	  	3	0.12	  	11	0.44	  	3	0.12	  	1	0.04	  	1	0.04	  	2498	96.22	  	98	3.78	  	2596	3.16
Park Ridge		                                 	3	0.14	  	3	0.14	  	250	11.44	  	13	0.59	  	18	0.82	  	0	0	  	5	0.23	  	9	0.41	  	7	0.32	  	17	0.78	  	801	36.64	  	966	44.19	  	3	0.14	  	21	0.96	  	2	0.09	  	52	2.38	  	1	0.05	  	12	0.55	  	3	0.14	  	0	0	  	0	0	  	2186	97.46	  	57	2.54	  	2243	2.73
Rowville		                                   	14	0.34	  	2	0.05	  	398	9.74	  	47	1.15	  	33	0.81	  	2	0.05	  	4	0.1	  	16	0.39	  	6	0.15	  	34	0.83	  	1523	37.26	  	1849	45.24	  	3	0.07	  	21	0.51	  	3	0.07	  	115	2.81	  	1	0.02	  	14	0.34	  	2	0.05	  	0	0	  	0	0	  	4087	96.87	  	132	3.13	  	4219	5.13
Rowville East		                              	6	0.2	  	0	0	  	205	6.88	  	31	1.04	  	33	1.11	  	2	0.07	  	4	0.13	  	13	0.44	  	4	0.13	  	28	0.94	  	1138	38.19	  	1366	45.84	  	5	0.17	  	22	0.74	  	3	0.1	  	109	3.66	  	1	0.03	  	9	0.3	  	1	0.03	  	0	0	  	0	0	  	2980	96.57	  	106	3.43	  	3086	3.75
Scoresby		                                   	4	0.15	  	1	0.04	  	291	11.19	  	24	0.92	  	38	1.46	  	0	0	  	3	0.12	  	4	0.15	  	7	0.27	  	32	1.23	  	1061	40.81	  	991	38.12	  	6	0.23	  	25	0.96	  	2	0.08	  	88	3.38	  	1	0.04	  	18	0.69	  	3	0.12	  	0	0	  	1	0.04	  	2600	96.69	  	89	3.31	  	2689	3.27
Scoresby East		                              	1	0.13	  	1	0.13	  	102	12.85	  	4	0.5	  	20	2.52	  	0	0	  	3	0.38	  	3	0.38	  	5	0.63	  	4	0.5	  	313	39.42	  	311	39.17	  	0	0	  	6	0.76	  	1	0.13	  	16	2.02	  	1	0.13	  	3	0.38	  	0	0	  	0	0	  	0	0	  	794	98.63	  	11	1.37	  	805	0.98
