Senate -  1998 Election: South Australia																																																				
First Preference Votes by Group																																																				
By Polling Place																																																				


Adelaide (82157)																																																				

	   		Group Total CDP			Group Total FST			Group Total DEM			Group Total - Unendorsed Group D			Group Total - Unendorsed Group E			Group Total LP			Group Total CEC			Group Total DSL			Group Total GRN			Group Total HAN			Group Total ALP			Group Total - Unendorsed Group L			Group Total NP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Hynam		                                      	0	0	  	4	2.61	  	3	1.96	  	0	0	  	0	0	  	112	73.2	  	0	0	  	0	0	  	1	0.65	  	14	9.15	  	14	9.15	  	0	0	  	5	3.27	  	0	0	  	153	98.08	  	3	1.92	  	156	0.19
Inman Valley		                               	4	2.42	  	1	0.61	  	22	13.33	  	0	0	  	1	0.61	  	98	59.39	  	1	0.61	  	1	0.61	  	4	2.42	  	14	8.48	  	18	10.91	  	0	0	  	1	0.61	  	0	0	  	165	97.06	  	5	2.94	  	170	0.21
Jervois		                                    	0	0	  	1	0.75	  	4	3.01	  	0	0	  	1	0.75	  	89	66.92	  	0	0	  	0	0	  	3	2.26	  	18	13.53	  	9	6.77	  	1	0.75	  	7	5.26	  	0	0	  	133	98.52	  	2	1.48	  	135	0.16
Kalangadoo		                                 	12	3.63	  	2	0.6	  	19	5.74	  	1	0.3	  	1	0.3	  	181	54.68	  	0	0	  	3	0.91	  	4	1.21	  	41	12.39	  	61	18.43	  	2	0.6	  	4	1.21	  	0	0	  	331	95.94	  	14	4.06	  	345	0.42
Karoonda		                                   	4	0.9	  	6	1.35	  	12	2.71	  	0	0	  	1	0.23	  	294	66.37	  	0	0	  	1	0.23	  	4	0.9	  	69	15.58	  	37	8.35	  	0	0	  	15	3.39	  	0	0	  	443	97.15	  	13	2.85	  	456	0.56
Keith		                                      	15	1.53	  	21	2.14	  	37	3.77	  	0	0	  	1	0.1	  	654	66.6	  	1	0.1	  	4	0.41	  	14	1.43	  	91	9.27	  	119	12.12	  	1	0.1	  	23	2.34	  	1	0.1	  	982	97.04	  	30	2.96	  	1012	1.23
Keyneton		                                   	1	0.75	  	0	0	  	23	17.16	  	0	0	  	3	2.24	  	73	54.48	  	0	0	  	0	0	  	2	1.49	  	10	7.46	  	21	15.67	  	0	0	  	1	0.75	  	0	0	  	134	100	  	0	0	  	134	0.16
Kingscote		                                  	19	1.39	  	10	0.73	  	188	13.78	  	2	0.15	  	4	0.29	  	718	52.64	  	0	0	  	8	0.59	  	25	1.83	  	187	13.71	  	185	13.56	  	2	0.15	  	14	1.03	  	2	0.15	  	1364	97.01	  	42	2.99	  	1406	1.71
Kingston		                                   	25	1.92	  	20	1.53	  	61	4.68	  	0	0	  	0	0	  	738	56.64	  	2	0.15	  	4	0.31	  	15	1.15	  	183	14.04	  	240	18.42	  	0	0	  	14	1.07	  	1	0.08	  	1303	97.6	  	32	2.4	  	1335	1.63
Kongorong		                                  	2	0.78	  	7	2.75	  	17	6.67	  	0	0	  	0	0	  	159	62.35	  	0	0	  	1	0.39	  	5	1.96	  	24	9.41	  	36	14.12	  	0	0	  	4	1.57	  	0	0	  	255	96.59	  	9	3.41	  	264	0.32
Kybybolite		                                 	1	1.14	  	3	3.41	  	4	4.55	  	0	0	  	0	0	  	51	57.95	  	0	0	  	0	0	  	1	1.14	  	5	5.68	  	19	21.59	  	1	1.14	  	3	3.41	  	0	0	  	88	97.78	  	2	2.22	  	90	0.11
Lameroo		                                    	7	1.53	  	4	0.87	  	27	5.9	  	0	0	  	0	0	  	311	67.9	  	2	0.44	  	1	0.22	  	2	0.44	  	41	8.95	  	50	10.92	  	1	0.22	  	12	2.62	  	0	0	  	458	97.45	  	12	2.55	  	470	0.57
Lucindale		                                  	2	0.41	  	13	2.67	  	25	5.13	  	0	0	  	1	0.21	  	351	72.07	  	0	0	  	2	0.41	  	12	2.46	  	35	7.19	  	39	8.01	  	0	0	  	6	1.23	  	1	0.21	  	487	98.38	  	8	1.62	  	495	0.6
Mannum		                                     	11	0.69	  	21	1.32	  	131	8.23	  	0	0	  	3	0.19	  	681	42.78	  	0	0	  	8	0.5	  	32	2.01	  	278	17.46	  	396	24.87	  	0	0	  	31	1.95	  	0	0	  	1592	94.87	  	86	5.13	  	1678	2.04
Meningie		                                   	5	0.59	  	7	0.83	  	40	4.76	  	0	0	  	1	0.12	  	494	58.74	  	0	0	  	0	0	  	6	0.71	  	146	17.36	  	122	14.51	  	0	0	  	20	2.38	  	0	0	  	841	96.22	  	33	3.78	  	874	1.06
Middleton		                                  	13	2.34	  	1	0.18	  	68	12.23	  	0	0	  	1	0.18	  	240	43.17	  	1	0.18	  	2	0.36	  	18	3.24	  	74	13.31	  	136	24.46	  	0	0	  	2	0.36	  	0	0	  	556	98.41	  	9	1.59	  	565	0.69
Milang		                                     	5	1.02	  	2	0.41	  	51	10.43	  	1	0.2	  	0	0	  	260	53.17	  	1	0.2	  	2	0.41	  	16	3.27	  	58	11.86	  	85	17.38	  	0	0	  	8	1.64	  	0	0	  	489	96.64	  	17	3.36	  	506	0.62
Mil Lel		                                    	2	1.17	  	1	0.58	  	15	8.77	  	0	0	  	0	0	  	103	60.23	  	0	0	  	0	0	  	3	1.75	  	24	14.04	  	20	11.7	  	0	0	  	3	1.75	  	0	0	  	171	96.07	  	7	3.93	  	178	0.22
Millicent		                                  	15	0.68	  	18	0.82	  	144	6.55	  	0	0	  	3	0.14	  	1004	45.66	  	4	0.18	  	10	0.45	  	45	2.05	  	242	11.01	  	700	31.83	  	1	0.05	  	13	0.59	  	0	0	  	2199	97	  	68	3	  	2267	2.76
Millicent South		                            	1	0.13	  	10	1.26	  	58	7.3	  	2	0.25	  	2	0.25	  	300	37.74	  	0	0	  	2	0.25	  	12	1.51	  	91	11.45	  	311	39.12	  	0	0	  	5	0.63	  	1	0.13	  	795	96.95	  	25	3.05	  	820	1
Moorak		                                     	0	0	  	0	0	  	19	4.96	  	0	0	  	0	0	  	251	65.54	  	0	0	  	1	0.26	  	5	1.31	  	46	12.01	  	59	15.4	  	0	0	  	2	0.52	  	0	0	  	383	98.46	  	6	1.54	  	389	0.47
Mount Burr		                                 	5	1.7	  	2	0.68	  	18	6.12	  	0	0	  	1	0.34	  	110	37.41	  	0	0	  	0	0	  	2	0.68	  	42	14.29	  	105	35.71	  	0	0	  	9	3.06	  	0	0	  	294	97.03	  	9	2.97	  	303	0.37
Mount Compass		                              	16	2.06	  	4	0.52	  	125	16.13	  	0	0	  	2	0.26	  	393	50.71	  	2	0.26	  	5	0.65	  	27	3.48	  	72	9.29	  	121	15.61	  	0	0	  	8	1.03	  	0	0	  	775	97.12	  	23	2.88	  	798	0.97
Mount Gambier		                              	19	0.67	  	24	0.85	  	314	11.15	  	3	0.11	  	6	0.21	  	1439	51.12	  	3	0.11	  	14	0.5	  	54	1.92	  	181	6.43	  	751	26.68	  	1	0.04	  	6	0.21	  	0	0	  	2815	97.44	  	74	2.56	  	2889	3.52
Mount Gambier East		                         	31	1.17	  	26	0.98	  	218	8.24	  	3	0.11	  	2	0.08	  	851	32.15	  	4	0.15	  	20	0.76	  	51	1.93	  	228	8.61	  	1189	44.92	  	4	0.15	  	18	0.68	  	2	0.08	  	2647	96.5	  	96	3.5	  	2743	3.34
Mount Gambier North		                        	30	1.61	  	15	0.81	  	179	9.63	  	1	0.05	  	5	0.27	  	677	36.44	  	5	0.27	  	5	0.27	  	42	2.26	  	185	9.96	  	706	38	  	0	0	  	7	0.38	  	1	0.05	  	1858	97.02	  	57	2.98	  	1915	2.33
Mount Gambier Park		                         	15	0.85	  	11	0.62	  	181	10.26	  	0	0	  	0	0	  	824	46.71	  	0	0	  	4	0.23	  	27	1.53	  	145	8.22	  	543	30.78	  	2	0.11	  	12	0.68	  	0	0	  	1764	97.57	  	44	2.43	  	1808	2.2
Mount Gambier West		                         	26	0.98	  	37	1.4	  	280	10.56	  	1	0.04	  	4	0.15	  	1087	41	  	5	0.19	  	6	0.23	  	44	1.66	  	237	8.94	  	907	34.21	  	1	0.04	  	16	0.6	  	0	0	  	2651	96.86	  	86	3.14	  	2737	3.33
Mundulla		                                   	12	3.58	  	3	0.9	  	17	5.07	  	0	0	  	0	0	  	231	68.96	  	0	0	  	1	0.3	  	0	0	  	12	3.58	  	40	11.94	  	0	0	  	19	5.67	  	0	0	  	335	99.11	  	3	0.89	  	338	0.41
Murray Bridge		                              	27	1.44	  	21	1.12	  	152	8.11	  	2	0.11	  	4	0.21	  	790	42.13	  	6	0.32	  	6	0.32	  	35	1.87	  	371	19.79	  	428	22.83	  	2	0.11	  	30	1.6	  	1	0.05	  	1875	96.06	  	77	3.94	  	1952	2.38
Murray Bridge East		                         	10	0.84	  	5	0.42	  	88	7.43	  	1	0.08	  	2	0.17	  	606	51.14	  	1	0.08	  	5	0.42	  	16	1.35	  	219	18.48	  	201	16.96	  	0	0	  	31	2.62	  	0	0	  	1185	96.81	  	39	3.19	  	1224	1.49
Murray Bridge South		                        	36	1.37	  	15	0.57	  	213	8.1	  	2	0.08	  	9	0.34	  	1070	40.67	  	1	0.04	  	9	0.34	  	57	2.17	  	394	14.98	  	776	29.49	  	3	0.11	  	45	1.71	  	1	0.04	  	2631	95.85	  	114	4.15	  	2745	3.34
Murray Bridge West		                         	18	0.92	  	11	0.56	  	154	7.87	  	0	0	  	2	0.1	  	941	48.06	  	2	0.1	  	10	0.51	  	32	1.63	  	327	16.7	  	417	21.3	  	1	0.05	  	43	2.2	  	0	0	  	1958	97.51	  	50	2.49	  	2008	2.45
Mypolonga		                                  	3	0.91	  	2	0.61	  	23	7.01	  	1	0.3	  	0	0	  	184	56.1	  	1	0.3	  	0	0	  	3	0.91	  	48	14.63	  	56	17.07	  	0	0	  	7	2.13	  	0	0	  	328	97.33	  	9	2.67	  	337	0.41
Myponga		                                    	2	0.51	  	5	1.27	  	44	11.17	  	0	0	  	1	0.25	  	219	55.58	  	1	0.25	  	0	0	  	8	2.03	  	43	10.91	  	64	16.24	  	0	0	  	7	1.78	  	0	0	  	394	97.04	  	12	2.96	  	406	0.49
Nangula		                                    	2	1.18	  	4	2.37	  	3	1.78	  	0	0	  	0	0	  	100	59.17	  	1	0.59	  	0	0	  	3	1.78	  	32	18.93	  	21	12.43	  	0	0	  	3	1.78	  	0	0	  	169	98.83	  	2	1.17	  	171	0.21
Nangwarry		                                  	5	1.6	  	2	0.64	  	19	6.09	  	0	0	  	3	0.96	  	68	21.79	  	1	0.32	  	3	0.96	  	3	0.96	  	56	17.95	  	151	48.4	  	0	0	  	1	0.32	  	0	0	  	312	98.11	  	6	1.89	  	318	0.39
Naracoorte		                                 	35	1.86	  	24	1.28	  	146	7.76	  	0	0	  	2	0.11	  	1068	56.78	  	3	0.16	  	10	0.53	  	30	1.59	  	191	10.15	  	342	18.18	  	1	0.05	  	29	1.54	  	0	0	  	1881	97.56	  	47	2.44	  	1928	2.35
Naracoorte South		                           	18	1.34	  	17	1.26	  	66	4.9	  	1	0.07	  	2	0.15	  	725	53.78	  	0	0	  	4	0.3	  	32	2.37	  	153	11.35	  	309	22.92	  	1	0.07	  	20	1.48	  	0	0	  	1348	98.25	  	24	1.75	  	1372	1.67
Narrung		                                    	2	2.25	  	0	0	  	5	5.62	  	0	0	  	1	1.12	  	37	41.57	  	1	1.12	  	1	1.12	  	0	0	  	4	4.49	  	29	32.58	  	0	0	  	9	10.11	  	0	0	  	89	100	  	0	0	  	89	0.11
Nildottie		                                  	1	0.64	  	1	0.64	  	6	3.85	  	0	0	  	0	0	  	107	68.59	  	1	0.64	  	0	0	  	4	2.56	  	27	17.31	  	7	4.49	  	0	0	  	1	0.64	  	1	0.64	  	156	97.5	  	4	2.5	  	160	0.19
O B Flat		                                   	0	0	  	5	3.09	  	12	7.41	  	0	0	  	0	0	  	110	67.9	  	0	0	  	0	0	  	2	1.23	  	18	11.11	  	15	9.26	  	0	0	  	0	0	  	0	0	  	162	98.78	  	2	1.22	  	164	0.2
Padthaway		                                  	6	1.88	  	7	2.19	  	18	5.64	  	0	0	  	0	0	  	208	65.2	  	0	0	  	2	0.63	  	2	0.63	  	45	14.11	  	23	7.21	  	0	0	  	8	2.51	  	0	0	  	319	97.26	  	9	2.74	  	328	0.4
Parawa		                                     	0	0	  	3	2.97	  	8	7.92	  	0	0	  	2	1.98	  	73	72.28	  	0	0	  	0	0	  	1	0.99	  	8	7.92	  	4	3.96	  	0	0	  	2	1.98	  	0	0	  	101	98.06	  	2	1.94	  	103	0.13
Parilla		                                    	0	0	  	0	0	  	4	3.96	  	0	0	  	0	0	  	78	77.23	  	1	0.99	  	1	0.99	  	1	0.99	  	8	7.92	  	3	2.97	  	0	0	  	5	4.95	  	0	0	  	101	97.12	  	3	2.88	  	104	0.13
Parndana		                                   	3	0.92	  	6	1.83	  	29	8.87	  	0	0	  	0	0	  	204	62.39	  	0	0	  	1	0.31	  	9	2.75	  	39	11.93	  	32	9.79	  	1	0.31	  	3	0.92	  	0	0	  	327	99.09	  	3	0.91	  	330	0.4
Paruna		                                     	1	1.47	  	2	2.94	  	7	10.29	  	0	0	  	1	1.47	  	38	55.88	  	0	0	  	0	0	  	1	1.47	  	5	7.35	  	10	14.71	  	0	0	  	3	4.41	  	0	0	  	68	98.55	  	1	1.45	  	69	0.08
Peake		                                      	16	11.35	  	2	1.42	  	2	1.42	  	0	0	  	0	0	  	91	64.54	  	0	0	  	0	0	  	0	0	  	20	14.18	  	8	5.67	  	0	0	  	2	1.42	  	0	0	  	141	97.92	  	3	2.08	  	144	0.18
Penneshaw		                                  	3	1.04	  	1	0.35	  	46	15.92	  	0	0	  	0	0	  	142	49.13	  	0	0	  	3	1.04	  	11	3.81	  	34	11.76	  	49	16.96	  	0	0	  	0	0	  	0	0	  	289	96.33	  	11	3.67	  	300	0.37
Penola		                                     	5	0.49	  	12	1.18	  	55	5.39	  	0	0	  	1	0.1	  	618	60.53	  	2	0.2	  	6	0.59	  	22	2.15	  	84	8.23	  	209	20.47	  	2	0.2	  	5	0.49	  	0	0	  	1021	97.15	  	30	2.85	  	1051	1.28
Pinnaroo		                                   	5	1.04	  	2	0.42	  	28	5.83	  	0	0	  	0	0	  	269	56.04	  	0	0	  	1	0.21	  	5	1.04	  	81	16.88	  	68	14.17	  	0	0	  	20	4.17	  	1	0.21	  	480	97.96	  	10	2.04	  	490	0.6
Ponde		                                      	2	1.06	  	0	0	  	23	12.23	  	0	0	  	0	0	  	90	47.87	  	1	0.53	  	0	0	  	1	0.53	  	44	23.4	  	24	12.77	  	0	0	  	3	1.6	  	0	0	  	188	99.47	  	1	0.53	  	189	0.23
Port Elliot		                                	20	1.95	  	14	1.36	  	162	15.76	  	3	0.29	  	2	0.19	  	425	41.34	  	1	0.1	  	4	0.39	  	46	4.47	  	107	10.41	  	234	22.76	  	0	0	  	10	0.97	  	0	0	  	1028	96.44	  	38	3.56	  	1066	1.3
Port MacDonnell		                            	6	0.88	  	3	0.44	  	31	4.53	  	1	0.15	  	0	0	  	342	50	  	1	0.15	  	1	0.15	  	19	2.78	  	105	15.35	  	171	25	  	1	0.15	  	3	0.44	  	0	0	  	684	97.44	  	18	2.56	  	702	0.86
Purnong		                                    	1	0.69	  	0	0	  	5	3.47	  	1	0.69	  	1	0.69	  	98	68.06	  	0	0	  	3	2.08	  	0	0	  	18	12.5	  	14	9.72	  	0	0	  	3	2.08	  	0	0	  	144	96.64	  	5	3.36	  	149	0.18
Rendelsham		                                 	0	0	  	6	3.9	  	9	5.84	  	0	0	  	0	0	  	94	61.04	  	0	0	  	1	0.65	  	1	0.65	  	29	18.83	  	12	7.79	  	0	0	  	1	0.65	  	1	0.65	  	154	95.06	  	8	4.94	  	162	0.2
Robe		                                       	4	0.45	  	4	0.45	  	56	6.33	  	0	0	  	2	0.23	  	587	66.4	  	1	0.11	  	1	0.11	  	24	2.71	  	84	9.5	  	110	12.44	  	1	0.11	  	10	1.13	  	0	0	  	884	98.22	  	16	1.78	  	900	1.1
Salt Creek		                                 	1	1.47	  	0	0	  	9	13.24	  	1	1.47	  	0	0	  	26	38.24	  	0	0	  	0	0	  	0	0	  	14	20.59	  	14	20.59	  	0	0	  	3	4.41	  	0	0	  	68	100	  	0	0	  	68	0.08
Second Valley		                              	1	0.9	  	0	0	  	9	8.11	  	0	0	  	0	0	  	49	44.14	  	0	0	  	1	0.9	  	3	2.7	  	17	15.32	  	27	24.32	  	0	0	  	4	3.6	  	0	0	  	111	99.11	  	1	0.89	  	112	0.14
Sedan		                                      	0	0	  	5	2.92	  	9	5.26	  	0	0	  	1	0.58	  	98	57.31	  	1	0.58	  	0	0	  	3	1.75	  	24	14.04	  	29	16.96	  	0	0	  	1	0.58	  	0	0	  	171	97.71	  	4	2.29	  	175	0.21
Southend		                                   	1	0.56	  	0	0	  	7	3.95	  	0	0	  	0	0	  	96	54.24	  	0	0	  	0	0	  	0	0	  	35	19.77	  	33	18.64	  	0	0	  	5	2.82	  	0	0	  	177	98.33	  	3	1.67	  	180	0.22
Suttontown		                                 	6	1.1	  	4	0.73	  	50	9.17	  	0	0	  	0	0	  	285	52.29	  	2	0.37	  	0	0	  	4	0.73	  	55	10.09	  	137	25.14	  	0	0	  	2	0.37	  	0	0	  	545	96.63	  	19	3.37	  	564	0.69
Swan Reach		                                 	4	1.75	  	1	0.44	  	19	8.33	  	0	0	  	1	0.44	  	126	55.26	  	0	0	  	1	0.44	  	6	2.63	  	23	10.09	  	46	20.18	  	0	0	  	1	0.44	  	0	0	  	228	96.61	  	8	3.39	  	236	0.29
Tailem Bend		                                	16	1.5	  	19	1.79	  	70	6.58	  	0	0	  	0	0	  	338	31.77	  	1	0.09	  	3	0.28	  	30	2.82	  	234	21.99	  	324	30.45	  	0	0	  	29	2.73	  	0	0	  	1064	93.66	  	72	6.34	  	1136	1.38
Tantanoola		                                 	1	0.4	  	2	0.79	  	10	3.97	  	0	0	  	0	0	  	120	47.62	  	0	0	  	2	0.79	  	11	4.37	  	43	17.06	  	61	24.21	  	0	0	  	2	0.79	  	0	0	  	252	98.05	  	5	1.95	  	257	0.31
Tarpeena		                                   	5	1.53	  	7	2.14	  	22	6.73	  	0	0	  	0	0	  	103	31.5	  	2	0.61	  	0	0	  	6	1.83	  	44	13.46	  	136	41.59	  	0	0	  	2	0.61	  	0	0	  	327	96.46	  	12	3.54	  	339	0.41
Tintinara		                                  	1	0.24	  	7	1.69	  	16	3.86	  	0	0	  	0	0	  	299	72.05	  	1	0.24	  	0	0	  	1	0.24	  	66	15.9	  	17	4.1	  	0	0	  	7	1.69	  	0	0	  	415	97.88	  	9	2.12	  	424	0.52
Victor Harbor		                              	54	1.72	  	11	0.35	  	447	14.25	  	0	0	  	2	0.06	  	1502	47.9	  	3	0.1	  	17	0.54	  	57	1.82	  	384	12.24	  	646	20.6	  	0	0	  	12	0.38	  	1	0.03	  	3136	96.23	  	123	3.77	  	3259	3.97
Victor Harbor East		                         	33	3.68	  	6	0.67	  	106	11.83	  	0	0	  	1	0.11	  	451	50.33	  	1	0.11	  	2	0.22	  	10	1.12	  	102	11.38	  	177	19.75	  	0	0	  	7	0.78	  	0	0	  	896	96.45	  	33	3.55	  	929	1.13
Victor Harbor South		                        	26	1.77	  	7	0.48	  	181	12.35	  	2	0.14	  	3	0.2	  	753	51.36	  	2	0.14	  	6	0.41	  	26	1.77	  	165	11.26	  	285	19.44	  	1	0.07	  	9	0.61	  	0	0	  	1466	96.83	  	48	3.17	  	1514	1.84
Walker Flat		                                	0	0	  	0	0	  	13	8.9	  	0	0	  	1	0.68	  	64	43.84	  	0	0	  	0	0	  	2	1.37	  	40	27.4	  	26	17.81	  	0	0	  	0	0	  	0	0	  	146	96.05	  	6	3.95	  	152	0.19
Wanbi		                                      	0	0	  	0	0	  	4	5.19	  	0	0	  	0	0	  	49	63.64	  	0	0	  	0	0	  	1	1.3	  	15	19.48	  	5	6.49	  	0	0	  	3	3.9	  	0	0	  	77	98.72	  	1	1.28	  	78	0.1
Wellington West		                            	1	0.58	  	3	1.74	  	13	7.56	  	0	0	  	0	0	  	95	55.23	  	0	0	  	1	0.58	  	0	0	  	35	20.35	  	21	12.21	  	0	0	  	3	1.74	  	0	0	  	172	98.29	  	3	1.71	  	175	0.21
Western Flat		                               	2	1.87	  	1	0.93	  	7	6.54	  	0	0	  	0	0	  	74	69.16	  	0	0	  	0	0	  	3	2.8	  	10	9.35	  	4	3.74	  	0	0	  	6	5.61	  	0	0	  	107	99.07	  	1	0.93	  	108	0.13
Willalooka		                                 	3	2.17	  	1	0.72	  	9	6.52	  	0	0	  	0	0	  	102	73.91	  	0	0	  	0	0	  	1	0.72	  	6	4.35	  	11	7.97	  	2	1.45	  	3	2.17	  	0	0	  	138	99.28	  	1	0.72	  	139	0.17
Wolseley		                                   	1	0.81	  	0	0	  	7	5.69	  	0	0	  	0	0	  	56	45.53	  	0	0	  	1	0.81	  	2	1.63	  	29	23.58	  	25	20.33	  	0	0	  	2	1.63	  	0	0	  	123	97.62	  	3	2.38	  	126	0.15
Woods Point		                                	0	0	  	0	0	  	10	6.85	  	0	0	  	0	0	  	75	51.37	  	0	0	  	0	0	  	2	1.37	  	28	19.18	  	23	15.75	  	1	0.68	  	7	4.79	  	0	0	  	146	97.33	  	4	2.67	  	150	0.18
Yahl		                                       	2	0.72	  	4	1.45	  	27	9.78	  	0	0	  	0	0	  	140	50.72	  	0	0	  	0	0	  	9	3.26	  	31	11.23	  	63	22.83	  	0	0	  	0	0	  	0	0	  	276	97.18	  	8	2.82	  	284	0.35
Yankalilla		                                 	14	1.06	  	7	0.53	  	196	14.89	  	0	0	  	4	0.3	  	648	49.24	  	0	0	  	2	0.15	  	28	2.13	  	164	12.46	  	243	18.47	  	1	0.08	  	9	0.68	  	0	0	  	1316	96.84	  	43	3.16	  	1359	1.66
Special Hospitals		                          	11	2.2	  	8	1.6	  	16	3.19	  	1	0.2	  	0	0	  	288	57.49	  	1	0.2	  	4	0.8	  	1	0.2	  	27	5.39	  	139	27.74	  	0	0	  	5	1	  	0	0	  	501	96.16	  	20	3.84	  	521	0.63
Total Ordinary		                             	890	1.35	  	630	0.96	  	5737	8.73	  	31	0.05	  	101	0.15	  	32889	50.04	  	76	0.12	  	240	0.37	  	1246	1.9	  	8117	12.35	  	14898	22.67	  	38	0.06	  	812	1.24	  	22	0.03	  	65727	97.02	  	2021	2.98	  	67748	82.55
ABSENT		                                     	62	1.34	  	38	0.82	  	526	11.36	  	2	0.04	  	9	0.19	  	2289	49.44	  	4	0.09	  	21	0.45	  	160	3.46	  	509	10.99	  	966	20.86	  	4	0.09	  	39	0.84	  	1	0.02	  	4630	98.62	  	65	1.38	  	4695	5.72
POSTAL		                                     	95	1.95	  	73	1.5	  	402	8.26	  	3	0.06	  	6	0.12	  	2647	54.39	  	2	0.04	  	7	0.14	  	53	1.09	  	613	12.6	  	865	17.77	  	4	0.08	  	89	1.83	  	8	0.16	  	4867	99.45	  	27	0.55	  	4894	5.96
PRE_POLL		                                   	83	2.18	  	30	0.79	  	358	9.39	  	1	0.03	  	4	0.1	  	1737	45.55	  	1	0.03	  	10	0.26	  	98	2.57	  	414	10.86	  	1027	26.93	  	5	0.13	  	44	1.15	  	1	0.03	  	3813	98.86	  	44	1.14	  	3857	4.7
PROVISIONAL		                                	14	1.64	  	7	0.82	  	68	7.97	  	2	0.23	  	2	0.23	  	276	32.36	  	2	0.23	  	2	0.23	  	53	6.21	  	126	14.77	  	294	34.47	  	0	0	  	7	0.82	  	0	0	  	853	97.49	  	22	2.51	  	875	1.07
Division Summary		                           	1144	1.43	  	778	0.97	  	7091	8.88	  	39	0.05	  	122	0.15	  	39838	49.87	  	85	0.11	  	280	0.35	  	1610	2.02	  	9779	12.24	  	18050	22.59	  	51	0.06	  	991	1.24	  	32	0.04	  	79890	97.34	  	2179	2.66	  	82069	96.81


Bonython (78747)																																																				

	   		Group Total CDP			Group Total FST			Group Total DEM			Group Total - Unendorsed Group D			Group Total - Unendorsed Group E			Group Total LP			Group Total CEC			Group Total DSL			Group Total GRN			Group Total HAN			Group Total ALP			Group Total - Unendorsed Group L			Group Total NP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Adelaide (Bonython)		                        	1	2.94	  	0	0	  	6	17.65	  	0	0	  	0	0	  	10	29.41	  	0	0	  	0	0	  	0	0	  	1	2.94	  	16	47.06	  	0	0	  	0	0	  	0	0	  	34	91.89	  	3	8.11	  	37	0.05
Andrews Farm		                               	11	1.07	  	6	0.58	  	145	14.11	  	0	0	  	1	0.1	  	280	27.24	  	1	0.1	  	7	0.68	  	23	2.24	  	152	14.79	  	398	38.72	  	0	0	  	3	0.29	  	1	0.1	  	1028	97.26	  	29	2.74	  	1057	1.4
Angle Vale		                                 	14	1.09	  	10	0.78	  	124	9.63	  	1	0.08	  	5	0.39	  	513	39.83	  	1	0.08	  	4	0.31	  	27	2.1	  	177	13.74	  	404	31.37	  	0	0	  	8	0.62	  	0	0	  	1288	97.21	  	37	2.79	  	1325	1.75
Brahma Lodge		                               	26	1.48	  	14	0.8	  	174	9.91	  	5	0.28	  	6	0.34	  	437	24.89	  	2	0.11	  	4	0.23	  	22	1.25	  	273	15.55	  	791	45.05	  	0	0	  	2	0.11	  	0	0	  	1756	95.85	  	76	4.15	  	1832	2.42
Craigmore		                                  	23	1.03	  	7	0.31	  	269	12.06	  	1	0.04	  	2	0.09	  	690	30.93	  	1	0.04	  	10	0.45	  	40	1.79	  	293	13.13	  	879	39.4	  	0	0	  	13	0.58	  	3	0.13	  	2231	97.89	  	48	2.11	  	2279	3.01
Craigmore South		                            	49	1.76	  	14	0.5	  	348	12.53	  	2	0.07	  	2	0.07	  	807	29.06	  	5	0.18	  	11	0.4	  	39	1.4	  	416	14.98	  	1076	38.75	  	1	0.04	  	6	0.22	  	1	0.04	  	2777	97.82	  	62	2.18	  	2839	3.75
Davoren Park North		                         	13	0.81	  	16	0.99	  	164	10.17	  	3	0.19	  	0	0	  	261	16.19	  	3	0.19	  	13	0.81	  	39	2.42	  	307	19.04	  	787	48.82	  	1	0.06	  	4	0.25	  	1	0.06	  	1612	96.53	  	58	3.47	  	1670	2.21
Davoren Park South		                         	29	2.1	  	18	1.3	  	136	9.85	  	2	0.14	  	2	0.14	  	236	17.09	  	2	0.14	  	10	0.72	  	36	2.61	  	242	17.52	  	664	48.08	  	2	0.14	  	2	0.14	  	0	0	  	1381	96.71	  	47	3.29	  	1428	1.89
Direk		                                      	2	0.38	  	2	0.38	  	41	7.75	  	0	0	  	0	0	  	122	23.06	  	0	0	  	2	0.38	  	23	4.35	  	82	15.5	  	253	47.83	  	1	0.19	  	1	0.19	  	0	0	  	529	97.6	  	13	2.4	  	542	0.72
Elizabeth		                                  	8	1.07	  	6	0.8	  	84	11.24	  	0	0	  	0	0	  	223	29.85	  	2	0.27	  	3	0.4	  	17	2.28	  	115	15.39	  	288	38.55	  	0	0	  	1	0.13	  	0	0	  	747	98.03	  	15	1.97	  	762	1.01
