Senate - 1998 Election: Northern Territory																																																																												
First Preference Votes by Candidate																																																																												
By Polling Place																																																																												


Northern Territory (105048)																																																																												

	   		 A Australian Greens												 B Northern Territory Country Liberal Party												 C Australian Democrats												 D Pauline Hanson's One Nation												 E Australian Labor Party (ALP)												Ungrouped													
    			TICKET VOTES			MARTIN			GOUGH			Group Total			TICKET VOTES			# TAMBLING			AUSTIN			Group Total			TICKET VOTES			EDWARDS			CLEMENTS			Group Total			TICKET VOTES			HAGGER			MILLS			Group Total			TICKET VOTES			# CROSSIN			PHILLIPS			Group Total			POLKE			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
    						Lex			Andy									Grant			Maisie Pauline									Victor			Peter									Ted			Dee									Trish			Charlie						Jonathan													
Polling Places			Vote	%		Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Durack		                                     	22	2.2	  	4	0.4	  	0	0	  	26	2.59	  	491	49	  	51	5.09	  	5	0.5	  	547	54.59	  	39	3.89	  	5	0.5	  	3	0.3	  	47	4.69	  	95	9.48	  	21	2.1	  	6	0.6	  	122	12.18	  	223	22.26	  	24	2.4	  	5	0.5	  	252	25.15	  	8	0.8	  	8	0.8	  	1002	98.24	  	18	1.76	  	1020	1.07
Gillen		                                     	39	1.52	  	25	0.98	  	2	0.08	  	66	2.58	  	1119	43.73	  	101	3.95	  	11	0.43	  	1231	48.1	  	117	4.57	  	45	1.76	  	6	0.23	  	168	6.57	  	224	8.75	  	49	1.91	  	7	0.27	  	280	10.94	  	711	27.78	  	92	3.6	  	9	0.35	  	812	31.73	  	2	0.08	  	2	0.08	  	2559	97.93	  	54	2.07	  	2613	2.75
Gray		                                       	43	2.18	  	13	0.66	  	2	0.1	  	58	2.94	  	715	36.28	  	64	3.25	  	14	0.71	  	793	40.23	  	74	3.75	  	21	1.07	  	2	0.1	  	97	4.92	  	230	11.67	  	23	1.17	  	13	0.66	  	266	13.5	  	662	33.59	  	66	3.35	  	6	0.3	  	734	37.24	  	23	1.17	  	23	1.17	  	1971	97.72	  	46	2.28	  	2017	2.13
Home Island		                                	14	5.88	  	1	0.42	  	0	0	  	15	6.3	  	17	7.14	  	0	0	  	0	0	  	17	7.14	  	4	1.68	  	1	0.42	  	0	0	  	5	2.1	  	0	0	  	0	0	  	0	0	  	0	0	  	195	81.93	  	3	1.26	  	2	0.84	  	200	84.03	  	1	0.42	  	1	0.42	  	238	97.54	  	6	2.46	  	244	0.26
Howard Springs		                             	60	2.56	  	29	1.24	  	3	0.13	  	92	3.92	  	998	42.56	  	112	4.78	  	25	1.07	  	1135	48.4	  	86	3.67	  	25	1.07	  	2	0.09	  	113	4.82	  	266	11.34	  	56	2.39	  	13	0.55	  	335	14.29	  	545	23.24	  	87	3.71	  	13	0.55	  	645	27.51	  	25	1.07	  	25	1.07	  	2345	98.24	  	42	1.76	  	2387	2.52
Humpty Doo		                                 	84	3.06	  	34	1.24	  	1	0.04	  	119	4.33	  	1085	39.47	  	103	3.75	  	16	0.58	  	1204	43.8	  	101	3.67	  	33	1.2	  	4	0.15	  	138	5.02	  	395	14.37	  	73	2.66	  	19	0.69	  	487	17.72	  	676	24.59	  	95	3.46	  	12	0.44	  	783	28.48	  	18	0.65	  	18	0.65	  	2749	98.64	  	38	1.36	  	2787	2.94
Jabiru		                                     	19	2.76	  	16	2.32	  	6	0.87	  	41	5.95	  	278	40.35	  	43	6.24	  	6	0.87	  	327	47.46	  	23	3.34	  	10	1.45	  	0	0	  	33	4.79	  	29	4.21	  	4	0.58	  	2	0.29	  	35	5.08	  	221	32.08	  	24	3.48	  	6	0.87	  	251	36.43	  	2	0.29	  	2	0.29	  	689	98.29	  	12	1.71	  	701	0.74
Karama		                                     	89	2.4	  	28	0.76	  	6	0.16	  	123	3.32	  	1217	32.86	  	115	3.1	  	28	0.76	  	1360	36.72	  	146	3.94	  	52	1.4	  	8	0.22	  	206	5.56	  	289	7.8	  	40	1.08	  	11	0.3	  	340	9.18	  	1463	39.5	  	162	4.37	  	19	0.51	  	1644	44.38	  	31	0.84	  	31	0.84	  	3704	97.94	  	78	2.06	  	3782	3.99
Katherine		                                  	38	2.14	  	8	0.45	  	2	0.11	  	48	2.71	  	756	42.62	  	105	5.92	  	9	0.51	  	870	49.04	  	57	3.21	  	33	1.86	  	0	0	  	90	5.07	  	188	10.6	  	39	2.2	  	8	0.45	  	235	13.25	  	480	27.06	  	44	2.48	  	2	0.11	  	526	29.65	  	5	0.28	  	5	0.28	  	1774	98.12	  	34	1.88	  	1808	1.91
Katherine East		                             	25	2.13	  	3	0.26	  	1	0.09	  	29	2.47	  	486	41.43	  	73	6.22	  	4	0.34	  	563	48	  	45	3.84	  	18	1.53	  	1	0.09	  	64	5.46	  	121	10.32	  	23	1.96	  	7	0.6	  	151	12.87	  	322	27.45	  	37	3.15	  	4	0.34	  	363	30.95	  	3	0.26	  	3	0.26	  	1173	98.9	  	13	1.1	  	1186	1.25
