Senate - 1998 Election									
Votes Counted by Vote Type									
By Division									
									
									
National Summary									
		Ordinary	Absent	Postal	Pre-Poll	Provisional	Total		
State	Enrolment	Votes	Votes	Votes	Votes	Votes	Votes	%	
Lalor	81299	68343	3447	1754	4175	935	78654	96.75
La Trobe	79276	64309	4473	3660	3304	648	76394	96.36
McEwen	81561	65472	5198	3981	3219	930	78800	96.61
McMillan	81944	66863	3645	3321	4526	813	79168	96.61
Mallee	80825	66306	2946	2744	5074	574	77644	96.06
Maribyrnong	82207	67814	4331	2687	3114	797	78743	95.79
Melbourne	88798	65973	7545	2283	5552	1876	83229	93.73
Melbourne Ports	83247	59822	5763	4463	6121	1271	77440	93.02
Menzies	81442	65800	4386	2503	5046	464	78199	96.02
Murray	83571	69027	3555	3095	3744	912	80333	96.13
Scullin	83213	70649	4111	2338	2460	609	80167	96.34
Wannon	81344	66073	3593	3813	4645	806	78930	97.03
Wills	87245	70709	4745	2674	3714	944	82786	94.89
TOTAL	3081632	2482393	164441	119732	157793	30487	2954846	95.89
								
Queensland								
								
Division	Enrolment	Ordinary	Absent	Postal	Pre-Poll	Provisional	Total	
		Votes	Votes	Votes	Votes	Votes	Votes	%
Blair	74211	60139	5078	2683	2642	307	70849	95.47
Bowman	80403	65253	4142	3044	3549	342	76330	94.93
Brisbane	89164	65879	7700	4123	4666	791	83159	93.27
Capricornia	80603	60568	6639	5052	3988	535	76782	95.26
Dawson	84011	67558	4253	2862	4516	675	79864	95.06
Dickson	79756	64606	5170	2916	3495	315	76502	95.92
Fadden	79593	62406	5438	2508	3982	474	74808	93.99
Fairfax	76052	60472	4664	2282	3630	481	71529	94.05
Fisher	75815	58319	4431	3565	4642	547	71504	94.31
Forde	76745	60158	5938	2291	3059	402	71848	93.62
Griffith	86293	67159	6233	4587	3340	399	81718	94.70
Groom	80378	63389	5430	3009	4132	552	76512	95.19
Herbert	84458	67652	4431	2961	4392	661	80097	94.84
Hinkler	78336	61938	4397	3337	4683	382	74737	95.41
Kennedy	84340	66738	5198	3878	2159	807	78780	93.41
Leichhardt	80711	63130	4263	2248	3924	934	74499	92.30
Lilley	85940	67107	5755	4816	3231	444	81353	94.66
Longman	75890	61273	4680	2696	2858	470	71977	94.84
McPherson	82104	64279	3283	2435	6586	637	77220	94.05
Maranoa	82834	60530	6596	8447	2218	405	78196	94.40
Moncrieff	81725	62716	3757	2655	6089	866	76083	93.10
Moreton	85564	66061	6380	4372	3760	382	80955	94.61
Oxley	79232	64483	5083	2749	2370	499	75184	94.89
Petrie	84436	66750	5734	3706	3564	318	80072	94.83
Rankin	77968	61104	5748	2293	3048	575	72768	93.33
Ryan	83455	64438	6480	2867	5020	281	79086	94.76
Wide Bay	78007	60280	5656	4384	3511	326	74157	95.06
TOTAL	2188024	1714385	142557	92766	103054	13807	2066569	94.45
								
Western Australia								
								
Division	Enrolment	Ordinary	Absent	Postal	Pre-Poll	Provisional	Total	
		Votes	Votes	Votes	Votes	Votes	Votes	%
Brand	77633	62701	4799	2017	3947	938	74402	95.84
Canning	80030	65933	5431	2018	2423	741	76546	95.65
Cowan	77186	64170	5268	2116	2400	649	74603	96.65
Curtin	85855	66554	6039	2456	5533	859	81441	94.86
Forrest	82666	67398	6229	1748	3145	1005	79525	96.20
Fremantle	84812	69531	4934	1743	3926	567	80701	95.15
Kalgoorlie	82463	57702	7103	2664	3903	788	72160	87.51
Moore	77573	63702	4882	1693	3572	639	74488	96.02
O'Connor	83913	65734	9417	2100	2324	840	80415	95.83
Pearce	81260	65334	6257	2331	3294	561	77777	95.71
Perth	84448	67917	6176	1983	3082	987	80145	94.90
Stirling	84758	68539	6239	2674	3252	600	81304	95.92
Swan	83576	66843	5824	2813	3322	1013	79815	95.50
Tangney	83446	68076	5444	1504	4572	514	80110	96.00
TOTAL	1149619	920134	84042	29860	48695	10701	1093432	95.11
								
South Australia								
								
Division	Enrolment	Ordinary	Absent	Postal	Pre-Poll	Provisional	Total	
		Votes	Votes	Votes	Votes	Votes	Votes	%
Adelaide	82157	61316	6406	5369	4081	980	78152	95.13
Barker	84771	67748	4695	4894	3857	875	82069	96.81
Bonython	78747	63629	5090	2848	3145	953	75665	96.09
Boothby	81353	62288	5947	4984	4563	532	78314	96.26
Grey	82921	63602	4771	5398	4145	751	78667	94.87
Hindmarsh	83627	64567	6236	5113	3761	777	80454	96.21
Kingston	88999	69729	6138	4671	4251	1149	85938	96.56
Makin	89832	70148	6862	5055	4052	729	86846	96.68
Mayo	90861	69574	7890	4451	4998	618	87531	96.34
Port Adelaide	82248	65308	5016	4276	3405	946	78951	95.99
Sturt	79823	60933	5614	4502	4664	680	76393	95.70
Wakefield	88650	72215	5508	4379	2887	271	85260	96.18
TOTAL	1013989	791057	70173	55940	47809	9261	974240	96.08
								
Tasmania								
								
Division	Enrolment	Ordinary	Absent	Postal	Pre-Poll	Provisional	Total	
		Votes	Votes	Votes	Votes	Votes	Votes	%
Bass	65933	55679	2392	2589	2595	150	63405	96.17
Braddon	62419	52672	2349	2273	2884	143	60321	96.64
Denison	67361	55112	2877	3181	3065	199	64434	95.65
Franklin	65769	55141	3461	2339	2251	189	63381	96.37
Lyons	68639	57912	3810	2887	1754	177	66540	96.94
TOTAL	330121	276516	14889	13269	12549	858	318081	96.35
								
Australian Capital Territory								
								
Division	Enrolment	Ordinary	Absent	Postal	Pre-Poll	Provisional	Total	
		Votes	Votes	Votes	Votes	Votes	Votes	%
Canberra	105359	70569	1999	4871	23376	491	101306	96.15
Fraser	104177	70005	1865	5301	21926	584	99681	95.68
TOTAL	209536	140574	3864	10172	45302	1075	200987	95.92
								
Northern Territory								
								
Division	Enrolment	Ordinary	Absent	Postal	Pre-Poll	Provisional	Total	
		Votes	Votes	Votes	Votes	Votes	Votes	%
Northern Territory	105048	81113	0	2839	8576	2361	94889	90.33
TOTAL	105048	81113	0	2839	8576	2361	94889	90.33
								
NATIONAL TOTAL	12154050	9513300	776859	488671	692377	116158	11587365	95.34
