Senate -  1998 Election: Tasmania																																																	
First Preference Votes by Group																																																	
By Polling Place																																																	


Bass (65933)																																																	

	   		Group Total ACS			Group Total GRN			Group Total LP			Group Total DSL			Group Total TFP			Group Total CDP			Group Total DEM			Group Total HAR			Group Total ALP			Group Total RPA			Group Total HAN			Group Total AWP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Montagu		                                    	1	0.79	  	0	0	  	73	57.94	  	0	0	  	2	1.59	  	1	0.79	  	2	1.59	  	8	6.35	  	29	23.02	  	0	0	  	10	7.94	  	0	0	  	0	0	  	126	94.74	  	7	5.26	  	133	0.22
Montello		                                   	7	0.51	  	40	2.93	  	349	25.55	  	6	0.44	  	8	0.59	  	3	0.22	  	22	1.61	  	85	6.22	  	791	57.91	  	0	0	  	48	3.51	  	4	0.29	  	3	0.22	  	1366	95.79	  	60	4.21	  	1426	2.36
Moorleah		                                   	0	0	  	28	15.14	  	66	35.68	  	0	0	  	2	1.08	  	1	0.54	  	9	4.86	  	11	5.95	  	57	30.81	  	0	0	  	11	5.95	  	0	0	  	0	0	  	185	98.93	  	2	1.07	  	187	0.31
Natone		                                     	2	1.17	  	6	3.51	  	65	38.01	  	0	0	  	4	2.34	  	2	1.17	  	4	2.34	  	11	6.43	  	61	35.67	  	0	0	  	15	8.77	  	1	0.58	  	0	0	  	171	94.48	  	10	5.52	  	181	0.3
Nietta		                                     	0	0	  	4	5.63	  	22	30.99	  	0	0	  	1	1.41	  	0	0	  	0	0	  	7	9.86	  	31	43.66	  	0	0	  	6	8.45	  	0	0	  	0	0	  	71	98.61	  	1	1.39	  	72	0.12
Nixon Street		                               	18	0.71	  	91	3.6	  	991	39.23	  	3	0.12	  	26	1.03	  	9	0.36	  	94	3.72	  	227	8.99	  	918	36.34	  	2	0.08	  	81	3.21	  	11	0.44	  	55	2.18	  	2526	96.97	  	79	3.03	  	2605	4.32
North Motton		                               	1	0.38	  	14	5.38	  	112	43.08	  	0	0	  	7	2.69	  	0	0	  	10	3.85	  	10	3.85	  	82	31.54	  	0	0	  	21	8.08	  	0	0	  	3	1.15	  	260	97.01	  	8	2.99	  	268	0.44
Penguin		                                    	15	0.74	  	96	4.72	  	709	34.82	  	6	0.29	  	29	1.42	  	7	0.34	  	56	2.75	  	155	7.61	  	839	41.21	  	2	0.1	  	110	5.4	  	3	0.15	  	9	0.44	  	2036	97.09	  	61	2.91	  	2097	3.48
Preston		                                    	0	0	  	4	4.26	  	47	50	  	0	0	  	2	2.13	  	0	0	  	2	2.13	  	9	9.57	  	22	23.4	  	0	0	  	8	8.51	  	0	0	  	0	0	  	94	96.91	  	3	3.09	  	97	0.16
Redpa		                                      	0	0	  	0	0	  	36	54.55	  	2	3.03	  	1	1.52	  	0	0	  	1	1.52	  	7	10.61	  	11	16.67	  	0	0	  	8	12.12	  	0	0	  	0	0	  	66	100	  	0	0	  	66	0.11
Reekara		                                    	2	1.96	  	4	3.92	  	62	60.78	  	0	0	  	1	0.98	  	0	0	  	4	3.92	  	2	1.96	  	16	15.69	  	0	0	  	10	9.8	  	1	0.98	  	0	0	  	102	98.08	  	2	1.92	  	104	0.17
Riana		                                      	1	0.53	  	14	7.41	  	83	43.92	  	1	0.53	  	2	1.06	  	1	0.53	  	7	3.7	  	16	8.47	  	51	26.98	  	1	0.53	  	12	6.35	  	0	0	  	0	0	  	189	95.94	  	8	4.06	  	197	0.33
Ridgley		                                    	8	1.33	  	14	2.32	  	228	37.81	  	0	0	  	12	1.99	  	1	0.17	  	15	2.49	  	58	9.62	  	241	39.97	  	0	0	  	24	3.98	  	1	0.17	  	1	0.17	  	603	95.11	  	31	4.89	  	634	1.05
Rocky Cape		                                 	3	0.66	  	20	4.38	  	192	42.01	  	1	0.22	  	3	0.66	  	5	1.09	  	14	3.06	  	22	4.81	  	152	33.26	  	1	0.22	  	41	8.97	  	1	0.22	  	2	0.44	  	457	97.44	  	12	2.56	  	469	0.78
Savage River		                               	1	2.17	  	0	0	  	9	19.57	  	1	2.17	  	0	0	  	0	0	  	1	2.17	  	2	4.35	  	28	60.87	  	0	0	  	4	8.7	  	0	0	  	0	0	  	46	95.83	  	2	4.17	  	48	0.08
Sisters Beach		                              	0	0	  	18	8.14	  	83	37.56	  	0	0	  	0	0	  	3	1.36	  	10	4.52	  	20	9.05	  	81	36.65	  	0	0	  	6	2.71	  	0	0	  	0	0	  	221	99.1	  	2	0.9	  	223	0.37
Sisters Creek		                              	1	0.56	  	17	9.55	  	84	47.19	  	1	0.56	  	2	1.12	  	1	0.56	  	7	3.93	  	10	5.62	  	51	28.65	  	1	0.56	  	2	1.12	  	1	0.56	  	0	0	  	178	98.34	  	3	1.66	  	181	0.3
Smithton		                                   	14	0.61	  	42	1.84	  	922	40.39	  	4	0.18	  	18	0.79	  	14	0.61	  	45	1.97	  	193	8.45	  	882	38.63	  	0	0	  	136	5.96	  	4	0.18	  	9	0.39	  	2283	95.76	  	101	4.24	  	2384	3.95
Somerset		                                   	19	0.86	  	73	3.31	  	682	30.89	  	7	0.32	  	23	1.04	  	19	0.86	  	74	3.35	  	170	7.7	  	1017	46.06	  	3	0.14	  	110	4.98	  	5	0.23	  	6	0.27	  	2208	95.63	  	101	4.37	  	2309	3.83
South Riana		                                	2	1.11	  	4	2.22	  	92	51.11	  	0	0	  	3	1.67	  	0	0	  	4	2.22	  	11	6.11	  	48	26.67	  	1	0.56	  	13	7.22	  	0	0	  	2	1.11	  	180	95.74	  	8	4.26	  	188	0.31
Sprent		                                     	0	0	  	11	5.21	  	94	44.55	  	1	0.47	  	7	3.32	  	0	0	  	8	3.79	  	16	7.58	  	56	26.54	  	0	0	  	14	6.64	  	2	0.95	  	2	0.95	  	211	100	  	0	0	  	211	0.35
Spreyton		                                   	12	1.08	  	43	3.85	  	424	37.99	  	4	0.36	  	31	2.78	  	4	0.36	  	36	3.23	  	75	6.72	  	418	37.46	  	0	0	  	46	4.12	  	3	0.27	  	20	1.79	  	1116	97.72	  	26	2.28	  	1142	1.89
Stanley		                                    	1	0.24	  	27	6.4	  	132	31.28	  	2	0.47	  	1	0.24	  	4	0.95	  	11	2.61	  	32	7.58	  	175	41.47	  	0	0	  	33	7.82	  	3	0.71	  	1	0.24	  	422	97.24	  	12	2.76	  	434	0.72
Stowport		                                   	1	0.44	  	11	4.8	  	86	37.55	  	0	0	  	3	1.31	  	0	0	  	7	3.06	  	12	5.24	  	95	41.48	  	0	0	  	14	6.11	  	0	0	  	0	0	  	229	95.82	  	10	4.18	  	239	0.4
Sulphur Creek		                              	5	1.05	  	21	4.39	  	193	40.38	  	0	0	  	8	1.67	  	1	0.21	  	12	2.51	  	41	8.58	  	170	35.56	  	1	0.21	  	23	4.81	  	0	0	  	3	0.63	  	478	97.55	  	12	2.45	  	490	0.81
Togari		                                     	0	0	  	4	4.76	  	43	51.19	  	0	0	  	0	0	  	0	0	  	2	2.38	  	9	10.71	  	20	23.81	  	0	0	  	6	7.14	  	0	0	  	0	0	  	84	98.82	  	1	1.18	  	85	0.14
Trowutta		                                   	0	0	  	1	1.72	  	23	39.66	  	1	1.72	  	3	5.17	  	0	0	  	1	1.72	  	1	1.72	  	18	31.03	  	0	0	  	10	17.24	  	0	0	  	0	0	  	58	96.67	  	2	3.33	  	60	0.1
Turners Beach		                              	0	0	  	39	5.29	  	287	38.94	  	2	0.27	  	3	0.41	  	7	0.95	  	16	2.17	  	89	12.08	  	245	33.24	  	0	0	  	46	6.24	  	1	0.14	  	2	0.27	  	737	97.75	  	17	2.25	  	754	1.25
Ulverstone		                                 	9	0.8	  	37	3.3	  	490	43.71	  	1	0.09	  	10	0.89	  	7	0.62	  	29	2.59	  	107	9.55	  	381	33.99	  	0	0	  	42	3.75	  	2	0.18	  	6	0.54	  	1121	96.22	  	44	3.78	  	1165	1.93
Ulverstone East		                            	4	0.4	  	18	1.8	  	461	46.19	  	1	0.1	  	11	1.1	  	2	0.2	  	30	3.01	  	94	9.42	  	329	32.97	  	0	0	  	45	4.51	  	2	0.2	  	1	0.1	  	998	97.65	  	24	2.35	  	1022	1.69
Ulverstone South		                           	8	0.37	  	76	3.51	  	745	34.44	  	2	0.09	  	18	0.83	  	10	0.46	  	49	2.27	  	184	8.51	  	924	42.72	  	4	0.18	  	120	5.55	  	5	0.23	  	18	0.83	  	2163	95.16	  	110	4.84	  	2273	3.77
Ulverstone West		                            	12	0.62	  	54	2.79	  	686	35.42	  	2	0.1	  	29	1.5	  	5	0.26	  	40	2.07	  	168	8.67	  	811	41.87	  	1	0.05	  	116	5.99	  	6	0.31	  	7	0.36	  	1937	97.88	  	42	2.12	  	1979	3.28
Upper Burnie		                               	13	0.88	  	57	3.87	  	463	31.41	  	3	0.2	  	8	0.54	  	8	0.54	  	38	2.58	  	110	7.46	  	717	48.64	  	1	0.07	  	50	3.39	  	2	0.14	  	4	0.27	  	1474	95.47	  	70	4.53	  	1544	2.56
Valley Road		                                	11	0.69	  	29	1.82	  	636	39.9	  	1	0.06	  	23	1.44	  	6	0.38	  	44	2.76	  	123	7.72	  	658	41.28	  	3	0.19	  	39	2.45	  	7	0.44	  	14	0.88	  	1594	96.96	  	50	3.04	  	1644	2.73
Waratah		                                    	1	0.65	  	9	5.81	  	34	21.94	  	0	0	  	2	1.29	  	1	0.65	  	3	1.94	  	11	7.1	  	78	50.32	  	0	0	  	16	10.32	  	0	0	  	0	0	  	155	96.88	  	5	3.13	  	160	0.27
West Wynyard		                               	3	0.29	  	46	4.47	  	349	33.95	  	3	0.29	  	4	0.39	  	1	0.1	  	29	2.82	  	56	5.45	  	485	47.18	  	1	0.1	  	46	4.47	  	3	0.29	  	2	0.19	  	1028	97.9	  	22	2.1	  	1050	1.74
Wivenhoe		                                   	10	1.9	  	13	2.47	  	193	36.69	  	0	0	  	11	2.09	  	0	0	  	5	0.95	  	24	4.56	  	224	42.59	  	0	0	  	42	7.98	  	2	0.38	  	2	0.38	  	526	96.87	  	17	3.13	  	543	0.9
Wynyard		                                    	14	0.7	  	81	4.04	  	742	37.01	  	6	0.3	  	8	0.4	  	8	0.4	  	64	3.19	  	151	7.53	  	808	40.3	  	0	0	  	104	5.19	  	13	0.65	  	6	0.3	  	2005	95.8	  	88	4.2	  	2093	3.47
Wynyard East		                               	5	0.94	  	23	4.32	  	126	23.68	  	2	0.38	  	2	0.38	  	1	0.19	  	20	3.76	  	32	6.02	  	296	55.64	  	0	0	  	22	4.14	  	2	0.38	  	1	0.19	  	532	96.38	  	20	3.62	  	552	0.92
Yolla		                                      	0	0	  	32	7.48	  	154	35.98	  	2	0.47	  	12	2.8	  	3	0.7	  	13	3.04	  	33	7.71	  	150	35.05	  	0	0	  	24	5.61	  	2	0.47	  	3	0.7	  	428	97.05	  	13	2.95	  	441	0.73
Special Hospitals		                          	3	0.58	  	8	1.55	  	249	48.35	  	2	0.39	  	5	0.97	  	6	1.17	  	3	0.58	  	33	6.41	  	190	36.89	  	2	0.39	  	8	1.55	  	2	0.39	  	4	0.78	  	515	97.35	  	14	2.65	  	529	0.88
Total Ordinary		                             	344	0.68	  	1888	3.71	  	18682	36.74	  	117	0.23	  	570	1.12	  	198	0.39	  	1388	2.73	  	3834	7.54	  	20900	41.1	  	33	0.06	  	2369	4.66	  	142	0.28	  	389	0.76	  	50854	96.55	  	1818	3.45	  	52672	87.32
ABSENT		                                     	9	0.39	  	152	6.57	  	860	37.17	  	4	0.17	  	36	1.56	  	9	0.39	  	101	4.36	  	193	8.34	  	849	36.69	  	1	0.04	  	86	3.72	  	4	0.17	  	10	0.43	  	2314	98.51	  	35	1.49	  	2349	3.89
POSTAL		                                     	11	0.49	  	67	2.99	  	863	38.56	  	2	0.09	  	32	1.43	  	18	0.8	  	47	2.1	  	215	9.61	  	811	36.24	  	3	0.13	  	143	6.39	  	6	0.27	  	20	0.89	  	2238	98.46	  	35	1.54	  	2273	3.77
PRE_POLL		                                   	11	0.39	  	123	4.35	  	1022	36.13	  	5	0.18	  	35	1.24	  	13	0.46	  	81	2.86	  	191	6.75	  	1155	40.83	  	3	0.11	  	178	6.29	  	4	0.14	  	8	0.28	  	2829	98.09	  	55	1.91	  	2884	4.78
PROVISIONAL		                                	5	3.6	  	6	4.32	  	31	22.3	  	0	0	  	6	4.32	  	1	0.72	  	2	1.44	  	5	3.6	  	72	51.8	  	0	0	  	11	7.91	  	0	0	  	0	0	  	139	97.2	  	4	2.8	  	143	0.24
Division Summary		                           	380	0.65	  	2236	3.83	  	21458	36.76	  	128	0.22	  	679	1.16	  	239	0.41	  	1619	2.77	  	4438	7.6	  	23787	40.75	  	40	0.07	  	2787	4.77	  	156	0.27	  	427	0.73	  	58374	96.77	  	1947	3.23	  	60321	96.64


Denison (67361)																																																	

	   		Group Total ACS			Group Total GRN			Group Total LP			Group Total DSL			Group Total TFP			Group Total CDP			Group Total DEM			Group Total HAR			Group Total ALP			Group Total RPA			Group Total HAN			Group Total AWP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Abbotsfield		                                	9	0.53	  	38	2.25	  	303	17.91	  	7	0.41	  	27	1.6	  	6	0.35	  	43	2.54	  	158	9.34	  	1045	61.76	  	0	0	  	52	3.07	  	4	0.24	  	0	0	  	1692	97.35	  	46	2.65	  	1738	2.7
Albuera		                                    	1	0.21	  	76	15.9	  	170	35.56	  	1	0.21	  	2	0.42	  	2	0.42	  	41	8.58	  	40	8.37	  	134	28.03	  	0	0	  	9	1.88	  	2	0.42	  	0	0	  	478	98.96	  	5	1.04	  	483	0.75
Austins Ferry		                              	7	0.44	  	40	2.52	  	436	27.47	  	3	0.19	  	12	0.76	  	2	0.13	  	48	3.02	  	182	11.47	  	803	50.6	  	1	0.06	  	44	2.77	  	7	0.44	  	2	0.13	  	1587	98.08	  	31	1.92	  	1618	2.51
Battery Point		                              	4	0.36	  	179	15.9	  	418	37.12	  	1	0.09	  	7	0.62	  	0	0	  	131	11.63	  	91	8.08	  	276	24.51	  	2	0.18	  	14	1.24	  	2	0.18	  	1	0.09	  	1126	98	  	23	2	  	1149	1.78
Bowen Road		                                 	17	0.92	  	67	3.62	  	411	22.19	  	8	0.43	  	25	1.35	  	2	0.11	  	73	3.94	  	159	8.59	  	1023	55.24	  	2	0.11	  	60	3.24	  	4	0.22	  	1	0.05	  	1852	94.63	  	105	5.37	  	1957	3.04
Brent Street		                               	5	0.59	  	20	2.34	  	199	23.33	  	2	0.23	  	8	0.94	  	1	0.12	  	17	1.99	  	92	10.79	  	478	56.04	  	0	0	  	24	2.81	  	6	0.7	  	1	0.12	  	853	95.52	  	40	4.48	  	893	1.39
Cascades		                                   	2	0.26	  	180	23.2	  	163	21.01	  	3	0.39	  	8	1.03	  	0	0	  	67	8.63	  	68	8.76	  	263	33.89	  	3	0.39	  	15	1.93	  	3	0.39	  	1	0.13	  	776	97.12	  	23	2.88	  	799	1.24
Chigwell		                                   	10	0.61	  	31	1.89	  	299	18.23	  	7	0.43	  	15	0.91	  	2	0.12	  	48	2.93	  	136	8.29	  	1022	62.32	  	2	0.12	  	57	3.48	  	10	0.61	  	1	0.06	  	1640	96.41	  	61	3.59	  	1701	2.64
Claremont		                                  	10	0.64	  	35	2.23	  	367	23.39	  	5	0.32	  	30	1.91	  	6	0.38	  	30	1.91	  	151	9.62	  	884	56.34	  	1	0.06	  	44	2.8	  	5	0.32	  	1	0.06	  	1569	95.09	  	81	4.91	  	1650	2.56
Collinsvale		                                	1	0.28	  	49	13.8	  	84	23.66	  	0	0	  	7	1.97	  	0	0	  	30	8.45	  	12	3.38	  	156	43.94	  	0	0	  	16	4.51	  	0	0	  	0	0	  	355	96.73	  	12	3.27	  	367	0.57
Cornelian Bay		                              	2	0.31	  	58	9.08	  	185	28.95	  	0	0	  	5	0.78	  	0	0	  	41	6.42	  	79	12.36	  	251	39.28	  	2	0.31	  	15	2.35	  	1	0.16	  	0	0	  	639	98.61	  	9	1.39	  	648	1.01
Cosgrove		                                   	4	0.5	  	29	3.65	  	184	23.17	  	1	0.13	  	4	0.5	  	3	0.38	  	22	2.77	  	77	9.7	  	434	54.66	  	0	0	  	34	4.28	  	0	0	  	2	0.25	  	794	96.24	  	31	3.76	  	825	1.28
Creek Road		                                 	4	0.31	  	112	8.59	  	437	33.51	  	1	0.08	  	5	0.38	  	2	0.15	  	68	5.21	  	160	12.27	  	480	36.81	  	0	0	  	29	2.22	  	4	0.31	  	2	0.15	  	1304	97.24	  	37	2.76	  	1341	2.08
Cross Street		                               	15	0.89	  	133	7.86	  	451	26.65	  	5	0.3	  	5	0.3	  	5	0.3	  	104	6.15	  	212	12.53	  	731	43.2	  	3	0.18	  	28	1.65	  	0	0	  	0	0	  	1692	96.69	  	58	3.31	  	1750	2.72
Dynnyrne		                                   	6	0.57	  	172	16.43	  	353	33.72	  	7	0.67	  	3	0.29	  	1	0.1	  	123	11.75	  	79	7.55	  	291	27.79	  	0	0	  	9	0.86	  	3	0.29	  	0	0	  	1047	98.4	  	17	1.6	  	1064	1.65
Elizabeth Street		                           	6	0.77	  	135	17.4	  	185	23.84	  	5	0.64	  	4	0.52	  	3	0.39	  	53	6.83	  	51	6.57	  	319	41.11	  	1	0.13	  	9	1.16	  	2	0.26	  	3	0.39	  	776	98.1	  	15	1.9	  	791	1.23
Elwick		                                     	4	0.91	  	7	1.59	  	69	15.68	  	1	0.23	  	2	0.45	  	1	0.23	  	10	2.27	  	44	10	  	284	64.55	  	1	0.23	  	16	3.64	  	1	0.23	  	0	0	  	440	93.42	  	31	6.58	  	471	0.73
Fern Tree		                                  	4	0.97	  	140	33.82	  	76	18.36	  	0	0	  	2	0.48	  	1	0.24	  	37	8.94	  	32	7.73	  	109	26.33	  	0	0	  	10	2.42	  	1	0.24	  	2	0.48	  	414	99.04	  	4	0.96	  	418	0.65
Glenorchy		                                  	22	0.8	  	52	1.89	  	675	24.48	  	11	0.4	  	22	0.8	  	4	0.15	  	65	2.36	  	265	9.61	  	1531	55.53	  	3	0.11	  	102	3.7	  	5	0.18	  	0	0	  	2757	95.23	  	138	4.77	  	2895	4.49
Glenorchy East		                             	12	0.51	  	58	2.47	  	515	21.95	  	4	0.17	  	19	0.81	  	5	0.21	  	72	3.07	  	204	8.7	  	1377	58.7	  	1	0.04	  	70	2.98	  	5	0.21	  	4	0.17	  	2346	96.23	  	92	3.77	  	2438	3.78
Goodwood		                                   	8	0.82	  	20	2.04	  	174	17.79	  	0	0	  	6	0.61	  	1	0.1	  	20	2.04	  	81	8.28	  	624	63.8	  	0	0	  	40	4.09	  	4	0.41	  	0	0	  	978	96.93	  	31	3.07	  	1009	1.57
Hill Street		                                	2	0.53	  	59	15.57	  	101	26.65	  	2	0.53	  	4	1.06	  	1	0.26	  	35	9.23	  	24	6.33	  	145	38.26	  	0	0	  	4	1.06	  	2	0.53	  	0	0	  	379	95.95	  	16	4.05	  	395	0.61
Hobart		                                     	3	0.43	  	142	20.26	  	177	25.25	  	5	0.71	  	3	0.43	  	1	0.14	  	53	7.56	  	44	6.28	  	256	36.52	  	0	0	  	15	2.14	  	2	0.29	  	0	0	  	701	98.73	  	9	1.27	  	710	1.1
Hobart Central		                             	2	0.92	  	27	12.39	  	56	25.69	  	1	0.46	  	0	0	  	0	0	  	17	7.8	  	20	9.17	  	88	40.37	  	1	0.46	  	5	2.29	  	1	0.46	  	0	0	  	218	97.32	  	6	2.68	  	224	0.35
Hobart North		                               	2	0.31	  	73	11.18	  	174	26.65	  	4	0.61	  	3	0.46	  	1	0.15	  	43	6.58	  	50	7.66	  	296	45.33	  	1	0.15	  	5	0.77	  	0	0	  	1	0.15	  	653	97.75	  	15	2.25	  	668	1.04
Hobart South		                               	7	0.45	  	289	18.4	  	433	27.56	  	3	0.19	  	6	0.38	  	7	0.45	  	146	9.29	  	142	9.04	  	510	32.46	  	0	0	  	22	1.4	  	5	0.32	  	1	0.06	  	1571	97.88	  	34	2.12	  	1605	2.49
Hobart West		                                	2	0.21	  	185	19.07	  	218	22.47	  	1	0.1	  	5	0.52	  	1	0.1	  	88	9.07	  	75	7.73	  	372	38.35	  	0	0	  	20	2.06	  	1	0.1	  	2	0.21	  	970	97.68	  	23	2.32	  	993	1.54
Lansdowne Crescent		                         	2	0.2	  	175	17.29	  	244	24.11	  	6	0.59	  	3	0.3	  	1	0.1	  	108	10.67	  	86	8.5	  	371	36.66	  	3	0.3	  	8	0.79	  	3	0.3	  	2	0.2	  	1012	98.54	  	15	1.46	  	1027	1.59
Lenah Valley		                               	9	0.57	  	128	8.12	  	488	30.94	  	3	0.19	  	13	0.82	  	3	0.19	  	92	5.83	  	159	10.08	  	655	41.53	  	0	0	  	23	1.46	  	2	0.13	  	2	0.13	  	1577	97.83	  	35	2.17	  	1612	2.5
Lower Sandy Bay		                            	3	0.15	  	160	8.16	  	1106	56.43	  	4	0.2	  	4	0.2	  	0	0	  	127	6.48	  	153	7.81	  	366	18.67	  	5	0.26	  	31	1.58	  	1	0.05	  	0	0	  	1960	97.51	  	50	2.49	  	2010	3.12
Lutana		                                     	0	0	  	26	3.37	  	159	20.6	  	0	0	  	8	1.04	  	0	0	  	22	2.85	  	60	7.77	  	458	59.33	  	2	0.26	  	33	4.27	  	3	0.39	  	1	0.13	  	772	95.31	  	38	4.69	  	810	1.26
Montrose		                                   	4	0.76	  	13	2.47	  	157	29.85	  	0	0	  	2	0.38	  	2	0.38	  	18	3.42	  	45	8.56	  	259	49.24	  	2	0.38	  	21	3.99	  	2	0.38	  	1	0.19	  	526	95.99	  	22	4.01	  	548	0.85
Moonah		                                     	14	0.62	  	80	3.54	  	619	27.43	  	13	0.58	  	14	0.62	  	0	0	  	59	2.61	  	264	11.7	  	1143	50.64	  	2	0.09	  	44	1.95	  	4	0.18	  	1	0.04	  	2257	96.04	  	93	3.96	  	2350	3.65
Moonah North		                               	14	1.72	  	33	4.04	  	233	28.55	  	5	0.61	  	5	0.61	  	3	0.37	  	32	3.92	  	78	9.56	  	392	48.04	  	1	0.12	  	18	2.21	  	2	0.25	  	0	0	  	816	95.66	  	37	4.34	  	853	1.32
Mount Nelson		                               	1	0.09	  	153	13.14	  	434	37.29	  	3	0.26	  	9	0.77	  	1	0.09	  	112	9.62	  	126	10.82	  	308	26.46	  	0	0	  	15	1.29	  	1	0.09	  	1	0.09	  	1164	98.81	  	14	1.19	  	1178	1.83
Mount Stuart		                               	1	0.13	  	74	9.87	  	241	32.13	  	2	0.27	  	2	0.27	  	2	0.27	  	64	8.53	  	116	15.47	  	234	31.2	  	0	0	  	10	1.33	  	2	0.27	  	2	0.27	  	750	97.91	  	16	2.09	  	766	1.19
Newdegate		                                  	6	0.6	  	135	13.45	  	265	26.39	  	4	0.4	  	5	0.5	  	1	0.1	  	83	8.27	  	108	10.76	  	370	36.85	  	0	0	  	21	2.09	  	5	0.5	  	1	0.1	  	1004	94.45	  	59	5.55	  	1063	1.65
New Town		                                   	3	0.29	  	103	9.95	  	368	35.56	  	2	0.19	  	4	0.39	  	1	0.1	  	85	8.21	  	91	8.79	  	356	34.4	  	2	0.19	  	16	1.55	  	4	0.39	  	0	0	  	1035	98.38	  	17	1.62	  	1052	1.63
Queenborough		                               	3	0.52	  	73	12.74	  	198	34.55	  	4	0.7	  	2	0.35	  	1	0.17	  	46	8.03	  	55	9.6	  	181	31.59	  	2	0.35	  	8	1.4	  	0	0	  	0	0	  	573	98.12	  	11	1.88	  	584	0.91
Roseneath		                                  	3	1.03	  	5	1.71	  	35	11.99	  	1	0.34	  	7	2.4	  	0	0	  	4	1.37	  	14	4.79	  	213	72.95	  	0	0	  	7	2.4	  	3	1.03	  	0	0	  	292	97.33	  	8	2.67	  	300	0.47
Rosetta		                                    	1	0.11	  	31	3.38	  	350	38.13	  	5	0.54	  	6	0.65	  	2	0.22	  	33	3.59	  	102	11.11	  	360	39.22	  	0	0	  	27	2.94	  	1	0.11	  	0	0	  	918	97.56	  	23	2.44	  	941	1.46
St Johns Park		                              	1	0.32	  	17	5.41	  	101	32.17	  	3	0.96	  	1	0.32	  	0	0	  	14	4.46	  	27	8.6	  	142	45.22	  	0	0	  	6	1.91	  	2	0.64	  	0	0	  	314	98.13	  	6	1.88	  	320	0.5
St Peters		                                  	4	0.9	  	63	14.16	  	114	25.62	  	1	0.22	  	2	0.45	  	1	0.22	  	31	6.97	  	41	9.21	  	178	40	  	0	0	  	8	1.8	  	1	0.22	  	1	0.22	  	445	98.67	  	6	1.33	  	451	0.7
Sandy Bay		                                  	1	0.06	  	173	10.29	  	761	45.24	  	8	0.48	  	2	0.12	  	1	0.06	  	146	8.68	  	178	10.58	  	381	22.65	  	1	0.06	  	26	1.55	  	4	0.24	  	0	0	  	1682	97.79	  	38	2.21	  	1720	2.67
Sandy Bay Beach		                            	0	0	  	84	8.48	  	557	56.26	  	0	0	  	1	0.1	  	1	0.1	  	51	5.15	  	105	10.61	  	185	18.69	  	0	0	  	5	0.51	  	0	0	  	1	0.1	  	990	98.02	  	20	1.98	  	1010	1.57
Swan		                                       	4	0.67	  	95	15.83	  	149	24.83	  	2	0.33	  	2	0.33	  	1	0.17	  	51	8.5	  	57	9.5	  	228	38	  	0	0	  	10	1.67	  	1	0.17	  	0	0	  	600	96.77	  	20	3.23	  	620	0.96
Taroona		                                    	3	0.22	  	203	14.67	  	472	34.1	  	2	0.14	  	3	0.22	  	2	0.14	  	135	9.75	  	186	13.44	  	361	26.08	  	0	0	  	14	1.01	  	3	0.22	  	0	0	  	1384	98.3	  	24	1.7	  	1408	2.19
Tolosa		                                     	9	0.58	  	30	1.92	  	313	20.03	  	3	0.19	  	14	0.9	  	4	0.26	  	49	3.13	  	152	9.72	  	939	60.08	  	2	0.13	  	40	2.56	  	8	0.51	  	0	0	  	1563	95.25	  	78	4.75	  	1641	2.55
Waimea Heights		                             	0	0	  	49	7.14	  	381	55.54	  	2	0.29	  	4	0.58	  	1	0.15	  	51	7.43	  	56	8.16	  	129	18.8	  	0	0	  	11	1.6	  	1	0.15	  	1	0.15	  	686	97.72	  	16	2.28	  	702	1.09
Windermere		                                 	5	0.48	  	18	1.71	  	229	21.79	  	4	0.38	  	11	1.05	  	0	0	  	27	2.57	  	95	9.04	  	628	59.75	  	1	0.1	  	27	2.57	  	5	0.48	  	1	0.1	  	1051	97.86	  	23	2.14	  	1074	1.67
Special Hospitals		                          	3	0.65	  	10	2.16	  	191	41.25	  	2	0.43	  	3	0.65	  	4	0.86	  	7	1.51	  	41	8.86	  	195	42.12	  	2	0.43	  	3	0.65	  	1	0.22	  	1	0.22	  	463	98.09	  	9	1.91	  	472	0.73
Total Ordinary		                             	265	0.5	  	4337	8.12	  	15478	28.96	  	167	0.31	  	366	0.68	  	90	0.17	  	2972	5.56	  	5123	9.59	  	23214	43.44	  	49	0.09	  	1200	2.25	  	139	0.26	  	41	0.08	  	53441	96.97	  	1671	3.03	  	55112	85.53
ABSENT		                                     	13	0.46	  	373	13.19	  	794	28.09	  	9	0.32	  	23	0.81	  	7	0.25	  	135	4.78	  	231	8.17	  	1153	40.79	  	2	0.07	  	80	2.83	  	5	0.18	  	2	0.07	  	2827	98.26	  	50	1.74	  	2877	4.47
