	   		 A Pauline Hanson's One Nation															 B Australian Shooters Party												 C National Party of Australia (WA) Inc												 D Natural Law Party												 E Liberal Party (W.A. Division) Inc.																		 F Taxi Operators Political Service (Oceania)												 G Unity - Say No To Hanson															 H Abolish Child Support/Family Court Party												 I Citizens Electoral Council of Australia												 J Australian Labor Party (Western Australian Branch)																								 K Democratic Socialist Electoral League												 L Christian Democratic Party (Fred Nile Group)												 M The Greens (WA) Inc															 N - Unendorsed Group 												 O - Unendorsed Group 												 P Australian Democrats															 Q Republican Party of Australia												Ungrouped													
    			TICKET VOTES			FISCHER			TINCKNELL			SUTER			Group Total			TICKET VOTES			MOTTERAM			TAYLOR			Group Total			TICKET VOTES			MORGAN			MASLEN			Group Total			TICKET VOTES			KAILIS			D'CRUZ			Group Total			TICKET VOTES			# ELLISON			# CAMPBELL			# KNOWLES			IVANKOVIC			Group Total			TICKET VOTES			BATESON			FINNEY			Group Total			TICKET VOTES			WILKES			LEUNG			CAREY			Group Total			TICKET VOTES			GRIFFIN			JOHNSON			Group Total			TICKET VOTES			DRAKE			ROBINSON			Group Total			TICKET VOTES			# COOK			# EVANS			GRIFFITHS			ELLERY			ANDERSON			FOO			Group Total			TICKET VOTES			STEPHEN			JORQUERA			Group Total			TICKET VOTES			MOSELEY			JOHNSON			Group Total			TICKET VOTES			MARGETTS			DAVIES			XAMON			Group Total			TICKET VOTES			HOBBS			BESSANT			Group Total			TICKET VOTES			TORR			PRATT			Group Total			TICKET VOTES			# GREIG			CRABBE			CLIFFORD			Group Total			TICKET VOTES			O'DONNELL			MCNALLY			Group Total			GARCIA			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
    						John			Colin			Martin									Raymond William			Ken									Beryle			Dudley									George			Cathryn									Christopher			Ian Gordon			Sue			Ivan									Alan			Rick									Ted			Mai-Yie			Michael John									Brendan			Sam									Tony			Jean									Peter			Chris			Rhonda			Sue			Lois			Chilip									Sarah			Roberto									Justin			Peter									Dee			Kayt			Alison									Kate			Morris									Joan			C Roger									Brian			Stephen G			Margot									Michael			Kerry						Rod													
Polling Places			Vote	%		Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Golden Bay		                                 	103	13.73	  	7	0.93	  	0	0	  	0	0	  	110	14.67	  	3	0.4	  	0	0	  	0	0	  	3	0.4	  	1	0.13	  	0	0	  	0	0	  	1	0.13	  	4	0.53	  	0	0	  	0	0	  	4	0.53	  	235	31.33	  	1	0.13	  	0	0	  	0	0	  	0	0	  	236	31.47	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	2	0.27	  	0	0	  	0	0	  	2	0.27	  	0	0	  	0	0	  	0	0	  	0	0	  	287	38.27	  	3	0.4	  	0	0	  	0	0	  	0	0	  	1	0.13	  	0	0	  	291	38.8	  	5	0.67	  	0	0	  	0	0	  	5	0.67	  	6	0.8	  	5	0.67	  	0	0	  	11	1.47	  	36	4.8	  	6	0.8	  	0	0	  	0	0	  	42	5.6	  	0	0	  	3	0.4	  	0	0	  	3	0.4	  	0	0	  	0	0	  	0	0	  	0	0	  	37	4.93	  	5	0.67	  	0	0	  	0	0	  	42	5.6	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	750	96.9	  	24	3.1	  	774	1.04
Greenfields		                                	297	13.87	  	31	1.45	  	0	0	  	0	0	  	328	15.32	  	5	0.23	  	0	0	  	0	0	  	5	0.23	  	2	0.09	  	2	0.09	  	0	0	  	4	0.19	  	1	0.05	  	0	0	  	0	0	  	1	0.05	  	588	27.46	  	15	0.7	  	0	0	  	2	0.09	  	0	0	  	605	28.26	  	1	0.05	  	0	0	  	0	0	  	1	0.05	  	1	0.05	  	0	0	  	0	0	  	0	0	  	1	0.05	  	3	0.14	  	1	0.05	  	0	0	  	4	0.19	  	4	0.19	  	0	0	  	0	0	  	4	0.19	  	995	46.47	  	19	0.89	  	1	0.05	  	2	0.09	  	0	0	  	0	0	  	0	0	  	1017	47.5	  	5	0.23	  	1	0.05	  	0	0	  	6	0.28	  	14	0.65	  	2	0.09	  	0	0	  	16	0.75	  	59	2.76	  	8	0.37	  	0	0	  	0	0	  	67	3.13	  	1	0.05	  	0	0	  	0	0	  	1	0.05	  	0	0	  	0	0	  	0	0	  	0	0	  	71	3.32	  	7	0.33	  	1	0.05	  	0	0	  	79	3.69	  	1	0.05	  	0	0	  	0	0	  	1	0.05	  	1	0.05	  	1	0.05	  	2141	97.85	  	47	2.15	  	2188	2.94
Greenfields East		                           	204	15.55	  	7	0.53	  	0	0	  	1	0.08	  	212	16.16	  	1	0.08	  	0	0	  	0	0	  	1	0.08	  	5	0.38	  	0	0	  	0	0	  	5	0.38	  	4	0.3	  	0	0	  	0	0	  	4	0.3	  	373	28.43	  	3	0.23	  	0	0	  	0	0	  	0	0	  	376	28.66	  	1	0.08	  	0	0	  	0	0	  	1	0.08	  	1	0.08	  	0	0	  	0	0	  	0	0	  	1	0.08	  	6	0.46	  	1	0.08	  	0	0	  	7	0.53	  	2	0.15	  	0	0	  	0	0	  	2	0.15	  	579	44.13	  	5	0.38	  	2	0.15	  	1	0.08	  	0	0	  	0	0	  	1	0.08	  	588	44.82	  	3	0.23	  	0	0	  	0	0	  	3	0.23	  	8	0.61	  	1	0.08	  	0	0	  	9	0.69	  	45	3.43	  	5	0.38	  	0	0	  	0	0	  	50	3.81	  	1	0.08	  	0	0	  	0	0	  	1	0.08	  	0	0	  	1	0.08	  	0	0	  	1	0.08	  	46	3.51	  	5	0.38	  	0	0	  	0	0	  	51	3.89	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1312	97.47	  	34	2.53	  	1346	1.81
Halls Head		                                 	321	10.21	  	36	1.14	  	0	0	  	0	0	  	357	11.35	  	8	0.25	  	0	0	  	0	0	  	8	0.25	  	8	0.25	  	1	0.03	  	0	0	  	9	0.29	  	3	0.1	  	2	0.06	  	0	0	  	5	0.16	  	1496	47.57	  	21	0.67	  	0	0	  	3	0.1	  	0	0	  	1520	48.33	  	4	0.13	  	0	0	  	0	0	  	4	0.13	  	1	0.03	  	0	0	  	0	0	  	0	0	  	1	0.03	  	2	0.06	  	1	0.03	  	0	0	  	3	0.1	  	2	0.06	  	0	0	  	0	0	  	2	0.06	  	921	29.28	  	21	0.67	  	2	0.06	  	0	0	  	0	0	  	1	0.03	  	1	0.03	  	946	30.08	  	5	0.16	  	0	0	  	0	0	  	5	0.16	  	9	0.29	  	3	0.1	  	0	0	  	12	0.38	  	103	3.28	  	8	0.25	  	1	0.03	  	0	0	  	112	3.56	  	5	0.16	  	1	0.03	  	0	0	  	6	0.19	  	0	0	  	4	0.13	  	0	0	  	4	0.13	  	137	4.36	  	13	0.41	  	0	0	  	0	0	  	150	4.77	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.03	  	1	0.03	  	3145	97.55	  	79	2.45	  	3224	4.33
Halls Head South		                           	146	10.34	  	11	0.78	  	0	0	  	2	0.14	  	159	11.26	  	2	0.14	  	0	0	  	0	0	  	2	0.14	  	3	0.21	  	0	0	  	0	0	  	3	0.21	  	4	0.28	  	1	0.07	  	0	0	  	5	0.35	  	488	34.56	  	13	0.92	  	0	0	  	0	0	  	0	0	  	501	35.48	  	1	0.07	  	0	0	  	0	0	  	1	0.07	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	2	0.14	  	0	0	  	0	0	  	2	0.14	  	2	0.14	  	0	0	  	0	0	  	2	0.14	  	578	40.93	  	10	0.71	  	1	0.07	  	0	0	  	1	0.07	  	0	0	  	2	0.14	  	592	41.93	  	2	0.14	  	0	0	  	0	0	  	2	0.14	  	8	0.57	  	0	0	  	0	0	  	8	0.57	  	39	2.76	  	6	0.42	  	0	0	  	0	0	  	45	3.19	  	4	0.28	  	1	0.07	  	0	0	  	5	0.35	  	0	0	  	1	0.07	  	0	0	  	1	0.07	  	77	5.45	  	5	0.35	  	0	0	  	1	0.07	  	83	5.88	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.07	  	1	0.07	  	1412	98.74	  	18	1.26	  	1430	1.92
Hillman		                                    	230	11.94	  	16	0.83	  	0	0	  	1	0.05	  	247	12.82	  	8	0.42	  	0	0	  	0	0	  	8	0.42	  	5	0.26	  	0	0	  	0	0	  	5	0.26	  	0	0	  	0	0	  	0	0	  	0	0	  	385	19.99	  	12	0.62	  	1	0.05	  	0	0	  	0	0	  	398	20.66	  	1	0.05	  	0	0	  	0	0	  	1	0.05	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	3	0.16	  	0	0	  	0	0	  	3	0.16	  	6	0.31	  	0	0	  	0	0	  	6	0.31	  	1052	54.62	  	12	0.62	  	1	0.05	  	0	0	  	2	0.1	  	0	0	  	2	0.1	  	1069	55.5	  	6	0.31	  	0	0	  	0	0	  	6	0.31	  	9	0.47	  	3	0.16	  	0	0	  	12	0.62	  	71	3.69	  	7	0.36	  	0	0	  	0	0	  	78	4.05	  	1	0.05	  	0	0	  	0	0	  	1	0.05	  	1	0.05	  	1	0.05	  	0	0	  	2	0.1	  	78	4.05	  	7	0.36	  	0	0	  	0	0	  	85	4.41	  	5	0.26	  	0	0	  	0	0	  	5	0.26	  	0	0	  	0	0	  	1926	97.67	  	46	2.33	  	1972	2.65
Hope Valley		                                	90	17.34	  	10	1.93	  	0	0	  	0	0	  	100	19.27	  	2	0.39	  	0	0	  	0	0	  	2	0.39	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.19	  	0	0	  	0	0	  	1	0.19	  	154	29.67	  	0	0	  	0	0	  	0	0	  	1	0.19	  	155	29.87	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.19	  	1	0.19	  	0	0	  	2	0.39	  	0	0	  	0	0	  	0	0	  	0	0	  	205	39.5	  	3	0.58	  	0	0	  	2	0.39	  	1	0.19	  	0	0	  	0	0	  	211	40.66	  	1	0.19	  	0	0	  	0	0	  	1	0.19	  	0	0	  	0	0	  	0	0	  	0	0	  	16	3.08	  	8	1.54	  	0	0	  	0	0	  	24	4.62	  	1	0.19	  	0	0	  	0	0	  	1	0.19	  	0	0	  	0	0	  	0	0	  	0	0	  	13	2.5	  	8	1.54	  	0	0	  	0	0	  	21	4.05	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.19	  	1	0.19	  	519	96.47	  	19	3.53	  	538	0.72
Kalbarri (Brand)		                           	9	15.25	  	1	1.69	  	0	0	  	0	0	  	10	16.95	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	27	45.76	  	0	0	  	0	0	  	0	0	  	0	0	  	27	45.76	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	1.69	  	0	0	  	0	0	  	1	1.69	  	0	0	  	0	0	  	0	0	  	0	0	  	17	28.81	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	17	28.81	  	1	1.69	  	0	0	  	0	0	  	1	1.69	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	3	5.08	  	0	0	  	0	0	  	0	0	  	3	5.08	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	59	98.33	  	1	1.67	  	60	0.08
Leda		                                       	172	11.22	  	16	1.04	  	1	0.07	  	0	0	  	189	12.33	  	2	0.13	  	1	0.07	  	0	0	  	3	0.2	  	3	0.2	  	0	0	  	0	0	  	3	0.2	  	3	0.2	  	0	0	  	0	0	  	3	0.2	  	306	19.96	  	1	0.07	  	1	0.07	  	3	0.2	  	1	0.07	  	312	20.35	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	3	0.2	  	1	0.07	  	0	0	  	4	0.26	  	2	0.13	  	0	0	  	0	0	  	2	0.13	  	844	55.06	  	12	0.78	  	1	0.07	  	1	0.07	  	1	0.07	  	0	0	  	1	0.07	  	860	56.1	  	7	0.46	  	1	0.07	  	0	0	  	8	0.52	  	9	0.59	  	5	0.33	  	0	0	  	14	0.91	  	44	2.87	  	4	0.26	  	0	0	  	1	0.07	  	49	3.2	  	2	0.13	  	2	0.13	  	1	0.07	  	5	0.33	  	2	0.13	  	0	0	  	0	0	  	2	0.13	  	67	4.37	  	10	0.65	  	0	0	  	1	0.07	  	78	5.09	  	1	0.07	  	0	0	  	0	0	  	1	0.07	  	0	0	  	0	0	  	1533	98.27	  	27	1.73	  	1560	2.1
Madora		                                     	44	12.36	  	3	0.84	  	1	0.28	  	0	0	  	48	13.48	  	1	0.28	  	0	0	  	0	0	  	1	0.28	  	0	0	  	0	0	  	0	0	  	0	0	  	3	0.84	  	0	0	  	0	0	  	3	0.84	  	116	32.58	  	1	0.28	  	0	0	  	1	0.28	  	0	0	  	118	33.15	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.28	  	0	0	  	0	0	  	1	0.28	  	144	40.45	  	2	0.56	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	146	41.01	  	1	0.28	  	0	0	  	0	0	  	1	0.28	  	1	0.28	  	0	0	  	0	0	  	1	0.28	  	12	3.37	  	3	0.84	  	0	0	  	0	0	  	15	4.21	  	2	0.56	  	0	0	  	0	0	  	2	0.56	  	1	0.28	  	0	0	  	0	0	  	1	0.28	  	13	3.65	  	4	1.12	  	0	0	  	1	0.28	  	18	5.06	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.28	  	1	0.28	  	356	97.27	  	10	2.73	  	366	0.49
