	   		 A Abolish Child Support/Family Court Party												 B Australian Greens												 C Liberal Party of Australia - Tasmanian Division																		 D Democratic Socialist Electoral League												 E Tasmania First Party															 F Christian Democratic Party (Fred Nile Group)												 G Australian Democrats															 H Tasmanian Independent Senator Brian # HARRADINE Group									 I Australian Labor Party (Tasmanian Branch)															 J Republican Party of Australia												 K Pauline Hanson's One Nation															 L Australian Women's Party												Ungrouped																			
    			TICKET VOTES			HICKMAN			LOMBARDI			Group Total			TICKET VOTES			CROSSLEY			BAPTIST			Group Total			TICKET VOTES			# ABETZ			# GIBSON			BARNETT			COLLENETTE			Group Total			TICKET VOTES			EMANUEL			JAMIESON			Group Total			TICKET VOTES			PICKFORD			JACKSON			ABBLITT			Group Total			TICKET VOTES			ROGERS			ROGERS			Group Total			TICKET VOTES			BELL			BUTLER			IVORY			Group Total			TICKET VOTES			# HARRADINE			Group Total			TICKET VOTES			# O'BRIEN			# MURPHY			# DENMAN			Group Total			TICKET VOTES			SHERIDAN			DARE			Group Total			TICKET VOTES			STOKES			CARTWRIGHT			SPICER			Group Total			TICKET VOTES			MACQUEEN			BINDON			Group Total			JAMIESON			HEATHORN			SULI			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
    						Ian			Fred									Louise			Simon									Eric			Brian			Guy			Peter									Kamala			Ian									David			David			Petita									Don			Beryl									Robert			Debbie			Chris									Brian									Kerry			Shayne			Kay									Jenny			Rena									Peter			Michael			Leigh									Lin			Carolyn						Norma			Laurie			Steven													
Polling Places			Vote	%		Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Dilston		                                    	4	0.6	  	1	0.15	  	0	0	  	5	0.75	  	27	4.04	  	29	4.34	  	0	0	  	56	8.38	  	232	34.73	  	43	6.44	  	3	0.45	  	5	0.75	  	2	0.3	  	285	42.66	  	2	0.3	  	2	0.3	  	0	0	  	4	0.6	  	8	1.2	  	6	0.9	  	2	0.3	  	0	0	  	16	2.4	  	1	0.15	  	0	0	  	0	0	  	1	0.15	  	21	3.14	  	11	1.65	  	1	0.15	  	0	0	  	33	4.94	  	31	4.64	  	27	4.04	  	58	8.68	  	152	22.75	  	25	3.74	  	8	1.2	  	4	0.6	  	189	28.29	  	0	0	  	0	0	  	0	0	  	0	0	  	13	1.95	  	8	1.2	  	0	0	  	0	0	  	21	3.14	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	668	98.09	  	13	1.91	  	681	1.07
Elphin		                                     	1	0.17	  	3	0.51	  	0	0	  	4	0.67	  	23	3.88	  	11	1.85	  	0	0	  	34	5.73	  	176	29.68	  	31	5.23	  	10	1.69	  	7	1.18	  	7	1.18	  	231	38.95	  	0	0	  	0	0	  	0	0	  	0	0	  	11	1.85	  	1	0.17	  	0	0	  	0	0	  	12	2.02	  	0	0	  	3	0.51	  	0	0	  	3	0.51	  	9	1.52	  	10	1.69	  	4	0.67	  	1	0.17	  	24	4.05	  	28	4.72	  	16	2.7	  	44	7.42	  	180	30.35	  	25	4.22	  	9	1.52	  	5	0.84	  	219	36.93	  	0	0	  	0	0	  	0	0	  	0	0	  	16	2.7	  	2	0.34	  	2	0.34	  	0	0	  	20	3.37	  	1	0.17	  	0	0	  	0	0	  	1	0.17	  	0	0	  	0	0	  	1	0.17	  	1	0.17	  	593	95.65	  	27	4.35	  	620	0.98
Emita		                                      	0	0	  	0	0	  	0	0	  	0	0	  	6	8.11	  	2	2.7	  	0	0	  	8	10.81	  	36	48.65	  	2	2.7	  	1	1.35	  	2	2.7	  	0	0	  	41	55.41	  	0	0	  	0	0	  	0	0	  	0	0	  	1	1.35	  	1	1.35	  	0	0	  	0	0	  	2	2.7	  	0	0	  	0	0	  	0	0	  	0	0	  	4	5.41	  	1	1.35	  	0	0	  	0	0	  	5	6.76	  	2	2.7	  	1	1.35	  	3	4.05	  	9	12.16	  	0	0	  	0	0	  	0	0	  	9	12.16	  	0	0	  	0	0	  	0	0	  	0	0	  	6	8.11	  	0	0	  	0	0	  	0	0	  	6	8.11	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	74	98.67	  	1	1.33	  	75	0.12
Franklin Village		                           	0	0	  	1	0.42	  	0	0	  	1	0.42	  	2	0.83	  	3	1.25	  	1	0.42	  	6	2.5	  	87	36.25	  	10	4.17	  	6	2.5	  	2	0.83	  	0	0	  	105	43.75	  	0	0	  	0	0	  	0	0	  	0	0	  	3	1.25	  	1	0.42	  	1	0.42	  	0	0	  	5	2.08	  	1	0.42	  	0	0	  	0	0	  	1	0.42	  	6	2.5	  	6	2.5	  	0	0	  	0	0	  	12	5	  	12	5	  	14	5.83	  	26	10.83	  	66	27.5	  	3	1.25	  	1	0.42	  	1	0.42	  	71	29.58	  	0	0	  	0	0	  	0	0	  	0	0	  	6	2.5	  	7	2.92	  	0	0	  	0	0	  	13	5.42	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	240	99.17	  	2	0.83	  	242	0.38
General Hospital		                           	0	0	  	1	0.22	  	1	0.22	  	2	0.45	  	18	4.04	  	7	1.57	  	0	0	  	25	5.61	  	113	25.34	  	10	2.24	  	6	1.35	  	2	0.45	  	2	0.45	  	133	29.82	  	1	0.22	  	0	0	  	0	0	  	1	0.22	  	3	0.67	  	1	0.22	  	0	0	  	0	0	  	4	0.9	  	1	0.22	  	1	0.22	  	1	0.22	  	3	0.67	  	12	2.69	  	9	2.02	  	2	0.45	  	0	0	  	23	5.16	  	22	4.93	  	10	2.24	  	32	7.17	  	186	41.7	  	15	3.36	  	4	0.9	  	4	0.9	  	209	46.86	  	0	0	  	0	0	  	0	0	  	0	0	  	7	1.57	  	2	0.45	  	0	0	  	1	0.22	  	10	2.24	  	2	0.45	  	0	0	  	0	0	  	2	0.45	  	2	0.45	  	0	0	  	0	0	  	2	0.45	  	446	98.24	  	8	1.76	  	454	0.72
George Town		                                	22	0.99	  	4	0.18	  	0	0	  	26	1.17	  	49	2.2	  	17	0.76	  	0	0	  	66	2.96	  	433	19.45	  	56	2.52	  	16	0.72	  	5	0.22	  	11	0.49	  	521	23.41	  	2	0.09	  	0	0	  	0	0	  	2	0.09	  	20	0.9	  	4	0.18	  	0	0	  	0	0	  	24	1.08	  	5	0.22	  	1	0.04	  	0	0	  	6	0.27	  	32	1.44	  	8	0.36	  	3	0.13	  	1	0.04	  	44	1.98	  	70	3.14	  	35	1.57	  	105	4.72	  	1136	51.03	  	119	5.35	  	37	1.66	  	13	0.58	  	1305	58.63	  	2	0.09	  	0	0	  	0	0	  	2	0.09	  	87	3.91	  	20	0.9	  	3	0.13	  	2	0.09	  	112	5.03	  	10	0.45	  	0	0	  	0	0	  	10	0.45	  	2	0.09	  	1	0.04	  	0	0	  	3	0.13	  	2226	96.87	  	72	3.13	  	2298	3.62
George Town South		                          	6	0.71	  	1	0.12	  	0	0	  	7	0.83	  	12	1.42	  	10	1.18	  	0	0	  	22	2.59	  	186	21.93	  	23	2.71	  	3	0.35	  	4	0.47	  	2	0.24	  	218	25.71	  	3	0.35	  	0	0	  	0	0	  	3	0.35	  	6	0.71	  	0	0	  	0	0	  	0	0	  	6	0.71	  	0	0	  	1	0.12	  	0	0	  	1	0.12	  	13	1.53	  	2	0.24	  	1	0.12	  	0	0	  	16	1.89	  	36	4.25	  	20	2.36	  	56	6.6	  	398	46.93	  	54	6.37	  	12	1.42	  	6	0.71	  	470	55.42	  	0	0	  	0	0	  	0	0	  	0	0	  	35	4.13	  	7	0.83	  	2	0.24	  	0	0	  	44	5.19	  	3	0.35	  	2	0.24	  	0	0	  	5	0.59	  	0	0	  	0	0	  	0	0	  	0	0	  	848	96.69	  	29	3.31	  	877	1.38
Gladstone		                                  	0	0	  	0	0	  	0	0	  	0	0	  	4	3.39	  	1	0.85	  	0	0	  	5	4.24	  	32	27.12	  	5	4.24	  	0	0	  	0	0	  	1	0.85	  	38	32.2	  	0	0	  	0	0	  	0	0	  	0	0	  	11	9.32	  	5	4.24	  	0	0	  	1	0.85	  	17	14.41	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.85	  	3	2.54	  	4	3.39	  	40	33.9	  	6	5.08	  	0	0	  	0	0	  	46	38.98	  	0	0	  	0	0	  	0	0	  	0	0	  	5	4.24	  	2	1.69	  	0	0	  	0	0	  	7	5.93	  	1	0.85	  	0	0	  	0	0	  	1	0.85	  	0	0	  	0	0	  	0	0	  	0	0	  	118	92.91	  	9	7.09	  	127	0.2
Hillwood		                                   	1	0.27	  	0	0	  	0	0	  	1	0.27	  	14	3.73	  	7	1.87	  	0	0	  	21	5.6	  	114	30.4	  	22	5.87	  	1	0.27	  	0	0	  	1	0.27	  	138	36.8	  	0	0	  	0	0	  	0	0	  	0	0	  	8	2.13	  	0	0	  	0	0	  	0	0	  	8	2.13	  	1	0.27	  	0	0	  	0	0	  	1	0.27	  	10	2.67	  	5	1.33	  	1	0.27	  	0	0	  	16	4.27	  	13	3.47	  	12	3.2	  	25	6.67	  	121	32.27	  	18	4.8	  	4	1.07	  	2	0.53	  	145	38.67	  	0	0	  	0	0	  	0	0	  	0	0	  	12	3.2	  	6	1.6	  	0	0	  	0	0	  	18	4.8	  	0	0	  	0	0	  	0	0	  	0	0	  	2	0.53	  	0	0	  	0	0	  	2	0.53	  	375	98.68	  	5	1.32	  	380	0.6
Inveresk		                                   	12	1.14	  	5	0.47	  	1	0.09	  	18	1.71	  	36	3.42	  	17	1.61	  	0	0	  	53	5.03	  	187	17.74	  	12	1.14	  	2	0.19	  	4	0.38	  	1	0.09	  	206	19.54	  	2	0.19	  	0	0	  	1	0.09	  	3	0.28	  	25	2.37	  	5	0.47	  	2	0.19	  	1	0.09	  	33	3.13	  	1	0.09	  	0	0	  	0	0	  	1	0.09	  	20	1.9	  	8	0.76	  	1	0.09	  	0	0	  	29	2.75	  	39	3.7	  	23	2.18	  	62	5.88	  	514	48.77	  	63	5.98	  	18	1.71	  	6	0.57	  	601	57.02	  	0	0	  	0	0	  	0	0	  	0	0	  	33	3.13	  	8	0.76	  	2	0.19	  	0	0	  	43	4.08	  	3	0.28	  	2	0.19	  	0	0	  	5	0.47	  	0	0	  	0	0	  	0	0	  	0	0	  	1054	93.94	  	68	6.06	  	1122	1.77
Invermay		                                   	6	0.45	  	3	0.23	  	0	0	  	9	0.68	  	48	3.63	  	29	2.19	  	1	0.08	  	78	5.9	  	309	23.37	  	45	3.4	  	4	0.3	  	3	0.23	  	5	0.38	  	366	27.69	  	1	0.08	  	0	0	  	0	0	  	1	0.08	  	14	1.06	  	4	0.3	  	0	0	  	0	0	  	18	1.36	  	4	0.3	  	1	0.08	  	0	0	  	5	0.38	  	22	1.66	  	15	1.13	  	3	0.23	  	0	0	  	40	3.03	  	82	6.2	  	39	2.95	  	121	9.15	  	524	39.64	  	69	5.22	  	19	1.44	  	8	0.61	  	620	46.9	  	1	0.08	  	1	0.08	  	0	0	  	2	0.15	  	50	3.78	  	7	0.53	  	0	0	  	2	0.15	  	59	4.46	  	2	0.15	  	0	0	  	0	0	  	2	0.15	  	1	0.08	  	0	0	  	0	0	  	1	0.08	  	1322	96.99	  	41	3.01	  	1363	2.15
