Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Deakin (85208)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Melbourne (Deakin)		0	0.00		3	3.30		1	1.10		0	0.00		0	0.00		0	0.00		3	3.30		33	36.26		0	0.00		0	0.00		29	31.87		0	0.00		9	9.89		1	1.10		0	0.00		12	13.19		0	0.00		0	0.00		91	93.81		6	6.19		97	0.12
Mitcham		20	1.41		34	2.40		12	0.85		2	0.14		0	0.00		0	0.00		20	1.41		575	40.64		3	0.21		0	0.00		488	34.49		10	0.71		152	10.74		0	0.00		9	0.64		89	6.29		1	0.07		0	0.00		1415	94.21		87	5.79		1502	1.84
Mitcham North		33	1.54		65	3.04		24	1.12		2	0.09		0	0.00		0	0.00		33	1.54		832	38.90		11	0.51		4	0.19		709	33.15		25	1.17		230	10.75		0	0.00		9	0.42		151	7.06		2	0.09		9	0.42		2139	94.52		124	5.48		2263	2.77
Mullum		25	1.77		22	1.55		12	0.85		0	0.00		1	0.07		1	0.07		24	1.70		671	47.42		3	0.21		2	0.14		428	30.25		19	1.34		136	9.61		0	0.00		8	0.57		63	4.45		0	0.00		0	0.00		1415	94.52		82	5.48		1497	1.84
Norwood		30	2.72		15	1.36		11	1.00		3	0.27		1	0.09		1	0.09		15	1.36		513	46.59		1	0.09		1	0.09		337	30.61		14	1.27		102	9.26		1	0.09		2	0.18		54	4.90		0	0.00		0	0.00		1101	96.41		41	3.59		1142	1.40
Nunawading		42	2.33		61	3.39		23	1.28		0	0.00		2	0.11		0	0.00		26	1.44		614	34.09		15	0.83		2	0.11		710	39.42		21	1.17		168	9.33		0	0.00		2	0.11		111	6.16		2	0.11		2	0.11		1801	93.85		118	6.15		1919	2.35
Nunawading South		40	1.57		48	1.89		28	1.10		1	0.04		3	0.12		2	0.08		40	1.57		1050	41.31		4	0.16		0	0.00		855	33.63		30	1.18		279	10.98		0	0.00		3	0.12		153	6.02		1	0.04		5	0.20		2542	95.13		130	4.87		2672	3.28
Parkwood		26	2.15		13	1.08		10	0.83		0	0.00		0	0.00		1	0.08		14	1.16		640	53.02		1	0.08		0	0.00		310	25.68		12	0.99		125	10.36		0	0.00		2	0.17		52	4.31		1	0.08		0	0.00		1207	96.10		49	3.90		1256	1.54
Rangeview		27	1.46		18	0.97		21	1.13		0	0.00		1	0.05		0	0.00		31	1.67		839	45.28		3	0.16		0	0.00		546	29.47		18	0.97		204	11.01		0	0.00		3	0.16		138	7.45		4	0.22		0	0.00		1853	96.56		66	3.44		1919	2.35
Ringwood		37	2.41		26	1.69		18	1.17		1	0.07		0	0.00		0	0.00		25	1.63		659	42.88		3	0.20		0	0.00		532	34.61		13	0.85		141	9.17		0	0.00		2	0.13		76	4.94		3	0.20		1	0.07		1537	94.01		98	5.99		1635	2.00
Ringwood East		31	2.01		28	1.82		18	1.17		3	0.19		0	0.00		0	0.00		35	2.27		658	42.73		3	0.19		0	0.00		503	32.66		17	1.10		152	9.87		0	0.00		9	0.58		81	5.26		1	0.06		1	0.06		1540	93.33		110	6.67		1650	2.02
Ringwood Heights		24	1.59		21	1.39		23	1.52		0	0.00		0	0.00		0	0.00		15	0.99		685	45.33		7	0.46		1	0.07		425	28.13		12	0.79		157	10.39		0	0.00		13	0.86		128	8.47		0	0.00		0	0.00		1511	96.12		61	3.88		1572	1.93
Ringwood North (Deakin)		26	2.06		20	1.58		14	1.11		0	0.00		1	0.08		0	0.00		15	1.19		686	54.27		3	0.24		1	0.08		306	24.21		16	1.27		126	9.97		0	0.00		2	0.16		48	3.80		0	0.00		0	0.00		1264	95.25		63	4.75		1327	1.63
Ringwood South		32	1.16		53	1.93		40	1.45		3	0.11		0	0.00		2	0.07		56	2.04		1097	39.88		9	0.33		1	0.04		972	35.33		36	1.31		265	9.63		2	0.07		2	0.07		178	6.47		1	0.04		2	0.07		2751	94.50		160	5.50		2911	3.57
Springview		37	1.78		47	2.27		24	1.16		3	0.14		0	0.00		2	0.10		22	1.06		824	39.75		10	0.48		3	0.14		743	35.84		13	0.63		240	11.58		4	0.19		7	0.34		92	4.44		1	0.05		1	0.05		2073	95.05		108	4.95		2181	2.67
Tally Ho (Deakin)		36	2.38		44	2.90		12	0.79		3	0.20		0	0.00		0	0.00		14	0.92		646	42.64		8	0.53		0	0.00		571	37.69		5	0.33		119	7.85		1	0.07		0	0.00		56	3.70		0	0.00		0	0.00		1515	94.04		96	5.96		1611	1.98
Tinternvale		32	1.76		28	1.54		11	0.61		1	0.06		1	0.06		0	0.00		37	2.04		785	43.20		1	0.06		2	0.11		569	31.32		30	1.65		198	10.90		0	0.00		2	0.11		117	6.44		2	0.11		1	0.06		1817	95.99		76	4.01		1893	2.32
Vermont North		32	2.65		16	1.32		10	0.83		0	0.00		0	0.00		1	0.08		16	1.32		557	46.11		3	0.25		0	0.00		374	30.96		15	1.24		116	9.60		0	0.00		2	0.17		66	5.46		0	0.00		0	0.00		1208	95.12		62	4.88		1270	1.56
Special Hospitals		18	8.00		5	2.22		0	0.00		0	0.00		0	0.00		0	0.00		5	2.22		123	54.67		1	0.44		0	0.00		60	26.67		2	0.89		7	3.11		0	0.00		0	0.00		4	1.78		0	0.00		0	0.00		225	89.29		27	10.71		252	0.31
Total Ordinary		1222	1.89		1251	1.94		683	1.06		48	0.07		20	0.03		31	0.05		962	1.49		27216	42.11		206	0.32		36	0.06		21399	33.11		648	1.00		6642	10.28		14	0.02		129	0.20		4054	6.27		33	0.05		36	0.06		64630	94.98		3413	5.02		68043	83.43
ABSENT		158	2.95		142	2.65		68	1.27		2	0.04		7	0.13		4	0.07		86	1.61		2023	37.78		28	0.52		3	0.06		1659	30.98		60	1.12		659	12.31		3	0.06		20	0.37		426	7.96		5	0.09		2	0.04		5355	97.06		162	2.94		5517	6.76
POSTAL		131	3.18		48	1.16		53	1.28		2	0.05		1	0.02		3	0.07		81	1.96		1944	47.13		11	0.27		1	0.02		1329	32.22		38	0.92		314	7.61		0	0.00		10	0.24		157	3.81		2	0.05		0	0.00		4125	98.07		81	1.93		4206	5.16
PRE_POLL		85	2.62		49	1.51		33	1.02		2	0.06		2	0.06		4	0.12		48	1.48		1436	44.21		7	0.22		4	0.12		1003	30.88		46	1.42		318	9.79		1	0.03		12	0.37		195	6.00		2	0.06		1	0.03		3248	97.45		85	2.55		3333	4.09
PROVISIONAL		13	2.96		22	5.01		2	0.46		2	0.46		0	0.00		0	0.00		4	0.91		166	37.81		0	0.00		1	0.23		158	35.99		1	0.23		46	10.48		0	0.00		1	0.23		22	5.01		0	0.00		1	0.23		439	95.43		21	4.57		460	0.56
Division Summary		1609	2.07		1512	1.94		839	1.08		56	0.07		30	0.04		42	0.05		1181	1.52		32785	42.14		252	0.32		45	0.06		25548	32.84		793	1.02		7979	10.26		18	0.02		172	0.22		4854	6.24		42	0.05		40	0.05		77797	95.39		3762	4.61		81559	95.72
