Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Maribyrnong (83750)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Niddrie Central		67	2.48		54	2.00		39	1.44		5	0.19		0	0.00		0	0.00		69	2.55		1076	39.84		8	0.30		3	0.11		1028	38.06		11	0.41		210	7.77		2	0.07		2	0.07		125	4.63		2	0.07		0	0.00		2701	93.17		198	6.83		2899	3.46
St Albans		71	3.26		129	5.91		18	0.83		7	0.32		2	0.09		2	0.09		29	1.33		407	18.66		11	0.50		1	0.05		1340	61.44		1	0.05		131	6.01		1	0.05		1	0.05		27	1.24		1	0.05		2	0.09		2181	87.10		323	12.90		2504	2.99
St Albans East		108	3.24		165	4.95		18	0.54		6	0.18		1	0.03		3	0.09		79	2.37		539	16.16		7	0.21		5	0.15		2123	63.64		11	0.33		201	6.03		0	0.00		1	0.03		69	2.07		0	0.00		0	0.00		3336	88.56		431	11.44		3767	4.50
St Albans North		60	2.53		118	4.98		19	0.80		7	0.30		1	0.04		3	0.13		57	2.41		435	18.37		6	0.25		3	0.13		1439	60.77		13	0.55		154	6.50		0	0.00		0	0.00		50	2.11		3	0.13		0	0.00		2368	87.41		341	12.59		2709	3.23
St Albans South		47	2.15		101	4.62		14	0.64		2	0.09		1	0.05		1	0.05		41	1.87		372	17.00		1	0.05		15	0.69		1414	64.63		5	0.23		150	6.86		0	0.00		0	0.00		23	1.05		1	0.05		0	0.00		2188	89.49		257	10.51		2445	2.92
St Albans South East		60	2.18		134	4.86		15	0.54		6	0.22		2	0.07		1	0.04		38	1.38		447	16.23		19	0.69		1	0.04		1820	66.06		4	0.15		177	6.42		0	0.00		1	0.04		29	1.05		1	0.04		0	0.00		2755	90.03		305	9.97		3060	3.65
St Albans West		94	3.41		133	4.82		23	0.83		9	0.33		2	0.07		0	0.00		48	1.74		413	14.97		5	0.18		2	0.07		1813	65.74		12	0.44		142	5.15		1	0.04		2	0.07		56	2.03		1	0.04		2	0.07		2758	87.67		388	12.33		3146	3.76
Stevensville		45	2.85		73	4.62		23	1.46		2	0.13		3	0.19		1	0.06		29	1.84		270	17.10		4	0.25		1	0.06		1027	65.04		2	0.13		75	4.75		0	0.00		2	0.13		21	1.33		1	0.06		0	0.00		1579	89.41		187	10.59		1766	2.11
Special Hospitals		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	3.45		14	48.27		0	0.00		0	0.00		14	48.27		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		29	96.67		1	3.33		30	0.04
Total Ordinary		1443	2.35		2236	3.64		678	1.10		99	0.16		27	0.04		23	0.04		1022	1.66		16068	26.13		213	0.35		56	0.09		33459	54.41		210	0.34		4025	6.55		16	0.03		27	0.04		1848	3.01		30	0.05		14	0.02		61494	90.17		6702	9.83		68196	85.52
ABSENT		128	2.54		241	4.78		72	1.43		6	0.12		3	0.06		2	0.04		88	1.75		1371	27.22		15	0.30		3	0.06		2456	48.76		18	0.36		392	7.78		0	0.00		8	0.16		230	4.57		1	0.02		3	0.06		5037	95.13		258	4.87		5295	6.64
POSTAL		64	3.36		62	3.25		32	1.68		3	0.16		1	0.05		2	0.10		57	2.99		613	32.14		2	0.10		0	0.00		903	47.35		6	0.31		113	5.93		0	0.00		2	0.10		46	2.41		1	0.05		0	0.00		1907	98.91		21	1.09		1928	2.42
PRE_POLL		154	4.50		164	4.79		52	1.52		7	0.20		4	0.12		1	0.03		81	2.37		920	26.88		12	0.35		7	0.20		1698	49.62		8	0.23		204	5.96		2	0.06		6	0.18		96	2.81		2	0.06		4	0.12		3422	95.61		157	4.39		3579	4.49
PROVISIONAL		21	3.02		53	7.63		4	0.58		3	0.43		0	0.00		0	0.00		7	1.01		142	20.43		5	0.72		0	0.00		399	57.41		4	0.58		36	5.18		0	0.00		1	0.14		20	2.88		0	0.00		0	0.00		695	93.04		52	6.96		747	0.94
Division Summary		1810	2.49		2756	3.8		838	1.15		118	0.16		35	0.05		28	0.04		1255	1.73		19114	26.34		247	0.34		66	0.09		38915	53.64		246	0.34		4770	6.57		18	0.02		44	0.06		2240	3.09		34	0.05		21	0.03		72555	90.98		7190	9.02		79745	95.22
