Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Melbourne (95848)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Fitzroy Central		5	0.78		6	0.93		8	1.24		0	0.00		0	0.00		0	0.00		6	0.93		139	21.58		3	0.47		0	0.00		184	28.57		3	0.47		91	14.13		0	0.00		0	0.00		193	29.97		6	0.93		0	0.00		644	96.70		22	3.30		666	0.75
Fitzroy East		28	1.32		34	1.60		21	0.99		0	0.00		2	0.09		0	0.00		7	0.33		309	14.58		6	0.28		0	0.00		702	33.13		1	0.05		298	14.06		0	0.00		2	0.09		708	33.41		0	0.00		1	0.05		2119	96.45		78	3.55		2197	2.49
Fitzroy North		35	1.21		47	1.62		75	2.59		2	0.07		4	0.14		0	0.00		16	0.55		484	16.70		10	0.34		2	0.07		955	32.94		9	0.31		406	14.00		0	0.00		2	0.07		840	28.98		8	0.28		4	0.14		2899	96.06		119	3.94		3018	3.42
Flemington		39	1.53		69	2.71		37	1.45		1	0.04		1	0.04		1	0.04		17	0.67		473	18.60		9	0.35		4	0.16		1336	52.54		7	0.28		270	10.62		1	0.04		1	0.04		276	10.85		0	0.00		1	0.04		2543	93.70		171	6.30		2714	3.07
Hotham Hill		17	1.86		17	1.86		5	0.55		2	0.22		0	0.00		0	0.00		5	0.55		112	12.28		5	0.55		0	0.00		644	70.61		2	0.22		40	4.39		0	0.00		0	0.00		62	6.80		1	0.11		0	0.00		912	89.59		106	10.41		1018	1.15
Kensington		36	1.62		50	2.25		30	1.35		1	0.04		0	0.00		4	0.18		16	0.72		539	24.20		12	0.54		0	0.00		914	41.04		9	0.40		298	13.38		0	0.00		3	0.13		312	14.01		3	0.13		0	0.00		2227	95.09		115	4.91		2342	2.65
Melbourne (Melbourne)		34	1.53		50	2.26		10	0.45		3	0.14		3	0.14		0	0.00		25	1.13		761	34.33		9	0.41		3	0.14		598	26.97		9	0.41		316	14.25		0	0.00		1	0.05		375	16.91		19	0.86		1	0.05		2217	97.58		55	2.42		2272	2.57
Merri		17	1.42		31	2.59		18	1.51		1	0.08		1	0.08		0	0.00		14	1.17		206	17.22		3	0.25		0	0.00		439	36.71		1	0.08		152	12.71		0	0.00		0	0.00		311	26.00		1	0.08		1	0.08		1196	94.03		76	5.97		1272	1.44
Newmarket		30	1.58		34	1.79		28	1.48		3	0.16		1	0.05		2	0.11		17	0.90		411	21.68		4	0.21		1	0.05		806	42.51		2	0.11		281	14.82		1	0.05		1	0.05		268	14.14		5	0.26		1	0.05		1896	92.99		143	7.01		2039	2.31
North Melbourne		22	1.09		39	1.93		38	1.88		1	0.05		1	0.05		1	0.05		18	0.89		515	25.51		16	0.79		0	0.00		665	32.94		5	0.25		285	14.12		0	0.00		2	0.10		398	19.71		11	0.54		2	0.10		2019	96.19		80	3.81		2099	2.38
North Melbourne Central		16	1.15		20	1.44		30	2.16		1	0.07		1	0.07		0	0.00		8	0.58		327	23.53		6	0.43		0	0.00		474	34.10		6	0.43		225	16.19		0	0.00		1	0.07		269	19.35		6	0.43		0	0.00		1390	96.86		45	3.14		1435	1.63
Parkville		13	1.00		15	1.15		13	1.00		1	0.08		3	0.23		0	0.00		9	0.69		400	30.72		6	0.46		1	0.08		316	24.27		6	0.46		201	15.44		0	0.00		1	0.08		314	24.12		2	0.15		1	0.08		1302	97.38		35	2.62		1337	1.51
Richmond		62	1.83		64	1.89		69	2.04		3	0.09		1	0.03		3	0.09		14	0.41		1074	31.75		6	0.18		1	0.03		1104	32.63		3	0.09		427	12.62		2	0.06		2	0.06		543	16.05		3	0.09		2	0.06		3383	94.42		200	5.58		3583	4.06
Richmond Central		32	1.60		56	2.80		37	1.85		2	0.10		2	0.10		0	0.00		9	0.45		519	25.98		9	0.45		2	0.10		810	40.54		6	0.30		258	12.91		1	0.05		1	0.05		251	12.56		0	0.00		3	0.15		1998	94.42		118	5.58		2116	2.40
Richmond East		38	1.47		59	2.28		37	1.43		1	0.04		0	0.00		2	0.08		17	0.66		827	32.02		9	0.35		3	0.12		960	37.17		8	0.31		291	11.27		2	0.08		3	0.12		322	12.47		1	0.04		3	0.12		2583	93.42		182	6.58		2765	3.13
Richmond North		12	1.19		45	4.46		3	0.30		1	0.10		0	0.00		2	0.20		1	0.10		112	11.10		7	0.69		1	0.10		737	73.04		1	0.10		47	4.66		0	0.00		1	0.10		39	3.87		0	0.00		0	0.00		1009	94.30		61	5.70		1070	1.21
Richmond South		38	2.44		27	1.73		24	1.54		1	0.06		3	0.19		0	0.00		13	0.83		507	32.56		9	0.58		0	0.00		501	32.18		4	0.26		185	11.88		0	0.00		0	0.00		241	15.48		3	0.19		1	0.06		1557	96.65		54	3.35		1611	1.82
Richmond West		30	2.34		55	4.29		10	0.78		1	0.08		8	0.62		1	0.08		10	0.78		176	13.73		8	0.62		1	0.08		863	67.32		3	0.23		59	4.60		0	0.00		0	0.00		56	4.37		1	0.08		0	0.00		1282	91.90		113	8.10		1395	1.58
Special Hospitals		20	5.76		8	2.31		7	2.02		0	0.00		2	0.58		0	0.00		6	1.73		97	27.95		1	0.29		0	0.00		165	47.55		1	0.29		14	4.03		0	0.00		1	0.29		25	7.20		0	0.00		0	0.00		347	98.30		6	1.70		353	0.40
Prison Mobiles		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		1	0.00
Total Ordinary		977	1.48		1341	2.03		1228	1.86		37	0.06		51	0.08		23	0.03		475	0.72		15069	22.86		247	0.37		32	0.05		26198	39.74		161	0.24		8010	12.15		11	0.02		45	0.07		11829	17.95		136	0.21		47	0.07		65917	94.53		3816	5.47		69733	79.00
ABSENT		172	1.92		239	2.67		151	1.69		5	0.06		3	0.03		6	0.07		59	0.66		2515	28.10		31	0.35		1	0.01		2943	32.88		23	0.26		1238	13.83		1	0.01		3	0.03		1522	17.01		34	0.38		4	0.04		8950	97.57		223	2.43		9173	10.39
POSTAL		67	2.50		48	1.79		51	1.90		1	0.04		1	0.04		1	0.04		66	2.46		870	32.44		7	0.26		1	0.04		1040	38.78		7	0.26		279	10.40		0	0.00		2	0.07		240	8.95		1	0.04		0	0.00		2682	98.17		50	1.83		2732	3.09
PRE_POLL		99	1.94		111	2.18		90	1.77		4	0.08		0	0.00		3	0.06		49	0.96		1372	26.93		17	0.33		3	0.06		1768	34.71		14	0.27		811	15.92		0	0.00		1	0.02		736	14.45		10	0.20		6	0.12		5094	98.23		92	1.77		5186	5.87
PROVISIONAL		24	1.75		46	3.35		20	1.46		3	0.22		1	0.07		0	0.00		8	0.58		250	18.21		7	0.51		1	0.07		568	41.37		2	0.15		183	13.33		2	0.15		3	0.22		254	18.50		1	0.07		0	0.00		1373	94.62		78	5.38		1451	1.64
Division Summary		1339	1.59		1785	2.12		1540	1.83		50	0.06		56	0.07		33	0.04		657	0.78		20076	23.9		309	0.37		38	0.05		32517	38.7		207	0.25		10521	12.52		14	0.02		54	0.06		14581	17.36		182	0.22		57	0.07		84016	95.18		4259	4.82		88275	92.1
