Senate - 2001 Election: Victoria																																																																																																																																																																																																																																																												
First Preference Votes by Candidate																																																																																																																																																																																																																																																												
 By Polling Place																																																																																																																																																																																																																																																												
Bendigo (88150)																																																																																																																																																																																																																																																												

		   	 A liberals for forests												 B Democratic Labor Party (DLP) of Australia																					 C Phil Cleary - Independent Australia												 D Citizens Electoral Council of Australia												 E 												 F 												 G Pauline Hanson's One Nation												 H Liberal/National Party																								 I Unity - Say No To Hanson															 J 												 K Australian Labor Party (Victorian Branch)																		 L Christian Democratic Party (Fred Nile Group)												 M Australian Democrats																		 N 												 O Hope Party Australia												 P Australian Greens																		 Q 															
	    		TICKET VOTES			PATHY			LUGG			Group Total			TICKET VOTES			MULHOLLAND			CREA			KING			MAURUS			WELLS			Group Total			TICKET VOTES			CLEARY			ZOMBOLAS			Group Total			TICKET VOTES			ISHERWOOD			BARWICK			Group Total			TICKET VOTES			TOSCANO			REGHENZANI			Group Total			TICKET VOTES			RASKOVY			KENNEDY			Group Total			TICKET VOTES			SPENCER			MCINTYRE			Group Total			TICKET VOTES			# ALSTON			# KEMP			# PATTERSON			HAWKER			DE MARCHI			TRAN			Group Total			TICKET VOTES			LEE			WOLOWSKI			COPE			Group Total			TICKET VOTES			BAKER			BARBER			Group Total			TICKET VOTES			# RAY			# MARSHALL			MURPHY			CHONG			Group Total			TICKET VOTES			GRAHAM			JAGO			Group Total			TICKET VOTES			# ALLISON			HARCOURT			WARK			ALESICH			Group Total			TICKET VOTES			DAVIS			BROCAS			Group Total			TICKET VOTES			PETHERBRIDGE			POYNTON			Group Total			TICKET VOTES			KINNEAR			MULLANE			MATHEW			CONOR			Group Total			TICKET VOTES			THORNE			PEART			DEWBERRY			Group Total			
	    					Suresh			John									John			Pat			Gail			Rosemary			Ken									Phil			Eileen									Noelene			Robert									Joseph			Stephen									Steve			Elizabeth									Robyn			Neville									Richard Kenneth Robert			Rod			Kay			Tim			Dino			Duc-Dung									Wellington			Diana			Bill									A.T.			Pam									Robert			Gavin			Ted			Robert									Murray			Arnold Hartley									Lyn			Pierre			David			Simone									Craig			Donna									Tim			Lee-anne									Scott			Eleisha			Dinesh			Liz									Alison			Sarah			Tony						
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		
	Campbells Creek		22	2.19		0	0.00		0	0.00		22	2.19		21	2.09		1	0.10		0	0.00		0	0.00		0	0.00		0	0.00		22	2.19		17	1.69		2	0.20		0	0.00		19	1.89		2	0.20		0	0.00		0	0.00		2	0.20		0	0.00		0	0.00		0	0.00		0	0.00		1	0.10		0	0.00		0	0.00		1	0.10		46	4.58		1	0.10		0	0.00		47	4.68		348	34.63		3	0.30		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		351	34.93		1	0.10		0	0.00		0	0.00		0	0.00		1	0.10		1	0.10		0	0.00		0	0.00		1	0.10		389	38.71		5	0.50		0	0.00		0	0.00		1	0.10		395	39.30		20	1.99		3	0.30		1	0.10		24	2.39		28	2.79		2	0.20		0	0.00		0	0.00		0	0.00		30	2.99		0	0.00		0	0.00		1	0.10		1	0.10		0	0.00		0	0.00		0	0.00		0	0.00		82	8.16		6	0.60		0	0.00		0	0.00		0	0.00		88	8.76		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Carisbrook		11	1.45		0	0.00		0	0.00		11	1.45		18	2.38		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		18	2.38		10	1.32		1	0.13		0	0.00		11	1.45		0	0.00		0	0.00		0	0.00		0	0.00		1	0.13		0	0.00		0	0.00		1	0.13		2	0.26		0	0.00		0	0.00		2	0.26		42	5.55		3	0.40		0	0.00		45	5.94		340	44.91		2	0.26		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		342	45.18		2	0.26		0	0.00		0	0.00		0	0.00		2	0.26		2	0.26		0	0.00		0	0.00		2	0.26		287	37.91		3	0.40		1	0.13		0	0.00		0	0.00		291	38.44		1	0.13		0	0.00		0	0.00		1	0.13		15	1.98		0	0.00		0	0.00		0	0.00		0	0.00		15	1.98		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		12	1.59		4	0.53		0	0.00		0	0.00		0	0.00		16	2.11		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Castlemaine		31	1.32		2	0.09		0	0.00		33	1.40		49	2.08		1	0.04		0	0.00		0	0.00		0	0.00		0	0.00		50	2.13		30	1.28		7	0.30		0	0.00		37	1.57		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.09		0	0.00		2	0.09		1	0.04		0	0.00		0	0.00		1	0.04		62	2.64		1	0.04		0	0.00		63	2.68		725	30.84		11	0.47		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		736	31.31		4	0.17		0	0.00		0	0.00		0	0.00		4	0.17		13	0.55		1	0.04		0	0.00		14	0.60		903	38.41		10	0.43		0	0.00		0	0.00		0	0.00		913	38.83		35	1.49		8	0.34		2	0.09		45	1.91		102	4.34		10	0.43		0	0.00		0	0.00		0	0.00		112	4.76		1	0.04		0	0.00		0	0.00		1	0.04		2	0.09		0	0.00		0	0.00		2	0.09		286	12.17		45	1.91		1	0.04		1	0.04		1	0.04		334	14.21		4	0.17		0	0.00		0	0.00		0	0.00		4	0.17	
	Castlemaine North		26	1.89		2	0.15		0	0.00		28	2.04		17	1.24		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		17	1.24		17	1.24		6	0.44		0	0.00		23	1.68		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.07		0	0.00		0	0.00		1	0.07		42	3.06		3	0.22		0	0.00		45	3.28		416	30.30		4	0.29		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		420	30.59		3	0.22		0	0.00		0	0.00		0	0.00		3	0.22		5	0.36		2	0.15		0	0.00		7	0.51		548	39.91		7	0.51		1	0.07		0	0.00		0	0.00		556	40.50		28	2.04		1	0.07		1	0.07		30	2.18		58	4.22		4	0.29		0	0.00		0	0.00		1	0.07		63	4.59		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		165	12.02		15	1.09		0	0.00		0	0.00		0	0.00		180	13.11		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Central Deborah		14	2.01		2	0.29		0	0.00		16	2.29		14	2.01		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		14	2.01		5	0.72		0	0.00		0	0.00		5	0.72		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.14		0	0.00		0	0.00		1	0.14		18	2.58		4	0.57		0	0.00		22	3.15		287	41.12		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		287	41.12		2	0.29		0	0.00		0	0.00		0	0.00		2	0.29		0	0.00		0	0.00		0	0.00		0	0.00		230	32.95		2	0.29		1	0.14		1	0.14		1	0.14		235	33.67		7	1.00		0	0.00		0	0.00		7	1.00		48	6.88		3	0.43		0	0.00		0	0.00		0	0.00		51	7.31		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		47	6.73		10	1.43		0	0.00		0	0.00		0	0.00		57	8.17		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Chewton		3	0.65		0	0.00		0	0.00		3	0.65		8	1.72		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		8	1.72		8	1.72		1	0.22		0	0.00		9	1.94		1	0.22		0	0.00		0	0.00		1	0.22		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		19	4.09		1	0.22		0	0.00		20	4.30		125	26.88		1	0.22		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		126	27.10		2	0.43		0	0.00		0	0.00		0	0.00		2	0.43		0	0.00		0	0.00		0	0.00		0	0.00		190	40.86		2	0.43		0	0.00		2	0.43		0	0.00		194	41.72		4	0.86		4	0.86		0	0.00		8	1.72		17	3.66		2	0.43		1	0.22		0	0.00		0	0.00		20	4.30		0	0.00		0	0.00		0	0.00		0	0.00		1	0.22		0	0.00		0	0.00		1	0.22		65	13.98		7	1.51		0	0.00		0	0.00		1	0.22		73	15.70		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Comet Hill		43	2.86		2	0.13		0	0.00		45	2.99		43	2.86		3	0.20		0	0.00		0	0.00		0	0.00		0	0.00		46	3.05		9	0.60		0	0.00		0	0.00		9	0.60		2	0.13		0	0.00		0	0.00		2	0.13		1	0.07		0	0.00		0	0.00		1	0.07		2	0.13		0	0.00		0	0.00		2	0.13		56	3.72		3	0.20		0	0.00		59	3.92		501	33.27		3	0.20		0	0.00		0	0.00		1	0.07		0	0.00		0	0.00		505	33.53		6	0.40		0	0.00		0	0.00		0	0.00		6	0.40		11	0.73		0	0.00		0	0.00		11	0.73		677	44.95		8	0.53		1	0.07		0	0.00		1	0.07		687	45.62		15	1.00		1	0.07		0	0.00		16	1.06		58	3.85		6	0.40		0	0.00		0	0.00		0	0.00		64	4.25		1	0.07		0	0.00		0	0.00		1	0.07		2	0.13		0	0.00		0	0.00		2	0.13		46	3.05		3	0.20		0	0.00		0	0.00		0	0.00		49	3.25		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Dunolly		13	1.73		1	0.13		0	0.00		14	1.86		7	0.93		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		7	0.93		8	1.06		1	0.13		0	0.00		9	1.20		2	0.27		0	0.00		0	0.00		2	0.27		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		71	9.44		0	0.00		1	0.13		72	9.57		299	39.76		1	0.13		0	0.00		0	0.00		1	0.13		0	0.00		0	0.00		301	40.03		3	0.40		0	0.00		0	0.00		0	0.00		3	0.40		4	0.53		0	0.00		0	0.00		4	0.53		273	36.30		6	0.80		0	0.00		0	0.00		0	0.00		279	37.10		9	1.20		0	0.00		0	0.00		9	1.20		11	1.46		1	0.13		0	0.00		0	0.00		0	0.00		12	1.60		0	0.00		0	0.00		0	0.00		0	0.00		1	0.13		0	0.00		0	0.00		1	0.13		30	3.99		7	0.93		0	0.00		0	0.00		1	0.13		38	5.05		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Eaglehawk		54	2.12		3	0.12		0	0.00		57	2.23		66	2.59		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		66	2.59		20	0.78		1	0.04		0	0.00		21	0.82		4	0.16		0	0.00		0	0.00		4	0.16		3	0.12		0	0.00		0	0.00		3	0.12		3	0.12		0	0.00		0	0.00		3	0.12		120	4.70		7	0.27		0	0.00		127	4.98		814	31.90		11	0.43		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		825	32.33		2	0.08		0	0.00		0	0.00		0	0.00		2	0.08		12	0.47		1	0.04		0	0.00		13	0.51		1137	44.55		3	0.12		1	0.04		2	0.08		0	0.00		1143	44.79		44	1.72		2	0.08		3	0.12		49	1.92		107	4.19		12	0.47		0	0.00		0	0.00		0	0.00		119	4.66		1	0.04		0	0.00		0	0.00		1	0.04		1	0.04		0	0.00		0	0.00		1	0.04		109	4.27		9	0.35		0	0.00		0	0.00		0	0.00		118	4.62		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Eaglehawk North		4	0.92		0	0.00		0	0.00		4	0.92		6	1.37		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		6	1.37		7	1.60		3	0.69		0	0.00		10	2.29		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		28	6.41		0	0.00		0	0.00		28	6.41		118	27.00		2	0.46		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		120	27.46		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.23		0	0.00		0	0.00		1	0.23		207	47.37		3	0.69		0	0.00		1	0.23		1	0.23		212	48.51		3	0.69		4	0.92		0	0.00		7	1.60		22	5.03		2	0.46		0	0.00		0	0.00		0	0.00		24	5.49		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		24	5.49		1	0.23		0	0.00		0	0.00		0	0.00		25	5.72		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
