Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

La Trobe (88269)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Ferny Creek		15	1.97		5	0.66		12	1.57		0	0.00		1	0.13		0	0.00		10	1.31		283	37.09		3	0.39		0	0.00		205	26.87		5	0.66		102	13.37		0	0.00		1	0.13		121	15.86		0	0.00		0	0.00		763	97.32		21	2.68		784	0.89
Gembrook		25	2.77		16	1.77		6	0.66		1	0.11		1	0.11		1	0.11		35	3.88		362	40.09		1	0.11		0	0.00		275	30.45		6	0.66		81	8.97		1	0.11		1	0.11		88	9.75		0	0.00		3	0.33		903	93.96		58	6.04		961	1.09
Hallam Valley		36	1.37		52	1.98		14	0.53		0	0.00		4	0.15		2	0.08		40	1.52		1119	42.61		3	0.11		2	0.08		1033	39.34		28	1.07		228	8.68		1	0.04		0	0.00		64	2.44		0	0.00		0	0.00		2626	95.04		137	4.96		2763	3.13
Harkaway		10	1.65		15	2.47		4	0.66		0	0.00		0	0.00		0	0.00		7	1.15		374	61.61		2	0.33		0	0.00		96	15.82		15	2.47		35	5.77		0	0.00		0	0.00		49	8.07		0	0.00		0	0.00		607	96.50		22	3.50		629	0.71
Kallista (La Trobe)		7	3.26		2	0.93		3	1.40		0	0.00		0	0.00		0	0.00		1	0.47		92	42.79		1	0.47		0	0.00		44	20.47		1	0.47		25	11.63		0	0.00		0	0.00		38	17.67		0	0.00		1	0.47		215	98.62		3	1.38		218	0.25
Macclesfield		13	1.95		9	1.35		3	0.45		1	0.15		0	0.00		0	0.00		20	3.00		293	43.93		1	0.15		0	0.00		170	25.49		5	0.75		84	12.59		0	0.00		0	0.00		68	10.19		0	0.00		0	0.00		667	95.56		31	4.44		698	0.79
Melbourne (La Trobe)		1	2.04		1	2.04		0	0.00		0	0.00		0	0.00		0	0.00		2	4.08		16	32.65		0	0.00		0	0.00		14	28.57		0	0.00		8	16.33		0	0.00		0	0.00		7	14.29		0	0.00		0	0.00		49	98.00		1	2.00		50	0.06
Menzies Creek		6	1.24		6	1.24		8	1.66		0	0.00		0	0.00		0	0.00		3	0.62		204	42.32		2	0.41		0	0.00		138	28.63		2	0.41		52	10.79		0	0.00		0	0.00		61	12.66		0	0.00		0	0.00		482	96.98		15	3.02		497	0.56
Mount Dandenong (La Trobe)		10	2.08		4	0.83		5	1.04		0	0.00		0	0.00		0	0.00		7	1.46		189	39.29		2	0.42		0	0.00		124	25.78		1	0.21		50	10.39		0	0.00		1	0.21		88	18.30		0	0.00		0	0.00		481	97.17		14	2.83		495	0.56
Narre Warren (La Trobe)		67	2.92		50	2.18		25	1.09		2	0.09		2	0.09		2	0.09		46	2.00		965	42.01		3	0.13		1	0.04		894	38.92		23	1.00		162	7.05		0	0.00		0	0.00		55	2.39		0	0.00		0	0.00		2297	94.64		130	5.36		2427	2.75
Narre Warren East		7	2.01		3	0.86		2	0.57		0	0.00		0	0.00		0	0.00		9	2.59		227	65.23		0	0.00		0	0.00		60	17.24		0	0.00		19	5.46		0	0.00		0	0.00		21	6.03		0	0.00		0	0.00		348	96.67		12	3.33		360	0.41
Narre Warren North		23	2.24		9	0.87		6	0.58		0	0.00		1	0.10		0	0.00		21	2.04		552	53.64		1	0.10		1	0.10		265	25.75		12	1.17		106	10.30		0	0.00		0	0.00		32	3.11		0	0.00		0	0.00		1029	95.81		45	4.19		1074	1.22
Oatlands		54	2.49		46	2.12		18	0.83		1	0.05		0	0.00		0	0.00		35	1.61		885	40.73		10	0.46		2	0.09		849	39.07		34	1.56		181	8.33		0	0.00		3	0.14		55	2.53		0	0.00		0	0.00		2173	95.22		109	4.78		2282	2.59
Officer		19	3.05		5	0.80		5	0.80		0	0.00		0	0.00		1	0.16		23	3.70		377	60.61		1	0.16		0	0.00		117	18.81		5	0.80		41	6.59		0	0.00		0	0.00		26	4.18		0	0.00		2	0.32		622	92.84		48	7.16		670	0.76
Olinda		16	3.02		7	1.32		3	0.57		0	0.00		0	0.00		0	0.00		6	1.13		217	41.02		0	0.00		0	0.00		125	23.63		5	0.95		56	10.59		0	0.00		2	0.38		89	16.82		1	0.19		2	0.38		529	95.83		23	4.17		552	0.63
