House of Representatives - 2001 Election: Victoria							
Swing to ALP							
By Division by Polling Place						
							
Aston							
							
Polling Place	Formal	BOLAND		PEARCE		Swing	
	Votes	(ALP)	%	(LP)	%	%	
POSTAL	3939	2002	50.83	1937	49.17	-	
PRE POLL	4391	2204	50.19	2187	49.81	-	
PROVISIONAL	839	506	60.31	333	39.69	-	
Division Total	80549	42471	52.73	38078	47.27	5.50	
							
							
Batman							
							
Polling Place	Formal	FERGUSON		DAVIES		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Alphington	1377	981	71.24	396	28.76	0.35	
Alphington North	1380	1012	73.33	368	26.67	-1.54	
Bell	1910	1488	77.91	422	22.09	-0.48	
Boldrewood	1708	1318	77.17	390	22.83	-2.32	
Burbank	1103	834	75.61	269	24.39	-3.89	
Croxton	1451	1179	81.25	272	18.75	0.09
Faircote	527	392	74.38	135	25.62	-1.12
Fairfield	2112	1586	75.09	526	24.91	1.08
Fairfield North	1097	810	73.84	287	26.16	-0.73
Keon Park	796	578	72.61	218	27.39	-4.22
Kingsbury	1902	1356	71.29	546	28.71	0.54
Melbourne (Batman)	120	93	77.50	27	22.50	3.08
Merrilands	1845	1452	78.70	393	21.30	-1.81
Murray	1230	887	72.11	343	27.89	-3.94
Newlands	1412	1084	76.77	328	23.23	-3.05
Northcote	3352	2696	80.43	656	19.57	0.17
Northcote North	1579	1233	78.09	346	21.91	-1.08
Northcote South	2578	2082	80.76	496	19.24	1.91
Northcote West	838	643	76.73	195	23.27	-1.90
Oakhill	1260	874	69.37	386	30.63	0.68
Preston	1399	1085	77.56	314	22.44	-2.91
Preston East	2342	1798	76.77	544	23.23	-2.89
Preston North	563	432	76.73	131	23.27	-4.03
Preston North East	1840	1546	84.02	294	15.98	-1.09
Preston South	1515	1229	81.12	286	18.88	-1.23
Preston West	2496	1887	75.60	609	24.40	-2.18
Regent	2155	1640	76.10	515	23.90	-1.15
Regent West	995	675	67.84	320	32.16	0.36
Reservoir	1463	1051	71.84	412	28.16	-1.79
Reservoir Central	2159	1539	71.28	620	28.72	-2.99
Reservoir East	977	722	73.90	255	26.10	-4.67
Reservoir North	2674	1997	74.68	677	25.32	-0.77
Reservoir North East	1433	1071	74.74	362	25.26	-2.48
Reservoir South	986	692	70.18	294	29.82	2.45
Reservoir West	1311	904	68.95	407	31.05	-1.18
Ruthven	3701	2768	74.79	933	25.21	-3.43
Special Hospital Team 1	276	177	64.13	99	35.87	13.49
Special Hospital Team 2	246	94	38.21	152	61.79	-	
Thornbury	3021	2343	77.56	678	22.44	-0.46	
Thornbury East	2711	2064	76.13	647	23.87	-3.07	
Thornbury South	2794	2166	77.52	628	22.48	-0.84	
Westgarth	1189	967	81.33	222	18.67	0.66	
ABSENT	5242	3739	71.33	1503	28.67	-	
POSTAL	2635	1754	66.57	881	33.43	-	
PRE POLL	3047	2184	71.68	863	28.32	-	
PROVISIONAL	473	376	79.49	97	20.51	-	
Division Total	79220	59478	75.08	19742	24.92	-1.35	
							
							
Bendigo							
							
Polling Place	Formal	GIBBONS		SHARKEY		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Axedale	550	223	40.55	327	59.45	2.54
Bealiba	187	81	43.32	106	56.68	0.07
Bendigo Base Hospital	245	150	61.22	95	38.78	5.16
Bendigo Central	1893	1039	54.89	854	45.11	-1.14
Bendigo East	697	394	56.53	303	43.47	1.86
Bendigo North	835	529	63.35	306	36.65	2.35
Big Hill	502	226	45.02	276	54.98	-2.39
Bowenvale	243	118	48.56	125	51.44	-3.18
Bridgewater	423	145	34.28	278	65.72	1.90
California Gully	1070	669	62.52	401	37.48	-2.87
Campbells Creek	1005	564	56.12	441	43.88	-4.00
Carisbrook	758	371	48.94	387	51.06	0.26
Castlemaine	2365	1473	62.28	892	37.72	2.37
Castlemaine North	1388	867	62.46	521	37.54	1.77
Central Deborah	704	366	51.99	338	48.01	-4.97
Chewton	474	316	66.67	158	33.33	0.14
Comet Hill	1524	898	58.92	626	41.08	-3.36
Dunolly	766	389	50.78	377	49.22	-2.85
Eaglehawk	2591	1556	60.05	1035	39.95	-2.75
Eaglehawk North	425	277	65.18	148	34.82	3.65
Elmore	557	201	36.09	356	63.91	0.76
Elphinstone	308	166	53.90	142	46.10	-1.10
Eppalock	317	159	50.16	158	49.84	8.54
Epsom	1133	534	47.13	599	52.87	0.00
Flora Hill	2256	1108	49.11	1148	50.89	1.64
Golden Square	3205	1805	56.32	1400	43.68	-0.45
Golden Square South	1258	614	48.81	644	51.19	-2.62
Goornong	296	120	40.54	176	59.46	-1.03
Guildford	228	136	59.65	92	40.35	-1.22
Harcourt	801	435	54.31	366	45.69	1.30
Heathcote	1790	967	54.02	823	45.98	-0.76
Huntly	1025	467	45.56	558	54.44	-2.96
Inglewood	680	305	44.85	375	55.15	0.14
Ironbark	1088	682	62.68	406	37.32	0.92
Jobs Gully	1326	859	64.78	467	35.22	5.20
Junortoun	569	266	46.75	303	53.25	-1.49
Kangaroo Flat	3588	1976	55.07	1612	44.93	-0.46
Kangaroo Flat South	1253	680	54.27	573	45.73	-1.85
Kennington	1253	635	50.68	618	49.32	2.49
Korong Vale	199	90	45.23	109	54.77	0.96
Laanecoorie	133	44	33.08	89	66.92	10.10
Lockwood	752	383	50.93	369	49.07	-0.83
Long Gully	897	582	64.88	315	35.12	1.18
Maiden Gully	1338	662	49.48	676	50.52	-2.34
Maldon	1308	740	56.57	568	43.43	0.87
Mandurang	401	200	49.88	201	50.12	-1.16
Marong	518	268	51.74	250	48.26	1.24
Maryborough	3236	1872	57.85	1364	42.15	1.59
Maryborough East	1807	1122	62.09	685	37.91	0.23
Melbourne (Bendigo)	74	39	52.70	35	47.30	-13.21
Newbridge	206	88	42.72	118	57.28	4.14
Newstead	700	403	57.57	297	42.43	-0.88
Quarry Hill	980	567	57.86	413	42.14	-0.79
Raywood	350	155	44.29	195	55.71	3.06
Redesdale	278	115	41.37	163	58.63	0.42
Sparrowhawk	560	442	78.93	118	21.07	-1.98
Special Hospital Team 1	134	70	52.24	64	47.76	10.63
Special Hospital Team 2	210	83	39.52	127	60.48	1.53
Special Hospital Team 3	188	77	40.96	111	59.04	7.42
Special Hospital Team 4	170	78	45.88	92	54.12	-4.48
Spring Gully	1731	859	49.62	872	50.38	-1.45
St Laurence	157	67	42.68	90	57.32	-0.18
Strath Hill	2274	939	41.29	1335	58.71	1.41
Strathdale	2345	996	42.47	1349	57.53	0.16
Strathfieldsaye	1771	814	45.96	957	54.04	1.00	
Taradale	344	193	56.10	151	43.90	0.31	
Tarnagulla	173	101	58.38	72	41.62	6.73	
Tooborac	102	37	36.27	65	63.73	2.64	
Wedderburn	723	363	50.21	360	49.79	4.86	
Weeroona	1933	1136	58.77	797	41.23	1.46	
White Hills	1524	819	53.74	705	46.26	-1.05	
