House of Representatives - 2001 Election: Victoria							
Swing to ALP							
By Division by Polling Place						
							
Aston							
							
Polling Place	Formal	BOLAND		PEARCE		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Highton North	3144	1194	37.98	1950	62.02	1.93
Highton South	2430	1083	44.57	1347	55.43	3.97
Inverleigh	593	256	43.17	337	56.83	-3.82
Irrewillipe	143	30	20.98	113	79.02	-0.35
Lavers Hill	180	89	49.44	91	50.56	10.26
Lethbridge	422	211	50.00	211	50.00	-0.77
Lorne	798	409	51.25	389	48.75	5.74
Mandama	2758	1312	47.57	1446	52.43	-0.33
Melbourne (Corangamite)	65	33	50.77	32	49.23	-9.23
Meredith	472	205	43.43	267	56.57	2.23
Moriac	800	288	36.00	512	64.00	0.57
Mount Duneed	454	183	40.31	271	59.69	-1.30
Oberon	1824	939	51.48	885	48.52	-1.24
Oberon South	1524	731	47.97	793	52.03	-1.54
Ocean Grove	2796	1368	48.93	1428	51.07	-1.13
Pirron Yallock (Corangamite)	158	33	20.89	125	79.11	-3.77
Point Lonsdale	1692	657	38.83	1035	61.17	0.97
Portarlington	2156	1078	50.00	1078	50.00	-0.85
Queenscliff	808	407	50.37	401	49.63	2.63
Rokewood	199	66	33.17	133	66.83	-2.44
Shelford	168	52	30.95	116	69.05	6.61
Simpson (Corangamite)	184	19	10.33	165	89.67	3.52	
Special Hospital Team 1	131	40	30.53	91	69.47	-3.56	
Special Hospital Team 2	60	14	23.33	46	76.67	-2.90	
St Leonards	1253	682	54.43	571	45.57	-1.00	
Teesdale	611	357	58.43	254	41.57	1.06	
Torquay	2552	1233	48.32	1319	51.68	-2.96	
Torquay North	1868	996	53.32	872	46.68	2.06	
Wallington	730	266	36.44	464	63.56	-1.75	
Warrion	151	40	26.49	111	73.51	-6.64	
Winchelsea	1099	539	49.04	560	50.96	1.77	
Wiridjil (Corangamite)	93	13	13.98	80	86.02	0.42	
Wurdi Boluc	155	70	45.16	85	54.84	5.43	
ABSENT	4740	2173	45.84	2567	54.16	-	
POSTAL	3997	1349	33.75	2648	66.25	-	
PRE POLL	4351	1898	43.62	2453	56.38	-	
PROVISIONAL	485	233	48.04	252	51.96	-	
Division Total	79992	35463	44.33	44529	55.67	-1.17	
							
							
Corio							
							
Polling Place	Formal	O'CONNOR		MALESIC		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Aberdeen	1228	467	38.03	761	61.97	-0.53	
Anakie	445	174	39.10	271	60.90	-5.91	
Barwon	1006	535	53.18	471	46.82	-7.58	
Batesford	179	92	51.40	87	48.60	-4.78	
Bell Park	3930	2342	59.59	1588	40.41	-2.25	
Breakwater	607	406	66.89	201	33.11	-4.88	
Britannia	1280	795	62.11	485	37.89	-2.86	
Chilwell	2628	1252	47.64	1376	52.36	-1.38	
Clifton Springs	3056	1541	50.43	1515	49.57	-0.34	
Corio	3690	2772	75.12	918	24.88	-3.62
Corio Central	3015	2235	74.13	780	25.87	-2.92
Corio West	0	0	0.00	0	0.00	-77.72
Drysdale (Corio)	1784	849	47.59	935	52.41	-3.74
Fyans Park	1082	396	36.60	686	63.40	-0.97
Geelong East	2507	1418	56.56	1089	43.44	-0.19
Geelong West	2932	1860	63.44	1072	36.56	0.76
Hamlyn Heights	3619	2070	57.20	1549	42.80	-1.77
Herne Hill	1232	737	59.82	495	40.18	-0.37
Kardinia Park	924	559	60.50	365	39.50	0.40
Lara	3423	1811	52.91	1612	47.09	-1.24
Lara Central	2514	1308	52.03	1206	47.97	-2.12
Leopold	2520	1147	45.52	1373	54.48	-4.44
Leopold South	1532	702	45.82	830	54.18	-1.12
Manifold Heights	1831	966	52.76	865	47.24	-3.01
Melbourne (Corio)	57	19	33.33	38	66.67	-18.84
Moolap	693	351	50.65	342	49.35	3.35	
Newcomb	2197	1360	61.90	837	38.10	-3.40	
Newcomb South	1229	733	59.64	496	40.36	-2.90	
Norlane	4766	3630	76.16	1136	23.84	-3.82	
North Shore	2059	1625	78.92	434	21.08	-3.34	
Rollins	1291	816	63.21	475	36.79	-0.08	
Shannon	1213	642	52.93	571	47.07	2.93	
Special Hospital Team 1	115	66	57.39	49	42.61	-6.25	
Special Hospital Team 2	98	54	55.10	44	44.90	-3.49	
St Helens	838	472	56.32	366	43.68	-1.36	
Thomson	1502	984	65.51	518	34.49	-3.65	
Whittington	3548	2297	64.74	1251	35.26	-4.17	
ABSENT	3367	1843	54.74	1524	45.26	-	
POSTAL	3634	1841	50.66	1793	49.34	-	
PRE POLL	3788	2185	57.68	1603	42.32	-	
PROVISIONAL	639	435	68.08	204	31.92	-	
Division Total	77998	45787	58.70	32211	41.30	-2.66	
							
							
Deakin							
							
Polling Place	Formal	BUCKINGHAM		BARRESI		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Antonio Park	1507	689	45.72	818	54.28	-3.10	
Bedford Road	1515	796	52.54	719	47.46	0.70	
Blackburn	1373	607	44.21	766	55.79	5.26	
Blackburn Lake	2318	1058	45.64	1260	54.36	0.50	
Blackburn North	1760	859	48.81	901	51.19	1.92	
Blackburn South	3287	1637	49.80	1650	50.20	1.30	
Blackburn West	4322	2301	53.24	2021	46.76	0.89	
Burwood Heights	3541	1945	54.93	1596	45.07	1.17	
Croydon South	2551	1174	46.02	1377	53.98	-3.26	
Croydon Town	1412	603	42.71	809	57.29	-0.97
Eastwood	2288	1148	50.17	1140	49.83	2.51
Eley Park	2276	1271	55.84	1005	44.16	-1.42
Forest Hill	1249	615	49.24	634	50.76	1.86
Glen Park	638	349	54.70	289	45.30	0.60
Heatherdale	1425	733	51.44	692	48.56	-2.24
Heathmont (Deakin)	1166	567	48.63	599	51.37	3.13
Inala Village	405	160	39.51	245	60.49	7.11
Kalinda	1724	684	39.68	1040	60.32	-1.35
Laburnum	1714	812	47.37	902	52.63	0.12
Melbourne (Deakin)	90	45	50.00	45	50.00	12.79
Mitcham	1463	734	50.17	729	49.83	1.22
Mitcham North	2202	1137	51.63	1065	48.37	0.58
Mullum	1454	635	43.67	819	56.33	0.47
Norwood	1111	464	41.76	647	58.24	0.40
Nunawading	1834	1025	55.89	809	44.11	-2.15
Nunawading South	2592	1287	49.65	1305	50.35	-1.04
Parkwood	1231	481	39.07	750	60.93	2.08
Rangeview	1875	852	45.44	1023	54.56	-1.07
Ringwood	1595	762	47.77	833	52.23	-2.88
Ringwood East	1601	779	48.66	822	51.34	1.05
Ringwood Heights	1539	691	44.90	848	55.10	0.24
Ringwood North (Deakin)	1304	473	36.27	831	63.73	-6.58
Ringwood South	2828	1423	50.32	1405	49.68	-0.88
Special Hospital Team 1	33	11	33.33	22	66.67	-1.15
Special Hospital Team 2	220	86	39.09	134	60.91	9.55
Springview	2128	1094	51.41	1034	48.59	-0.32
Tally Ho (Deakin)	1541	775	50.29	766	49.71	-1.94
Tinternvale	1842	837	45.44	1005	54.56	-0.18
Vermont North	1248	549	43.99	699	56.01	-0.17
ABSENT	5117	2556	49.95	2561	50.05	-
POSTAL	4359	1877	43.06	2482	56.94	-
PRE POLL	3200	1465	45.78	1735	54.22	-	
PROVISIONAL	298	168	56.38	130	43.62	-	
Division Total	79176	38214	48.26	40962	51.74	0.20	
							
							
Dunkley							
							
Polling Place	Formal	CONROY		BILLSON		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Aldercourt	1506	981	65.14	525	34.86	-7.97	
Baden Powell	1853	567	30.60	1286	69.40	1.20	
Ballam Park	2287	1139	49.80	1148	50.20	-6.36	
Belvedere Park (Dunkley)	1031	571	55.38	460	44.62	-3.50	
Bruce Park	1567	760	48.50	807	51.50	3.03	
Derinya	2250	726	32.27	1524	67.73	-1.28	
Frankston	2349	1076	45.81	1273	54.19	-5.30	
Frankston Beach	987	373	37.79	614	62.21	-4.00
Frankston East	2062	1039	50.39	1023	49.61	-0.76
Frankston Forest	1717	1105	64.36	612	35.64	-6.62
Frankston Heights	1236	649	52.51	587	47.49	-1.41
Frankston Rail	1514	848	56.01	666	43.99	-5.88
Frankston South	3046	1327	43.57	1719	56.43	-4.15
Kananook	1955	1067	54.58	888	45.42	-3.86
Karingal	2516	1348	53.58	1168	46.42	-0.36
Karingal Heights	2603	1319	50.67	1284	49.33	-1.64
Kingsley Park	1969	898	45.61	1071	54.39	-3.83
Kunyung	1987	698	35.13	1289	64.87	-0.56
Langwarrin	4955	2217	44.74	2738	55.26	-3.99
Langwarrin North	999	431	43.14	568	56.86	-5.03
Langwarrin Park	2998	1220	40.69	1778	59.31	-4.57
Melbourne (Dunkley)	45	22	48.89	23	51.11	11.15
Mornington	3376	1262	37.38	2114	62.62	-3.00
Mornington East	1927	783	40.63	1144	59.37	-1.44
Mornington South	2644	1129	42.70	1515	57.30	-4.56
Mt Eliza	4399	1399	31.80	3000	68.20	0.90
Mt Eliza Central	1034	210	20.31	824	79.69	1.97
Mt Eliza North	1108	294	26.53	814	73.47	-0.92
Mt Erin (Dunkley)	1618	612	37.82	1006	62.18	-4.59
Mt Martha North (Dunkley)	372	164	44.09	208	55.91	-1.14
Seaford	1871	1090	58.26	781	41.74	-5.59
Seaford North	1448	783	54.07	665	45.93	-5.11
Skye (Dunkley)	346	204	58.96	142	41.04	11.07
Special Hospital Team 1	241	105	43.57	136	56.43	1.16
Special Hospital Team 2	147	51	34.69	96	65.31	1.52
Special Hospital Team 3	319	111	34.80	208	65.20	-
Tanti Park	2034	1081	53.15	953	46.85	-7.54
ABSENT	3850	1794	46.60	2056	53.40	-
POSTAL	3631	1452	39.99	2179	60.01	-
PRE POLL	4143	1800	43.45	2343	56.55	-	
PROVISIONAL	620	318	51.29	302	48.71	-	
Division Total	78560	35023	44.58	43537	55.42	-3.38	
							
							
Flinders							
							
Polling Place	Formal	FINCH		HUNT		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Balnarring	1608	688	42.79	920	57.21	-1.94	
Bass	300	116	38.67	184	61.33	1.90	
Baxter	1780	754	42.36	1026	57.64	-6.68	
Bayles	342	113	33.04	229	66.96	3.70	
Bittern	1245	582	46.75	663	53.25	-4.90	
Blairgowrie	1496	613	40.98	883	59.02	-4.29	
Blind Bight	750	341	45.47	409	54.53	0.88	
Boneo	519	188	36.22	331	63.78	-9.25
Cardinia	274	90	32.85	184	67.15	3.19
Catani	161	39	24.22	122	75.78	3.27
Clyde	537	162	30.17	375	69.83	-1.50
Corinella	762	422	55.38	340	44.62	-3.81
Cowes	2668	1162	43.55	1506	56.45	-5.70
Cranbourne (Flinders)	514	234	45.53	280	54.47	1.82
Cranbourne South	952	319	33.51	633	66.49	-4.96
Crib Point	1181	622	52.67	559	47.33	-3.29
Dalyston	325	120	36.92	205	63.08	-4.15
Devon Meadows	1449	575	39.68	874	60.32	-5.08
Dromana	2886	1261	43.69	1625	56.31	-4.17
Dromana Beach	574	254	44.25	320	55.75	-7.09
Flinders	538	212	39.41	326	60.59	6.49
Glen Alvie	86	26	30.23	60	69.77	7.16
Grantville	640	319	49.84	321	50.16	-0.25
Hastings	2673	1400	52.38	1273	47.62	-5.11
Kernot	129	29	22.48	100	77.52	0.86
Kilcunda	202	96	47.52	106	52.48	-1.66
Kooweerup	1007	387	38.43	620	61.57	3.07
Lang Lang	979	316	32.28	663	67.72	-4.74
Main Ridge	214	74	34.58	140	65.42	-1.98
McCrae	785	307	39.11	478	60.89	-0.17
Melbourne (Flinders)	39	19	48.72	20	51.28	25.99
Merricks North	246	94	38.21	152	61.79	-4.53
Moorooduc	526	140	26.62	386	73.38	3.30
Mt Erin (Flinders)	988	370	37.45	618	62.55	-0.07
Mt Martha	3517	1270	36.11	2247	63.89	-3.70
Mt Martha North (Flinders)	2660	1017	38.23	1643	61.77	-4.19
Newhaven	861	448	52.03	413	47.97	-1.72
Nyora	584	251	42.98	333	57.02	4.74
Pearcedale	1960	842	42.96	1118	57.04	0.14
Portsea	253	61	24.11	192	75.89	-4.68
Red Hill	1205	506	41.99	699	58.01	0.04
Rhyll	539	195	36.18	344	63.82	-5.04
Rosebud	1264	602	47.63	662	52.37	-7.60
Rosebud East	1946	1011	51.95	935	48.05	-4.63
Rosebud South	2066	858	41.53	1208	58.47	-6.88
Rosebud West	2339	1177	50.32	1162	49.68	-4.40
Rye	3726	1852	49.70	1874	50.30	-4.46
Safety Beach	1373	575	41.88	798	58.12	-4.29
San Remo	771	340	44.10	431	55.90	0.27
Shoreham	345	164	47.54	181	52.46	0.49
Somers	776	328	42.27	448	57.73	-3.94
Somerville East	2479	995	40.14	1484	59.86	-6.93
Somerville West	2660	979	36.80	1681	63.20	-8.96
Sorrento	1222	421	34.45	801	65.55	-1.47
Special Hospital Team 1	1323	403	30.46	920	69.54	-4.10
Special Hospital Team 2	436	179	41.06	257	58.94	0.79	
St Andrews Beach	426	211	49.53	215	50.47	-3.16	
Tooradin	648	237	36.57	411	63.43	-8.47	
Tootgarook	1409	735	52.16	674	47.84	-3.39	
Tyabb	1404	530	37.75	874	62.25	-5.39	
West Park	802	493	61.47	309	38.53	-4.28	
ABSENT	4620	1927	41.71	2693	58.29	-	
POSTAL	4160	1583	38.05	2577	61.95	-	
PRE POLL	6572	2829	43.05	3743	56.95	-	
PROVISIONAL	597	270	45.23	327	54.77	-	
Division Total	84318	35733	42.38	48585	57.62	-3.90	
							
							
Gellibrand							
							
Polling Place	Formal	ROXON		TANN		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Albion	2225	1638	73.62	587	26.38	-6.68	
Altona East	3032	2330	76.85	702	23.15	-4.59	
Altona Gate	2081	1545	74.24	536	25.76	-3.79	
Altona North	1161	821	70.71	340	29.29	-4.21	
Ardeer	1140	797	69.91	343	30.09	-1.39	
Ardeer East (Gellibrand)	1067	849	79.57	218	20.43	-3.76	
Braybrook	2655	2139	80.56	516	19.44	-5.33	
Brooklyn	718	495	68.94	223	31.06	-0.82	
Footscray	2624	2018	76.91	606	23.09	-7.13	
Footscray Central	1019	787	77.23	232	22.77	-4.18	
Footscray East	654	500	76.45	154	23.55	-5.60	
Footscray North	1194	883	73.95	311	26.05	-7.50	
Footscray South	1262	941	74.56	321	25.44	-9.55	
Footscray West	3411	2553	74.85	858	25.15	-5.15	
Glengala (Gellibrand)	789	608	77.06	181	22.94	-1.91	
Kingsville	2499	1854	74.19	645	25.81	-3.75
Kingsville West	1487	1091	73.37	396	26.63	-2.62
Maidstone	1892	1427	75.42	465	24.58	-6.55
Maribyrnong	1643	991	60.32	652	39.68	-4.97
Maribyrnong South	1274	943	74.02	331	25.98	-3.21
Melbourne (Gellibrand)	102	63	61.76	39	38.24	-17.40
Newport	1781	1244	69.85	537	30.15	-3.75
Newport East	1505	1045	69.44	460	30.56	-2.94
Newport West	1858	1359	73.14	499	26.86	-5.81
Seddon	2049	1519	74.13	530	25.87	-4.36
South Kingsville	1243	900	72.41	343	27.59	-3.27
Special Hospital Team 1	260	149	57.31	111	42.69	-14.55
Spotswood	1124	765	68.06	359	31.94	-6.08
Sunshine	1543	1162	75.31	381	24.69	-2.20
Sunshine North	3063	2381	77.73	682	22.27	-4.67
Sunvale	2115	1502	71.02	613	28.98	-4.88
Tottenham North	1219	991	81.30	228	18.70	-1.83	
Western Hospital	367	276	75.20	91	24.80	-2.36	
Williamstown	2254	1396	61.93	858	38.07	-0.88	
Williamstown North	1354	833	61.52	521	38.48	-2.35	
Williamstown South	2423	1526	62.98	897	37.02	-1.41	
Williamstown West	2412	1304	54.06	1108	45.94	-3.33	
Yarraville	1444	1043	72.23	401	27.77	-7.29	
Yarraville Central	1995	1457	73.03	538	26.97	-3.75	
Yarraville South	1467	1026	69.94	441	30.06	-5.54	
ABSENT	4473	3068	68.59	1405	31.41	-	
POSTAL	2605	1839	70.60	766	29.40	-	
PRE POLL	3222	2262	70.20	960	29.80	-	
PROVISIONAL	660	494	74.85	166	25.15	-	
Division Total	76365	54814	71.78	21551	28.22	-4.13	
							
							
Gippsland							
							
Polling Place	Formal	BOLITHO		McGAURAN		Swing	
	Votes	(ALP)	%	(NP)	%	%	
Alberton	316	116	36.71	200	63.29	1.84	
Arawata	129	30	23.26	99	76.74	-2.77	
Bairnsdale	1923	898	46.70	1025	53.30	4.33	
Bairnsdale East	506	283	55.93	223	44.07	2.97	
Bairnsdale West	2767	1160	41.92	1607	58.08	-2.39	
Bemm River	79	32	40.51	47	59.49	-5.11	
Bena	208	50	24.04	158	75.96	1.43	
Benambra	130	26	20.00	104	80.00	8.98	
Bendoc	84	28	33.33	56	66.67	-1.83	
Berrys Creek	106	11	10.38	95	89.62	-2.39	
Boisdale	181	61	33.70	120	66.30	5.74	
Bonang	59	23	38.98	36	61.02	1.95	
Briagolong	507	253	49.90	254	50.10	1.24
Bruthen	704	377	53.55	327	46.45	3.28
Buchan	234	112	47.86	122	52.14	6.48
Bundalaguah	276	73	26.45	203	73.55	1.77
Cann River	233	102	43.78	131	56.22	4.12
Cape Paterson	418	258	61.72	160	38.28	1.45
Carrajung South	117	47	40.17	70	59.83	-1.10
Cobains	205	55	26.83	150	73.17	6.64
Coongulla	110	56	50.91	54	49.09	-5.97
Cowwarr	238	92	38.66	146	61.34	4.14
Dargo	116	38	32.76	78	67.24	5.31
Denison	197	32	16.24	165	83.76	1.02
Devon North	255	65	25.49	190	74.51	-6.68
Dudley	390	217	55.64	173	44.36	-3.14
Dumbalk	359	98	27.30	261	72.70	-2.11
Eagle Point	547	243	44.42	304	55.58	1.80
Ellaswood	156	57	36.54	99	63.46	-1.78
Ensay	139	46	33.09	93	66.91	0.55
Fernbank	74	19	25.68	55	74.32	-10.32
Fish Creek	591	202	34.18	389	65.82	2.64
Foster	1296	572	44.14	724	55.86	-2.25
Genoa	83	34	40.96	49	59.04	-3.83
Glengarry	687	311	45.27	376	54.73	5.35
Glenmaggie	98	34	34.69	64	65.31	6.60
Golden Beach	194	115	59.28	79	40.72	-8.16
Gormandale	328	120	36.59	208	63.41	-1.45
Heyfield	1207	522	43.25	685	56.75	-3.19
Inverloch	2239	1164	51.99	1075	48.01	0.51
Johnsonville	537	213	39.66	324	60.34	-1.89
Kilmany	113	29	25.66	84	74.34	4.89
Kongwak	216	66	30.56	150	69.44	4.03
Koonwarra	282	78	27.66	204	72.34	-2.52
Korumburra	2279	949	41.64	1330	58.36	-0.17
Lakes Entrance	3278	1378	42.04	1900	57.96	0.72
Leongatha	3256	1114	34.21	2142	65.79	2.33
Leongatha South	166	27	16.27	139	83.73	-5.39
Lindenow	736	248	33.70	488	66.30	6.52
Loch	246	75	30.49	171	69.51	-2.48
Loch Sport	503	256	50.89	247	49.11	-3.84
Longford	593	218	36.76	375	63.24	2.19
Lucknow	1263	511	40.46	752	59.54	-0.88
Maffra	2624	1038	39.56	1586	60.44	-1.06
Mallacoota	626	323	51.60	303	48.40	-3.35
Mardan	102	19	18.63	83	81.37	0.00
Marlo	317	147	46.37	170	53.63	2.46
Meeniyan	704	267	37.93	437	62.07	2.53
Meerlieu	130	39	30.00	91	70.00	-3.09
Melbourne (Gippsland)	67	28	41.79	39	58.21	0.28
Metung	544	198	36.40	346	63.60	4.01
Mirboo North	1354	649	47.93	705	52.07	-1.36
Mount Eccles	136	39	28.68	97	71.32	3.68
Nambrok	212	35	16.51	177	83.49	4.39
Nerrena	150	27	18.00	123	82.00	-4.46
Newmerella	276	85	30.80	191	69.20	-1.07
Newry	252	58	23.02	194	76.98	1.84
Nicholson	644	311	48.29	333	51.71	-0.38
Nowa Nowa	197	91	46.19	106	53.81	-4.66
Nungurner	171	80	46.78	91	53.22	9.20
Omeo	307	112	36.48	195	63.52	5.77
Orbost	1376	592	43.02	784	56.98	1.18
Paynesville	2109	888	42.11	1221	57.89	0.68
Poowong	506	143	28.26	363	71.74	1.40
Port Albert	207	105	50.72	102	49.28	-0.21
Port Franklin	113	34	30.09	79	69.91	-2.32
Rosedale	923	436	47.24	487	52.76	7.90
Sale	3165	1294	40.88	1871	59.12	1.64
Sale East	2005	647	32.27	1358	67.73	0.77
Sale North	2092	963	46.03	1129	53.97	0.72
Seaspray	264	108	40.91	156	59.09	-3.19
Special Hospital Team 1	182	49	26.92	133	73.08	-2.15
Special Hospital Team 2	131	53	40.46	78	59.54	-3.06
Special Hospital Team 3	168	51	30.36	117	69.64	-1.00
Staceys Bridge	132	21	15.91	111	84.09	-0.76
Stradbroke	134	50	37.31	84	62.69	-3.49
Stratford	1392	560	40.23	832	59.77	1.67
Swifts Creek	266	124	46.62	142	53.38	1.46
Tarwin Lower	592	263	44.43	329	55.57	-0.33
Tinamba	242	46	19.01	196	80.99	1.07
Toongabbie	422	216	51.18	206	48.82	-7.43
Toora	517	219	42.36	298	57.64	-2.60
Toorloo Arm	560	280	50.00	280	50.00	6.70	
Valencia Creek	124	44	35.48	80	64.52	11.67	
Welshpool	532	196	36.84	336	63.16	-2.38	
Won Wron	106	44	41.51	62	58.49	7.32	
Wonthaggi	1894	1197	63.20	697	36.80	1.30	
Wonthaggi North	1777	1000	56.27	777	43.73	-1.69	
Woodside	340	158	46.47	182	53.53	6.79	
Wurruk	350	128	36.57	222	63.43	-0.06	
Wy Yung	737	224	30.39	513	69.61	0.26	
Yanakie	168	62	36.90	106	63.10	-3.48	
Yarram	1408	585	41.55	823	58.45	3.93	
ABSENT	3939	1834	46.56	2105	53.44	-	
POSTAL	2487	962	38.68	1525	61.32	-	
PRE POLL	3295	1302	39.51	1993	60.49	-	
PROVISIONAL	331	157	47.43	174	52.57	-	
Division Total	75753	31775	41.95	43978	58.05	0.78	
							
							
Goldstein							
							
Polling Place	Formal	POWNING		KEMP		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Beaumaris	1453	403	27.74	1050	72.26	0.09	
Beaumaris Central	3305	1048	31.71	2257	68.29	1.58	
Beaumaris East (Goldstein)	1267	475	37.49	792	62.51	1.52	
Beaumaris North	1062	341	32.11	721	67.89	-0.73	
Bentleigh	2921	1397	47.83	1524	52.17	-4.34	
Bentleigh Central (Goldstein)	1233	605	49.07	628	50.93	0.65	
Bentleigh West	1942	946	48.71	996	51.29	-3.44	
Black Rock	1709	648	37.92	1061	62.08	1.48	
Black Rock South	1662	508	30.57	1154	69.43	-2.04	
Brighton	3785	1196	31.60	2589	68.40	0.87	
Brighton Beach	1937	472	24.37	1465	75.63	0.96
Brighton East	1942	749	38.57	1193	61.43	-3.27
Brighton High	1059	373	35.22	686	64.78	-1.11
Carnegie	1356	774	57.08	582	42.92	-1.61
Cheltenham (Goldstein)	1136	499	43.93	637	56.07	1.09
Cheltenham West	824	419	50.85	405	49.15	0.44
Dendy	2504	738	29.47	1766	70.53	-1.03
Elsternwick South	1042	465	44.63	577	55.37	0.34
Gardenvale	2556	789	30.87	1767	69.13	0.35
Glenhuntly	2902	1185	40.83	1717	59.17	-5.90
Glenhuntly East	2287	1246	54.48	1041	45.52	-2.94
Hampton	2625	1024	39.01	1601	60.99	-0.18
Hampton Central	1508	685	45.42	823	54.58	0.43
Hemming	468	246	52.56	222	47.44	-4.70
Highett	2358	1259	53.39	1099	46.61	-4.17
Highett West	1906	895	46.96	1011	53.04	-5.93
Holloway	1051	392	37.30	659	62.70	-0.91
Landcox	1359	577	42.46	782	57.54	-0.17
Ludstone	2164	986	45.56	1178	54.44	-2.19
McKinnon	2764	1321	47.79	1443	52.21	-3.44
McKinnon East	1697	887	52.27	810	47.73	1.67
Melbourne (Goldstein)	93	36	38.71	57	61.29	-1.02
Middle Brighton	2644	700	26.48	1944	73.52	0.35
Moorabbin West	1625	877	53.97	748	46.03	-3.82
Ormond	1392	739	53.09	653	46.91	-4.69
Ormond West	1775	851	47.94	924	52.06	-1.33
Sandringham	1825	743	40.71	1082	59.29	1.47
Sandringham North	1666	744	44.66	922	55.34	-2.09
Special Hospital Team 1	111	40	36.04	71	63.96	7.97
Special Hospital Team 2	192	62	32.29	130	67.71	5.85
ABSENT	5150	2230	43.30	2920	56.70	-
POSTAL	4061	1241	30.56	2820	69.44	-
PRE POLL	3925	1508	38.42	2417	61.58	-	
PROVISIONAL	338	140	41.42	198	58.58	-	
Division Total	82581	33459	40.52	49122	59.48	-1.33	
							
							
Higgins							
							
Polling Place	Formal	STEPHENS		COSTELLO		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Alamein	800	480	60.00	320	40.00	-1.51	
Armadale	1864	686	36.80	1178	63.20	-0.68	
Ashburton	2389	1152	48.22	1237	51.78	1.33	
Burwood	1059	479	45.23	580	54.77	2.64	
Burwood West	1167	507	43.44	660	56.56	3.67	
Camberwell	1204	428	35.55	776	64.45	-1.47	
Camberwell Middle	1172	426	36.35	746	63.65	1.20	
Camberwell South	2393	909	37.99	1484	62.01	2.24
Carnegie North	1506	627	41.63	879	58.37	-0.52
Carnegie Upper	1327	765	57.65	562	42.35	-0.65
Chadstone	2137	1109	51.90	1028	48.10	2.28
Darling	1116	308	27.60	808	72.40	-5.15
Fawkner Park (Higgins)	1633	751	45.99	882	54.01	3.73
Ferndale	793	281	35.44	512	64.56	-2.08
Gardiner	2006	850	42.37	1156	57.63	-0.72
Glen Iris	2771	1089	39.30	1682	60.70	1.05
Glen Iris South	1667	729	43.73	938	56.27	3.36
Hartwell West	577	253	43.85	324	56.15	3.66
Hawksburn	2994	1132	37.81	1862	62.19	-1.63
Hawksburn Central	1088	637	58.55	451	41.45	0.23
Hughesdale North	611	374	61.21	237	38.79	7.20
Kooyong Park	1345	316	23.49	1029	76.51	4.33
Malvern	2810	1079	38.40	1731	61.60	0.84
Malvern Central	1647	763	46.33	884	53.67	2.55
Malvern East	3621	1620	44.74	2001	55.26	2.40
Malvern Lower	1764	439	24.89	1325	75.11	0.25
Malvern South	3551	1420	39.99	2131	60.01	2.58
Malvern West	912	363	39.80	549	60.20	-2.39
Melbourne (Higgins)	220	112	50.91	108	49.09	3.97
Murrumbeena	1732	884	51.04	848	48.96	2.04
Oakleigh (Higgins)	289	177	61.25	112	38.75	9.70
Orrong	1675	821	49.01	854	50.99	0.74
Prahran	1954	1234	63.15	720	36.85	-0.64
Prahran East	2882	1633	56.66	1249	43.34	-2.27
South Yarra	650	375	57.69	275	42.31	1.12
Special Hospital Team 1	214	64	29.91	150	70.09	3.93
Special Hospital Team 2	64	15	23.44	49	76.56	-5.86
Toorak	2982	603	20.22	2379	79.78	1.22
Toorak Central	1469	488	33.22	981	66.78	3.99
Toorak West	1518	391	25.76	1127	74.24	2.78	
Windsor	931	568	61.01	363	38.99	-2.92	
ABSENT	6705	2964	44.21	3741	55.79	-	
POSTAL	3916	1094	27.94	2822	72.06	-	
PRE POLL	4263	1625	38.12	2638	61.88	-	
PROVISIONAL	391	176	45.01	215	54.99	-	
Division Total	79779	33196	41.61	46583	58.39	1.23	
							
							
Holt							
							
Polling Place	Formal	BYRNE		WOOD		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Chandler	2285	1570	68.71	715	31.29	-5.55	
Cleeland	2463	1702	69.10	761	30.90	4.87	
Coomoora	4034	2828	70.10	1206	29.90	-2.80	
Coral Park	3154	2105	66.74	1049	33.26	0.50
Dandenong	2002	1242	62.04	760	37.96	-1.19
Dandenong South	1847	1450	78.51	397	21.49	-1.35
Dandenong West (Holt)	1140	796	69.82	344	30.18	-0.31
Douglas	794	583	73.43	211	26.57	1.25
Doveton	2057	1408	68.45	649	31.55	-3.04
Doveton North	1456	1081	74.24	375	25.76	-3.82
Doveton West	1232	872	70.78	360	29.22	-3.19
Endeavour Hills	3243	1972	60.81	1271	39.19	-2.73
Endeavour Hills East	5012	3010	60.06	2002	39.94	-0.78
Endeavour Hills North	1665	930	55.86	735	44.14	-2.14
Fountain Gate	3468	2000	57.67	1468	42.33	0.95
Gleneagles	3735	2372	63.51	1363	36.49	-2.35
Hallam	3596	2162	60.12	1434	39.88	-0.67
Hampton Park	3078	1968	63.94	1110	36.06	-0.69
Hampton Park East	4271	2740	64.15	1531	35.85	-0.77
