Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group  																																																															
By Polling Place																																																															
																																																															
Bruce (85447)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Rosewood Downs		71	2.46		87	3.01		14	0.48		2	0.07		1	0.03		0	0.00		55	1.90		1193	41.28		13	0.45		1	0.03		1106	38.27		16	0.55		254	8.79		0	0.00		0	0.00		75	2.60		0	0.00		2	0.07		2890	89.75		330	10.25		3220	3.94
Sandown Park		40	2.21		85	4.70		10	0.55		0	0.00		0	0.00		1	0.06		32	1.77		353	19.51		14	0.77		3	0.17		1131	62.52		10	0.55		88	4.86		0	0.00		1	0.06		41	2.27		0	0.00		0	0.00		1809	91.00		179	9.00		1988	2.43
Silverton		63	1.65		137	3.59		33	0.87		2	0.05		3	0.08		2	0.05		31	0.81		976	25.59		9	0.24		2	0.05		2143	56.19		24	0.63		315	8.26		0	0.00		1	0.03		72	1.89		0	0.00		1	0.03		3814	91.07		374	8.93		4188	5.12
The Glen		44	2.19		44	2.19		17	0.85		0	0.00		0	0.00		0	0.00		29	1.44		788	39.26		15	0.75		1	0.05		752	37.47		9	0.45		199	9.92		0	0.00		0	0.00		104	5.18		0	0.00		5	0.25		2007	93.96		129	6.04		2136	2.61
Waverley Meadows		58	3.06		46	2.42		14	0.74		1	0.05		1	0.05		0	0.00		24	1.27		808	42.59		7	0.37		0	0.00		733	38.64		10	0.53		141	7.43		1	0.05		1	0.05		51	2.69		1	0.05		0	0.00		1897	93.63		129	6.37		2026	2.48
Wayburne		19	1.51		15	1.19		11	0.88		2	0.16		0	0.00		0	0.00		13	1.04		608	48.41		5	0.40		0	0.00		389	30.97		9	0.72		108	8.60		0	0.00		3	0.24		74	5.89		0	0.00		0	0.00		1256	94.72		70	5.28		1326	1.62
Wheelers Hill		39	2.23		24	1.37		11	0.63		0	0.00		0	0.00		1	0.06		32	1.83		974	55.78		0	0.00		0	0.00		438	25.09		10	0.57		150	8.59		0	0.00		0	0.00		65	3.72		0	0.00		2	0.11		1746	94.53		101	5.47		1847	2.26
Wheelers Hill South		59	2.11		47	1.68		9	0.32		1	0.04		1	0.04		0	0.00		17	0.61		1408	50.25		15	0.54		2	0.07		926	33.05		11	0.39		232	8.28		1	0.04		1	0.04		70	2.50		0	0.00		2	0.07		2802	93.46		196	6.54		2998	3.66
Whiteside		19	1.94		46	4.71		10	1.02		3	0.31		0	0.00		2	0.20		13	1.33		186	19.04		7	0.72		1	0.10		630	64.48		2	0.20		41	4.20		0	0.00		0	0.00		16	1.64		1	0.10		0	0.00		977	90.97		97	9.03		1074	1.31
Wooranna Park		53	2.78		68	3.57		8	0.42		1	0.05		1	0.05		2	0.10		33	1.73		509	26.69		10	0.52		2	0.10		1018	53.38		9	0.47		151	7.92		0	0.00		0	0.00		42	2.20		0	0.00		0	0.00		1907	92.71		150	7.29		2057	2.51
Yarraman Park		49	3.80		63	4.88		17	1.32		2	0.15		1	0.08		3	0.23		34	2.63		302	23.39		2	0.15		2	0.15		676	52.36		6	0.46		94	7.28		0	0.00		1	0.08		37	2.87		2	0.15		0	0.00		1291	89.90		145	10.10		1436	1.76
Special Hospitals		0	0.00		0	0.00		0	0.00		1	8.33		0	0.00		0	0.00		0	0.00		6	50.00		0	0.00		0	0.00		4	33.33		0	0.00		1	8.33		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		12	92.31		1	7.69		13	0.02
Total Ordinary		1326	2.07		1706	2.67		486	0.76		33	0.05		22	0.03		39	0.06		981	1.53		24667	38.54		347	0.54		29	0.05		26692	41.70		360	0.56		5177	8.09		9	0.01		29	0.05		2049	3.20		15	0.02		43	0.07		64010	92.83		4945	7.17		68955	84.29
ABSENT		164	3.20		197	3.84		46	0.90		5	0.10		1	0.02		4	0.08		79	1.54		1714	33.45		21	0.41		5	0.10		2091	40.81		44	0.86		471	9.19		2	0.04		2	0.04		271	5.29		4	0.08		3	0.06		5124	95.97		215	4.03		5339	6.53
POSTAL		142	3.72		65	1.70		42	1.10		3	0.08		1	0.03		1	0.03		82	2.15		1568	41.07		32	0.84		3	0.08		1525	39.94		25	0.65		220	5.76		0	0.00		1	0.03		106	2.78		1	0.03		1	0.03		3818	98.40		62	1.60		3880	4.74
PRE_POLL		100	3.34		98	3.27		30	1.00		3	0.10		1	0.03		1	0.03		46	1.53		1212	40.43		19	0.63		6	0.20		1081	36.06		20	0.67		257	8.57		1	0.03		3	0.10		113	3.77		6	0.20		1	0.03		2998	97.94		63	2.06		3061	3.74
PROVISIONAL		16	3.08		26	5.01		5	0.96		3	0.58		1	0.19		0	0.00		9	1.73		128	24.66		2	0.39		0	0.00		278	53.56		5	0.96		29	5.59		0	0.00		1	0.19		16	3.08		0	0.00		0	0.00		519	90.89		52	9.11		571	0.70
Division Summary		1748	2.29		2092	2.74		609	0.8		47	0.06		26	0.03		45	0.06		1197	1.57		29289	38.3		421	0.55		43	0.06		31667	41.41		454	0.59		6154	8.05		12	0.02		36	0.05		2555	3.34		26	0.03		48	0.06		76469	93.48		5337	6.52		81806	95.74
