Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Menzies (84613)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Serpell		50	1.63		68	2.22		22	0.72		1	0.03		1	0.03		0	0.00		24	0.78		1738	56.67		25	0.82		2	0.07		846	27.58		3	0.10		182	5.93		0	0.00		1	0.03		102	3.33		2	0.07		0	0.00		3067	94.49		179	5.51		3246	4.00
Templestowe		33	1.94		23	1.35		15	0.88		0	0.00		0	0.00		0	0.00		17	1.00		940	55.16		6	0.35		0	0.00		421	24.71		3	0.18		148	8.69		0	0.00		6	0.35		92	5.40		0	0.00		0	0.00		1704	93.27		123	6.73		1827	2.25
Templestowe Heights		86	1.75		111	2.26		65	1.32		5	0.10		1	0.02		1	0.02		52	1.06		2417	49.11		23	0.47		6	0.12		1446	29.38		11	0.22		432	8.78		2	0.04		2	0.04		261	5.30		1	0.02		0	0.00		4922	93.20		359	6.80		5281	6.50
Templestowe Park		46	1.78		29	1.12		16	0.62		3	0.12		0	0.00		0	0.00		23	0.89		1507	58.43		14	0.54		1	0.04		650	25.20		7	0.27		220	8.53		0	0.00		1	0.04		62	2.40		0	0.00		0	0.00		2579	94.16		160	5.84		2739	3.37
Templestowe Valley		31	1.96		30	1.89		19	1.20		0	0.00		2	0.13		0	0.00		20	1.26		713	44.98		13	0.82		1	0.06		533	33.63		18	1.14		109	6.88		0	0.00		1	0.06		92	5.80		2	0.13		1	0.06		1585	94.07		100	5.93		1685	2.08
The Pines		31	1.96		28	1.77		13	0.82		3	0.19		0	0.00		0	0.00		14	0.88		872	55.05		15	0.95		0	0.00		443	27.97		18	1.14		111	7.01		0	0.00		1	0.06		34	2.15		1	0.06		0	0.00		1584	96.88		51	3.12		1635	2.01
Tunstall		15	1.09		21	1.53		14	1.02		0	0.00		0	0.00		0	0.00		22	1.60		681	49.46		7	0.51		0	0.00		453	32.90		8	0.58		89	6.46		1	0.07		1	0.07		63	4.58		1	0.07		1	0.07		1377	95.16		70	4.84		1447	1.78
Warrandyte		37	1.44		30	1.17		28	1.09		3	0.12		1	0.04		1	0.04		25	0.97		1246	48.58		2	0.08		1	0.04		585	22.81		14	0.55		275	10.72		0	0.00		6	0.23		309	12.05		1	0.04		1	0.04		2565	95.89		110	4.11		2675	3.29
Warrandyte South		12	2.90		1	0.24		5	1.21		0	0.00		0	0.00		1	0.24		7	1.69		239	57.73		2	0.48		0	0.00		78	18.84		3	0.72		31	7.49		0	0.00		1	0.24		32	7.73		1	0.24		1	0.24		414	95.61		19	4.39		433	0.53
Warranwood		31	1.40		30	1.36		25	1.13		1	0.05		0	0.00		0	0.00		24	1.09		1153	52.22		3	0.14		1	0.05		530	24.00		18	0.82		251	11.37		0	0.00		19	0.86		122	5.53		0	0.00		0	0.00		2208	97.10		66	2.90		2274	2.80
Wonga Park		48	2.67		17	0.94		17	0.94		2	0.11		0	0.00		1	0.06		31	1.72		1088	60.41		5	0.28		0	0.00		294	16.32		20	1.11		165	9.16		1	0.06		8	0.44		104	5.77		0	0.00		0	0.00		1801	98.09		35	1.91		1836	2.26
Yarraleen		45	2.37		43	2.26		14	0.74		1	0.05		2	0.11		1	0.05		32	1.69		878	46.23		8	0.42		1	0.05		634	33.39		5	0.26		153	8.06		1	0.05		4	0.21		76	4.00		1	0.05		0	0.00		1899	90.51		199	9.49		2098	2.58
Special Hospitals		44	7.06		8	1.28		4	0.64		0	0.00		1	0.16		0	0.00		4	0.64		395	63.40		0	0.00		0	0.00		139	22.31		1	0.16		13	2.09		0	0.00		0	0.00		14	2.25		0	0.00		0	0.00		623	90.42		66	9.58		689	0.85
Total Ordinary		1301	2.01		1171	1.81		606	0.94		38	0.06		18	0.03		15	0.02		754	1.17		31884	49.26		379	0.59		22	0.03		19742	30.50		335	0.52		5291	8.18		12	0.02		90	0.14		3028	4.68		20	0.03		14	0.02		64720	94.18		4003	5.82		68723	84.64
ABSENT		171	3.41		122	2.43		66	1.31		5	0.10		5	0.10		0	0.00		61	1.21		2330	46.41		22	0.44		4	0.08		1278	25.45		36	0.72		528	10.52		2	0.04		11	0.22		379	7.55		0	0.00		1	0.02		5021	97.40		134	2.60		5155	6.35
POSTAL		116	3.76		36	1.17		34	1.10		2	0.06		2	0.06		0	0.00		45	1.46		1777	57.60		27	0.88		0	0.00		725	23.50		19	0.62		219	7.10		0	0.00		2	0.06		78	2.53		1	0.03		2	0.06		3085	98.09		60	1.91		3145	3.87
PRE_POLL		149	4.10		81	2.23		38	1.05		4	0.11		2	0.06		1	0.03		47	1.29		1796	49.39		29	0.80		2	0.06		1045	28.74		25	0.69		257	7.07		2	0.06		2	0.06		152	4.18		4	0.11		0	0.00		3636	98.35		61	1.65		3697	4.55
PROVISIONAL		12	2.73		18	4.10		2	0.46		1	0.23		0	0.00		0	0.00		4	0.91		204	46.47		2	0.46		0	0.00		141	32.12		1	0.23		37	8.43		0	0.00		1	0.23		16	3.64		0	0.00		0	0.00		439	92.42		36	7.58		475	0.59
Division Summary		1749	2.27		1428	1.86		746	0.97		50	0.07		27	0.04		16	0.02		911	1.18		37991	49.4		459	0.6		28	0.04		22931	29.82		416	0.54		6332	8.23		16	0.02		106	0.14		3653	4.75		25	0.03		17	0.02		76901	94.71		4294	5.29		81195	95.96
