Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group																																																															
By Polling Place																																																															

Dunkley (85129)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Langwarrin Park		55	1.86		47	1.59		27	0.91		0	0.00		0	0.00		1	0.03		61	2.06		1493	50.46		4	0.14		0	0.00		949	32.07		11	0.37		250	8.45		0	0.00		0	0.00		58	1.96		3	0.10		0	0.00		2959	94.81		162	5.19		3121	3.82
Melbourne (Dunkley)		0	0.00		0	0.00		1	2.27		0	0.00		0	0.00		0	0.00		0	0.00		18	40.91		0	0.00		0	0.00		11	25.00		0	0.00		6	13.64		0	0.00		0	0.00		8	18.18		0	0.00		0	0.00		44	97.78		1	2.22		45	0.06
Mornington		96	2.96		54	1.67		21	0.65		3	0.09		0	0.00		1	0.03		64	1.97		1690	52.11		7	0.22		2	0.06		771	23.77		11	0.34		255	7.86		0	0.00		0	0.00		265	8.17		1	0.03		2	0.06		3243	93.00		244	7.00		3487	4.26
Mornington East		49	2.58		28	1.48		21	1.11		0	0.00		0	0.00		0	0.00		41	2.16		955	50.32		4	0.21		1	0.05		596	31.40		4	0.21		125	6.59		0	0.00		2	0.11		71	3.74		0	0.00		1	0.05		1898	94.99		100	5.01		1998	2.44
Mornington South		63	2.46		46	1.79		26	1.01		1	0.04		1	0.04		0	0.00		62	2.42		1219	47.56		3	0.12		1	0.04		755	29.46		7	0.27		206	8.04		2	0.08		1	0.04		169	6.59		0	0.00		1	0.04		2563	93.44		180	6.56		2743	3.35
Mt Eliza		117	2.63		53	1.19		35	0.79		0	0.00		0	0.00		0	0.00		66	1.48		2567	57.63		13	0.29		1	0.02		911	20.45		7	0.16		342	7.68		0	0.00		3	0.07		338	7.59		1	0.02		0	0.00		4454	95.19		225	4.81		4679	5.72
Mt Eliza Central		27	2.39		7	0.62		12	1.06		0	0.00		1	0.09		0	0.00		16	1.42		752	66.55		5	0.44		2	0.18		135	11.95		6	0.53		71	6.28		0	0.00		1	0.09		95	8.41		0	0.00		0	0.00		1130	96.09		46	3.91		1176	1.44
Mt Eliza North		15	1.39		10	0.93		12	1.11		0	0.00		0	0.00		0	0.00		12	1.11		699	64.72		3	0.28		0	0.00		174	16.11		5	0.46		83	7.69		1	0.09		0	0.00		63	5.83		1	0.09		2	0.19		1080	95.07		56	4.93		1136	1.39
Mt Erin (Dunkley)		30	1.88		33	2.07		21	1.32		0	0.00		1	0.06		0	0.00		24	1.51		846	53.11		5	0.31		1	0.06		432	27.12		7	0.44		107	6.72		0	0.00		0	0.00		84	5.27		0	0.00		2	0.13		1593	94.60		91	5.40		1684	2.06
Mt Martha North (Dunkley)		8	2.21		11	3.04		2	0.55		0	0.00		0	0.00		1	0.28		6	1.66		176	48.62		2	0.55		0	0.00		102	28.18		3	0.83		36	9.94		0	0.00		1	0.28		14	3.87		0	0.00		0	0.00		362	94.76		20	5.24		382	0.47
