House of Representatives - 2001 Election: Victoria																																			
First Preference Votes and TCP 																																			
By Candidate by Polling Place																																			

Dunkley (85129)																																			
	# BILLSON			CARTWRIGHT			CONROY			DAVIS			KELSALL			WOODHOUSE			FORMAL			INFORMAL			TOTAL										
	Bruce			Michael			Mark			Fletcher			Henry			Ian												Two Candidate Preferred							
	LP			HAN			ALP			IND			GRN			DEM												# BILLSON LP			 CONROY ALP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Special Hospitals	423	59.83		10	1.41		244	34.51		6	0.85		9	1.27		15	2.12		707	95.80		31	4.20		738	0.91		440	62.23		267	37.77			
Total Ordinary	32997	49.76		1190	1.79		23840	35.95		771	1.16		3833	5.78		3685	5.56		66316	96.43		2454	3.57		68770	84.52		36657	55.28		29659	44.72			
ABSENT	1750	45.45		94	2.44		1273	33.06		73	1.90		344	8.94		316	8.21		3850	95.77		170	4.23		4020	4.94		2056	53.40		1794	46.60			
POSTAL	2053	56.54		64	1.76		1227	33.79		34	0.94		120	3.30		133	3.66		3631	98.61		51	1.39		3682	4.53		2179	60.01		1452	39.99			
PRE_POLL	2134	51.51		72	1.74		1492	36.01		109	2.63		156	3.77		180	4.34		4143	97.80		93	2.20		4236	5.21		2343	56.55		1800	43.45			
PROVISIONAL	269	43.39		18	2.90		256	41.29		8	1.29		33	5.32		36	5.81		620	94.37		37	5.63		657	0.81		302	48.71		318	51.29			
Division Summary	39203	49.90		1438	1.83		28088	35.75		995	1.27		4486	5.71		4350	5.54		78560	96.55		2805	3.45		81365	95.58		43537	55.42		35023	44.58			
																																			
																																			
																																			
																																			
																																			
