Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Bendigo (88150)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Elmore		9	1.69		4	0.75		5	0.94		0	0.00		0	0.00		1	0.19		19	3.57		313	58.83		1	0.19		0	0.00		161	30.26		3	0.56		9	1.69		0	0.00		0	0.00		7	1.32		0	0.00		0	0.00		532	92.68		42	7.32		574	0.67
Elphinstone		7	2.22		5	1.58		5	1.58		0	0.00		0	0.00		0	0.00		18	5.70		120	37.97		0	0.00		3	0.95		102	32.28		6	1.90		11	3.48		0	0.00		0	0.00		38	12.03		1	0.32		0	0.00		316	96.93		10	3.07		326	0.38
Eppalock		5	1.60		3	0.96		11	3.53		0	0.00		0	0.00		1	0.32		12	3.85		129	41.35		1	0.32		0	0.00		78	25.00		6	1.92		37	11.86		0	0.00		1	0.32		28	8.97		0	0.00		0	0.00		312	95.71		14	4.29		326	0.38
Epsom		14	1.24		20	1.77		22	1.95		4	0.35		1	0.09		0	0.00		50	4.43		533	47.21		2	0.18		3	0.27		374	33.13		16	1.42		49	4.34		0	0.00		0	0.00		40	3.54		0	0.00		1	0.09		1129	96.00		47	4.00		1176	1.38
Flora Hill		37	1.67		35	1.58		33	1.49		0	0.00		1	0.05		2	0.09		31	1.40		937	42.36		5	0.23		12	0.54		744	33.63		44	1.99		181	8.18		0	0.00		2	0.09		146	6.60		0	0.00		2	0.09		2212	95.55		103	4.45		2315	2.72
Golden Square		65	2.05		68	2.15		35	1.10		5	0.16		1	0.03		2	0.06		114	3.60		1149	36.26		7	0.22		14	0.44		1245	39.29		62	1.96		232	7.32		0	0.00		4	0.13		164	5.18		2	0.06		0	0.00		3169	94.88		171	5.12		3340	3.92
Golden Square South		17	1.36		16	1.28		15	1.20		0	0.00		0	0.00		0	0.00		29	2.33		579	46.47		0	0.00		6	0.48		465	37.32		19	1.52		47	3.77		0	0.00		0	0.00		52	4.17		1	0.08		0	0.00		1246	96.66		43	3.34		1289	1.51
Goornong		3	1.03		3	1.03		3	1.03		0	0.00		0	0.00		0	0.00		15	5.14		154	52.74		0	0.00		0	0.00		90	30.82		3	1.03		12	4.11		0	0.00		0	0.00		9	3.08		0	0.00		0	0.00		292	95.11		15	4.89		307	0.36
Guildford		4	1.81		5	2.26		0	0.00		0	0.00		0	0.00		0	0.00		16	7.24		64	28.96		0	0.00		2	0.90		73	33.03		4	1.81		10	4.52		0	0.00		2	0.90		41	18.55		0	0.00		0	0.00		221	95.26		11	4.74		232	0.27
Harcourt		19	2.36		14	1.74		12	1.49		0	0.00		1	0.12		0	0.00		36	4.47		292	36.27		1	0.12		0	0.00		281	34.91		16	1.99		48	5.96		0	0.00		2	0.25		81	10.06		1	0.12		1	0.12		805	96.52		29	3.48		834	0.98
Heathcote		36	2.05		31	1.77		21	1.20		3	0.17		0	0.00		0	0.00		111	6.33		670	38.22		3	0.17		19	1.08		711	40.56		20	1.14		38	2.17		0	0.00		5	0.29		84	4.79		1	0.06		0	0.00		1753	91.97		153	8.03		1906	2.24
Huntly		13	1.27		9	0.88		16	1.56		1	0.10		0	0.00		0	0.00		71	6.91		437	42.55		2	0.19		5	0.49		357	34.76		29	2.82		60	5.84		0	0.00		0	0.00		26	2.53		0	0.00		1	0.10		1027	97.07		31	2.93		1058	1.24
Inglewood		25	3.73		19	2.83		5	0.75		4	0.60		0	0.00		0	0.00		34	5.07		326	48.58		0	0.00		2	0.30		220	32.79		5	0.75		18	2.68		0	0.00		2	0.30		11	1.64		0	0.00		0	0.00		671	93.45		47	6.55		718	0.84
Ironbark		25	2.29		23	2.11		17	1.56		0	0.00		0	0.00		1	0.09		39	3.57		335	30.68		2	0.18		1	0.09		480	43.96		20	1.83		55	5.04		0	0.00		1	0.09		91	8.33		0	0.00		2	0.18		1092	95.62		50	4.38		1142	1.34
Jobs Gully		22	1.69		34	2.62		19	1.46		3	0.23		1	0.08		1	0.08		72	5.54		373	28.69		4	0.31		18	1.38		619	47.62		26	2.00		56	4.31		0	0.00		2	0.15		49	3.77		0	0.00		1	0.08		1300	94.20		80	5.80		1380	1.62
Junortoun		11	1.94		9	1.59		7	1.23		0	0.00		0	0.00		0	0.00		11	1.94		273	48.15		2	0.35		0	0.00		201	35.45		3	0.53		27	4.76		0	0.00		0	0.00		23	4.06		0	0.00		0	0.00		567	96.76		19	3.24		586	0.69
Kangaroo Flat		67	1.88		71	2.00		35	0.98		4	0.11		3	0.08		1	0.03		148	4.16		1480	41.61		7	0.20		10	0.28		1414	39.75		37	1.04		163	4.58		0	0.00		1	0.03		115	3.23		0	0.00		1	0.03		3557	95.01		187	4.99		3744	4.40
Kangaroo Flat South		28	2.23		19	1.52		12	0.96		2	0.16		1	0.08		0	0.00		44	3.51		507	40.43		2	0.16		8	0.64		499	39.79		22	1.75		58	4.63		0	0.00		1	0.08		48	3.83		2	0.16		1	0.08		1254	94.86		68	5.14		1322	1.55
Kennington		15	1.21		21	1.69		19	1.53		0	0.00		0	0.00		0	0.00		31	2.50		543	43.72		3	0.24		7	0.56		430	34.62		14	1.13		78	6.28		0	0.00		1	0.08		80	6.44		0	0.00		0	0.00		1242	95.83		54	4.17		1296	1.52
Korong Vale		7	3.47		0	0.00		1	0.50		0	0.00		0	0.00		0	0.00		16	7.92		97	48.02		1	0.50		0	0.00		70	34.65		0	0.00		2	0.99		0	0.00		0	0.00		8	3.96		0	0.00		0	0.00		202	92.66		16	7.34		218	0.26
Laanecoorie		6	4.62		0	0.00		1	0.77		0	0.00		0	0.00		0	0.00		5	3.85		75	57.69		0	0.00		1	0.77		30	23.08		0	0.00		6	4.62		0	0.00		0	0.00		6	4.62		0	0.00		0	0.00		130	94.20		8	5.80		138	0.16
Lockwood		18	2.42		12	1.61		14	1.88		1	0.13		0	0.00		1	0.13		44	5.91		317	42.61		3	0.40		2	0.27		213	28.63		13	1.75		40	5.38		0	0.00		0	0.00		66	8.87		0	0.00		0	0.00		744	94.78		41	5.22		785	0.92
Long Gully		19	2.15		21	2.37		13	1.47		1	0.11		1	0.11		0	0.00		34	3.84		266	30.06		1	0.11		0	0.00		439	49.60		25	2.82		36	4.07		1	0.11		1	0.11		27	3.05		0	0.00		0	0.00		885	94.65		50	5.35		935	1.10
Maiden Gully		22	1.65		16	1.20		14	1.05		0	0.00		0	0.00		0	0.00		70	5.25		555	41.64		2	0.15		8	0.60		474	35.56		39	2.93		77	5.78		0	0.00		2	0.15		53	3.98		0	0.00		1	0.08		1333	96.32		51	3.68		1384	1.63
Maldon		18	1.39		22	1.70		36	2.78		0	0.00		2	0.15		0	0.00		58	4.48		437	33.77		2	0.15		4	0.31		475	36.71		23	1.78		65	5.02		0	0.00		1	0.08		151	11.67		0	0.00		0	0.00		1294	95.43		62	4.57		1356	1.59
Mandurang		5	1.24		2	0.50		7	1.73		0	0.00		0	0.00		0	0.00		15	3.71		170	42.08		3	0.74		2	0.50		132	32.67		4	0.99		17	4.21		1	0.25		0	0.00		46	11.39		0	0.00		0	0.00		404	97.12		12	2.88		416	0.49
Marong		13	2.53		9	1.75		15	2.92		3	0.58		0	0.00		1	0.19		30	5.84		208	40.47		2	0.39		4	0.78		180	35.02		5	0.97		20	3.89		0	0.00		1	0.19		21	4.09		0	0.00		2	0.39		514	93.62		35	6.38		549	0.64
Maryborough		70	2.21		85	2.68		30	0.95		5	0.16		0	0.00		3	0.09		158	4.98		1148	36.19		8	0.25		6	0.19		1413	44.55		33	1.04		133	4.19		1	0.03		4	0.13		71	2.24		1	0.03		3	0.09		3172	93.02		238	6.98		3410	4.00
Maryborough East		30	1.68		45	2.53		23	1.29		3	0.17		3	0.17		1	0.06		72	4.04		582	32.66		6	0.34		5	0.28		885	49.66		20	1.12		68	3.82		0	0.00		0	0.00		38	2.13		0	0.00		1	0.06		1782	93.89		116	6.11		1898	2.23
Melbourne (Bendigo)		0	0.00		1	1.35		1	1.35		0	0.00		0	0.00		0	0.00		0	0.00		25	33.78		0	0.00		1	1.35		19	25.68		0	0.00		10	13.51		0	0.00		0	0.00		17	22.97		0	0.00		0	0.00		74	100.00		0	0.00		74	0.09
Newbridge		7	3.37		1	0.48		4	1.92		0	0.00		0	0.00		0	0.00		20	9.62		97	46.63		0	0.00		1	0.48		59	28.37		3	1.44		10	4.81		0	0.00		0	0.00		6	2.88		0	0.00		0	0.00		208	98.58		3	1.42		211	0.25
