Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Wannon (82915)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Dunkeld		16	3.52		7	1.54		6	1.32		0	0.00		0	0.00		0	0.00		26	5.71		258	56.70		0	0.00		0	0.00		95	20.88		4	0.88		21	4.62		0	0.00		1	0.22		19	4.18		2	0.44		0	0.00		455	94.01		29	5.99		484	0.60
Ecklin South		8	3.36		2	0.84		2	0.84		0	0.00		0	0.00		0	0.00		11	4.62		188	78.99		0	0.00		1	0.42		16	6.72		3	1.26		6	2.52		0	0.00		0	0.00		1	0.42		0	0.00		0	0.00		238	96.75		8	3.25		246	0.31
Elmhurst		5	4.00		0	0.00		2	1.60		3	2.40		0	0.00		0	0.00		7	5.60		67	53.60		0	0.00		0	0.00		34	27.20		0	0.00		6	4.80		0	0.00		0	0.00		1	0.80		0	0.00		0	0.00		125	95.42		6	4.58		131	0.16
Glenthompson		9	4.05		4	1.80		4	1.80		0	0.00		0	0.00		0	0.00		15	6.76		107	48.20		3	1.35		0	0.00		64	28.83		4	1.80		3	1.35		0	0.00		1	0.45		8	3.60		0	0.00		0	0.00		222	95.28		11	4.72		233	0.29
Hamilton		94	2.97		62	1.96		33	1.04		4	0.13		2	0.06		4	0.13		127	4.02		1519	48.04		8	0.25		2	0.06		1027	32.48		18	0.57		142	4.49		2	0.06		5	0.16		107	3.38		3	0.09		3	0.09		3162	95.10		163	4.90		3325	4.15
Hamilton Central		4	1.36		0	0.00		5	1.69		0	0.00		0	0.00		0	0.00		4	1.36		174	58.98		0	0.00		1	0.34		74	25.08		1	0.34		12	4.07		0	0.00		0	0.00		20	6.78		0	0.00		0	0.00		295	97.68		7	2.32		302	0.38
Hamilton East		13	2.10		9	1.45		8	1.29		0	0.00		2	0.32		0	0.00		31	5.00		294	47.42		2	0.32		0	0.00		213	34.35		3	0.48		27	4.35		0	0.00		0	0.00		17	2.74		1	0.16		0	0.00		620	94.08		39	5.92		659	0.82
Hamilton North		10	2.11		13	2.75		15	3.17		1	0.21		0	0.00		0	0.00		33	6.98		201	42.49		3	0.63		1	0.21		161	34.04		2	0.42		21	4.44		0	0.00		1	0.21		10	2.11		1	0.21		0	0.00		473	94.60		27	5.40		500	0.62
Hawkesdale		4	1.25		1	0.31		4	1.25		1	0.31		0	0.00		0	0.00		13	4.08		211	66.14		0	0.00		0	0.00		62	19.44		1	0.31		8	2.51		0	0.00		0	0.00		14	4.39		0	0.00		0	0.00		319	94.66		18	5.34		337	0.42
Heywood		30	2.47		27	2.22		16	1.32		1	0.08		2	0.16		0	0.00		80	6.59		619	50.99		6	0.49		2	0.16		365	30.07		8	0.66		37	3.05		0	0.00		1	0.08		20	1.65		0	0.00		0	0.00		1214	93.24		88	6.76		1302	1.63
Kennedy Street		35	2.38		32	2.17		23	1.56		1	0.07		0	0.00		0	0.00		69	4.69		583	39.61		2	0.14		4	0.27		610	41.44		6	0.41		50	3.40		1	0.07		1	0.07		53	3.60		1	0.07		1	0.07		1472	92.93		112	7.07		1584	1.98
Kings College		33	2.45		21	1.56		11	0.82		0	0.00		0	0.00		0	0.00		23	1.71		795	59.06		4	0.30		2	0.15		323	24.00		13	0.97		66	4.90		0	0.00		2	0.15		53	3.94		0	0.00		0	0.00		1346	96.21		53	3.79		1399	1.75
Koroit		53	3.65		28	1.93		24	1.65		0	0.00		2	0.14		2	0.14		64	4.40		696	47.87		2	0.14		1	0.07		423	29.09		12	0.83		64	4.40		0	0.00		2	0.14		81	5.57		0	0.00		0	0.00		1454	93.99		93	6.01		1547	1.93
Lake Bolac		8	2.53		4	1.27		3	0.95		0	0.00		0	0.00		0	0.00		21	6.65		200	63.29		1	0.32		0	0.00		58	18.35		2	0.63		8	2.53		0	0.00		1	0.32		10	3.16		0	0.00		0	0.00		316	93.22		23	6.78		339	0.42
Linton		9	2.58		1	0.29		7	2.01		0	0.00		0	0.00		0	0.00		17	4.87		125	35.82		0	0.00		0	0.00		162	46.42		0	0.00		14	4.01		0	0.00		0	0.00		13	3.72		0	0.00		1	0.29		349	95.36		17	4.64		366	0.46
Lismore		7	1.73		6	1.49		5	1.24		0	0.00		0	0.00		2	0.50		26	6.44		264	65.35		2	0.50		0	0.00		72	17.82		0	0.00		6	1.49		2	0.50		1	0.25		11	2.72		0	0.00		0	0.00		404	92.45		33	7.55		437	0.55
Macarthur		13	3.00		10	2.31		9	2.08		0	0.00		0	0.00		0	0.00		25	5.77		249	57.51		3	0.69		0	0.00		94	21.71		0	0.00		15	3.46		0	0.00		1	0.23		12	2.77		2	0.46		0	0.00		433	94.96		23	5.04		456	0.57
Mailors Flat		19	4.27		7	1.57		8	1.80		0	0.00		0	0.00		0	0.00		20	4.49		277	62.25		0	0.00		0	0.00		78	17.53		1	0.22		20	4.49		0	0.00		0	0.00		15	3.37		0	0.00		0	0.00		445	94.48		26	5.52		471	0.59
Melbourne (Wannon)		2	2.63		5	6.58		1	1.32		0	0.00		0	0.00		0	0.00		0	0.00		40	52.63		0	0.00		0	0.00		15	19.74		0	0.00		9	11.84		0	0.00		0	0.00		4	5.26		0	0.00		0	0.00		76	91.57		7	8.43		83	0.10
Merino		6	2.16		2	0.72		4	1.44		0	0.00		0	0.00		2	0.72		16	5.76		138	49.64		0	0.00		1	0.36		91	32.73		0	0.00		7	2.52		0	0.00		0	0.00		10	3.60		1	0.36		0	0.00		278	93.92		18	6.08		296	0.37
Merrivale		25	3.35		18	2.41		7	0.94		0	0.00		0	0.00		0	0.00		36	4.82		310	41.50		4	0.54		0	0.00		260	34.81		6	0.80		28	3.75		0	0.00		5	0.67		48	6.43		0	0.00		0	0.00		747	94.92		40	5.08		787	0.98
Mortlake		32	3.30		19	1.96		17	1.75		0	0.00		0	0.00		2	0.21		31	3.20		535	55.21		3	0.31		2	0.21		259	26.73		2	0.21		32	3.30		1	0.10		2	0.21		30	3.10		1	0.10		1	0.10		969	93.35		69	6.65		1038	1.30
Moyston		10	4.52		5	2.26		6	2.71		0	0.00		0	0.00		0	0.00		17	7.69		93	42.08		1	0.45		0	0.00		68	30.77		1	0.45		4	1.81		0	0.00		0	0.00		16	7.24		0	0.00		0	0.00		221	96.93		7	3.07		228	0.28
Naringal		1	0.53		2	1.07		3	1.60		0	0.00		2	1.07		2	1.07		12	6.42		128	68.45		0	0.00		0	0.00		29	15.51		2	1.07		0	0.00		0	0.00		1	0.53		5	2.67		0	0.00		0	0.00		187	93.97		12	6.03		199	0.25
Narrawong		6	2.42		5	2.02		3	1.21		0	0.00		0	0.00		0	0.00		12	4.84		117	47.18		1	0.40		0	0.00		73	29.44		2	0.81		12	4.84		0	0.00		0	0.00		17	6.85		0	0.00		0	0.00		248	94.66		14	5.34		262	0.33
Nelson		5	2.98		5	2.98		1	0.60		0	0.00		1	0.60		0	0.00		20	11.90		74	44.05		0	0.00		0	0.00		45	26.79		1	0.60		8	4.76		0	0.00		0	0.00		8	4.76		0	0.00		0	0.00		168	96.00		7	4.00		175	0.22
Noorat		10	2.33		6	1.40		2	0.47		0	0.00		0	0.00		0	0.00		12	2.79		297	69.07		2	0.47		1	0.23		79	18.37		2	0.47		11	2.56		0	0.00		0	0.00		8	1.86		0	0.00		0	0.00		430	94.30		26	5.70		456	0.57
Nullawarre		3	0.79		4	1.05		6	1.58		1	0.26		0	0.00		1	0.26		11	2.89		282	74.21		0	0.00		0	0.00		45	11.84		7	1.84		4	1.05		0	0.00		0	0.00		16	4.21		0	0.00		0	0.00		380	91.79		34	8.21		414	0.52
Orford		3	2.97		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		9	8.91		67	66.34		0	0.00		0	0.00		16	15.84		0	0.00		3	2.97		0	0.00		0	0.00		3	2.97		0	0.00		0	0.00		101	88.60		13	11.40		114	0.14
Panmure		6	1.63		4	1.08		5	1.36		0	0.00		0	0.00		0	0.00		17	4.61		256	69.38		1	0.27		0	0.00		54	14.63		1	0.27		9	2.44		0	0.00		0	0.00		15	4.07		1	0.27		0	0.00		369	92.25		31	7.75		400	0.50
Patterson Park		36	2.38		32	2.11		29	1.91		0	0.00		0	0.00		0	0.00		64	4.22		623	41.12		2	0.13		2	0.13		612	40.40		10	0.66		54	3.56		0	0.00		2	0.13		48	3.17		1	0.07		0	0.00		1515	95.76		67	4.24		1582	1.98
Penshurst		12	2.47		11	2.26		4	0.82		1	0.21		1	0.21		1	0.21		33	6.79		232	47.74		1	0.21		0	0.00		156	32.10		8	1.65		10	2.06		0	0.00		1	0.21		14	2.88		1	0.21		0	0.00		486	92.93		37	7.07		523	0.65
Peterborough		4	2.61		3	1.96		1	0.65		0	0.00		0	0.00		0	0.00		7	4.58		99	64.71		0	0.00		0	0.00		29	18.95		0	0.00		4	2.61		0	0.00		0	0.00		6	3.92		0	0.00		0	0.00		153	95.03		8	4.97		161	0.20
