Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Corangamite (85955)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Cressy		4	2.82		2	1.41		3	2.11		0	0.00		0	0.00		0	0.00		8	5.63		90	63.38		1	0.70		0	0.00		30	21.13		1	0.70		2	1.41		0	0.00		0	0.00		1	0.70		0	0.00		0	0.00		142	94.04		9	5.96		151	0.18
Deans Marsh		8	3.24		9	3.64		4	1.62		0	0.00		0	0.00		0	0.00		11	4.45		102	41.30		0	0.00		0	0.00		64	25.91		0	0.00		15	6.07		0	0.00		0	0.00		34	13.77		0	0.00		0	0.00		247	96.86		8	3.14		255	0.31
Dereel		4	1.60		8	3.20		6	2.40		1	0.40		0	0.00		0	0.00		24	9.60		71	28.40		0	0.00		0	0.00		109	43.60		0	0.00		13	5.20		0	0.00		0	0.00		13	5.20		0	0.00		1	0.40		250	97.28		7	2.72		257	0.31
Drysdale (Corangamite)		19	2.48		10	1.31		12	1.57		0	0.00		1	0.13		0	0.00		29	3.79		395	51.63		1	0.13		0	0.00		166	21.70		13	1.70		65	8.50		1	0.13		0	0.00		53	6.93		0	0.00		0	0.00		765	96.23		30	3.77		795	0.96
Elliminyt		37	2.62		31	2.20		19	1.35		3	0.21		1	0.07		0	0.00		64	4.54		797	56.52		4	0.28		1	0.07		330	23.40		10	0.71		55	3.90		0	0.00		0	0.00		58	4.11		0	0.00		0	0.00		1410	94.00		90	6.00		1500	1.81
Forrest		6	2.18		11	4.00		5	1.82		1	0.36		0	0.00		0	0.00		16	5.82		112	40.73		0	0.00		0	0.00		55	20.00		1	0.36		18	6.55		0	0.00		0	0.00		50	18.18		0	0.00		0	0.00		275	97.52		7	2.48		282	0.34
Freshwater Creek		1	0.57		3	1.70		2	1.14		0	0.00		0	0.00		0	0.00		4	2.27		108	61.36		0	0.00		0	0.00		35	19.89		3	1.70		12	6.82		0	0.00		0	0.00		8	4.55		0	0.00		0	0.00		176	94.12		11	5.88		187	0.23
Fyansford		1	0.53		2	1.07		0	0.00		0	0.00		0	0.00		0	0.00		8	4.28		112	59.89		0	0.00		0	0.00		38	20.32		0	0.00		13	6.95		0	0.00		0	0.00		13	6.95		0	0.00		0	0.00		187	96.89		6	3.11		193	0.23
Gellibrand River		14	5.43		4	1.55		7	2.71		0	0.00		0	0.00		0	0.00		13	5.04		99	38.37		0	0.00		2	0.78		69	26.74		1	0.39		18	6.98		0	0.00		0	0.00		31	12.02		0	0.00		0	0.00		258	95.91		11	4.09		269	0.32
Grovedale		71	1.99		62	1.73		29	0.81		2	0.06		1	0.03		2	0.06		64	1.79		1600	44.74		9	0.25		0	0.00		1260	35.23		35	0.98		301	8.42		2	0.06		2	0.06		133	3.72		2	0.06		1	0.03		3576	94.73		199	5.27		3775	4.55
