Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group																																																															
By Polling Place																																																															

Flinders (91403)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Flinders		8	1.52		7	1.33		5	0.95		1	0.19		0	0.00		1	0.19		6	1.14		270	51.23		2	0.38		1	0.19		100	18.98		1	0.19		36	6.83		0	0.00		0	0.00		87	16.51		1	0.19		1	0.19		527	94.44		31	5.56		558	0.64
Glen Alvie		1	1.19		1	1.19		4	4.76		0	0.00		0	0.00		0	0.00		7	8.33		50	59.52		0	0.00		0	0.00		8	9.52		0	0.00		8	9.52		0	0.00		0	0.00		5	5.95		0	0.00		0	0.00		84	95.45		4	4.55		88	0.10
Grantville		8	1.29		16	2.57		8	1.29		0	0.00		0	0.00		0	0.00		32	5.14		277	44.53		3	0.48		0	0.00		217	34.89		2	0.32		31	4.98		0	0.00		0	0.00		26	4.18		0	0.00		2	0.32		622	92.97		47	7.03		669	0.76
Hastings		48	1.81		67	2.52		23	0.87		2	0.08		1	0.04		0	0.00		121	4.56		1025	38.62		7	0.26		1	0.04		1045	39.37		12	0.45		169	6.37		1	0.04		2	0.08		129	4.86		0	0.00		1	0.04		2654	94.25		162	5.75		2816	3.21
Kernot		2	1.56		1	0.78		3	2.34		0	0.00		0	0.00		0	0.00		2	1.56		86	67.19		0	0.00		0	0.00		18	14.06		2	1.56		10	7.81		0	0.00		0	0.00		4	3.13		0	0.00		0	0.00		128	94.12		8	5.88		136	0.15
Kilcunda		4	2.04		1	0.51		6	3.06		0	0.00		0	0.00		0	0.00		14	7.14		76	38.78		0	0.00		0	0.00		68	34.69		0	0.00		12	6.12		0	0.00		0	0.00		15	7.65		0	0.00		0	0.00		196	95.61		9	4.39		205	0.23
Kooweerup		33	3.40		22	2.27		9	0.93		1	0.10		2	0.21		1	0.10		51	5.25		519	53.45		8	0.82		0	0.00		239	24.61		0	0.00		55	5.66		0	0.00		3	0.31		28	2.88		0	0.00		0	0.00		971	90.24		105	9.76		1076	1.23
Lang Lang		42	4.33		24	2.47		9	0.93		1	0.10		1	0.10		1	0.10		53	5.46		559	57.57		1	0.10		1	0.10		214	22.04		4	0.41		42	4.33		0	0.00		1	0.10		18	1.85		0	0.00		0	0.00		971	94.00		62	6.00		1033	1.18
McCrae		11	1.46		16	2.12		4	0.53		1	0.13		0	0.00		0	0.00		24	3.19		387	51.39		2	0.27		0	0.00		196	26.03		4	0.53		45	5.98		0	0.00		0	0.00		63	8.37		0	0.00		0	0.00		753	93.54		52	6.46		805	0.92
Main Ridge		1	0.47		2	0.94		4	1.88		0	0.00		0	0.00		0	0.00		3	1.41		119	55.87		0	0.00		0	0.00		45	21.13		0	0.00		17	7.98		0	0.00		0	0.00		22	10.33		0	0.00		0	0.00		213	97.26		6	2.74		219	0.25
Melbourne (Flinders)		0	0.00		2	5.00		1	2.50		0	0.00		0	0.00		0	0.00		0	0.00		13	32.50		0	0.00		0	0.00		10	25.00		0	0.00		9	22.50		0	0.00		1	2.50		4	10.00		0	0.00		0	0.00		40	100.00		0	0.00		40	0.05
Merricks North		3	1.23		1	0.41		3	1.23		0	0.00		0	0.00		0	0.00		3	1.23		123	50.62		0	0.00		0	0.00		55	22.63		0	0.00		15	6.17		0	0.00		0	0.00		40	16.46		0	0.00		0	0.00		243	97.59		6	2.41		249	0.28
Moorooduc		10	1.92		1	0.19		10	1.92		0	0.00		0	0.00		1	0.19		9	1.73		332	63.85		1	0.19		0	0.00		89	17.12		4	0.77		37	7.12		1	0.19		0	0.00		25	4.81		0	0.00		0	0.00		520	95.06		27	4.94		547	0.62
Mt Erin (Flinders)		27	2.80		17	1.77		8	0.83		2	0.21		0	0.00		1	0.10		19	1.97		514	53.37		2	0.21		0	0.00		276	28.66		4	0.42		61	6.33		0	0.00		0	0.00		32	3.32		0	0.00		0	0.00		963	95.44		46	4.56		1009	1.15
Mt Martha		47	1.36		28	0.81		29	0.84		4	0.12		1	0.03		0	0.00		52	1.51		1905	55.15		3	0.09		0	0.00		740	21.42		10	0.29		323	9.35		0	0.00		1	0.03		311	9.00		0	0.00		0	0.00		3454	95.55		161	4.45		3615	4.12
Mt Martha North (Flinders)		63	2.39		40	1.52		22	0.83		1	0.04		0	0.00		0	0.00		51	1.94		1351	51.27		4	0.15		0	0.00		678	25.73		8	0.30		244	9.26		0	0.00		1	0.04		170	6.45		0	0.00		2	0.08		2635	95.75		117	4.25		2752	3.13
Newhaven		28	3.34		19	2.27		13	1.55		0	0.00		0	0.00		0	0.00		21	2.51		344	41.05		3	0.36		0	0.00		294	35.08		2	0.24		45	5.37		0	0.00		0	0.00		69	8.23		0	0.00		0	0.00		838	94.05		53	5.95		891	1.01
Nyora		6	1.04		13	2.26		9	1.57		1	0.17		1	0.17		0	0.00		28	4.87		273	47.48		2	0.35		0	0.00		174	30.26		7	1.22		34	5.91		0	0.00		0	0.00		27	4.70		0	0.00		0	0.00		575	95.36		28	4.64		603	0.69
Pearcedale		37	1.93		36	1.87		19	0.99		1	0.05		1	0.05		1	0.05		55	2.86		904	47.03		5	0.26		1	0.05		599	31.17		16	0.83		157	8.17		0	0.00		0	0.00		89	4.63		0	0.00		1	0.05		1922	94.77		106	5.23		2028	2.31
Portsea		5	2.02		2	0.81		2	0.81		0	0.00		0	0.00		0	0.00		4	1.62		170	68.83		1	0.40		1	0.40		39	15.79		0	0.00		10	4.05		0	0.00		0	0.00		13	5.26		0	0.00		0	0.00		247	93.21		18	6.79		265	0.30
Red Hill		25	2.05		10	0.82		7	0.58		0	0.00		0	0.00		0	0.00		22	1.81		573	47.08		3	0.25		1	0.08		260	21.36		1	0.08		141	11.59		0	0.00		3	0.25		171	14.05		0	0.00		0	0.00		1217	97.75		28	2.25		1245	1.42
Rhyll		11	2.06		5	0.94		4	0.75		0	0.00		0	0.00		0	0.00		22	4.12		301	56.37		1	0.19		0	0.00		109	20.41		1	0.19		33	6.18		0	0.00		0	0.00		46	8.61		0	0.00		1	0.19		534	95.53		25	4.47		559	0.64
Rosebud		32	2.59		38	3.08		13	1.05		2	0.16		1	0.08		1	0.08		36	2.91		520	42.11		4	0.32		2	0.16		445	36.03		1	0.08		90	7.29		0	0.00		2	0.16		48	3.89		0	0.00		0	0.00		1235	92.30		103	7.70		1338	1.52
Rosebud East		38	2.02		36	1.92		27	1.44		0	0.00		1	0.05		3	0.16		57	3.03		727	38.69		8	0.43		0	0.00		703	37.41		4	0.21		151	8.04		2	0.11		0	0.00		121	6.44		0	0.00		1	0.05		1879	92.15		160	7.85		2039	2.32
Rosebud South		38	1.87		37	1.82		26	1.28		0	0.00		0	0.00		0	0.00		47	2.31		1027	50.52		2	0.10		1	0.05		581	28.58		10	0.49		148	7.28		0	0.00		1	0.05		115	5.66		0	0.00		0	0.00		2033	94.60		116	5.40		2149	2.45
Rosebud West		51	2.25		65	2.86		24	1.06		2	0.09		3	0.13		3	0.13		59	2.60		916	40.35		5	0.22		0	0.00		855	37.67		5	0.22		174	7.67		0	0.00		2	0.09		104	4.58		0	0.00		2	0.09		2270	93.19		166	6.81		2436	2.77
