Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Hotham (89090)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Moorabbin South		31	2.48		27	2.16		14	1.12		1	0.08		1	0.08		0	0.00		19	1.52		489	39.09		2	0.16		2	0.16		448	35.81		4	0.32		112	8.95		0	0.00		4	0.32		92	7.35		0	0.00		5	0.40		1251	94.42		74	5.58		1325	1.56
Moorabbin South East		33	1.60		39	1.89		25	1.21		3	0.15		0	0.00		1	0.05		26	1.26		831	40.24		13	0.63		0	0.00		802	38.84		9	0.44		147	7.12		0	0.00		4	0.19		131	6.34		0	0.00		1	0.05		2065	94.08		130	5.92		2195	2.58
Murrumbeena South		42	1.85		43	1.89		35	1.54		3	0.13		0	0.00		1	0.04		21	0.92		959	42.23		4	0.18		0	0.00		773	34.04		9	0.40		246	10.83		0	0.00		2	0.09		130	5.72		1	0.04		2	0.09		2271	93.11		168	6.89		2439	2.87
Oakleigh (Hotham)		3	0.77		11	2.81		3	0.77		1	0.26		0	0.00		0	0.00		5	1.28		108	27.62		4	1.02		0	0.00		193	49.36		1	0.26		31	7.93		0	0.00		0	0.00		31	7.93		0	0.00		0	0.00		391	95.37		19	4.63		410	0.48
Oakleigh Central		17	1.24		37	2.69		17	1.24		0	0.00		2	0.15		1	0.07		19	1.38		426	31.03		4	0.29		1	0.07		639	46.54		7	0.51		104	7.57		0	0.00		0	0.00		97	7.06		0	0.00		2	0.15		1373	92.15		117	7.85		1490	1.75
Oakleigh South		27	1.50		56	3.11		22	1.22		4	0.22		2	0.11		0	0.00		27	1.50		581	32.22		12	0.67		0	0.00		864	47.92		5	0.28		116	6.43		1	0.06		1	0.06		85	4.71		0	0.00		0	0.00		1803	93.42		127	6.58		1930	2.27
Southland		21	2.62		13	1.62		9	1.12		2	0.25		0	0.00		0	0.00		17	2.12		336	41.95		4	0.50		0	0.00		281	35.08		12	1.50		55	6.87		0	0.00		0	0.00		50	6.24		0	0.00		1	0.12		801	94.24		49	5.76		850	1.00
Southmoor		11	1.31		15	1.79		3	0.36		3	0.36		1	0.12		0	0.00		11	1.31		313	37.40		5	0.60		0	0.00		369	44.09		1	0.12		62	7.41		0	0.00		1	0.12		40	4.78		0	0.00		2	0.24		837	95.66		38	4.34		875	1.03
Springvale		53	2.32		122	5.34		10	0.44		8	0.35		2	0.09		0	0.00		27	1.18		377	16.49		28	1.22		0	0.00		1519	66.45		16	0.70		74	3.24		0	0.00		1	0.04		48	2.10		1	0.04		0	0.00		2286	91.44		214	8.56		2500	2.94
Springvale South		51	2.36		105	4.87		16	0.74		3	0.14		1	0.05		1	0.05		36	1.67		473	21.92		9	0.42		1	0.05		1289	59.73		15	0.70		91	4.22		0	0.00		0	0.00		64	2.97		2	0.09		1	0.05		2158	92.10		185	7.90		2343	2.75
