Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Casey (85278)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Melbourne (Casey)		1	1.92		1	1.92		0	0.00		0	0.00		0	0.00		0	0.00		1	1.92		24	46.15		1	1.92		0	0.00		11	21.15		0	0.00		9	17.31		0	0.00		0	0.00		4	7.69		0	0.00		0	0.00		52	96.30		2	3.70		54	0.07
Monbulk		58	2.54		24	1.05		24	1.05		0	0.00		1	0.04		1	0.04		39	1.71		1035	45.34		3	0.13		1	0.04		566	24.79		38	1.66		235	10.29		1	0.04		2	0.09		254	11.13		1	0.04		0	0.00		2283	94.11		143	5.89		2426	2.96
Montrose		58	1.81		41	1.28		38	1.19		3	0.09		2	0.06		0	0.00		69	2.15		1440	44.97		3	0.09		1	0.03		941	29.39		27	0.84		315	9.84		1	0.03		6	0.19		256	8.00		1	0.03		0	0.00		3202	95.47		152	4.53		3354	4.09
Montrose South		16	1.39		18	1.57		21	1.83		1	0.09		0	0.00		1	0.09		28	2.43		553	48.09		2	0.17		1	0.09		287	24.96		11	0.96		118	10.26		1	0.09		3	0.26		87	7.57		2	0.17		0	0.00		1150	97.62		28	2.38		1178	1.44
Mooroolbark		42	1.82		46	1.99		16	0.69		0	0.00		1	0.04		1	0.04		45	1.95		966	41.89		7	0.30		1	0.04		811	35.17		19	0.82		219	9.50		0	0.00		2	0.09		128	5.55		0	0.00		2	0.09		2306	94.12		144	5.88		2450	2.99
Mooroolbark East		30	1.58		25	1.32		24	1.27		1	0.05		0	0.00		0	0.00		40	2.11		911	48.05		5	0.26		0	0.00		586	30.91		23	1.21		158	8.33		2	0.11		1	0.05		90	4.75		0	0.00		0	0.00		1896	95.66		86	4.34		1982	2.42
Mooroolbark South		39	1.92		28	1.38		21	1.03		2	0.10		1	0.05		1	0.05		53	2.61		964	47.51		11	0.54		0	0.00		601	29.62		29	1.43		170	8.38		0	0.00		1	0.05		107	5.27		0	0.00		1	0.05		2029	96.48		74	3.52		2103	2.57
Mount Dandenong (Casey)		20	3.24		5	0.81		5	0.81		0	0.00		2	0.32		0	0.00		10	1.62		196	31.77		0	0.00		0	0.00		177	28.69		5	0.81		66	10.70		0	0.00		1	0.16		128	20.75		1	0.16		1	0.16		617	96.86		20	3.14		637	0.78
Mount Evelyn		21	2.17		14	1.44		16	1.65		0	0.00		0	0.00		2	0.21		20	2.06		404	41.69		1	0.10		0	0.00		313	32.30		16	1.65		93	9.60		2	0.21		1	0.10		66	6.81		0	0.00		0	0.00		969	96.42		36	3.58		1005	1.23
Rolling Hills		45	2.33		34	1.76		30	1.55		1	0.05		2	0.10		0	0.00		51	2.64		959	49.61		8	0.41		1	0.05		547	28.30		28	1.45		162	8.38		0	0.00		3	0.16		60	3.10		2	0.10		0	0.00		1933	96.26		75	3.74		2008	2.45
