Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Wills (88553)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Gowrie Park		40	2.95		48	3.55		37	2.73		1	0.07		0	0.00		0	0.00		14	1.03		258	19.05		3	0.22		0	0.00		850	62.78		7	0.52		57	4.21		1	0.07		1	0.07		34	2.51		0	0.00		3	0.22		1354	88.73		172	11.27		1526	1.83
Hadfield		18	1.54		41	3.50		34	2.90		3	0.26		4	0.34		0	0.00		23	1.96		284	24.23		3	0.26		2	0.17		666	56.83		15	1.28		47	4.01		0	0.00		1	0.09		31	2.65		0	0.00		0	0.00		1172	91.21		113	8.79		1285	1.54
Lake Park		5	1.56		16	4.98		11	3.43		0	0.00		2	0.62		0	0.00		2	0.62		59	18.38		2	0.62		1	0.31		203	63.24		1	0.31		10	3.12		0	0.00		0	0.00		9	2.80		0	0.00		0	0.00		321	86.52		50	13.48		371	0.44
Melbourne (Wills)		2	1.74		4	3.48		5	4.35		0	0.00		0	0.00		0	0.00		0	0.00		22	19.13		0	0.00		0	0.00		48	41.74		1	0.87		13	11.30		0	0.00		0	0.00		17	14.78		3	2.61		0	0.00		115	93.50		8	6.50		123	0.15
Melville		12	1.35		28	3.16		49	5.53		0	0.00		0	0.00		0	0.00		12	1.35		187	21.11		4	0.45		0	0.00		430	48.53		2	0.23		70	7.90		0	0.00		2	0.23		87	9.82		2	0.23		1	0.11		886	94.76		49	5.24		935	1.12
Merlynston		28	2.82		41	4.12		65	6.54		1	0.10		0	0.00		0	0.00		23	2.31		214	21.53		2	0.20		0	0.00		538	54.12		1	0.10		49	4.93		0	0.00		0	0.00		31	3.12		1	0.10		0	0.00		994	90.78		101	9.22		1095	1.31
Mitchell		32	2.27		40	2.83		21	1.49		1	0.07		2	0.14		0	0.00		12	0.85		256	18.14		8	0.57		0	0.00		752	53.30		7	0.50		95	6.73		1	0.07		4	0.28		172	12.19		8	0.57		0	0.00		1411	91.21		136	8.79		1547	1.85
Moomba Park		54	3.26		58	3.50		23	1.39		4	0.24		1	0.06		0	0.00		21	1.27		405	24.47		1	0.06		1	0.06		975	58.91		1	0.06		73	4.41		1	0.06		0	0.00		36	2.18		1	0.06		0	0.00		1655	85.62		278	14.38		1933	2.31
Moonee Ponds North		25	1.20		51	2.44		50	2.39		3	0.14		0	0.00		0	0.00		23	1.10		595	28.46		6	0.29		0	0.00		896	42.85		8	0.38		229	10.95		0	0.00		1	0.05		199	9.52		3	0.14		2	0.10		2091	93.43		147	6.57		2238	2.68
Moreland		48	2.38		93	4.60		65	3.22		2	0.10		1	0.05		0	0.00		20	0.99		370	18.31		11	0.54		2	0.10		1064	52.65		7	0.35		122	6.04		0	0.00		0	0.00		212	10.49		4	0.20		0	0.00		2021	90.91		202	9.09		2223	2.66
