Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group																																																															
By Polling Place																																																															

Calwell (98330)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Oak Park		47	2.47		47	2.47		60	3.15		3	0.16		1	0.05		0	0.00		44	2.31		666	34.96		8	0.42		0	0.00		834	43.78		11	0.58		119	6.25		0	0.00		0	0.00		64	3.36		0	0.00		1	0.05		1905	94.59		109	5.41		2014	2.05
Roxburgh Park (Calwell)		56	2.12		111	4.20		41	1.55		3	0.11		0	0.00		1	0.04		42	1.59		553	20.92		4	0.15		1	0.04		1587	60.02		17	0.64		161	6.09		0	0.00		1	0.04		65	2.46		1	0.04		0	0.00		2644	94.90		142	5.10		2786	2.83
Sydenham		110	1.79		227	3.70		64	1.04		5	0.08		3	0.05		2	0.03		95	1.55		1791	29.19		14	0.23		2	0.03		3167	51.62		29	0.47		452	7.37		0	0.00		8	0.13		163	2.66		3	0.05		0	0.00		6135	94.14		382	5.86		6517	6.63
Sydenham East		32	2.98		34	3.17		18	1.68		0	0.00		0	0.00		0	0.00		17	1.58		283	26.37		4	0.37		0	0.00		597	55.64		2	0.19		72	6.71		0	0.00		2	0.19		12	1.12		0	0.00		0	0.00		1073	95.80		47	4.20		1120	1.14
Taylors Lakes		147	2.62		178	3.18		83	1.48		5	0.09		2	0.04		5	0.09		71	1.27		1834	32.72		18	0.32		2	0.04		2657	47.40		23	0.41		453	8.08		1	0.02		4	0.07		119	2.12		1	0.02		2	0.04		5605	91.69		508	8.31		6113	6.22
Taylors Lakes North		24	1.34		50	2.78		24	1.34		2	0.11		0	0.00		1	0.06		16	0.89		578	32.16		4	0.22		0	0.00		917	51.03		6	0.33		140	7.79		1	0.06		0	0.00		32	1.78		2	0.11		0	0.00		1797	93.69		121	6.31		1918	1.95
Tullamarine		100	2.82		143	4.03		69	1.94		6	0.17		2	0.06		2	0.06		82	2.31		977	27.51		9	0.25		1	0.03		1853	52.18		20	0.56		210	5.91		1	0.03		1	0.03		74	2.08		0	0.00		1	0.03		3551	90.80		360	9.20		3911	3.98
Upfield		25	1.53		63	3.87		27	1.66		5	0.31		0	0.00		0	0.00		26	1.60		196	12.02		9	0.55		1	0.06		1146	70.31		3	0.18		71	4.36		0	0.00		2	0.12		53	3.25		3	0.18		0	0.00		1630	90.66		168	9.34		1798	1.83
Westmeadows		67	2.08		107	3.32		53	1.64		2	0.06		0	0.00		3	0.09		69	2.14		865	26.82		12	0.37		3	0.09		1761	54.60		19	0.59		172	5.33		0	0.00		2	0.06		89	2.76		1	0.03		0	0.00		3225	92.57		259	7.43		3484	3.54
Total Ordinary		1690	2.25		2803	3.73		1103	1.47		134	0.18		37	0.05		40	0.05		1296	1.72		19252	25.59		261	0.35		36	0.05		41884	55.66		297	0.39		4375	5.81		13	0.02		52	0.07		1931	2.57		27	0.04		13	0.02		75244	92.30		6274	7.70		81518	86.87
ABSENT		156	2.91		235	4.39		85	1.59		8	0.15		4	0.07		8	0.15		100	1.87		1441	26.91		20	0.37		3	0.06		2674	49.93		22	0.41		371	6.93		2	0.04		12	0.22		208	3.88		4	0.07		2	0.04		5355	95.10		276	4.90		5631	6.00
POSTAL		64	3.32		56	2.91		48	2.49		3	0.16		1	0.05		0	0.00		58	3.01		608	31.57		1	0.05		1	0.05		912	47.35		12	0.62		119	6.18		0	0.00		1	0.05		39	2.02		1	0.05		2	0.10		1926	97.42		51	2.58		1977	2.11
PRE_POLL		114	3.29		115	3.32		59	1.70		2	0.06		0	0.00		1	0.03		74	2.13		1066	30.74		15	0.43		9	0.26		1701	49.05		9	0.26		216	6.23		1	0.03		4	0.12		79	2.28		3	0.09		0	0.00		3468	96.57		123	3.43		3591	3.83
PROVISIONAL		38	3.58		61	5.74		12	1.13		4	0.38		1	0.09		1	0.09		10	0.94		213	20.06		3	0.28		4	0.38		630	59.32		6	0.56		41	3.86		1	0.09		1	0.09		35	3.30		0	0.00		1	0.09		1062	94.57		61	5.43		1123	1.20
Division Summary		2062	2.37		3270	3.76		1307	1.5		151	0.17		43	0.05		50	0.06		1538	1.77		22580	25.94		300	0.34		53	0.06		47801	54.91		346	0.4		5122	5.88		17	0.02		70	0.08		2292	2.63		35	0.04		18	0.02		87055	92.77		6785	7.23		93840	95.43
