Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Murray (85651)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Echuca South		57	3.30		29	1.68		24	1.39		0	0.00		2	0.12		1	0.06		91	5.27		958	55.47		7	0.41		1	0.06		417	24.15		5	0.29		98	5.67		1	0.06		2	0.12		31	1.80		1	0.06		2	0.12		1727	94.11		108	5.89		1835	2.22
Echuca Village		10	3.75		5	1.87		7	2.62		0	0.00		0	0.00		0	0.00		15	5.62		188	70.41		2	0.75		0	0.00		30	11.24		0	0.00		7	2.62		0	0.00		0	0.00		3	1.12		0	0.00		0	0.00		267	94.01		17	5.99		284	0.34
Echuca West		20	4.62		6	1.39		9	2.08		1	0.23		1	0.23		0	0.00		29	6.70		294	67.90		1	0.23		0	0.00		49	11.32		0	0.00		14	3.23		1	0.23		1	0.23		7	1.62		0	0.00		0	0.00		433	95.37		21	4.63		454	0.55
Girgarre		15	3.58		9	2.15		4	0.95		0	0.00		0	0.00		0	0.00		31	7.40		298	71.12		0	0.00		0	0.00		42	10.02		1	0.24		11	2.63		0	0.00		0	0.00		8	1.91		0	0.00		0	0.00		419	96.54		15	3.46		434	0.53
Gowrie Street		81	3.82		65	3.07		34	1.60		5	0.24		5	0.24		2	0.09		85	4.01		1042	49.15		9	0.42		4	0.19		642	30.28		9	0.42		71	3.35		1	0.05		1	0.05		64	3.02		0	0.00		0	0.00		2120	92.94		161	7.06		2281	2.76
Grahamvale		1	0.53		1	0.53		0	0.00		0	0.00		0	0.00		0	0.00		7	3.70		124	65.61		1	0.53		0	0.00		37	19.58		2	1.06		11	5.82		0	0.00		1	0.53		3	1.59		1	0.53		0	0.00		189	95.94		8	4.06		197	0.24
Gunbower		17	4.71		7	1.94		1	0.28		2	0.55		1	0.28		0	0.00		25	6.93		222	61.50		1	0.28		0	0.00		70	19.39		1	0.28		8	2.22		0	0.00		0	0.00		6	1.66		0	0.00		0	0.00		361	91.16		35	8.84		396	0.48
Guthrie Street		35	2.58		18	1.33		10	0.74		3	0.22		0	0.00		0	0.00		55	4.05		859	63.25		7	0.52		0	0.00		273	20.10		11	0.81		60	4.42		0	0.00		1	0.07		26	1.91		0	0.00		0	0.00		1358	96.52		49	3.48		1407	1.70
Katamatite		7	2.24		2	0.64		4	1.28		1	0.32		0	0.00		0	0.00		13	4.17		218	69.87		0	0.00		0	0.00		43	13.78		4	1.28		10	3.21		0	0.00		0	0.00		10	3.21		0	0.00		0	0.00		312	95.12		16	4.88		328	0.40
Katunga		8	1.79		11	2.47		2	0.45		0	0.00		0	0.00		0	0.00		17	3.81		328	73.54		0	0.00		0	0.00		53	11.88		1	0.22		14	3.14		0	0.00		0	0.00		12	2.69		0	0.00		0	0.00		446	94.89		24	5.11		470	0.57
Kerang		77	4.08		38	2.01		20	1.06		3	0.16		1	0.05		1	0.05		118	6.26		1147	60.82		6	0.32		1	0.05		342	18.13		20	1.06		80	4.24		1	0.05		1	0.05		27	1.43		0	0.00		3	0.16		1886	94.87		102	5.13		1988	2.41
Kerang North		20	2.37		22	2.61		9	1.07		0	0.00		0	0.00		0	0.00		39	4.63		541	64.18		5	0.59		3	0.36		154	18.27		4	0.47		28	3.32		0	0.00		0	0.00		18	2.14		0	0.00		0	0.00		843	94.72		47	5.28		890	1.08
Kialla		10	2.19		2	0.44		10	2.19		0	0.00		0	0.00		0	0.00		24	5.26		306	67.11		1	0.22		1	0.22		59	12.94		2	0.44		25	5.48		0	0.00		0	0.00		16	3.51		0	0.00		0	0.00		456	95.60		21	4.40		477	0.58
Kialla Park		5	1.00		5	1.00		6	1.20		0	0.00		1	0.20		0	0.00		19	3.79		298	59.48		1	0.20		2	0.40		115	22.95		8	1.60		23	4.59		0	0.00		0	0.00		18	3.59		0	0.00		0	0.00		501	96.72		17	3.28		518	0.63
Kialla West		12	2.73		4	0.91		11	2.51		0	0.00		0	0.00		2	0.46		18	4.10		269	61.28		2	0.46		0	0.00		83	18.91		7	1.59		20	4.56		0	0.00		0	0.00		11	2.51		0	0.00		0	0.00		439	96.91		14	3.09		453	0.55
Knight Street		69	3.59		44	2.29		24	1.25		0	0.00		0	0.00		1	0.05		58	3.01		1138	59.15		1	0.05		0	0.00		415	21.57		3	0.16		124	6.44		0	0.00		1	0.05		45	2.34		1	0.05		0	0.00		1924	94.31		116	5.69		2040	2.47
Koondrook		26	3.75		19	2.74		10	1.44		0	0.00		1	0.14		0	0.00		37	5.33		423	60.95		1	0.14		1	0.14		147	21.18		6	0.86		13	1.87		0	0.00		0	0.00		10	1.44		0	0.00		0	0.00		694	90.96		69	9.04		763	0.92
Koyuga		10	6.90		2	1.38		1	0.69		0	0.00		0	0.00		0	0.00		14	9.66		94	64.83		0	0.00		1	0.69		15	10.34		1	0.69		6	4.14		1	0.69		0	0.00		0	0.00		0	0.00		0	0.00		145	97.97		3	2.03		148	0.18
Kyabram		68	2.86		42	1.77		22	0.93		3	0.13		0	0.00		0	0.00		135	5.68		1426	60.04		4	0.17		3	0.13		507	21.35		38	1.60		72	3.03		0	0.00		2	0.08		53	2.23		0	0.00		0	0.00		2375	94.21		146	5.79		2521	3.05
