Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Lalor (89277)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Mossfiel		63	1.54		93	2.27		36	0.88		3	0.07		1	0.02		1	0.02		81	1.97		1243	30.29		10	0.24		5	0.12		2057	50.13		21	0.51		323	7.87		0	0.00		4	0.10		157	3.83		2	0.05		3	0.07		4103	92.87		315	7.13		4418	5.14
Point Cook		1	1.04		1	1.04		2	2.08		4	4.17		0	0.00		0	0.00		1	1.04		41	42.71		1	1.04		0	0.00		28	29.17		0	0.00		6	6.25		0	0.00		0	0.00		10	10.42		0	0.00		1	1.04		96	98.97		1	1.03		97	0.11
Seabrook		43	1.25		110	3.21		39	1.14		2	0.06		2	0.06		1	0.03		78	2.28		1055	30.78		17	0.50		2	0.06		1717	50.10		28	0.82		248	7.24		1	0.03		0	0.00		83	2.42		1	0.03		0	0.00		3427	93.84		225	6.16		3652	4.25
Seaholme		56	2.33		74	3.08		40	1.66		1	0.04		1	0.04		2	0.08		78	3.25		739	30.75		8	0.33		3	0.12		1073	44.65		11	0.46		171	7.12		1	0.04		0	0.00		143	5.95		1	0.04		1	0.04		2403	91.20		232	8.80		2635	3.07
The Grange		48	2.19		70	3.19		34	1.55		0	0.00		0	0.00		0	0.00		57	2.60		659	30.05		11	0.50		3	0.14		1120	51.07		11	0.50		134	6.11		0	0.00		1	0.05		45	2.05		0	0.00		0	0.00		2193	93.32		157	6.68		2350	2.74
Thomas Chirnside		20	1.22		34	2.08		23	1.40		2	0.12		0	0.00		2	0.12		34	2.08		532	32.48		5	0.31		0	0.00		820	50.06		17	1.04		103	6.29		0	0.00		0	0.00		46	2.81		0	0.00		0	0.00		1638	95.23		82	4.77		1720	2.00
Werribee		75	2.49		67	2.23		39	1.30		4	0.13		4	0.13		1	0.03		66	2.19		1247	41.41		9	0.30		0	0.00		1121	37.23		22	0.73		237	7.87		1	0.03		6	0.20		111	3.69		0	0.00		1	0.03		3011	92.45		246	7.55		3257	3.79
Werribee Central		59	2.64		54	2.42		29	1.30		1	0.04		1	0.04		4	0.18		40	1.79		875	39.18		8	0.36		1	0.04		842	37.71		14	0.63		183	8.20		2	0.09		1	0.04		119	5.33		0	0.00		0	0.00		2233	92.69		176	7.31		2409	2.81
Werribee South		24	2.95		11	1.35		8	0.98		0	0.00		1	0.12		0	0.00		18	2.21		447	54.98		2	0.25		0	0.00		231	28.41		6	0.74		38	4.67		0	0.00		1	0.12		25	3.08		0	0.00		1	0.12		813	91.14		79	8.86		892	1.04
Westgrove		34	1.88		70	3.87		29	1.60		2	0.11		0	0.00		1	0.06		29	1.60		470	26.01		5	0.28		2	0.11		973	53.85		15	0.83		132	7.30		0	0.00		1	0.06		43	2.38		0	0.00		1	0.06		1807	96.48		66	3.52		1873	2.18
Woodville		57	1.95		79	2.71		39	1.34		5	0.17		0	0.00		1	0.03		75	2.57		947	32.48		5	0.17		0	0.00		1331	45.64		27	0.93		237	8.13		1	0.03		2	0.07		109	3.74		1	0.03		0	0.00		2916	92.96		221	7.04		3137	3.65
Special Hospitals		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	5.26		7	36.84		0	0.00		1	5.26		8	42.11		0	0.00		0	0.00		0	0.00		1	5.26		1	5.26		0	0.00		0	0.00		19	100.00		0	0.00		19	0.02
Total Ordinary		1283	1.87		2018	2.95		756	1.10		64	0.09		39	0.06		29	0.04		1488	2.17		19470	28.45		197	0.29		45	0.07		35277	51.55		385	0.56		5039	7.36		20	0.03		47	0.07		2221	3.25		29	0.04		22	0.03		68429	92.75		5350	7.25		73779	85.91
ABSENT		99	2.34		176	4.15		49	1.16		5	0.12		3	0.07		1	0.02		98	2.31		1190	28.07		23	0.54		0	0.00		2030	47.89		15	0.35		345	8.14		0	0.00		3	0.07		195	4.60		5	0.12		2	0.05		4239	95.34		207	4.66		4446	5.18
POSTAL		70	3.67		50	2.62		34	1.78		2	0.10		0	0.00		0	0.00		50	2.62		573	30.05		4	0.21		1	0.05		950	49.82		10	0.52		102	5.35		0	0.00		3	0.16		57	2.99		0	0.00		1	0.05		1907	98.10		37	1.90		1944	2.26
PRE_POLL		128	2.66		160	3.32		71	1.47		5	0.10		4	0.08		1	0.02		161	3.34		1511	31.37		17	0.35		6	0.12		2307	47.90		27	0.56		296	6.15		2	0.04		5	0.10		114	2.37		1	0.02		0	0.00		4816	97.18		140	2.82		4956	5.77
PROVISIONAL		22	3.13		35	4.99		4	0.57		1	0.14		1	0.14		0	0.00		15	2.14		169	24.07		1	0.14		0	0.00		377	53.70		4	0.57		46	6.55		0	0.00		1	0.14		26	3.70		0	0.00		0	0.00		702	92.98		53	7.02		755	0.88
Division Summary		1602	2		2439	3.05		914	1.14		77	0.1		47	0.06		31	0.04		1812	2.26		22913	28.61		242	0.3		52	0.06		40941	51.12		441	0.55		5828	7.28		22	0.03		59	0.07		2613	3.26		35	0.04		25	0.03		80093	93.26		5787	6.74		85880	96.19
