Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
 By Polling Place																																																															

Gippsland (83845)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Cowwarr		5	2.08		5	2.08		1	0.42		1	0.42		0	0.00		0	0.00		21	8.75		129	53.75		0	0.00		0	0.00		61	25.42		0	0.00		9	3.75		0	0.00		0	0.00		7	2.92		1	0.42		0	0.00		240	97.17		7	2.83		247	0.29
Dargo		6	4.92		2	1.64		6	4.92		0	0.00		0	0.00		0	0.00		20	16.39		61	50.00		1	0.82		0	0.00		18	14.75		0	0.00		5	4.10		0	0.00		0	0.00		3	2.46		0	0.00		0	0.00		122	98.39		2	1.61		124	0.15
Denison		1	0.50		2	1.00		2	1.00		1	0.50		0	0.00		0	0.00		15	7.46		148	73.63		1	0.50		0	0.00		23	11.44		0	0.00		6	2.99		0	0.00		0	0.00		2	1.00		0	0.00		0	0.00		201	95.26		10	4.74		211	0.25
Devon North		5	1.93		2	0.77		4	1.54		0	0.00		0	0.00		0	0.00		23	8.88		155	59.85		4	1.54		0	0.00		41	15.83		1	0.39		15	5.79		0	0.00		0	0.00		9	3.47		0	0.00		0	0.00		259	96.28		10	3.72		269	0.32
Dudley		7	1.78		5	1.27		9	2.28		1	0.25		0	0.00		0	0.00		20	5.08		147	37.31		1	0.25		0	0.00		155	39.34		1	0.25		25	6.35		0	0.00		0	0.00		22	5.58		1	0.25		0	0.00		394	96.10		16	3.90		410	0.49
Dumbalk		4	1.09		7	1.91		8	2.19		0	0.00		0	0.00		0	0.00		31	8.47		224	61.20		0	0.00		1	0.27		45	12.30		1	0.27		19	5.19		1	0.27		0	0.00		25	6.83		0	0.00		0	0.00		366	97.34		10	2.66		376	0.45
Eagle Point		5	0.92		5	0.92		15	2.77		1	0.18		0	0.00		0	0.00		43	7.95		275	50.83		4	0.74		0	0.00		140	25.88		1	0.18		30	5.55		0	0.00		0	0.00		20	3.70		1	0.18		1	0.18		541	95.25		27	4.75		568	0.68
Ellaswood		3	1.88		3	1.88		4	2.50		1	0.63		0	0.00		1	0.63		19	11.88		77	48.13		0	0.00		0	0.00		27	16.88		1	0.63		10	6.25		0	0.00		1	0.63		13	8.13		0	0.00		0	0.00		160	100.00		0	0.00		160	0.19
Ensay		2	1.45		1	0.72		1	0.72		0	0.00		0	0.00		0	0.00		19	13.77		81	58.70		0	0.00		0	0.00		18	13.04		0	0.00		8	5.80		0	0.00		0	0.00		8	5.80		0	0.00		0	0.00		138	97.87		3	2.13		141	0.17
Fernbank		3	4.00		1	1.33		2	2.67		0	0.00		0	0.00		0	0.00		17	22.67		41	54.67		0	0.00		0	0.00		8	10.67		0	0.00		3	4.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		75	97.40		2	2.60		77	0.09
Fish Creek		10	1.65		11	1.82		14	2.31		0	0.00		1	0.17		0	0.00		40	6.60		320	52.81		0	0.00		2	0.33		114	18.81		1	0.17		23	3.80		1	0.17		0	0.00		68	11.22		1	0.17		0	0.00		606	95.89		26	4.11		632	0.75
Foster		24	1.82		17	1.29		21	1.60		3	0.23		0	0.00		0	0.00		71	5.40		570	43.31		4	0.30		1	0.08		360	27.36		5	0.38		94	7.14		0	0.00		0	0.00		145	11.02		0	0.00		1	0.08		1316	96.41		49	3.59		1365	1.63
Genoa		1	1.20		2	2.41		1	1.20		0	0.00		0	0.00		0	0.00		4	4.82		40	48.19		0	0.00		0	0.00		22	26.51		2	2.41		7	8.43		0	0.00		0	0.00		3	3.61		0	0.00		1	1.20		83	94.32		5	5.68		88	0.10
Glengarry		10	1.41		15	2.12		8	1.13		2	0.28		0	0.00		0	0.00		90	12.71		321	45.34		1	0.14		0	0.00		197	27.82		1	0.14		42	5.93		0	0.00		0	0.00		19	2.68		1	0.14		1	0.14		708	97.12		21	2.88		729	0.87
Glenmaggie		5	4.95		0	0.00		2	1.98		0	0.00		0	0.00		0	0.00		5	4.95		50	49.50		0	0.00		0	0.00		28	27.72		0	0.00		5	4.95		0	0.00		0	0.00		6	5.94		0	0.00		0	0.00		101	96.19		4	3.81		105	0.13
Golden Beach		5	2.53		4	2.02		6	3.03		0	0.00		0	0.00		0	0.00		20	10.10		60	30.30		2	1.01		0	0.00		84	42.42		0	0.00		5	2.53		0	0.00		1	0.51		11	5.56		0	0.00		0	0.00		198	95.19		10	4.81		208	0.25
Gormandale		7	2.08		12	3.56		6	1.78		0	0.00		1	0.30		0	0.00		33	9.79		151	44.81		1	0.30		1	0.30		63	18.69		12	3.56		12	3.56		0	0.00		1	0.30		37	10.98		0	0.00		0	0.00		337	96.01		14	3.99		351	0.42
Heyfield		37	3.06		31	2.57		14	1.16		3	0.25		1	0.08		1	0.08		90	7.45		566	46.85		8	0.66		0	0.00		375	31.04		4	0.33		55	4.55		0	0.00		3	0.25		20	1.66		0	0.00		0	0.00		1208	93.72		81	6.28		1289	1.54
Inverloch		41	1.77		29	1.25		42	1.82		1	0.04		3	0.13		2	0.09		116	5.01		920	39.76		1	0.04		2	0.09		733	31.68		5	0.22		180	7.78		1	0.04		0	0.00		238	10.29		0	0.00		0	0.00		2314	96.66		80	3.34		2394	2.86
