Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Melbourne Ports (89113)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Port Melbourne		28	0.94		47	1.59		35	1.18		1	0.03		2	0.07		0	0.00		23	0.78		1101	37.15		11	0.37		1	0.03		1113	37.55		2	0.07		302	10.19		0	0.00		0	0.00		296	9.99		0	0.00		2	0.07		2964	94.39		176	5.61		3140	3.81
Redan Central		25	1.72		29	2.00		15	1.03		4	0.28		0	0.00		0	0.00		13	0.90		442	30.48		7	0.48		1	0.07		460	31.72		1	0.07		192	13.24		0	0.00		0	0.00		258	17.79		2	0.14		1	0.07		1450	95.77		64	4.23		1514	1.84
Ripponlea East		27	2.54		8	0.75		7	0.66		1	0.09		1	0.09		0	0.00		11	1.03		437	41.11		7	0.66		2	0.19		271	25.49		1	0.09		123	11.57		1	0.09		0	0.00		166	15.62		0	0.00		0	0.00		1063	94.07		67	5.93		1130	1.37
Ripponlea North		24	1.69		29	2.04		12	0.84		5	0.35		1	0.07		0	0.00		13	0.91		408	28.65		3	0.21		0	0.00		482	33.85		5	0.35		199	13.97		0	0.00		0	0.00		239	16.78		1	0.07		3	0.21		1424	94.43		84	5.57		1508	1.83
St Kilda		80	2.10		52	1.37		28	0.74		3	0.08		1	0.03		0	0.00		38	1.00		998	26.22		12	0.32		3	0.08		1278	33.58		8	0.21		583	15.32		0	0.00		4	0.11		700	18.39		2	0.05		16	0.42		3806	94.37		227	5.63		4033	4.90
St Kilda Beach		21	1.25		34	2.02		20	1.19		1	0.06		1	0.06		0	0.00		17	1.01		416	24.76		9	0.54		0	0.00		508	30.24		4	0.24		287	17.08		0	0.00		0	0.00		358	21.31		3	0.18		1	0.06		1680	95.67		76	4.33		1756	2.13
St Kilda North		28	1.50		35	1.87		14	0.75		3	0.16		0	0.00		0	0.00		14	0.75		566	30.24		5	0.27		0	0.00		594	31.73		4	0.21		309	16.51		0	0.00		3	0.16		293	15.65		0	0.00		4	0.21		1872	93.18		137	6.82		2009	2.44
St Kilda Park		24	1.28		35	1.87		24	1.28		1	0.05		1	0.05		0	0.00		23	1.23		530	28.31		2	0.11		1	0.05		567	30.29		4	0.21		253	13.51		0	0.00		2	0.11		402	21.47		3	0.16		0	0.00		1872	93.00		141	7.00		2013	2.45
St Kilda South		33	1.70		27	1.39		24	1.24		2	0.10		2	0.10		1	0.05		13	0.67		524	27.07		5	0.26		2	0.10		627	32.39		0	0.00		284	14.67		0	0.00		1	0.05		385	19.89		0	0.00		6	0.31		1936	95.28		96	4.72		2032	2.47
Sandridge		20	1.96		35	3.44		10	0.98		1	0.10		1	0.10		3	0.29		13	1.28		191	18.76		1	0.10		0	0.00		640	62.87		1	0.10		57	5.60		1	0.10		1	0.10		42	4.13		1	0.10		0	0.00		1018	94.70		57	5.30		1075	1.31
South Melbourne		55	1.99		57	2.07		25	0.91		3	0.11		0	0.00		0	0.00		26	0.94		1083	39.27		7	0.25		2	0.07		917	33.25		2	0.07		286	10.37		1	0.04		1	0.04		293	10.62		0	0.00		0	0.00		2758	94.23		169	5.77		2927	3.56
Special Hospitals		8	2.60		2	0.65		2	0.65		2	0.65		0	0.00		0	0.00		2	0.65		139	45.13		2	0.65		0	0.00		141	45.78		0	0.00		5	1.62		0	0.00		0	0.00		4	1.30		0	0.00		1	0.32		308	95.06		16	4.94		324	0.39
Total Ordinary		1065	1.79		877	1.47		577	0.97		44	0.07		22	0.04		10	0.02		486	0.82		22345	37.57		179	0.30		23	0.04		18393	30.92		98	0.16		7240	12.17		14	0.02		33	0.06		7960	13.38		31	0.05		84	0.14		59481	94.19		3667	5.81		63148	76.70
ABSENT		149	2.21		133	1.98		69	1.02		5	0.07		1	0.01		1	0.01		54	0.80		2572	38.21		28	0.42		2	0.03		1724	25.61		13	0.19		960	14.26		1	0.01		9	0.13		998	14.82		8	0.12		5	0.07		6732	97.79		152	2.21		6884	8.36
POSTAL		186	3.54		46	0.88		47	0.89		2	0.04		3	0.06		2	0.04		38	0.72		2572	48.96		38	0.72		0	0.00		1535	29.22		12	0.23		468	8.91		0	0.00		2	0.04		280	5.33		1	0.02		21	0.40		5253	98.28		92	1.72		5345	6.49
PRE_POLL		136	2.35		62	1.07		57	0.99		5	0.09		3	0.05		3	0.05		37	0.64		2352	40.73		43	0.74		9	0.16		1760	30.48		7	0.12		717	12.42		2	0.03		0	0.00		563	9.75		8	0.14		11	0.19		5775	97.60		142	2.40		5917	7.19
PROVISIONAL		24	2.46		19	1.95		4	0.41		1	0.10		2	0.20		0	0.00		3	0.31		320	32.79		4	0.41		1	0.10		289	29.61		3	0.31		151	15.47		0	0.00		1	0.10		150	15.37		0	0.00		4	0.41		976	94.39		58	5.61		1034	1.26
Division Summary		1560	1.99		1137	1.45		754	0.96		57	0.07		31	0.04		16	0.02		618	0.79		30161	38.56		292	0.37		35	0.04		23701	30.3		133	0.17		9536	12.19		17	0.02		45	0.06		9951	12.72		48	0.06		125	0.16		78217	95.01		4111	4.99		82328	92.39
