Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Isaacs (82675)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Lyrebird		69	2.25		72	2.34		41	1.33		2	0.07		2	0.07		0	0.00		80	2.60		1101	35.83		8	0.26		0	0.00		1374	44.71		7	0.23		247	8.04		0	0.00		1	0.03		68	2.21		1	0.03		0	0.00		3073	93.86		201	6.14		3274	4.10
Melbourne (Isaacs)		1	1.85		1	1.85		2	3.70		0	0.00		0	0.00		0	0.00		0	0.00		16	29.63		0	0.00		0	0.00		17	31.48		2	3.70		9	16.67		0	0.00		1	1.85		4	7.41		0	0.00		1	1.85		54	100.00		0	0.00		54	0.07
Mentone		51	2.26		49	2.17		29	1.28		1	0.04		1	0.04		1	0.04		35	1.55		1012	44.78		8	0.35		3	0.13		655	28.98		9	0.40		241	10.66		1	0.04		2	0.09		161	7.12		0	0.00		1	0.04		2260	94.40		134	5.60		2394	3.00
Mentone North		35	2.58		25	1.84		13	0.96		1	0.07		2	0.15		1	0.07		17	1.25		622	45.87		3	0.22		2	0.15		424	31.27		6	0.44		119	8.78		0	0.00		1	0.07		84	6.19		0	0.00		1	0.07		1356	93.71		91	6.29		1447	1.81
Mordialloc East		35	1.82		48	2.49		21	1.09		2	0.10		2	0.10		1	0.05		44	2.28		679	35.22		8	0.41		1	0.05		730	37.86		8	0.41		199	10.32		1	0.05		2	0.10		145	7.52		2	0.10		0	0.00		1928	91.55		178	8.45		2106	2.64
Parkdale		30	1.10		48	1.76		31	1.14		1	0.04		1	0.04		1	0.04		39	1.43		1241	45.46		4	0.15		2	0.07		800	29.30		7	0.26		302	11.06		0	0.00		0	0.00		221	8.10		1	0.04		1	0.04		2730	93.49		190	6.51		2920	3.65
Parkdale Central		21	1.55		15	1.11		17	1.26		1	0.07		0	0.00		0	0.00		35	2.59		561	41.52		1	0.07		0	0.00		479	35.46		5	0.37		143	10.58		0	0.00		1	0.07		71	5.26		0	0.00		1	0.07		1351	95.54		63	4.46		1414	1.77
Parkdale East		47	1.91		49	1.99		30	1.22		1	0.04		0	0.00		1	0.04		37	1.51		1027	41.78		6	0.24		0	0.00		835	33.97		12	0.49		278	11.31		0	0.00		3	0.12		131	5.33		0	0.00		1	0.04		2458	93.75		164	6.25		2622	3.28
Patterson Lakes		75	2.30		56	1.72		22	0.68		1	0.03		2	0.06		0	0.00		57	1.75		1792	54.99		5	0.15		0	0.00		867	26.60		16	0.49		257	7.89		0	0.00		1	0.03		104	3.19		4	0.12		0	0.00		3259	93.84		214	6.16		3473	4.35
Rowellyn Park		48	1.76		85	3.13		21	0.77		1	0.04		2	0.07		1	0.04		59	2.17		959	35.26		4	0.15		2	0.07		1172	43.09		6	0.22		283	10.40		0	0.00		2	0.07		73	2.68		2	0.07		0	0.00		2720	94.25		166	5.75		2886	3.61
Skye (Isaacs)		8	1.21		12	1.82		2	0.30		3	0.45		0	0.00		0	0.00		26	3.94		265	40.15		0	0.00		0	0.00		274	41.52		2	0.30		51	7.73		0	0.00		0	0.00		17	2.58		0	0.00		0	0.00		660	94.56		38	5.44		698	0.87
Special Hospitals		14	3.29		6	1.41		3	0.71		1	0.24		0	0.00		0	0.00		4	0.94		204	48.00		0	0.00		1	0.24		176	41.41		0	0.00		11	2.59		0	0.00		0	0.00		5	1.18		0	0.00		0	0.00		425	92.59		34	7.41		459	0.57
Total Ordinary		1305	2.04		1425	2.23		664	1.04		54	0.08		34	0.05		26	0.04		1388	2.17		25420	39.82		141	0.22		30	0.05		24387	38.20		305	0.48		5750	9.01		18	0.03		40	0.06		2805	4.39		28	0.04		18	0.03		63838	93.72		4276	6.28		68114	85.25
ABSENT		140	3.12		162	3.61		60	1.34		5	0.11		4	0.09		1	0.02		137	3.05		1630	36.31		20	0.45		5	0.11		1550	34.53		10	0.22		442	9.85		2	0.04		4	0.09		316	7.04		1	0.02		0	0.00		4489	96.00		187	4.00		4676	5.85
POSTAL		121	3.62		63	1.88		45	1.34		3	0.09		0	0.00		0	0.00		98	2.93		1575	47.06		6	0.18		0	0.00		1157	34.57		12	0.36		175	5.23		1	0.03		4	0.12		81	2.42		4	0.12		2	0.06		3347	97.98		69	2.02		3416	4.28
PRE_POLL		85	3.22		62	2.35		25	0.95		1	0.04		1	0.04		1	0.04		78	2.96		1074	40.70		6	0.23		3	0.11		950	36.00		16	0.61		220	8.34		0	0.00		2	0.08		114	4.32		1	0.04		0	0.00		2639	97.85		58	2.15		2697	3.38
PROVISIONAL		28	3.01		41	4.41		11	1.18		0	0.00		0	0.00		0	0.00		21	2.26		327	35.16		5	0.54		2	0.22		367	39.46		2	0.22		73	7.85		0	0.00		1	0.11		51	5.48		1	0.11		0	0.00		930	93.47		65	6.53		995	1.25
Division Summary		1679	2.23		1753	2.33		805	1.07		63	0.08		39	0.05		28	0.04		1722	2.29		30026	39.91		178	0.24		40	0.05		28411	37.76		345	0.46		6660	8.85		21	0.03		51	0.07		3367	4.47		35	0.05		20	0.03		75243	94.17		4655	5.83		79898	96.64
