Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Chisholm (86680)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Mount Waverley		13	1.99		13	1.99		4	0.61		0	0.00		0	0.00		0	0.00		5	0.76		325	49.69		0	0.00		0	0.00		179	27.37		5	0.76		57	8.72		0	0.00		0	0.00		53	8.10		0	0.00		0	0.00		654	95.89		28	4.11		682	0.82
Mount Waverley South		61	1.52		61	1.52		37	0.92		4	0.10		3	0.07		1	0.02		48	1.20		1871	46.76		15	0.37		3	0.07		1205	30.12		26	0.65		373	9.32		0	0.00		2	0.05		287	7.17		2	0.05		2	0.05		4001	93.79		265	6.21		4266	5.15
Oakleigh (Chisholm)		35	2.46		33	2.32		15	1.06		0	0.00		1	0.07		0	0.00		16	1.13		417	29.37		4	0.28		0	0.00		681	47.96		5	0.35		108	7.61		0	0.00		1	0.07		103	7.25		0	0.00		1	0.07		1420	92.51		115	7.49		1535	1.85
Oakleigh East		28	1.70		26	1.58		24	1.46		0	0.00		3	0.18		1	0.06		31	1.88		516	31.33		10	0.61		0	0.00		719	43.66		12	0.73		188	11.41		2	0.12		0	0.00		83	5.04		2	0.12		2	0.12		1647	94.93		88	5.07		1735	2.10
Oakleigh North		36	2.29		41	2.61		8	0.51		1	0.06		2	0.13		2	0.13		24	1.53		536	34.10		10	0.64		2	0.13		672	42.75		9	0.57		135	8.59		1	0.06		2	0.13		89	5.66		1	0.06		1	0.06		1572	92.74		123	7.26		1695	2.05
Pinewood (Chisholm)		45	2.11		33	1.55		25	1.17		0	0.00		1	0.05		0	0.00		35	1.64		946	44.43		9	0.42		1	0.05		673	31.61		12	0.56		200	9.39		0	0.00		3	0.14		145	6.81		0	0.00		1	0.05		2129	94.37		127	5.63		2256	2.72
Surrey Hills		22	1.40		16	1.02		22	1.40		0	0.00		1	0.06		2	0.13		10	0.64		774	49.43		3	0.19		0	0.00		361	23.05		11	0.70		153	9.77		0	0.00		0	0.00		191	12.20		0	0.00		0	0.00		1566	95.26		78	4.74		1644	1.99
Sussex Heights		39	1.96		60	3.02		25	1.26		0	0.00		0	0.00		0	0.00		22	1.11		695	34.94		7	0.35		2	0.10		834	41.93		5	0.25		186	9.35		0	0.00		5	0.25		107	5.38		0	0.00		2	0.10		1989	93.07		148	6.93		2137	2.58
Syndal North		55	1.87		41	1.39		18	0.61		1	0.03		1	0.03		1	0.03		41	1.39		1343	45.59		14	0.48		0	0.00		958	32.52		13	0.44		301	10.22		1	0.03		0	0.00		157	5.33		0	0.00		1	0.03		2946	95.77		130	4.23		3076	3.72
Syndal South		30	1.62		30	1.62		13	0.70		1	0.05		0	0.00		0	0.00		25	1.35		883	47.65		9	0.49		2	0.11		504	27.20		17	0.92		171	9.23		0	0.00		0	0.00		164	8.85		1	0.05		3	0.16		1853	95.56		86	4.44		1939	2.34
Tally Ho (Chisholm)		32	2.42		15	1.13		9	0.68		0	0.00		0	0.00		1	0.08		24	1.81		530	40.00		8	0.60		1	0.08		490	36.98		12	0.91		128	9.66		0	0.00		0	0.00		73	5.51		2	0.15		0	0.00		1325	95.05		69	4.95		1394	1.68
Tyne		19	1.68		9	0.80		13	1.15		0	0.00		0	0.00		2	0.18		9	0.80		470	41.59		6	0.53		1	0.09		390	34.51		9	0.80		119	10.53		0	0.00		1	0.09		82	7.26		0	0.00		0	0.00		1130	94.72		63	5.28		1193	1.44
Wattle Park		38	1.60		33	1.39		26	1.10		4	0.17		2	0.08		0	0.00		26	1.10		936	39.49		10	0.42		1	0.04		818	34.51		5	0.21		218	9.20		0	0.00		1	0.04		250	10.55		0	0.00		2	0.08		2370	95.60		109	4.40		2479	2.99
Waverley North		17	1.44		25	2.12		8	0.68		1	0.08		0	0.00		0	0.00		12	1.02		448	37.90		21	1.78		0	0.00		412	34.86		5	0.42		113	9.56		0	0.00		0	0.00		115	9.73		4	0.34		1	0.08		1182	96.81		39	3.19		1221	1.47
Special Hospitals		26	5.01		6	1.16		2	0.39		0	0.00		0	0.00		0	0.00		3	0.58		334	64.35		2	0.39		0	0.00		125	24.08		0	0.00		7	1.35		0	0.00		0	0.00		14	2.70		0	0.00		0	0.00		519	95.05		27	4.95		546	0.66
Total Ordinary		1243	1.92		1091	1.69		591	0.91		29	0.04		33	0.05		18	0.03		828	1.28		25654	39.65		287	0.44		31	0.05		23242	35.92		412	0.64		6249	9.66		11	0.02		35	0.05		4882	7.55		24	0.04		37	0.06		64697	94.36		3869	5.64		68566	82.81
ABSENT		156	2.61		174	2.91		90	1.51		6	0.10		3	0.05		1	0.02		67	1.12		2253	37.71		34	0.57		5	0.08		1845	30.88		37	0.62		744	12.45		0	0.00		5	0.08		547	9.15		3	0.05		5	0.08		5975	97.47		155	2.53		6130	7.40
POSTAL		163	3.77		71	1.64		63	1.46		1	0.02		2	0.05		2	0.05		79	1.83		1965	45.51		21	0.49		2	0.05		1465	33.93		31	0.72		309	7.16		1	0.02		1	0.02		139	3.22		2	0.05		1	0.02		4318	98.14		82	1.86		4400	5.31
PRE_POLL		95	2.94		65	2.01		28	0.87		0	0.00		0	0.00		1	0.03		39	1.21		1283	39.67		31	0.96		7	0.22		1144	35.37		23	0.71		345	10.67		1	0.03		3	0.09		162	5.01		3	0.09		4	0.12		3234	97.79		73	2.21		3307	3.99
PROVISIONAL		5	1.34		19	5.09		5	1.34		0	0.00		1	0.27		1	0.27		1	0.27		127	34.05		0	0.00		1	0.27		152	40.75		4	1.07		36	9.65		1	0.27		1	0.27		19	5.09		0	0.00		0	0.00		373	94.67		21	5.33		394	0.48
Division Summary		1662	2.11		1420	1.81		777	0.99		36	0.05		39	0.05		23	0.03		1014	1.29		31282	39.8		373	0.47		46	0.06		27848	35.43		507	0.65		7683	9.78		14	0.02		45	0.06		5749	7.31		32	0.04		47	0.06		78597	94.93		4200	5.07		82797	95.52
