Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Aston (90211)																																																															

		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Park Ridge		38	1.75		44	2.03		17	0.78		1	0.05		1	0.05		4	0.18		36	1.66		951	43.89		11	0.51		3	0.14		796	36.73		30	1.38		195	9.00		2	0.09		0	0.00		35	1.62		1	0.05		2	0.09		2167	95.67		98	4.33		2265	2.59
Rowville		55	1.29		96	2.25		32	0.75		2	0.05		1	0.02		7	0.16		52	1.22		2071	48.64		6	0.14		2	0.05		1491	35.02		29	0.68		320	7.52		0	0.00		2	0.05		92	2.16		0	0.00		0	0.00		4258	94.27		259	5.73		4517	5.16
Rowville East		41	1.32		56	1.80		12	0.39		1	0.03		0	0.00		1	0.03		35	1.13		1491	48.05		12	0.39		0	0.00		1118	36.03		7	0.23		266	8.57		0	0.00		0	0.00		63	2.03		0	0.00		0	0.00		3103	93.46		217	6.54		3320	3.79
Scoresby		64	2.20		66	2.27		19	0.65		5	0.17		2	0.07		0	0.00		54	1.86		1252	43.13		15	0.52		0	0.00		1056	36.38		31	1.07		252	8.68		1	0.03		2	0.07		84	2.89		0	0.00		0	0.00		2903	94.96		154	5.04		3057	3.49
Scoresby East		9	0.80		13	1.16		11	0.98		2	0.18		0	0.00		1	0.09		13	1.16		579	51.56		0	0.00		0	0.00		325	28.94		11	0.98		121	10.77		0	0.00		1	0.09		36	3.21		0	0.00		1	0.09		1123	94.61		64	5.39		1187	1.36
Studfield East		57	1.99		59	2.06		36	1.26		4	0.14		0	0.00		0	0.00		62	2.16		1237	43.16		8	0.28		3	0.10		1017	35.48		16	0.56		254	8.86		1	0.03		3	0.10		106	3.70		2	0.07		1	0.03		2866	95.22		144	4.78		3010	3.44
Templeton		21	1.12		30	1.61		17	0.91		1	0.05		2	0.11		2	0.11		23	1.23		843	45.13		9	0.48		2	0.11		690	36.94		9	0.48		157	8.40		0	0.00		1	0.05		61	3.27		0	0.00		0	0.00		1868	95.31		92	4.69		1960	2.24
Vermont		12	1.46		13	1.58		7	0.85		0	0.00		0	0.00		0	0.00		14	1.70		371	45.08		1	0.12		0	0.00		239	29.04		9	1.09		105	12.76		0	0.00		5	0.61		47	5.71		0	0.00		0	0.00		823	96.26		32	3.74		855	0.98
Wantirna		43	2.13		35	1.73		17	0.84		3	0.15		1	0.05		2	0.10		21	1.04		978	48.39		12	0.59		1	0.05		656	32.46		19	0.94		168	8.31		0	0.00		2	0.10		60	2.97		3	0.15		0	0.00		2021	95.56		94	4.44		2115	2.42
Wantirna Heights		13	1.04		13	1.04		14	1.12		3	0.24		0	0.00		0	0.00		22	1.77		617	49.52		0	0.00		3	0.24		410	32.91		16	1.28		92	7.38		0	0.00		0	0.00		41	3.29		2	0.16		0	0.00		1246	95.19		63	4.81		1309	1.49
