Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Ballarat (85877)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Concongella		5	2.27		2	0.91		9	4.09		1	0.45		0	0.00		0	0.00		9	4.09		130	59.09		0	0.00		0	0.00		51	23.18		0	0.00		6	2.73		0	0.00		0	0.00		7	3.18		0	0.00		0	0.00		220	93.62		15	6.38		235	0.28
Creswick		36	2.14		41	2.43		21	1.25		5	0.30		1	0.06		0	0.00		60	3.56		571	33.91		2	0.12		2	0.12		673	39.96		21	1.25		124	7.36		0	0.00		2	0.12		122	7.24		2	0.12		1	0.06		1684	96.78		56	3.22		1740	2.10
Creswick North		9	2.16		5	1.20		5	1.20		0	0.00		0	0.00		0	0.00		14	3.37		135	32.45		1	0.24		1	0.24		192	46.15		7	1.68		19	4.57		0	0.00		0	0.00		28	6.73		0	0.00		0	0.00		416	95.63		19	4.37		435	0.52
Daylesford		49	2.45		31	1.55		25	1.25		2	0.10		0	0.00		2	0.10		85	4.25		591	29.58		1	0.05		2	0.10		674	33.73		6	0.30		136	6.81		0	0.00		5	0.25		387	19.37		2	0.10		0	0.00		1998	93.23		145	6.77		2143	2.58
Delacombe		29	1.68		48	2.78		18	1.04		2	0.12		2	0.12		0	0.00		39	2.26		797	46.10		2	0.12		0	0.00		637	36.84		12	0.69		103	5.96		2	0.12		1	0.06		37	2.14		0	0.00		0	0.00		1729	95.26		86	4.74		1815	2.19
Drummond		2	0.93		1	0.47		6	2.79		0	0.00		1	0.47		0	0.00		11	5.12		51	23.72		0	0.00		0	0.00		93	43.26		0	0.00		19	8.84		0	0.00		0	0.00		30	13.95		1	0.47		0	0.00		215	97.73		5	2.27		220	0.26
Elaine		6	2.41		3	1.20		6	2.41		0	0.00		0	0.00		0	0.00		13	5.22		127	51.00		2	0.80		1	0.40		70	28.11		2	0.80		13	5.22		0	0.00		0	0.00		6	2.41		0	0.00		0	0.00		249	92.57		20	7.43		269	0.32
Glenlyon		6	1.78		6	1.78		7	2.07		0	0.00		0	0.00		0	0.00		13	3.85		104	30.77		0	0.00		0	0.00		93	27.51		2	0.59		17	5.03		0	0.00		1	0.30		89	26.33		0	0.00		0	0.00		338	96.30		13	3.70		351	0.42
Glenorchy		2	1.32		4	2.63		4	2.63		0	0.00		0	0.00		0	0.00		6	3.95		82	53.95		0	0.00		0	0.00		36	23.68		2	1.32		8	5.26		0	0.00		0	0.00		8	5.26		0	0.00		0	0.00		152	94.41		9	5.59		161	0.19
Gordon		14	2.49		12	2.13		11	1.95		0	0.00		0	0.00		0	0.00		23	4.09		220	39.08		2	0.36		0	0.00		224	39.79		7	1.24		23	4.09		0	0.00		0	0.00		26	4.62		1	0.18		0	0.00		563	98.08		11	1.92		574	0.69
Great Western		3	0.98		7	2.28		5	1.63		0	0.00		0	0.00		0	0.00		30	9.77		143	46.58		1	0.33		1	0.33		83	27.04		6	1.95		16	5.21		0	0.00		0	0.00		12	3.91		0	0.00		0	0.00		307	96.24		12	3.76		319	0.38
Haddon		21	2.15		22	2.25		15	1.53		2	0.20		0	0.00		1	0.10		44	4.50		424	43.35		3	0.31		0	0.00		344	35.17		6	0.61		38	3.89		0	0.00		1	0.10		56	5.73		0	0.00		1	0.10		978	94.49		57	5.51		1035	1.25
Halls Gap		6	2.30		3	1.15		0	0.00		0	0.00		0	0.00		0	0.00		5	1.92		142	54.41		1	0.38		0	0.00		69	26.44		0	0.00		15	5.75		0	0.00		0	0.00		20	7.66		0	0.00		0	0.00		261	94.22		16	5.78		277	0.33
Hepburn Springs		9	1.53		16	2.72		6	1.02		1	0.17		0	0.00		2	0.34		25	4.25		163	27.72		0	0.00		0	0.00		202	34.35		0	0.00		37	6.29		1	0.17		0	0.00		126	21.43		0	0.00		0	0.00		588	94.38		35	5.62		623	0.75
Landsborough		3	1.63		1	0.54		2	1.09		2	1.09		0	0.00		0	0.00		10	5.43		115	62.50		0	0.00		0	0.00		32	17.39		0	0.00		12	6.52		2	1.09		0	0.00		5	2.72		0	0.00		0	0.00		184	95.83		8	4.17		192	0.23
Learmonth		9	2.35		7	1.83		7	1.83		0	0.00		0	0.00		0	0.00		9	2.35		218	56.92		1	0.26		0	0.00		98	25.59		2	0.52		17	4.44		0	0.00		0	0.00		15	3.92		0	0.00		0	0.00		383	94.57		22	5.43		405	0.49
Lexton		5	2.62		0	0.00		1	0.52		0	0.00		1	0.52		0	0.00		13	6.81		75	39.27		2	1.05		0	0.00		74	38.74		4	2.09		7	3.66		0	0.00		0	0.00		8	4.19		0	0.00		1	0.52		191	91.83		17	8.17		208	0.25
Magpie		4	1.45		8	2.91		1	0.36		0	0.00		0	0.00		0	0.00		3	1.09		115	41.82		0	0.00		0	0.00		110	40.00		3	1.09		23	8.36		0	0.00		0	0.00		8	2.91		0	0.00		0	0.00		275	97.17		8	2.83		283	0.34
Marnoo		4	2.80		3	2.10		1	0.70		0	0.00		0	0.00		0	0.00		7	4.90		113	79.02		0	0.00		0	0.00		14	9.79		0	0.00		1	0.70		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		143	96.62		5	3.38		148	0.18
Melbourne (Ballarat)		0	0.00		2	3.77		1	1.89		1	1.89		0	0.00		0	0.00		0	0.00		19	35.85		0	0.00		0	0.00		19	35.85		0	0.00		7	13.21		0	0.00		0	0.00		4	7.55		0	0.00		0	0.00		53	98.15		1	1.85		54	0.07
Miners Rest		15	2.17		20	2.90		11	1.59		0	0.00		1	0.14		0	0.00		24	3.48		364	52.75		2	0.29		0	0.00		196	28.41		3	0.43		34	4.93		0	0.00		0	0.00		20	2.90		0	0.00		0	0.00		690	94.01		44	5.99		734	0.88
Moonambel		6	3.30		3	1.65		1	0.55		0	0.00		0	0.00		0	0.00		9	4.95		71	39.01		0	0.00		0	0.00		78	42.86		0	0.00		4	2.20		0	0.00		0	0.00		10	5.49		0	0.00		0	0.00		182	91.92		16	8.08		198	0.24
Mount Clear		41	1.74		35	1.49		29	1.23		0	0.00		0	0.00		0	0.00		30	1.28		1121	47.66		5	0.21		1	0.04		733	31.16		14	0.60		191	8.12		1	0.04		1	0.04		149	6.34		0	0.00		1	0.04		2352	96.99		73	3.01		2425	2.92
Mount Egerton		6	2.65		5	2.21		1	0.44		0	0.00		0	0.00		0	0.00		9	3.98		63	27.88		0	0.00		0	0.00		112	49.56		1	0.44		15	6.64		0	0.00		1	0.44		13	5.75		0	0.00		0	0.00		226	92.24		19	7.76		245	0.30
Mount Pleasant		28	1.58		58	3.26		19	1.07		3	0.17		1	0.06		1	0.06		40	2.25		656	36.92		7	0.39		0	0.00		722	40.63		16	0.90		110	6.19		1	0.06		0	0.00		114	6.42		1	0.06		0	0.00		1777	95.59		82	4.41		1859	2.24
Mount Wallace		0	0.00		3	2.14		0	0.00		0	0.00		0	0.00		0	0.00		4	2.86		73	52.14		0	0.00		0	0.00		45	32.14		0	0.00		10	7.14		0	0.00		0	0.00		5	3.57		0	0.00		0	0.00		140	93.33		10	6.67		150	0.18
Napoleons		11	2.17		11	2.17		5	0.98		1	0.20		0	0.00		0	0.00		19	3.74		202	39.76		2	0.39		0	0.00		196	38.58		2	0.39		26	5.12		0	0.00		0	0.00		33	6.50		0	0.00		0	0.00		508	95.49		24	4.51		532	0.64
Natte Yallock		4	5.71		1	1.43		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		57	81.43		0	0.00		0	0.00		6	8.57		1	1.43		0	0.00		0	0.00		0	0.00		1	1.43		0	0.00		0	0.00		70	93.33		5	6.67		75	0.09
Navarre		6	7.79		0	0.00		1	1.30		0	0.00		0	0.00		0	0.00		3	3.90		45	58.44		0	0.00		0	0.00		20	25.97		0	0.00		1	1.30		0	0.00		0	0.00		1	1.30		0	0.00		0	0.00		77	96.25		3	3.75		80	0.10
Newington		10	2.48		9	2.23		7	1.73		0	0.00		0	0.00		0	0.00		8	1.98		163	40.35		3	0.74		3	0.74		143	35.40		2	0.50		28	6.93		0	0.00		0	0.00		28	6.93		0	0.00		0	0.00		404	96.65		14	3.35		418	0.50
Newlyn		3	0.68		4	0.90		13	2.93		1	0.23		0	0.00		0	0.00		12	2.70		242	54.50		0	0.00		0	0.00		108	24.32		7	1.58		21	4.73		0	0.00		1	0.23		32	7.21		0	0.00		0	0.00		444	93.67		30	6.33		474	0.57
Redan		42	2.20		62	3.24		22	1.15		2	0.10		0	0.00		0	0.00		63	3.29		668	34.92		3	0.16		4	0.21		863	45.11		8	0.42		104	5.44		0	0.00		1	0.05		71	3.71		0	0.00		0	0.00		1913	94.38		114	5.62		2027	2.44
Redan North		9	1.41		20	3.13		8	1.25		1	0.16		0	0.00		0	0.00		9	1.41		219	34.22		0	0.00		0	0.00		250	39.06		3	0.47		47	7.34		0	0.00		2	0.31		71	11.09		0	0.00		1	0.16		640	95.24		32	4.76		672	0.81
Ross Creek		12	1.83		10	1.53		9	1.38		0	0.00		0	0.00		1	0.15		25	3.82		304	46.48		0	0.00		1	0.15		230	35.17		0	0.00		37	5.66		0	0.00		0	0.00		25	3.82		0	0.00		0	0.00		654	97.32		18	2.68		672	0.81
Sebastopol		76	2.66		65	2.27		31	1.08		2	0.07		3	0.10		0	0.00		65	2.27		1010	35.33		5	0.17		10	0.35		1356	47.43		13	0.45		126	4.41		0	0.00		1	0.03		96	3.36		0	0.00		0	0.00		2859	93.61		195	6.39		3054	3.68
Smeaton		3	1.28		6	2.55		0	0.00		0	0.00		0	0.00		0	0.00		12	5.11		118	50.21		0	0.00		0	0.00		64	27.23		2	0.85		17	7.23		0	0.00		0	0.00		13	5.53		0	0.00		0	0.00		235	95.14		12	4.86		247	0.30
Soldiers Hill		18	1.65		22	2.02		22	2.02		1	0.09		1	0.09		0	0.00		26	2.39		389	35.72		3	0.28		0	0.00		398	36.55		6	0.55		88	8.08		0	0.00		1	0.09		113	10.38		1	0.09		0	0.00		1089	95.28		54	4.72		1143	1.38
Springbank		7	3.93		2	1.12		2	1.12		0	0.00		0	0.00		0	0.00		6	3.37		93	52.25		0	0.00		0	0.00		49	27.53		2	1.12		6	3.37		0	0.00		0	0.00		11	6.18		0	0.00		0	0.00		178	91.75		16	8.25		194	0.23
Stawell		53	2.86		42	2.27		19	1.03		1	0.05		1	0.05		1	0.05		85	4.59		834	45.03		1	0.05		2	0.11		650	35.10		3	0.16		93	5.02		0	0.00		0	0.00		65	3.51		2	0.11		0	0.00		1852	92.83		143	7.17		1995	2.40
Stawell West		46	2.59		43	2.42		20	1.12		1	0.06		0	0.00		3	0.17		122	6.86		787	44.24		6	0.34		4	0.22		603	33.90		5	0.28		74	4.16		0	0.00		2	0.11		61	3.43		0	0.00		2	0.11		1779	93.19		130	6.81		1909	2.30
Talbot		13	2.60		15	3.00		7	1.40		0	0.00		3	0.60		1	0.20		24	4.80		167	33.40		2	0.40		0	0.00		214	42.80		3	0.60		19	3.80		0	0.00		0	0.00		32	6.40		0	0.00		0	0.00		500	91.58		46	8.42		546	0.66
The Stockade		30	2.23		36	2.68		31	2.31		2	0.15		0	0.00		1	0.07		28	2.08		533	39.66		5	0.37		0	0.00		474	35.27		11	0.82		90	6.70		0	0.00		0	0.00		103	7.66		0	0.00		0	0.00		1344	95.79		59	4.21		1403	1.69
Warrenheip		21	3.07		6	0.88		14	2.05		0	0.00		0	0.00		1	0.15		30	4.39		343	50.15		1	0.15		2	0.29		186	27.19		4	0.58		39	5.70		1	0.15		0	0.00		36	5.26		0	0.00		0	0.00		684	95.13		35	4.87		719	0.87
Waubra		5	2.29		3	1.38		3	1.38		0	0.00		0	0.00		0	0.00		13	5.96		113	51.83		0	0.00		0	0.00		71	32.57		0	0.00		7	3.21		0	0.00		0	0.00		3	1.38		0	0.00		0	0.00		218	92.37		18	7.63		236	0.28
Wendouree		48	2.29		31	1.48		22	1.05		1	0.05		2	0.10		0	0.00		46	2.20		992	47.37		4	0.19		2	0.10		733	35.00		11	0.53		120	5.73		2	0.10		1	0.05		79	3.77		0	0.00		0	0.00		2094	94.54		121	5.46		2215	2.67
Wendouree East		28	1.92		32	2.20		8	0.55		1	0.07		1	0.07		2	0.14		39	2.68		634	43.57		2	0.14		2	0.14		586	40.27		8	0.55		62	4.26		1	0.07		1	0.07		48	3.30		0	0.00		0	0.00		1455	93.45		102	6.55		1557	1.88
Wendouree North		55	2.13		52	2.01		20	0.77		2	0.08		1	0.04		2	0.08		68	2.63		1050	40.59		6	0.23		1	0.04		1114	43.06		9	0.35		147	5.68		0	0.00		1	0.04		59	2.28		0	0.00		0	0.00		2587	95.04		135	4.96		2722	3.28
Wendouree West		30	2.37		57	4.50		7	0.55		1	0.08		2	0.16		0	0.00		44	3.48		265	20.93		4	0.32		1	0.08		771	60.90		9	0.71		36	2.84		0	0.00		0	0.00		39	3.08		0	0.00		0	0.00		1266	91.47		118	8.53		1384	1.67
Yandoit		4	2.88		1	0.72		3	2.16		0	0.00		1	0.72		0	0.00		5	3.60		64	46.04		0	0.00		0	0.00		36	25.90		0	0.00		7	5.04		0	0.00		0	0.00		18	12.95		0	0.00		0	0.00		139	92.05		12	7.95		151	0.18
Special Hospitals		22	3.40		8	1.23		4	0.62		0	0.00		0	0.00		0	0.00		6	0.93		303	46.76		1	0.15		0	0.00		278	42.90		1	0.15		15	2.31		0	0.00		2	0.31		8	1.23		0	0.00		0	0.00		648	95.86		28	4.14		676	0.81
Total Ordinary		1389	2.11		1381	2.10		794	1.21		46	0.07		27	0.04		26	0.04		1924	2.93		27271	41.52		135	0.21		61	0.09		24197	36.84		377	0.57		3871	5.89		13	0.02		47	0.07		4096	6.24		17	0.03		16	0.02		65688	94.82		3592	5.18		69280	83.44
ABSENT		126	2.91		135	3.12		68	1.57		7	0.16		2	0.05		0	0.00		96	2.22		1646	38.00		13	0.30		9	0.21		1338	30.89		22	0.51		445	10.27		2	0.05		4	0.09		411	9.49		4	0.09		4	0.09		4332	97.66		104	2.34		4436	5.34
POSTAL		100	2.70		52	1.41		51	1.38		0	0.00		1	0.03		0	0.00		106	2.87		1618	43.77		2	0.05		3	0.08		1467	39.68		23	0.62		142	3.84		0	0.00		2	0.05		126	3.41		2	0.05		2	0.05		3697	97.88		80	2.12		3777	4.55
PRE_POLL		98	2.22		76	1.72		42	0.95		2	0.05		4	0.09		1	0.02		143	3.24		1893	42.93		13	0.29		7	0.16		1565	35.50		36	0.82		316	7.17		2	0.05		1	0.02		206	4.67		3	0.07		1	0.02		4409	97.78		100	2.22		4509	5.43
PROVISIONAL		33	3.37		39	3.98		6	0.61		1	0.10		0	0.00		0	0.00		34	3.47		316	32.24		2	0.20		0	0.00		417	42.55		3	0.31		56	5.71		0	0.00		0	0.00		73	7.45		0	0.00		0	0.00		980	95.33		48	4.67		1028	1.24
Division Summary		1746	2.21		1683	2.13		961	1.21		56	0.07		34	0.04		27	0.03		2303	2.91		32744	41.39		165	0.21		80	0.1		28984	36.64		461	0.58		4830	6.11		17	0.02		54	0.07		4912	6.21		26	0.03		23	0.03		79106	95.27		3924	4.73		83030	96.68
