Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Burke (88943)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Melton South		61	1.96		120	3.85		48	1.54		3	0.10		4	0.13		0	0.00		80	2.57		908	29.13		6	0.19		2	0.06		1562	50.11		13	0.42		199	6.38		3	0.10		2	0.06		105	3.37		1	0.03		0	0.00		3117	92.19		264	7.81		3381	3.96
Mount Macedon		7	1.14		4	0.65		12	1.96		0	0.00		0	0.00		0	0.00		19	3.10		269	43.88		0	0.00		1	0.16		156	25.45		0	0.00		46	7.50		0	0.00		0	0.00		99	16.15		0	0.00		0	0.00		613	96.08		25	3.92		638	0.75
Myrniong		4	1.86		2	0.93		2	0.93		0	0.00		0	0.00		0	0.00		5	2.33		73	33.95		2	0.93		0	0.00		91	42.33		0	0.00		18	8.37		0	0.00		0	0.00		18	8.37		0	0.00		0	0.00		215	95.98		9	4.02		224	0.26
New Gisborne		30	2.53		19	1.60		23	1.94		0	0.00		1	0.08		0	0.00		25	2.11		537	45.24		3	0.25		1	0.08		382	32.18		11	0.93		75	6.32		0	0.00		0	0.00		80	6.74		0	0.00		0	0.00		1187	96.19		47	3.81		1234	1.44
Newham		9	2.54		3	0.85		3	0.85		0	0.00		0	0.00		0	0.00		14	3.95		157	44.35		2	0.56		0	0.00		92	25.99		0	0.00		25	7.06		0	0.00		2	0.56		47	13.28		0	0.00		0	0.00		354	95.42		17	4.58		371	0.43
Riddell		27	1.56		35	2.02		28	1.61		2	0.12		0	0.00		0	0.00		45	2.59		716	41.24		3	0.17		1	0.06		536	30.88		8	0.46		181	10.43		0	0.00		0	0.00		152	8.76		2	0.12		0	0.00		1736	94.30		105	5.70		1841	2.15
Rockbank		25	2.60		33	3.43		10	1.04		0	0.00		0	0.00		1	0.10		27	2.81		308	32.02		0	0.00		3	0.31		478	49.69		2	0.21		42	4.37		0	0.00		1	0.10		32	3.33		0	0.00		0	0.00		962	89.91		108	10.09		1070	1.25
Romsey		29	1.52		38	1.99		24	1.26		0	0.00		0	0.00		3	0.16		41	2.15		837	43.87		2	0.10		1	0.05		652	34.17		9	0.47		133	6.97		1	0.05		5	0.26		130	6.81		2	0.10		1	0.05		1908	93.81		126	6.19		2034	2.38
Sunbury		41	1.73		43	1.82		24	1.01		1	0.04		1	0.04		0	0.00		46	1.94		1102	46.56		4	0.17		1	0.04		731	30.88		14	0.59		221	9.34		2	0.08		0	0.00		136	5.75		0	0.00		0	0.00		2367	94.83		129	5.17		2496	2.92
Sunbury East		41	2.26		42	2.32		28	1.55		5	0.28		2	0.11		1	0.06		40	2.21		638	35.23		2	0.11		1	0.06		796	43.95		24	1.33		110	6.07		0	0.00		1	0.06		80	4.42		0	0.00		0	0.00		1811	94.57		104	5.43		1915	2.24
Sunbury Heights		36	1.60		52	2.31		41	1.82		1	0.04		2	0.09		2	0.09		63	2.80		772	34.34		7	0.31		0	0.00		999	44.44		10	0.44		178	7.92		1	0.04		0	0.00		83	3.69		1	0.04		0	0.00		2248	95.78		99	4.22		2347	2.75
Sunbury North		39	2.04		43	2.25		26	1.36		2	0.10		0	0.00		0	0.00		36	1.89		824	43.19		1	0.05		2	0.10		704	36.90		6	0.31		121	6.34		0	0.00		0	0.00		103	5.40		0	0.00		1	0.05		1908	95.78		84	4.22		1992	2.33
